,input,A,B,B2,B3
29,그는 과거는 과거로 뒀다,시간을 되돌릴 수 없기 때문에 그는 과거를 과거로 뒀다,그리움,그의 결심과 현재에 집중한다,그가 다르게 했다
30,그는 새 기타를 구입했다,돈이 부족해서 일어나지 않을 수 있다,비싼 돈을 내었다면,그의 열정과 연습,그가 돈을 벌지 않았다
31,그도 노력했다,운이 없어서 일어나지 않을 수 있다,포기했다,그의 결여된 의지력과 자신감,그가 노력하지 않았다
32,그는 시간을 가졌다,그는 시간을 가졌지만 그것이 사건을 일으킨 것은 아니다,더 늦었다,그의 무거운 마음,그가 시간을 가졌다
33,그는 애완동물을 허용했다,애완동물 알레르기에 의해 일어나지 않을 수 있다,애완동물을 허용하지 않았다,그의 주요 관심사였다,그가 부동산 규칙을 어겼다
34,그는 휴대폰을 받았다,그는 휴대폰을 받지 않았다,무엇이든지,무선 충전기를 사용한다,그가 집에 있었다
35,그는 C를 받았다,그는 열심히 공부해서 A를 받았다,그는 열심히 공부하지 않았다,그의 부모님,그가 노력했다
36,그는 TV를 구입했다,돈이 부족해서 TV를 구입하지 못할 수 있다,돈을 아끼지 않았다,TV를 켜놓고 계속해서 시청한다,그가 돈을 가지고 있지 않았다
37,그는 다리를 심하게 다쳤다,그는 안전장비를 착용하고 있었기 때문에 다리를 심하게 다칠 가능성이 없었다,치료를 받지 않았다,의사의 권고에 따라 쉬는 것이 중요하다,조심했다
38,그는 그녀의 바지에 오줌을 쌌다,그는 그녀의 바지에 오줌을 쌈으로써 일어날 수 없는 사건이다,의료적인 도움,그녀가 그것을 알아차리지 않도록 한다,화장실에 갔었다
39,그는 찾을 수 없었다,그는 숨겨졌기 때문에 찾을 수 없었다,더 이상 일어나지 않을 수 있다,그의 결심,그가 더 노력했다
40,그는 곧 나아질 겄다,의학적 치료에 의해 일어나지 않을 수 있다,노력,그의 결심과 의지를 약하게 만든다,치료를 받지 않았다
41,그는 새 카메라를 구입했다,돈이 부족해서 일어나지 않을 수 있다,비록 비싸긴 했다,그의 열정,그가 돈을 벌지 않았다
42,그는 어젯밤부터 시작했다,자연적인 현상에 의해 일어나지 않을 수 없다,끝끝내 했다,그의 몸이 지친 상태였기 때문,그가 더 일찍 잤다
43,그는 강아지를 키우고 싶다고 했다,알레르기에 의해 일어나지 않을 수 있다,그의 바람이 이루어진다,그의 아파트 규정이다,그가 알려주지 않았다
44,그는 등산했다,그는 다리를 다칠 수 있어서 등산을 하지 않을 수 있다,죽었다,높은 산세와 강력한 바람,그가 날씨가 좋았다
45,그는 휴대폰을 가지고 있었다,그는 휴대폰을 분실하거나 도난당하지 않는다면 일어나지 않을 수 있다,그는 도움을 요청했다,무섭고 끔찍한 전화 통화였다,그가 집에 있었다
46,그는 전화 한 통을 받았다,그는 전화기가 없어서 받지 못할 수 있다,그를 깨우기 위해 몇 번이고 호출했다,그는 휴대폰 배터리가 다 떨어져서였다,그가 나를 무시했다
47,그는 더 높이 올라갔다,비행기가 추락하지 않는다면,무엇을 했다면,그의 강인한 의지와 끈질긴 노력,그가 노력하지 않았다
48,그는 이발이 필요했다,그는 머리카락이 없어서 이발이 필요하지 않을 수도 있다,미룬,그의 시야를 가리고 있었다,그가 이발을 했다
49,그는 지갑을 집에 두고 왔다,그는 지갑을 집에 두고 왔기 때문에 현금이나 카드를 이용할 수 없을 수 있다,부주의,그의 부주의함,그가 지갑을 집에 두고 왔다
50,그는 목록을 잊어버렸다,그는 목록을 잊어버리는 것은 부주의 또는 실수에 의해 일어날 수 있다,중요한 사건,그의 부주의함,그가 메모를 했다
51,그는 페이지를 넘겼다,책이 없는 상황에서,그는 더 이상 되돌릴 수 없었다,그의 호기심과 집중력,그가 지갑을 잃어버렸다
52,그는 도넛도 먹었다,건강한 식습관을 유지하고 있어서 일어나지 않을 수 있다,과식,그의 먹고 있는 것을 보고 있던 친구의 존재였다,당뇨병이 없었다
53,그는 그것을 학교에 가져왔다,학교의 규칙에 의해 일어나지 않을 수 있다,걸었을,그의 결심,그가 깜빡했다
54,그는 좋아하는 사람에게 물어봤다,그 사람이 대답을 거부할 수 있다,만약 했다,두려움과 불안,그가 용기를 내지 않았다
55,그는 자신을 인식했다,자신을 인식하지 않는다면 일어나지 않을 수 있다,극복하지 않는다,그의 두려움과 불안,그가 노력하지 않았다
56,그는 새 옷을 구입했다,그는 돈이 부족하여 새 옷을 구입하지 못할 수도 있다,돈을 사용,새 옷을 입고 싶은 욕구였다,돈을 절약했다
57,그는 모든 인형을 외웠다,인형이 없는 경우에는 그가 모든 인형을 외울 수 없다,과학적으로 가능,그들이 마법으로 움직이게 한다,그가 집중했다
58,그는 훨씬 좋아 보였다,그는 훨씬 나빠 보일 수도 있다,그가 더 나은 선택을 했다,그의 자신감,운이 좋았다
59,그는 요리하고 싶어 하지 않았다,음식 알레르기나 식욕 부진에 의해 일어나지 않을 수 있다,게으름,그의 부족한 요리 실력과 요리하는 것에 대한 자신감 부족,요리하고 싶어 하지 않았던 일은 일어나지 않았다
60,그는 새 자전거를 구입했다,돈이 부족하여 새 자전거를 구입하지 못할 수 있다,비싼 비용을 지불,새로운 자전거를 보호하기 위해 자전거 잠금장치를 사용한다,그가 돈을 벌지 않았다
61,그는 목줄을 사용했다,그는 목줄을 사용하지 않았다,집착적인 사랑이나 감시를 뜻하기도 합니다,그의 방법 중 하나였다,목줄을 사용했다
62,그는 커피를 주문했다,그는 커피를 주문했지만 가게에 커피가 없어서 주문한 커피를 받지 못할 수도 있다,마신다,그는 바로 자리에서 커피를 마시기 위해 편안한 의자에 앉아 있다,그가 잠이 깨어있었다
63,그는 태클을 당했다,축구 경기가 아니라면 태클을 당하지 않을 수 있다,심한 충격을 받았다,그의 강인한 의지였다,그가 주의했다
64,그는 그녀에게 몸을 기울였다,성적인 의도가 아닌 경우에는 발생하지 않을 수 있다,그녀를 도와주지 않았다,그녀가 그를 다시 끌어안았기 때문,그가 이를 했다
65,그는 오른쪽으로 향했다,그는 왼쪽으로 향할 수도 있다,"어떤 일이든, 일어나지 않을 수 있다",답변할 수 없음,그가 왼쪽으로 했다
66,그는 배심원 의무를 위해 소환되었다,그는 사건과 무관한 이유로 소환되지 않을 수 있다,노력,법적인 제재를 받을 수 있다,범죄를 저질렀다
67,그는 자신을 과시했다,그는 자신을 과시하지 않았다,자만심,자신의 자만심과 오만함,그가 조심했다
68,그는 쿠키도 만들었다,식재료가 부족해서 만들지 못할 수 있다,그는 너무 많은 설탕을 넣었다,그는 너무 많은 설탕을 사용했기 때문,그가 부엌에 들어오지 않았다
69,그는 유치원에 입학했다,성인이 되지 않는다면 입학하지 못할 수 있다,어린 시절에 좋은 교육을 받았다,그의 부모님,그것을 거부했다
70,그는 구걸하러 갔다,자신의 노력으로 일자리를 얻어 생계를 유지할 수 있다면 구걸하러 갈 필요가 없을 수 있다,절망적으로,그의 자부심과 품위였다,그가 돈을 벌었다
71,그는 면도를 중단했다,그는 면도를 중단했지만 어떤 이유로든 다시 시작할 수 있다,피부가 자극되어서 발진이 생길 수 있다,그의 얼굴이 민감해서였다,면도를 중단했던 일은 일어나지 않았다
72,그는 약속을 잡았다,그는 약속을 잡았지만 갑작스러운 일정 변경으로 인해 일어나지 않을 수 있다,만약,그의 무책임한 태도였다,그가 늦지 않았다
73,그는 스스로 일을 자초했다,그는 스스로 일을 자초했기 때문에 일어나지 않을 수 없다,자초,그의 의지와 결단력,스스로 일을 자초했다
74,그는 방과 후 축구를 했다,그는 방과 후 축구를 했지만 부상으로 인해 일어나지 않을 수 있다,부모님의 허락,그는 너무 피곤해서 일어나지 않게 한다,그가 시간을 지키지 않았다
75,그는 그 의미를 설명했다,그는 그 의미를 설명하지 않을 수도 있다,그것이 그렇게 했다,내부의 불안정한 감정들 때문이라고 말했다,그 의미를 설명했던 일은 일어나지 않았다
76,그는 처음 이발을 했다,그는 머리를 깎지 않았다면 이발을 하지 않을 수 있었다,신중하게,그의 두려움과 불안,그가 두려워하지 않았다
77,그는 온몸에 흘리고 있었다,건조한 옷을 입고 있었다,죽음,그의 근육들이 무거운 족쇄와 같았다,그가 조심했다
78,그는 드디어 도착했다,그는 교통 사고로 인해 도착하지 못할 수 있다,그가 노력하지 않았다,그의 피로와 지침,그가 늦지 않았다
79,그는 그녀를 죽음으로 이끌었다,자연적인 사건에 의해 일어나지 않을 수 있다,그가 그녀를 죽음으로 이끌었던 행동을 하지 않았다,그녀의 영혼을 휴식시킨다,그가 그녀를 방어했다
80,그는 그녀를 만나러 갔다,그녀가 그를 만나러 오지 않을 수도 있다,만약 그가 그렇게 했다,그녀의 미소와 매력적인 눈빛,그가 늦지 않았다
81,그는 2013년에 캠브리지로 이사했다,그는 2013년에 캠브리지로 이사하지 않았다,어렵다,그곳에서의 새로운 직장,그가 결혼하지 않았다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 그녀의 턱을 꽉 움켜쥐지 않았다면 일어나지 않을 수 있다,죽음,그녀가 떠나려는 것을 막기 위한 행동,그가 참을성을 가졌다
83,그는 어젯밤 피자를 다 먹었다,그는 어젯밤 피자를 다 먹지 않았다,배가 부르다,그는 너무 배부르다,그가 배고프지 않았다
84,그는 고양이 알레르기가 있었다,고양이를 피하는 것으로 인해 그는 알레르기 반응을 일으키지 않을 수 있다,고양이를 피한다,고양이와의 접촉을 피하는 것이 중요했다,고양이를 피했다
85,그는 마침내 먹이를 찾았다,그의 먹이가 이미 다른 동물에 의해 먹혀 없어졌을 수 있다,만약,먹이를 뺏길까봐 겁이 나서였다,그가 노력하지 않았다
86,그는 다리를 삐끗했다,그는 안전한 장소에서 걷고 있었기 때문에 다리를 삐끗했을 가능성이 없다,심각한 부상,답변할 수 없음,그가 조심했다
87,그는 내 머리를 때렸다,그는 내 머리를 때리지 않았다,아주 강하게,나의 몸,그가 화를 내지 않았다
88,그는 그녀를 죽이러 갔다,법 집행기관에 의해 일어나지 않을 수 있다,잘못된 선택,그녀의 생명을 지키기 위해 누군가가 그를 막아야 했다,그가 제때 도착했다
89,그는 제시간에 집에 도착했다,그는 교통 체증에 의해 제시간에 집에 도착하지 못할 수 있다,만약,그의 피로와 지침,버스를 놓쳤다
90,그는 저녁을 먹었다,그는 죽었다,배고픔,그는 저녁을 먹었다,그가 집에 머물렀다
91,오늘은 그녀의 마지막 날였다,자연적인 죽음이 아닌 경우에는 그녀의 마지막 날이 아니라고 할 수 있다,그녀가 더 노력했다,그녀의 결심,그녀가 늦게 일어났다
92,그는 그녀가 그럴 거라고 했다,그녀가 그렇게 할 거라고 예측한 것에 의해 일어나지 않을 수 있다,그런 말을 했다,그녀의 결정에 따라 존중한다,그가 그녀를 믿었다
93,그는 수상한 냄새를 맡았다,그는 코가 먹혀 있어서 냄새를 맡지 못할 수도 있다,쓰레기 봉투가 터진 것으로 보였다,그의 호기심과 경계심,그를 쫓아왔다
94,그는 엄마에게 선물했다,그는 돈이 없어서 선물을 사지 못할 수도 있다,사실 했다,그의 마음,그가 돈을 훔쳤다
95,그는 금반지를 발견했다,그는 금반지를 발견하지 않을 수도 있다,그는 운이 좋았다,그의 손가락에 감겨있는 끈,그가 그 방을 청소하지 않았다
96,그는 캠프파이어를 시작했다,비가 오는 경우에는 캠프파이어를 시작하지 않을 수 있다,불이 꺼진다,그의 열정과 음악적 재능,캠프파이어를 시작했던 일은 일어나지 않았다
97,그는 보고서를 작성했다,그는 시간이 부족하여 보고서를 작성하지 못할 수 있다,노력하지 않았다면,그의 무조건적인 집중력과 열정,그가 늦게 도착했다
98,그는 '펑'하는 소리를 들었다,그는 '펑'하는 소리를 들을 수 없었다,화약류 또는 폭죽,그의 깊은 숨소리와 함께 무거운 숨을 들이쉰다,그가 방을 나갔다
99,그는 깜짝퀴즈를 출제했다,그는 깜짝퀴즈를 출제하지 않을 수도 있다,"""너무 쉬운 문제""를 출제했다",그의 목소리와 카리스마였다,그가 늦지 않았다
100,그는 강아지를 찾았다,그는 강아지를 찾지 못했다,놀랍겠지요,그의 부드러운 목소리와 다정한 손길,그가 집에 머물렀다
101,그는 고양이를 좋아했다,알레르기 반응으로 인해 고양이를 좋아하지 않을 수 있다,죽었다,그의 일상,그가 알레르기가 없었다
102,그는 하루 종일 게임을 했다,건강한 생활습관에 의해 일어나지 않을 수 있다,중독적으로,게임의 중독성,그가 일찍 일어났다
103,그는 나중에 질문했다,그는 나중에 기억하지 못할 수 있어서 질문을 하지 않을 수 있다,일어난다,무엇입니까?,그가 더 주의 깊게 듣고 있었다
104,그는 지갑을 돌려받았다,그는 지갑을 돌려받지 않았다,만약 나였다면,지갑을 잃어버린다,그가 도둑질을 하지 않았다
105,그는 그것을 학교에 가져갔다,학교에서 그것을 허용하지 않아서 일어나지 않을 수 있다,그것을 하지 않았다,그것을 학교에 가져가면 안된다는 규칙,그가 잊었다
106,그는 무릎을 다쳤다,그는 철제 안전모를 착용했기 때문에 머리를 다치지 않았다,심각한 손상,의사의 지시를 따르고 적절한 치료를 받는 것이 중요하다,조심했다
107,그는 갑자기 기억이 났다,기억이 되살아나지 않을 수도 있다,그가 그때 제때 대처하지 않았다,그의 자신에 대한 두려움과 불안,그가 약을 먹지 않았다
108,그는 아이와 함께 놀 수 있었다,그는 아이와 함께 놀 수 없었다,그의 어떤 사람이 그를 깨울 때까지,아이의 흥미로운 장난감과 활동을 제공한다,그가 일찍 퇴근하지 않았다
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 처음에는 어떻게 해야 할지 몰라서 일어날 수 없다,두려움,자신의 두려움과 불안감,조언을 듣지 않았다
110,그는 심지어 케이크도 만들었다,그는 케이크를 만들지 않았다면 일어나지 않을 수 있다,그는 정말 열심히 했다,그의 열정과 예민한 소양,그가 집에 있지 않았다
111,그는 손을 들었다,그는 손을 들지 않았다,그는 도움을 요청했다,그의 다리에 있는 상처였다,그가 도와주지 않았다
112,그는 입을 적셨다,그는 입을 적셨지만 물을 마시지 않았다,만약 했다,불안과 두려움,그가 거짓말을 하지 않았다
113,그는 새 고양이를 입양했다,알러지나 동물 보호소의 거절로 인해 그는 새 고양이를 입양하지 못할 수 있다,감정적인 연결을 형성한다,그것이 너무 떨리고 겁이 많아서였다,그가 집을 나갔다
114,그는 정리를 잘했다,그의 실수나 부주의로 인해 일어나지 않을 수 없다,노력,그의 조직된 방식,그가 정리를 잘했다
115,그는 그 높이에서 더 크고 무거워 보였다,그는 그 높이에서 더 작고 가벼워 보일 수 없다,그를 돕지 않았다,그의 강력한 자세와 무거운 몸무게였다,그가 앉아 있었다
116,그는 눈물이 날 지경였다,눈물이 나지 않을 수도 있다,그의 슬픔이 너무 깊었다,그의 강한 의지와 결연한 결심,그가 용서를 받았다
117,그는 놀고 싶지 않아 했다,그는 업무나 의무를 수행해야 했기 때문에 놀고 싶지 않아 했다,내일 아침까지 일어나지 않을 수 있다,그의 엄격한 일정과 책임감,그가 노력했다
118,그는 평화롭게 잠을 잤다,그는 평화롭게 잠을 자는 것은 외부의 소음이나 방해가 없는 경우에만 가능하다,누구나,그의 꾸벅꾸벅한 숨소리와 온전한 안식을 가져다주는 조용한 환경,경고를 듣지 않았다
119,그는 종이에 물감을 묻혔다,그는 종이에 물감을 묻히지 않았다면 일어나지 않을 수 있다,영구적으로,"종이 위에 무언가를 올려놓거나, 종이를 건조한 곳에 보관하는 것입니다",보호장치를 착용했다
120,그는 칠면조를 넣었다,칠면조가 살아있지 않거나 살아있는 칠면조를 넣을 수 없다,만약 했다,"물론 그것은 칠면조의 자연스러운 행동이 아니기 때문에, 그는 칠면조를 넣은 공간을 잠그거나 가리고 막아서 일어나지 않게 했다",그가 시간을 잘 관리했다
121,그는 다시 전화를 받았다,전화기가 고장나거나 전화를 걸어온 사람이 연락을 끊을 수 있다,누군가 나를 깨우러 올 때,그의 몸에 퍼진 극도의 피로와 고통,그가 잠을 자고 있었다
122,그는 눈사람을 만들었다,그는 눈이 없을 경우에는 눈사람을 만들지 못할 수 있다,눈이 내리지 않았다,눈이 녹지 않게 한다,겨울에 떠났다
123,그는 결국 쓰러졌다,그는 결국 쓰러지지 않을 수 없다,그만큼 심각한 상황,그의 체력과 정신력을 강화하는 것이 중요하다,조심했다
124,그는 곧 집으로 돌아갔다,그는 교통사고로 인해 집으로 돌아갈 수 없을 수도 있다,그는 그렇게 했다,그의 피곤함과 무거운 발걸음,그가 늦지 않았다
125,그는 새 보트를 구입했다,그는 돈이 부족해서 새 보트를 구입하지 못할 수도 있다,비싼 비용을 지불,바로 그 보트에 대한 그의 열정,돈을 벌지 않았다
126,그는 쇼핑하러 가고 싶다고 했다,그는 돈이 부족해서 쇼핑을 하러 갈 수 없다,"""그는 게으르다""를 했다",그의 지갑에 돈이 없다,돈이 없었다
127,그는 소파에서 낮잠을 자고 있었다,소파가 없었다,피곤하지 않았다면,그의 피로와 편안함,그가 알람을 설정했다
128,그는 혼자서 저녁을 먹었다,그는 음식을 사러 나가지 않았기 때문에 음식이 없어서 저녁을 먹지 못할 수도 있다,외식하지 않았다면,그의 슬픔과 우울함,집에 있었다
129,그는 잠이 들었다,불면증으로 인해 잠이 들지 않을 수 있다,무엇을 했다,그의 깊은 숨소리와 평화로운 표정,커피를 마셨다
130,그는 술을 너무 많이 마셨다,음주량을 조절하여 술을 적게 마시는 것으로 인해 발생하지 않을 수 있다,취할 수 있다,의사의 도움을 받는 것이 중요하다,절제했다
131,그는 매일 아침 눈을 떴다,그는 영구적으로 잠들었기 때문에 눈을 뜨지 않을 수 있다,의지력이 없었다,그의 무거운 마음과 피곤한 몸,그가 늦게 잤다
132,그는 그녀의 셔츠 단추를 풀었다,상대방의 거부에 의해 일어나지 않을 수 있다,그녀가 말리라 했다,그녀의 매혹적인 미소였다,그녀를 좋아하지 않았다
133,그는 새 타이어가 필요했다,그는 새 타이어가 필요했지만 가게에 새 타이어가 없어서 일어나지 않을 수 있다,사고,그의 차에 대한 안전을 위해 중요했다,정기적으로 타이어를 교체했다
134,그는 자신의 알람을 설정했다,그의 알람이 울리지 않을 수 있다,만약에 그렇지 않았다,그는 자신의 알람을 설정했다,그가 늦지 않았다
135,그는 선택의 폭을 좁혔다,다양한 옵션을 고려하지 않고 결정을 내림으로써 그 사람이 선택의 폭을 좁히는 것을 막지 않으면 발생하지 않을 수 있다,잘못된 결정을 했다,그의 결정에 대한 두려움과 불확실성,그 결정을 내리지 않았다
136,그는 직원을 해고했다,"그는 회사의 규정에 어긋나지 않는 한, 직원을 해고하지 않을 수도 있다",심사숙고,그의 결정에 대한 이유를 이해하지 못했다,그가 제때 대화를 나누었다
137,그는 발진이 생겼다,그는 알러지 반응에 의해 발진이 생기지 않을 수도 있다,의사를 찾아본다,냉각 팩을 사용하는 것이 좋다,예방접종을 했다
138,그는 집에 가서 옷을 갈아입어야 했다,그는 집에 가지 않고도 옷을 갈아입을 수 있다,피곤해서,그의 피로한 몸과 마음,늦지 않았다
139,그는 정말 착해 보였다,실제로 그가 착한 사람이 아닐 수도 있다,그의 행동이 사실,내가 할 일이다,그가 거짓말을 하지 않았다
140,그는 알림을 받았다,그는 알림을 받지 않았다,무엇을,그의 꿈을 이루지 못하게 한다,그가 조치를 취했다
141,그는 아버지와 함께 낚시하러 갔다,낚시 도중에 태풍이 오거나 낚시를 즐기는 사람들이 모두 다른 일을 해야 할 때에 의해 일어나지 않을 수 있다,물고기를 잡았다,바다의 평화로운 풍경과 함께 물고기를 잡는 즐거움,그가 시험을 보러 갔다
142,그는 아기를 안고 있었다,그는 아기를 안고 있지 않았다,무거웠다,그의 흔들림,그가 조심했다
143,그는 기분이 나빠지기 시작했다,그는 기분이 나빠지기 시작했지만 치료를 받아 나아질 수 있다,어떤 일이 발생하지 않았다면,그의 마음을 편안하게 해주는 것이 필요했다,그가 그를 무시하지 않았다
144,그는 새집을 지었다,자연재해나 사람의 의지에 의해 일어나지 않을 수 없다,무엇을 하지 않았다면,그의 열정과 노력,그가 도와주지 않았다
145,그는 새 정장을 구입했다,돈이 부족해서 일어나지 않을 수 있다,비싼 비용,그의 새로운 정장에 떨어진 커피였다,돈을 벌었다
146,그는 부딪혔다,그는 조심해서 걸었기 때문에 부딪히지 않을 수도 있다,죽었다,무엇인가? 그는 부딪히지 않게 하는 것은 무엇인가?,그가 주의했다
147,그는 퇴근길에 커피를 사서 마셨다,그는 카페가 휴업 중이어서 커피를 사지 못했다,졸음을 달래기 위해,그의 피로와 지친 몸,그가 퇴근길에 커피를 사러 가지 않았다
148,그는 생일 파티가 있었다,그는 생일 파티가 취소되었다,너무 피곤해서다,그의 친구들과 가족들이 준비한 서프라이즈였다,생일 파티에 참석하지 않았다
149,그는 암매장 당했다,자연사에 의해 일어나지 않을 수 있다,만약이라도 일어나지 않을 수 있다,그의 몸을 덮은 무거운 돌과 흙,경고를 듣지 않았다
150,그는 파트타임으로 일하고 있었다,"그는 파트타임으로 일하고 있었지만, 회사의 재정 상황이 나빠져서 그의 일자리가 없어질 수 있다",피곤함,그의 근로계약서에 명시된 근무 시간과 일정,그가 정규직으로 일했다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,자기 의지에 의해 일어나지 않을 수 없다,자각하지 못한 행동을,그의 자기 방어 메커니즘,그렇게 했다
152,그는 이제 자야 했다,그는 이제 자지 않아도 될 만큼 피곤하지 않았다,졸린다,그의 몸이 지친 상태였기 때문,그가 일찍 자지 않았다
153,그는 깁스를 해야 했다,스포츠 부상으로 인해 발생하지 않을 수 있다,치료,그의 상황을 악화시킬 수 있었다,그가 조심했다
154,그는 하루를 시작했다,그는 하루를 시작하지 않았다,울리지 않았다,그의 강한 의지와 결연한 목표였다,그가 알람을 설정하지 않았다
155,그는 새 드레스를 입었다,그는 옷장에 새 드레스가 없어서 입을 수 없다,만약 그가 그것을 입지 않았다,그의 눈에 띄는 특별한 디자인과 편안한 착용감,그가 집에 머물렀다
156,그는 어느 날 배고픔을 느꼈다,그는 음식을 먹지 않아서 일어나지 않을 수 있다,만약,그의 신체적인 필요를 충족시키지 않다,그가 밥을 먹었다
157,그는 새 집으로 이사했다,돈이 부족해서 일어나지 않을 수 있다,만약 그가 그렇게 하지 않았다,그는 새 집으로 이사했다,그가 도움을 받지 않았다
158,그는 깁스를 하고 있었다,그는 깁스를 하고 있었지만 사고로 인해 발생한 것이 아니라 다른 이유로 깁스를 하고 있는 것일 수 있다,다친,그의 다리 부상 때문,그가 조심했다
159,그는 그녀의 어깨를 두드렸다,성적인 의도가 없는 경우,그녀가 너무 힘들어했다,그녀가 너무 피곤해서였다,그가 말을 듣지 않았다
160,그는 양쪽을 동시에 지지했다,물리 법칙에 의해 일어나지 않을 수 있다,분명한 결과,그의 몸을 균형있게 유지한다,한 쪽만을 지지했다
161,그는 전봇대에 부딪혔다,그는 전봇대를 피해 부딪히지 않을 수도 있다,심각한 부상,전기 충격을 받지 않게 한다,속도를 줄였다
162,그는 그것을 학교에 입고 다녔다,그는 그것을 학교에 입고 다니지 않았다,노력했다,무거운 마음과 불안한 마음,그가 그것을 학교에 입고 다녔다
