,input,A,B,B2
45,그는 휴대폰을 가지고 있었다,휴대폰을 가지고 있었던 그는 긴급 상황에 대비할 수 있었다,전화를 받으려고,전화를 받았다
46,그는 전화 한 통을 받았다,전화를 받은 후 그는 긴급한 일이 생겨서 바로 나가야 했다,전화를 받은,그는 빠르게 일어나서 문을 열고 외출하기 위해 준비를 했다
47,그는 더 높이 올라갔다,그는 정상에 도달했다,노력하여,그는 멋진 전망을 감상했다
48,그는 이발이 필요했다,이발사에게 가서 머리를 깎았다,이발을 받은,미용실을 방문하여 머리를 정리했다
49,그는 지갑을 집에 두고 왔다,그는 다시 집으로 돌아가서 지갑을 가져오기 위해 되돌아갔다,잊어버리다,는 돈을 빌려야 했다
50,그는 목록을 잊어버렸다,그는 중요한 일정을 놓치고 매우 당황했다,쇼핑하다,는 다시 목록을 만들기 위해 종이와 연필을 찾았다
51,그는 페이지를 넘겼다,책을 계속 읽었다,읽다,새로운 장면이 펼쳐졌다
52,그는 도넛도 먹었다,이후에는 그가 커피를 마셨다,운동,커피를 마셨다
53,그는 그것을 학교에 가져왔다,"그는 그것을 학교에 가져왔고, 학교에서 금지된 물건으로 간주되어 처벌을 받았다",수업,그것을 친구들에게 자랑스러워하며 보여주었다
54,그는 좋아하는 사람에게 물어봤다,그는 좋아하는 사람에게 고백했다,대답하다,그 사람은 웃으며 대답했다
55,그는 자신을 인식했다,"자아를 깨달은 후, 그는 자신의 잠재력을 최대로 발휘하고 새로운 도전에 나서기 시작했다",자기 자신을 발견하다,"그는 자신의 잠재력을 깨달았고, 새로운 도전에 대한 용기를 얻었다"
56,그는 새 옷을 구입했다,그는 새 옷을 입었다,쇼핑하다,친구들과 만나기로 했다
57,그는 모든 인형을 외웠다,인형을 판매하는 가게를 열었다,공부하다,그들을 자신의 친구로 여기고 매일 그들과 놀았다
58,그는 훨씬 좋아 보였다,그 사건 이후에는 그의 모습이 향상되었다,그는 휴식을 취하다,그의 자신감이 높아진 것 같았다
59,그는 요리하고 싶어 하지 않았다,하지만 친구가 그를 도와주며 요리를 배우게 되었다,저녁을 먹고,그는 배달 음식을 시켰다
60,그는 새 자전거를 구입했다,그는 새 자전거를 타고 매일 출퇴근하게 되었다,페이팔 결제하다,자전거 타기를 배우고 매일 아침 일찍 일어나서 산책을 하기 시작했다
61,그는 목줄을 사용했다,그 후 그는 개를 산책시켰다,산책하다,강아지를 산책시켰다
62,그는 커피를 주문했다,서버가 그의 주문을 받아 커피를 가져다 주었다,마시다,서재로 돌아가서 일을 계속했다
63,그는 태클을 당했다,경기장에서 페널티 킥을 얻었다,경기,그는 곧바로 일어나서 경기를 이어나갔다
64,그는 그녀에게 몸을 기울였다,결국 그녀는 그의 감동적인 말에 눈물을 흘렸다,사실을 밝히려,그녀를 안아 주었다
65,그는 오른쪽으로 향했다,그는 주변을 살펴보았다,운전을,길을 따라 빠르게 걸어갔다
66,그는 배심원 의무를 위해 소환되었다,법정에서 증언을 해야 했다,재판jury duty,법정에 출석하여 재판에 참여하였다
67,그는 자신을 과시했다,다른 사람들이 그의 자신감에 영향을 받아 그룹 내에서 리더 역할을 맡게 되었다,자랑하다,자신의 업적과 성취를 자랑스러워하며 주변 사람들에게 자랑했다
68,그는 쿠키도 만들었다,쿠키를 먹었다,요리하다,친구들과 함께 쿠키를 먹으며 즐거운 시간을 보냈다
69,그는 유치원에 입학했다,그는 새로운 친구들을 사귀고 새로운 환경에 적응했다,태어나다,초등학교에 입학했다
70,그는 구걸하러 갔다,그는 동행자에게서 구걸을 당했다,"""금전이 부족하여""하다","그는 몇 동전을 받았고, 그것으로 식사를 했다"
71,그는 면도를 중단했다,그는 새로운 면도기를 구입했다,아침에 일어나다,얼굴을 물로 씻고 수건으로 닦았다
72,그는 약속을 잡았다,약속 시간에 만나서 서로 이야기를 나누었다,일어난,친구들과 만나기로 했다
73,그는 스스로 일을 자초했다,자초한 일로 인해 문제가 발생했다,자초하여,그는 열심히 일해 성공을 거두었다
74,그는 방과 후 축구를 했다,그 후에 그는 샤워를 하고 저녁 식사를 했다,샤워하다,친구들과 함께 저녁 식사를 했다
75,그는 그 의미를 설명했다,그 사건에 대한 설명을 했다,사건이 일어난,나는 그의 말에 동의했다
76,그는 처음 이발을 했다,그 후에는 그의 머리카락이 짧아졌다,머리를 자르다,그는 자신의 새로운 머리 모양에 만족했다
77,그는 온몸에 흘리고 있었다,그 후 그는 샤워를 하고 깨끗이 씻었다,운동,의식을 잃고 쓰러졌다
78,그는 드디어 도착했다,그는 가방을 풀고 휴가를 즐겼다,도착하다,그는 피곤한 모습으로 숙소로 향했다
79,그는 그녀를 죽음으로 이끌었다,"범인은 체포되어 재판을 받았고, 그녀의 가족들은 슬픔에 잠겨 있었다",사건,그는 자신의 죄책감과 후회로 괴로워했다
80,그는 그녀를 만나러 갔다,결국 그녀와 훈련소에서 재회했다,만난,그들은 함께 저녁을 먹으러 갔다
81,그는 2013년에 캠브리지로 이사했다,캠브리지 대학교에서 연구원으로 일했다,대학원을 마치다,미국에서 박사 학위를 취득하기 위해 대학에 입학했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,이후 그녀는 경찰에 신고하여 그의 폭력 행위를 고발했다,싸움,그녀를 꼭 안아주었다
83,그는 어젯밤 피자를 다 먹었다,그는 배가 아프고 속이 더부룩해졌다,배부르게,침대에 누워서 TV를 보았다
84,그는 고양이 알레르기가 있었다,고양이와의 접촉 후 알레르기 증상이 발생했다,그는 고양이를 acarpet cleaning,집 안에 고양이를 키우지 않기로 결정했다
85,그는 마침내 먹이를 찾았다,그는 배가 고파서 식사를 즐겼다,사냥하다,그는 배가 고팠기 때문에 식사를 즐겼다
86,그는 다리를 삐끗했다,그는 병원으로 신속히 이송되어 치료를 받았다,운동,그는 아프다고 말하며 지팡이를 이용해 걸었다
87,그는 내 머리를 때렸다,싸움이 벌어졌다,술을 마시다,나는 그에게 화를 내며 뒤로 물러났다
88,그는 그녀를 죽이러 갔다,범죄자로 체포되었다,범행,그녀의 시체를 숨겼다
89,그는 제시간에 집에 도착했다,그는 가족들과 함께 저녁 식사를 했다,늦게,침대에 누워 휴식을 취했다
90,그는 저녁을 먹었다,그는 소파에 눕고 TV를 시청했다,식사,숙면을 취했다
91,오늘은 그녀의 마지막 날였다,그녀는 모든 친구들과 가족들이 모여 그녀를 위해 작별 인사를 했다,그녀가 죽은,아무도 그녀를 볼 수 없었다
92,그는 그녀가 그럴 거라고 했다,하지만 그녀는 그의 말을 믿지 않았다,실제로 일어난 일,그녀는 그의 말을 믿지 않았고 계속해서 자신의 결정을 고수했다
93,그는 수상한 냄새를 맡았다,그는 주변을 살펴 수상한 사람을 발견하고 신고했다,술취하다,그 주변을 살펴보았지만 아무것도 발견하지 못했다
94,그는 엄마에게 선물했다,엄마는 감동하여 그를 안아주었다,행동하다,엄마는 감동해서 눈물을 흘렸다
95,그는 금반지를 발견했다,그는 금반지를 발견한 후 경찰에 신고했다,우연히하다,그는 행복한 미소를 지으며 반지를 손가락에 끼었다
96,그는 캠프파이어를 시작했다,그들은 함께 노래를 부르며 캠프파이어 주위에 모여들었다,저녁식사를 먹고,모두가 둥지를 만들었다
97,그는 보고서를 작성했다,"보고서를 작성한 후, 그는 보고서를 상사에게 제출했다",검토하다,회의를 준비했다
98,그는 '펑'하는 소리를 들었다,그는 깜짝 놀라서 주변을 둘러보았다,방아쇠를 당기다,아무것도 보이지 않았지만 곧바로 냄새가 코를 찌르며 퍼져나왔다
99,그는 깜짝퀴즈를 출제했다,그들은 깜짝퀴즈에 참여하여 상금을 획득했다,머리를 긁은 다음에,"참가자들로부터 정답을 받았고, 상금을 받을 자격이 있는 사람을 결정했다"
100,그는 강아지를 찾았다,그는 주인을 찾아주었다,산책,강아지를 안아주고 행복한 미소를 지었다
101,그는 고양이를 좋아했다,하지만 알레르기가 있어서 고양이를 키울 수 없었다,저녁 식사를 하다,그는 자신의 집에 고양이를 입양했다
102,그는 하루 종일 게임을 했다,결국 그는 다음날 일에 늦었다,게임하다,는 친구들과 만나기로 했다
103,그는 나중에 질문했다,무슨 일이 벌어졌니?,답변하다,무슨 일이 있었는지 궁금해했다
104,그는 지갑을 돌려받았다,그는 감사의 표시로 웃으며 떠났다,분실된,그는 안심한 미소를 지으며 집으로 향했다
105,그는 그것을 학교에 가져갔다,학교에서 그것을 보여주고 자랑했다,공부하다,그것을 친구들과 함께 공부했다
106,그는 무릎을 다쳤다,그는 병원으로 신속히 이송되어 치료를 받았다,운동,병원으로 옮겨져 치료를 받았다
107,그는 갑자기 기억이 났다,그는 누군가를 찾아가서 사과했다,술을 마신,그가 어제 저녁에 친구와 약속을 잡았다는 것을 기억했다
108,그는 아이와 함께 놀 수 있었다,아이와 함께 즐거운 시간을 보냈다,점심 식사,아이와 함께 공원으로 가서 즐거운 시간을 보냈다
109,그는 처음에는 어떻게 해야 할지 몰랐다,하지만 결국 도움을 요청하여 문제를 해결했다,경험하지 않아서,결국 결정을 내리기로 했다
110,그는 심지어 케이크도 만들었다,그는 파티를 위해 케이크도 만들었다,요리하다,친구들과 함께 케이크를 함께 먹으며 즐거운 시간을 보냈다
111,그는 손을 들었다,그는 질문에 대한 답변을 기다렸다,질문하다,아이들은 조용해졌고 선생님의 말에 집중했다
112,그는 입을 적셨다,그는 입을 적셨다 후에 사과했다,코를 풀어서 기침하다,아무 말도 하지 않았다
113,그는 새 고양이를 입양했다,이후에는 그가 새로운 반려동물을 키우기 시작했다,결혼,그는 고양이를 위한 새로운 장난감과 간식을 사러 동물용품가게에 갔다
114,그는 정리를 잘했다,그 후에는 주변이 깔끔해졌다,정리를 하고 나서,일정을 확인하고 다음 단계를 계획했다
115,그는 그 높이에서 더 크고 무거워 보였다,그 후 그는 더욱 강하고 자신감이 넘치는 모습으로 변했다,성장하다,그는 자신의 힘과 용기를 믿고 다가서며 그의 목표를 달성하기 위해 노력했다
116,그는 눈물이 날 지경였다,그 후 그는 안도의 눈물을 흘렸다,사건이 일어난,"그는 깊게 숨을 들이마셨고, 마음을 다잡았다"
117,그는 놀고 싶지 않아 했다,하지만 친구들이 그를 설득해서 결국 놀러 나갔다,쉬어야,그는 일어나서 공부하기로 결심했다
118,그는 평화롭게 잠을 잤다,다음날 아침에 일어나서는 그의 집이 침입당했고 가족들은 모두 위협을 받았다,아침에,그는 다음 날 아침에 상쾌하게 일어났다
119,그는 종이에 물감을 묻혔다,그는 종이를 버렸다,그는 그림을 그린,종이에 아름다운 그림을 그렸다
120,그는 칠면조를 넣었다,칠면조가 익어서 맛있게 먹었다,삶아 먹다,그는 오븐에 넣어 구워 완성시켰다
121,그는 다시 전화를 받았다,"사건이 일어난 후, 그는 다시 전화를 받았다",잠들어,는 그의 얼굴에 웃음이 번지면서 상대방과 이야기를 나누었다
122,그는 눈사람을 만들었다,눈사람을 만든 후에는 눈이 녹아서 눈사람이 사라졌다,눈이 내리기 전에,눈사람에 코와 두개골을 만들었다
123,그는 결국 쓰러졌다,그 후에 구급차가 호출되어 그를 병원으로 옮겼다,싸움,의료진들이 즉시 그를 치료하기 위해 달려들었다
124,그는 곧 집으로 돌아갔다,그는 곧 집으로 돌아가서 안전을 확인했다,그는 피곤하다,는 편안한 옷을 입고 티비를 시청했다
125,그는 새 보트를 구입했다,그 후 그는 가족과 함께 바다 여행을 다녀왔다,결혼하다,새 보트를 타고 바다로 나가서 낚시를 하기 시작했다
126,그는 쇼핑하러 가고 싶다고 했다,친구들과 함께 쇼핑을 하러 나갔다,점심을 먹은,우리는 함께 쇼핑을 하러 나갔다
127,그는 소파에서 낮잠을 자고 있었다,그 후에 그는 깨어나서 텔레비전을 보았다,식사,그는 커피를 마시고 일어났다
128,그는 혼자서 저녁을 먹었다,그는 혼자서 집으로 돌아갔다,운동,는 TV를 켜고 영화를 보았다
129,그는 잠이 들었다,그가 꿈을 꾸었다,잠을 자고,그는 꿈 속으로 빠져들었다
130,그는 술을 너무 많이 마셨다,음주운전으로 사고를 내고 경찰에 체포되었다,술에 취해서,병원으로 실려갔다
131,그는 매일 아침 눈을 떴다,매일 아침 눈을 떠서 새로운 하루를 시작했다,잠에서 깨고 난,그는 운동을 하고 샤워를 하며 하루를 시작했다
132,그는 그녀의 셔츠 단추를 풀었다,이후 그녀는 화를 내며 그를 밀쳤다,그녀가 그를 유혹하기 전에,그녀의 어깨를 쓰다듬었다
133,그는 새 타이어가 필요했다,차고에 들어가 새 타이어를 구입했다,차고를 들어올리다,그는 자동차를 찾아서 새 타이어를 구입했다
134,그는 자신의 알람을 설정했다,그는 다음 날 일찍 일어나서 준비할 수 있었다,설정한 시간에,침대에서 일어나서 화장실에 갔다
135,그는 선택의 폭을 좁혔다,그 후에는 결정을 내렸다,결정하다,그는 자신에게 가장 중요한 몇 가지 옵션을 골라내었다
136,그는 직원을 해고했다,그 후에는 회사 내부에서 불만과 갈등이 생겼다,결정,그는 새로운 직원을 고용했다
137,그는 발진이 생겼다,그는 약을 처방받아 발진이 치료되었다,식사,의사를 찾아서 치료를 받았다
138,그는 집에 가서 옷을 갈아입어야 했다,그는 미팅에 참석하기 위해 집에 가서 옷을 갈아입었다,외출,는 친구들과 만나기로 했다
139,그는 정말 착해 보였다,"하지만 그것은 그의 진짜 모습이 아니었고, 사람들은 그를 실망시켰다",나와의 대화를 나누고 나서,그는 사람들을 도와주고 싶어하는 마음이 크게 보였다
140,그는 알림을 받았다,그는 긴급 상황에 대한 정보를 받았다,일어나다,그는 긴급한 일이 있어서 즉시 퇴근해야 했다
141,그는 아버지와 함께 낚시하러 갔다,낚시를 즐기며 아버지와 즐거운 시간을 보냈다,낚시하다,아버지가 잡은 물고기를 자랑스러워하며 집으로 돌아왔다
142,그는 아기를 안고 있었다,아기를 안고 있는 그는 아이를 살려내기 위해 빠르게 대피했다,출산,그는 아기를 품에서 내려놓고 아이의 얼굴을 부드럽게 쓸어주었다
143,그는 기분이 나빠지기 시작했다,그 후 그는 집으로 돌아가서 휴식을 취했다,스트레스 받다,그는 주변 사람들과의 대화를 피하고 고독감을 느끼기 시작했다
144,그는 새집을 지었다,이사를 했다,결혼하다,그는 가족을 초대하여 집들이를 열었다
145,그는 새 정장을 구입했다,그 후 그는 친구의 결혼식에 참석했다,결혼식,그는 자신의 새로운 정장을 입고 자신감 있게 외출했다
146,그는 부딪혔다,그는 다친 채 병원으로 실려갔다,충격을 받은,그는 아픈 소리를 내며 땅에 넘어졌다
147,그는 퇴근길에 커피를 사서 마셨다,퇴근 후 집으로 돌아갔다,스트레스 해소하다,영화를 보러 갔다
148,그는 생일 파티가 있었다,그 후에 친구들과 함께 축하를 받았다,파티가 끝난,친구들과 함께 술집에 갔다
149,그는 암매장 당했다,경찰이 수사를 시작하여 범인을 잡기 위해 노력했다,사고,그의 가족과 친구들은 슬픔에 잠겨 있었다
150,그는 파트타임으로 일하고 있었다,하지만 회사가 경영난으로 인해 그의 일자리를 잃었다,대학을 졸업,그는 전문 교육을 받기 위해 대학에 다니기 시작했다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그 일로 인해 자신에게 큰 상처를 입었다,심각한 후회,후회와 자책의 감정이 그를 습격했다
152,그는 이제 자야 했다,그는 이제 자야 했다,밤 늦게 자고 나서,조금이라도 휴식을 취하고 내일을 위해 준비해야 했다
153,그는 깁스를 해야 했다,사건이 일어난 후 그는 다리를 깁스로 고정해야 했다,골프,는 재활 운동을 시작했다
154,그는 하루를 시작했다,일상적인 활동을 시작했다,그는 샤워를 하다,커피를 마시고 샤워를 하였다
155,그는 새 드레스를 입었다,그는 자신의 새 드레스를 자랑스러워했다,파티,그는 친구들과 만나기로 했다
156,그는 어느 날 배고픔을 느꼈다,그는 식사를 하기 위해 식당으로 향했다,점심을 먹지 않았다,"그는 식당으로 향했고, 맛있는 음식을 주문하여 배를 채웠다"
157,그는 새 집으로 이사했다,이사 후 새로운 이웃들과 친해지고 새로운 환경에 적응했다,결혼,새로운 이웃들과 친해지기 위해 이사 첫날 파티를 열었다
158,그는 깁스를 하고 있었다,그는 치료를 받고 회복하려고 노력했다,사고,"직장에서 휴가를 받았고, 회복하는 동안 가족과 함께 시간을 보냈다"
159,그는 그녀의 어깨를 두드렸다,"그녀는 놀라서 돌아봤고, 그 후에 그는 사과했다",실망하다,"그녀는 돌아보았고, 그의 눈에는 따뜻한 미소가 번짐과 동시에 그녀도 미소를 지었다"
160,그는 양쪽을 동시에 지지했다,그 결과로 몸이 무너졌다,결혼식,그는 중립적인 입장을 취했다
161,그는 전봇대에 부딪혔다,그는 사고로 다리를 다쳤다,비가 오다,그는 지붕 위로 날아올랐다
162,그는 그것을 학교에 입고 다녔다,그는 그것을 학교에서 입고 다녔다,하루를 시작하다,"그는 친구들과 함께 숙제를 했고, 수업을 열심히 들었다"
163,그도 케이크를 먹었다,그 후에는 별다른 일이 벌어지지 않았다,식사,커피를 마셨다
164,그는 밤에 잠을 잤다,다음 날 아침에 일어나서 일상적인 활동을 시작했다,자신의 몸이 휴식을 취하기 위해,"그는 아침에 일어났고, 커피를 마셨다"
165,그는 팔을 들어 올렸다,그는 승리를 선언했다,운동,그는 주먹을 쥐었고 상대를 향해 공격을 준비했다
166,그는 실수로 노크를 했다,그는 사과하고 문을 열었다,문을 열려고,문을 열고 안으로 들어갔다
167,그는 구취가 심했다,그는 샤워를 하러 갔다,씻지 않고,샤워를 하고 깨끗한 옷을 입었다
168,그는 새로운 일을 시작했다,그는 새로운 일을 시작했다,결혼,그는 새로운 도전에 대해 열정적으로 임했다
169,그는 내비게이션에 도움을 요청했다,내비게이션으로 목적지를 찾아 도착했다,운전 중,내비게이션 시스템은 목적지까지의 최적 경로를 계산하여 안내해 주었다
170,그는 총을 들고 목표물을 공격했다,경찰에게 체포되었다,사격,경찰이 도착하여 그를 체포했다
171,그는 호텔을 찾았다,그는 숙소를 예약했다,저녁식사,방을 예약했다
172,그는 성인이 되었다,그는 자립적인 삶을 살기 시작했다,성장하여,대학에 진학하여 학업을 이어갔다
173,그는 자전거를 타고 집으로 돌아갔다,그는 자전거를 타고 집으로 돌아가서 씻고 저녁을 먹었다,운동,그는 샤워를 하고 저녁 식사를 준비했다
174,그는 남편에게 문자를 보내었다,그 후에 그녀는 남편과의 관계를 다시 고쳤다,식사,그는 미안하다고 말했다
175,그는 전화번호를 교환했다,그 후에는 서로 연락을 주고받았다,이사하다,새로운 친구들과 연락을 주고받았다
176,그는 경적을 울렸다,그 후에는 사람들이 길을 비켜주고 그가 지나갔다,사고,는 급히 차를 멈추고 주변을 둘러보았다
177,그는 꽤 멋져 보였다,하지만 그의 행동은 매우 거만하고 무례했다,파티를 하다,그의 자신감이 더욱 빛을 발했다
178,그는 하루를 마무리했다,그는 잠에 들었다,잠들어,그는 책을 읽거나 TV를 시청하며 휴식을 취했다
179,그는 마침내 그녀를 찾았다,결국 그녀와 재회하여 행복한 시간을 보냈다,오랜 시간 만에 만남을 갖다,그녀와 함께 행복한 시간을 보냈다
180,그는 데이트를 원했다,하지만 상대방은 거절했다,저녁 식사를 하려고,그녀를 만나기로 했다
181,그는 갈등에 휘말렸다,그 후 그는 친구와의 갈등을 해결하기 위해 노력했다,결정을,그는 자신의 감정을 정리하고 문제를 해결하기 위해 노력했다
182,그는 팝콘을 먹었다,그는 영화를 보러 갔다,영화를 보고,영화를 보러 갔다
183,그는 좋아하는 TV 프로그램을 시청했다,나중에는 그 TV 프로그램의 팬이 되었다,TV 프로그램을 시청하다,침대에 누워서 책을 읽기 시작했다
184,그는 집에 안전하게 도착했다,그리고 문을 잠궈 안전을 확보했다,운전하여,그는 씻고 저녁을 먹었다
185,그는 더 나은 직장을 찾았다,그는 전 직장에서 해고당한 후 더 나은 직장을 찾았다,이는 이전 직장에서의 경험을 쌓은 뒤에,그는 새로운 회사에서 더 많은 돈을 벌기 시작했다
186,그는 현금이 좀 필요했다,은행에서 대출을 받았다,도박,그는 은행으로 가서 대출을 신청했다
187,그는 응급실에 가야 했다,그는 응급 치료를 받았다,사고,는 의사들의 치료를 받았다
188,그는 치어리더가 되고 싶어 했다,하지만 그의 친구들은 그를 지원해주지 않았다,훈련하다,그는 치어리더 훈련을 받기 시작했다
189,그는 상황파악을 하지 못한 채 놀고 있었다,그 결과로 문제가 발생했다,사고하다,"문제가 발생했고, 그는 당황하여 대처할 수 없었다"
190,그는 거부당했다,이후에는 다른 방법을 찾아야 했다,그가 프러포즈하다,"그는 자신의 실수를 깨달았고, 더 열심히 노력하기로 결심했다"
191,그는 얼굴을 맞았다,그는 분노하여 상대방을 고소했다,실수를 하고,"그는 땅에 넘어졌고, 피가 흘렀다"
192,그는 상사에게 사과했다,"상사는 그의 사과를 받아들였고, 두 사람 간의 갈등이 해결되었다",사과하기 전에,그는 자신의 실수를 인정하고 앞으로는 더 신중하게 일을 처리할 것을 약속했다
193,그는 내일 큰 시험이 있었다,그래서 그는 밤새 공부했다,시험을 보다,그는 밤새 공부를 했다
194,그는 선풍기를 구입했다,그는 시원한 바람을 즐겼다,사용하다,에어컨도 구입했다
195,그는 새 옷장을 구입했다,그는 옷장을 정리하고 새 옷을 넣었다,옷장을 정리하다,그는 옷장을 정리하고 이전에 가지고 있던 옷들을 새로운 옷장에 넣었다
196,그는 친구들을 초대했다,친구들은 그의 초대에 응해 함께 시간을 보냈다,파티를 계획,친구들과 함께 파티를 즐겼다
197,그는 선물을 받았다,선물을 받은 후 그는 감사의 인사를 했다,열심히 일하다,그는 감사의 표시로 웃으며 선물을 열었다
