,input,A,B,B2,B3
10,그는 실망한 표정였다,주변 사람들은 그의 실망을 이해했다,그는 실망한 표정이었다. 따라서 주변사람들은 안쓰러운 것을 느꼈다,그는 실망한 표정이었다. 따라서 주변사람들이 느꼈던 것은 안쓰러운 것이다,"주변 사람들은 실망하는 것을 느꼈는데, 왜냐하면 그가 실망한 표정였기 때문이다"
11,그는 재미있어 보였다,즐거워했다,그는 재미있어 보였다. 따라서 주변사람들은 즐거운 것을 느꼈다,그는 재미있어 보였다. 따라서 주변사람들이 느꼈던 것은 즐거워하는 것이다,"주변 사람들은 즐거워하는 것을 느꼈는데, 왜냐하면 그가 재미있어 보였기 때문이다"
12,그는 신에게 충성을 바쳤다,존경했다,그는 신에게 충성을 바쳤다. 따라서 주변사람들은 경외하는 것을 느꼈다,그는 신에게 충성을 바쳤다. 따라서 주변사람들이 느꼈던 것은 존경하는 것이다,"주변 사람들은 경외하는 것을 느꼈는데, 왜냐하면 그가 신에게 충성을 바쳤기 때문이다"
13,그는 집에 가도 되었다,안심했다,그는 집에 가도 되었다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 집에 가도 되었다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 집에 가도 되었기 때문이다"
14,그는 학교에 갈 옷을 준비했다,기대했다,그는 학교에 갈 옷을 준비했다. 따라서 주변사람들은 기뻐하는 것을 느꼈다,그는 학교에 갈 옷을 준비했다. 따라서 주변사람들이 느꼈던 것은 그가 열심히 공부하려는 것이다,"주변 사람들은 자부심을 느꼈는데, 왜냐하면 그가 학교에 갈 옷을 준비했기 때문이다"
15,그는 피자 파티가 있었다,즐거워했다,그는 피자 파티가 있었다. 따라서 주변사람들은 기쁜 것을 느꼈다,그는 피자 파티가 있었다. 따라서 주변사람들이 느꼈던 것은 즐거워하는 것이다,"주변 사람들은 배고픈 것을 느꼈는데, 왜냐하면 그가 피자 파티가 있었기 때문이다"
16,그는 마침내 선택했다,기쁘게 생각했다,그는 마침내 선택했다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 마침내 선택했다. 따라서 주변사람들이 느꼈던 것은 안도하는 것이다,"주변 사람들은 안도하는 것을 느꼈는데, 왜냐하면 그가 마침내 선택했기 때문이다"
17,그는 너무 심하게 다쳤다,걱정했다,그는 너무 심하게 다쳤다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 너무 심하게 다쳤다. 따라서 주변사람들이 느꼈던 것은 걱정스러워하는 것이다,"주변 사람들은 걱정스러워하는 것을 느꼈는데, 왜냐하면 그가 너무 심하게 다쳤기 때문이다"
18,그는 몸이 아프기 시작했다,걱정했다,그는 몸이 아프기 시작했다. 따라서 주변사람들은 걱정스러운 것을 느꼈다,그는 몸이 아프기 시작했다. 따라서 주변사람들이 느꼈던 것은 걱정스러워하는 것이다,"주변 사람들은 걱정하는 것을 느꼈는데, 왜냐하면 그가 몸이 아프기 시작했기 때문이다"
19,그는 밤에 잠을 잘 이루지 못했다,걱정했다,그는 밤에 잠을 잘 이루지 못했다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 밤에 잠을 잘 이루지 못했다. 따라서 주변사람들이 느꼈던 것은 걱정스러운 것이다,"주변 사람들은 걱정스러운 것을 느꼈는데, 왜냐하면 그가 밤에 잠을 잘 이루지 못했기 때문이다"
20,그는 새로운 기술을 배웠다,신기하고 흥분했다,그는 새로운 기술을 배웠다. 따라서 주변사람들은 그를 존경하는 것을 느꼈다,그는 새로운 기술을 배웠다. 따라서 주변사람들이 느꼈던 것은 감탄하는 것이다,"주변 사람들은 존경하는 것을 느꼈는데, 왜냐하면 그가 새로운 기술을 배웠기 때문이다"
21,그는 황금알을 낳는 거위를 죽였다,안타까워했다,그는 황금알을 낳는 거위를 죽였다. 따라서 주변사람들은 탐욕스러운 것을 느꼈다,그는 황금알을 낳는 거위를 죽였다. 따라서 주변사람들이 느꼈던 것은 분노하는 것이다,"주변 사람들은 어리둥절한 것을 느꼈는데, 왜냐하면 그가 황금알을 낳는 거위를 죽였기 때문이다"
22,그는 대학에 지원했다,희망적이었다,그는 대학에 지원했다. 따라서 주변사람들은 기대하는 것을 느꼈다,그는 대학에 지원했다. 따라서 주변사람들이 느꼈던 것은 긴장하는 것이다,"주변 사람들은 기대하는 것을 느꼈는데, 왜냐하면 그가 대학에 지원했기 때문이다"
23,그는 홀인원을 기록했다,놀라워했다,그는 홀인원을 기록했다. 따라서 주변사람들은 놀라운 것을 느꼈다,그는 홀인원을 기록했다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 놀라는 것을 느꼈는데, 왜냐하면 그가 홀인원을 기록했기 때문이다"
24,그는 방과 후 친구들과 농구를 했다,즐거워했다,그는 방과 후 친구들과 농구를 했다. 따라서 주변사람들은 즐거워하는 것을 느꼈다,그는 방과 후 친구들과 농구를 했다. 따라서 주변사람들이 느꼈던 것은 즐거워하는 것이다,"주변 사람들은 즐거워하는 것을 느꼈는데, 왜냐하면 그가 방과 후 친구들과 농구를 했기 때문이다"
25,그는 곧 기분이 나아질 겄다,희망적으로 생각했다,그는 곧 기분이 나아질 것이다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 곧 기분이 나아질 것이다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 곧 기분이 나아질 것이기 때문이다"
26,그는 커피를 머그잔에 마셨다,만족했다,그는 커피를 머그잔에 마셨다. 따라서 주변사람들은 편안한 것을 느꼈다,그는 커피를 머그잔에 마셨다. 따라서 주변사람들이 느꼈던 것은 편안한 것이다,"주변 사람들은 만족스러운 것을 느꼈는데, 왜냐하면 그가 커피를 머그잔에 마셨기 때문이다"
27,그는 엔진을 망가뜨렸다,당황했다,그는 엔진을 망가뜨렸다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 엔진을 망가뜨렸다. 따라서 주변사람들이 느꼈던 것은 당황하는 것이다,"주변 사람들은 당황하는 것을 느꼈는데, 왜냐하면 그가 엔진을 망가뜨렸기 때문이다"
28,그는 새로운 새끼 고양이를 얻었다,주변 사람들은 기쁘게 생각했다,그는 새로운 새끼 고양이를 얻었다. 따라서 주변사람들은 기쁜 것을 느꼈다,그는 새로운 새끼 고양이를 얻었다. 따라서 주변사람들이 느꼈던 것은 기쁜 것이다,"주변 사람들은 흥분하는 것을 느꼈는데, 왜냐하면 그가 새로운 새끼 고양이를 얻었기 때문이다"
29,그는 과거는 과거로 뒀다,슬펐다,그는 과거는 과거로 뒀다. 따라서 주변사람들은 새로운 시작을 응원하는 것을 느꼈다,그는 과거는 과거로 뒀다. 따라서 주변사람들이 느꼈던 것은 용서하는 것이다,"주변 사람들은 편안한 것을 느꼈는데, 왜냐하면 그가 과거는 과거로 뒀기 때문이다"
30,그는 새 기타를 구입했다,기뻐했다,그는 새 기타를 구입했다. 따라서 주변사람들은 놀라는 것을 느꼈다,그는 새 기타를 구입했다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 흥분하는 것을 느꼈는데, 왜냐하면 그가 새 기타를 구입했기 때문이다"
31,그도 노력했다,희망적으로 생각했다,그도 노력했다. 따라서 주변사람들은 그가 열심히 하는 것을 느꼈다,그도 노력했다. 따라서 주변사람들이 느꼈던 것은 그를 응원하는 것이다,"주변 사람들은 공감하는 것을 느꼈는데, 왜냐하면 그도 노력했기 때문이다"
32,그는 시간을 가졌다,차분했다,그는 시간을 가졌다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 시간을 가졌다. 따라서 주변사람들이 느꼈던 것은 안도하는 것이다,"주변 사람들은 안도하는 것을 느꼈는데, 왜냐하면 그가 시간을 가졌기 때문이다"
33,그는 애완동물을 허용했다,감동했다,그는 애완동물을 허용했다. 따라서 주변사람들은 감사하는 것을 느꼈다,그는 애완동물을 허용했다. 따라서 주변사람들이 느꼈던 것은 기쁘게 생각하는 것이다,"주변 사람들은 감동하는 것을 느꼈는데, 왜냐하면 그가 애완동물을 허용했기 때문이다"
34,그는 휴대폰을 받았다,기쁘게 반겼다,그는 휴대폰을 받았다. 따라서 주변사람들은 놀라운 것을 느꼈다,그는 휴대폰을 받았다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 기쁜 것을 느꼈는데, 왜냐하면 그가 휴대폰을 받았기 때문이다"
35,그는 C를 받았다,실망했다,그는 C를 받았다. 따라서 주변사람들은 실망하는 것을 느꼈다,그는 C를 받았다. 따라서 주변사람들이 느꼈던 것은 실망하는 것이다,"주변 사람들은 실망하는 것을 느꼈는데, 왜냐하면 그가 C를 받았기 때문이다"
36,그는 TV를 구입했다,기쁘게 생각했다,그는 TV를 구입했다. 따라서 주변사람들은 부러워하는 것을 느꼈다,그는 TV를 구입했다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 부러워하는 것을 느꼈는데, 왜냐하면 그가 TV를 구입했기 때문이다"
37,그는 다리를 심하게 다쳤다,주변 사람들은 걱정했다,그는 다리를 심하게 다쳤다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 다리를 심하게 다쳤다. 따라서 주변사람들이 느꼈던 것은 걱정하는 것이다,"주변 사람들은 걱정하는 것을 느꼈는데, 왜냐하면 그가 다리를 심하게 다쳤기 때문이다"
38,그는 그녀의 바지에 오줌을 쌌다,당황했다,그는 그녀의 바지에 오줌을 쌌다. 따라서 주변사람들은 놀라워하는 것을 느꼈다,그는 그녀의 바지에 오줌을 쌌다. 따라서 주변사람들이 느꼈던 것은 당황하는 것이다,"주변 사람들은 당황하는 것을 느꼈는데, 왜냐하면 그가 그녀의 바지에 오줌을 쌌기 때문이다"
39,그는 찾을 수 없었다,걱정했다,그는 찾을 수 없었다. 따라서 주변사람들은 걱정하는 것을 느꼈다,그는 찾을 수 없었다. 따라서 주변사람들이 느꼈던 것은 걱정하는 것이다,"주변 사람들은 당황스러운 것을 느꼈는데, 왜냐하면 그가 찾을 수 없었기 때문이다"
40,그는 곧 나아질 겄다,그가 안심했다,그는 곧 나아질 것이다. 따라서 주변사람들은 희망을 느꼈다,그는 곧 나아질 것이다. 따라서 주변사람들이 느꼈던 것은 희망적인 것이다,"주변 사람들은 희망을 느꼈는데, 왜냐하면 그가 곧 나아질 것이기 때문이다"
41,그는 새 카메라를 구입했다,기뻐했다,그는 새 카메라를 구입했다. 따라서 주변사람들은 부러워하는 것을 느꼈다,그는 새 카메라를 구입했다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 흥분하는 것을 느꼈는데, 왜냐하면 그가 새 카메라를 구입했기 때문이다"
42,그는 어젯밤부터 시작했다,불안했다,그는 어젯밤부터 시작했다. 따라서 주변사람들은 걱정스러운 것을 느꼈다,그는 어젯밤부터 시작했다. 따라서 주변사람들이 느꼈던 것은 걱정스러워하는 것이다,"주변 사람들은 피곤한 것을 느꼈는데, 왜냐하면 그가 어젯밤부터 시작했기 때문이다"
43,그는 강아지를 키우고 싶다고 했다,기쁘게 생각했다,그는 강아지를 키우고 싶다고 했다. 따라서 주변사람들은 그의 마음을 이해하는 것을 느꼈다,그는 강아지를 키우고 싶다고 했다. 따라서 주변사람들이 느꼈던 것은 기뻐하는 것이다,"주변 사람들은 반가운 것을 느꼈는데, 왜냐하면 그가 강아지를 키우고 싶다고 했기 때문이다"
44,그는 등산했다,신선함을 느꼈다,그는 등산했다. 따라서 주변사람들은 피곤한 것을 느꼈다,그는 등산했다. 따라서 주변사람들이 느꼈던 것은 신선함이다,"주변 사람들은 피곤한 것을 느꼈는데, 왜냐하면 그가 등산했기 때문이다"
45,그는 휴대폰을 가지고 있었다,평범하게 여겼다,그는 휴대폰을 가지고 있었다. 따라서 주변사람들은 그가 연락을 기다리는 것을 느꼈다,그는 휴대폰을 가지고 있었다. 따라서 주변사람들이 느꼈던 것은 그가 연락을 받거나 하는 것에 대한 기대감이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 휴대폰을 가지고 있었기 때문이다"
46,그는 전화 한 통을 받았다,기쁘게 생각했다,그는 전화 한 통을 받았다. 따라서 주변사람들은 그가 중요한 일을 알게 된 것을 느꼈다,그는 전화 한 통을 받았다. 따라서 주변사람들이 느꼈던 것은 궁금해하는 것이다,"주변 사람들은 당황스러워하는 것을 느꼈는데, 왜냐하면 그가 전화 한 통을 받았기 때문이다"
47,그는 더 높이 올라갔다,자랑스러워했다,그는 더 높이 올라갔다. 따라서 주변사람들은 놀라워하는 것을 느꼈다,그는 더 높이 올라갔다. 따라서 주변사람들이 느꼈던 것은 자랑스러워하는 것이다,"주변 사람들은 자부심을 느꼈는데, 왜냐하면 그가 더 높이 올라갔기 때문이다"
48,그는 이발이 필요했다,깔끔하고 상쾌해졌다,그는 이발이 필요했다. 따라서 주변사람들은 그가 변신하는 것을 느꼈다,그는 이발이 필요했다. 따라서 주변사람들이 느꼈던 것은 그가 다소 방심한 것 같다는 것이다,"주변 사람들은 당황하는 것을 느꼈는데, 왜냐하면 그가 이발이 필요했기 때문이다"
49,그는 지갑을 집에 두고 왔다,당황스러워했다,그는 지갑을 집에 두고 왔다. 따라서 주변사람들은 당황하는 것을 느꼈다,그는 지갑을 집에 두고 왔다. 따라서 주변사람들이 느꼈던 것은 당황하는 것이다,"주변 사람들은 당황하는 것을 느꼈는데, 왜냐하면 그가 지갑을 집에 두고 왔기 때문이다"
50,그는 목록을 잊어버렸다,당황스러워했다,그는 목록을 잊어버렸다. 따라서 주변사람들은 당황하는 것을 느꼈다,그는 목록을 잊어버렸다. 따라서 주변사람들이 느꼈던 것은 당황하는 것이다,"주변 사람들은 당황하는 것을 느꼈는데, 왜냐하면 그가 목록을 잊어버렸기 때문이다"
51,그는 페이지를 넘겼다,놀라웠다,그는 페이지를 넘겼다. 따라서 주변사람들은 새로운 시작을 느꼈다,그는 새로운 시작을 하는 것이다. 따라서 주변사람들이 느꼈던 것은 희망적인 것이다,"주변 사람들은 흥분하는 것을 느꼈는데, 왜냐하면 그가 페이지를 넘겼기 때문이다"
52,그는 도넛도 먹었다,기뻐했다,그는 도넛도 먹었다. 따라서 주변사람들은 그가 배고픈 것을 느꼈다,그는 도넛도 먹었다. 따라서 주변사람들이 느꼈던 것은 깜짝 놀란 것이다,"주변 사람들은 신기해하는 것을 느꼈는데, 왜냐하면 그가 도넛도 먹었기 때문이다"
53,그는 그것을 학교에 가져왔다,주변 사람들은 놀라웠다,그는 그것을 학교에 가져왔다. 따라서 주변 사람들은 놀라는 것을 느꼈다,그는 그것을 학교에 가져왔다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 놀라는 것을 느꼈는데, 왜냐하면 그가 그것을 학교에 가져왔기 때문이다"
54,그는 좋아하는 사람에게 물어봤다,신뢰하고 행복했다,그는 좋아하는 사람에게 물어봤다. 따라서 주변사람들은 기쁜 것을 느꼈다,그는 좋아하는 사람에게 물어봤다. 따라서 주변사람들이 느꼈던 것은 기대하는 것이다,"주변 사람들은 용기 있는 것을 느꼈는데, 왜냐하면 그가 좋아하는 사람에게 물어봤기 때문이다"
55,그는 자신을 인식했다,자아를 발견했다,그는 자신을 인식했다. 따라서 주변사람들은 안도하는 것을 느꼈다,그는 자신을 인식했다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안도하는 것을 느꼈는데, 왜냐하면 그가 자신을 인식했기 때문이다"
56,그는 새 옷을 구입했다,기뻤다,그는 새 옷을 구입했다. 따라서 주변사람들은 신나하는 것을 느꼈다,그는 새 옷을 구입했다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 신선한 것을 느꼈는데, 왜냐하면 그가 새 옷을 구입했기 때문이다"
57,그는 모든 인형을 외웠다,놀랐다,그는 모든 인형을 외웠다. 따라서 주변사람들은 놀랍다는 것을 느꼈다,그는 모든 인형을 외웠다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 놀라워하는 것을 느꼈는데, 왜냐하면 그가 모든 인형을 외웠기 때문이다"
58,그는 훨씬 좋아 보였다,기쁘게 느꼈다,그는 훨씬 좋아 보였다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 훨씬 좋아 보였다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 놀라운 것을 느꼈는데, 왜냐하면 그가 훨씬 좋아 보였기 때문이다"
59,그는 요리하고 싶어 하지 않았다,궁금해했다,그는 요리하고 싶어 하지 않았다. 따라서 주변사람들은 실망하는 것을 느꼈다,그는 요리하고 싶어 하지 않았다. 따라서 주변사람들이 느꼈던 것은 실망하는 것이다,"주변 사람들은 실망하는 것을 느꼈는데, 왜냐하면 그가 요리하고 싶어 하지 않았기 때문이다"
60,그는 새 자전거를 구입했다,기뻐했다,그는 새 자전거를 구입했다. 따라서 주변사람들은 부러워하는 것을 느꼈다,그는 새 자전거를 구입했다. 따라서 주변사람들이 느꼈던 것은 부러워하는 것이다,"주변 사람들은 기뻐하는 것을 느꼈는데, 왜냐하면 그가 새 자전거를 구입했기 때문이다"
61,그는 목줄을 사용했다,주변 사람들은 놀라워했다,그는 목줄을 사용했다. 따라서 주변사람들은 그가 반려동물을 책임지는 것을 느꼈다,그는 목줄을 사용했다. 따라서 주변사람들이 느꼈던 것은 동물을 잘 다루는 것이다,"주변 사람들은 안전한 것을 느꼈는데, 왜냐하면 그가 목줄을 사용했기 때문이다"
62,그는 커피를 주문했다,만족했다,그는 커피를 주문했다. 따라서 주변사람들은 기분이 좋아하는 것을 느꼈다,그는 커피를 주문했다. 따라서 주변사람들이 느꼈던 것은 배가 고프다,"주변 사람들은 기뻐하는 것을 느꼈는데, 왜냐하면 그가 커피를 주문했기 때문이다"
63,그는 태클을 당했다,분노했다,그는 태클을 당했다. 따라서 주변사람들은 불편해하는 것을 느꼈다,그는 태클을 당했다. 따라서 주변사람들이 느꼈던 것은 분노하는 것이다,"주변 사람들은 분노하는 것을 느꼈는데, 왜냐하면 그가 태클을 당했기 때문이다"
64,그는 그녀에게 몸을 기울였다,그의 애정을 느꼈다,그는 그녀에게 몸을 기울였다. 따라서 주변사람들은 그의 관심을 느꼈다,그는 그녀에게 몸을 기울였다. 따라서 주변사람들이 느꼈던 것은 감동받는 것이다,"주변 사람들은 그가 관심을 기울이는 것을 느꼈는데, 왜냐하면 그가 그녀에게 몸을 기울였기 때문이다"
65,그는 오른쪽으로 향했다,주변 사람들은 그의 선택을 이해했다,그는 오른쪽으로 향했다. 따라서 주변사람들은 당황스러운 것을 느꼈다,그는 오른쪽으로 향했다. 따라서 주변사람들이 느꼈던 것은 놀라워하는 것이다,"주변 사람들은 당혹스러운 것을 느꼈는데, 왜냐하면 그가 오른쪽으로 향했기 때문이다"
66,그는 배심원 의무를 위해 소환되었다,부담스러워했다,그는 배심원 의무를 위해 소환되었다. 따라서 주변 사람들은 그가 책임감 있게 행동하는 것을 느꼈다,그는 배심원 의무를 위해 소환되었다. 따라서 주변사람들이 느꼈던 것은 불편한 것이다,"주변 사람들은 부담스러운 것을 느꼈는데, 왜냐하면 그가 배심원 의무를 위해 소환되었기 때문이다"
67,그는 자신을 과시했다,자랑스러워했다,그는 자신을 과시했다. 따라서 주변사람들은 어이없어하는 것을 느꼈다,그는 자신을 과시했다. 따라서 주변사람들이 느꼈던 것은 거만해하는 것이다,"주변 사람들은 자만하는 것을 느꼈는데, 왜냐하면 그가 자신을 과시했기 때문이다"
68,그는 쿠키도 만들었다,놀라웠다,그는 쿠키도 만들었다. 따라서 주변사람들은 달콤한 냄새를 느꼈다,그는 쿠키도 만들었다. 따라서 주변사람들이 느꼈던 것은 깜짝 놀라는 것이다,"주변 사람들은 감동하는 것을 느꼈는데, 왜냐하면 그가 쿠키도 만들었기 때문이다"
69,그는 유치원에 입학했다,부모들은 기쁘게 여겼다,그는 유치원에 입학했다. 따라서 주변사람들은 기뻐하는 것을 느꼈다,그는 유치원에 입학했다. 따라서 주변사람들이 느꼈던 것은 기쁜 것이다,"주변 사람들은 기쁜 것을 느꼈는데, 왜냐하면 그가 유치원에 입학했기 때문이다"
70,그는 구걸하러 갔다,주변 사람들은 안타까워했다,그는 구걸하러 갔다. 따라서 주변사람들은 안타까워하는 것을 느꼈다,그는 구걸하러 갔다. 따라서 주변사람들이 느꼈던 것은 안타까워하는 것이다,"주변 사람들은 안타까운 것을 느꼈는데, 왜냐하면 그가 구걸하러 갔기 때문이다"
71,그는 면도를 중단했다,놀라워했다,그는 면도를 중단했다. 따라서 주변사람들은 그가 생기 있는 것을 느꼈다,그는 면도를 중단했다. 따라서 주변사람들이 느꼈던 것은 깜짝 놀라는 것이다,"주변 사람들은 산만한 것을 느꼈는데, 왜냐하면 그가 면도를 중단했기 때문이다"
72,그는 약속을 잡았다,기대했다,그는 약속을 잡았다. 따라서 주변 사람들은 기대하는 것을 느꼈다,그는 약속을 잡았다. 따라서 주변사람들이 느꼈던 것은 기대하는 것이다,"주변 사람들은 설레는 것을 느꼈는데, 왜냐하면 그가 약속을 잡았기 때문이다"
73,그는 스스로 일을 자초했다,자신을 비난했다,그는 스스로 일을 자초했다. 따라서 주변 사람들은 놀랍는 것을 느꼈다,그는 스스로 일을 자초했다. 따라서 주변사람들이 느꼈던 것은 놀랐다,"주변 사람들은 안타까운 것을 느꼈는데, 왜냐하면 그가 스스로 일을 자초했기 때문이다"
74,그는 방과 후 축구를 했다,즐거워했다,그는 방과 후 축구를 했다. 따라서 주변사람들은 활기찬 것을 느꼈다,그는 방과 후 축구를 했다. 따라서 주변사람들이 느꼈던 것은 즐거워하는 것이다,"주변 사람들은 피곤한 것을 느꼈는데, 왜냐하면 그가 방과 후 축구를 했기 때문이다"
75,그는 그 의미를 설명했다,이해했다,그는 그 의미를 설명했다. 따라서 주변사람들은 이해하는 것을 느꼈다,그는 그 의미를 설명했다. 따라서 주변사람들이 느꼈던 것은 이해하는 것이다,"주변 사람들은 이해하는 것을 느꼈는데, 왜냐하면 그가 그 의미를 설명했기 때문이다"
76,그는 처음 이발을 했다,신선한 기분이 들었다,그는 처음 이발을 했다. 따라서 주변사람들은 신선한 것을 느꼈다,그는 처음 이발을 했다. 따라서 주변사람들이 느꼈던 것은 신선한 것이다,"주변 사람들은 신기한 것을 느꼈는데, 왜냐하면 그가 처음 이발을 했기 때문이다"
77,그는 온몸에 흘리고 있었다,주변 사람들은 놀라웠다,그는 온몸에 흘리고 있었다. 따라서 주변사람들은 불안한 것을 느꼈다,그는 온몸에 흘리고 있었다. 따라서 주변사람들이 느꼈던 것은 걱정스러워하는 것이다,"주변 사람들은 걱정하는 것을 느꼈는데, 왜냐하면 그가 온몸에 흘리고 있었기 때문이다"
78,그는 드디어 도착했다,안도했다,그는 드디어 도착했다. 따라서 주변사람들은 안심하는 것을 느꼈다,그는 드디어 도착했다. 따라서 주변사람들이 느꼈던 것은 안심하는 것이다,"주변 사람들은 안심하는 것을 느꼈는데, 왜냐하면 그가 드디어 도착했기 때문이다"
79,그는 그녀를 죽음으로 이끌었다,충격과 슬픔을 느꼈다,그는 그녀를 죽음으로 이끌었다. 따라서 주변사람들은 충격스러운 것을 느꼈다,그는 그녀를 죽음으로 이끌었다. 따라서 주변사람들이 느꼈던 것은 충격과 슬픔이다,"주변 사람들은 슬픈 것을 느꼈는데, 왜냐하면 그가 그녀를 죽음으로 이끌었기 때문이다"
80,그는 그녀를 만나러 갔다,기대했다,그는 그녀를 만나러 갔다. 따라서 주변사람들은 행복한 것을 느꼈다,그는 그녀를 만나러 갔다. 따라서 주변사람들이 느꼈던 것은 설레는 것이다,"주변 사람들은 설레는 것을 느꼈는데, 왜냐하면 그가 그녀를 만나러 갔기 때문이다"
81,그는 2013년에 캠브리지로 이사했다,새로운 시작을 기대했다,그는 2013년에 캠브리지로 이사했다. 따라서 주변사람들은 새로운 시작을 느끼는 것을 느꼈다,그는 2013년에 캠브리지로 이사했다. 따라서 주변사람들이 느꼈던 것은 새로운 시작을 하는 것이다,"주변 사람들은 새로운 시작을 하는 것을 느꼈는데, 왜냐하면 그가 2013년에 캠브리지로 이사했기 때문이다"
