,input,A,B,B2,B3
19,그는 밤에 잠을 잘 이루지 못했다,불안했다,그는 밤에 잠을 잘 이루지 못했다. 따라서 그는 피곤하고 지친 상태였다는 것을 느꼈다,그는 밤에 잠을 잘 이루지 못했다. 따라서 그가 느꼈던 것은 피곤함과 불안함이었다는 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 밤에 잠을 잘 이루지 못했기 때문이다"
20,그는 새로운 기술을 배웠다,신기하고 흥분했다,그는 새로운 기술을 배웠다. 따라서 그는 자신감이 생겼다는 것을 느꼈다,그는 새로운 기술을 배웠다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신감이 생겼다는 것을 느꼈는데, 왜냐하면 그가 새로운 기술을 배웠기 때문이다"
21,그는 황금알을 낳는 거위를 죽였다,탐욕스러웠다,그는 황금알을 낳는 거위를 죽였다. 따라서 그는 어리둥절했다는 것을 느꼈다,그는 황금알을 낳는 거위를 죽였다. 따라서 그가 느꼈던 것은 탐욕스러웠다는 것이다,"그는 후회했다는 것을 느꼈는데, 왜냐하면 그가 황금알을 낳는 거위를 죽였기 때문이다"
22,그는 대학에 지원했다,기대했다,그는 대학에 지원했다. 따라서 그는 긴장되었다는 것을 느꼈다,그는 대학에 지원했다. 따라서 그가 느꼈던 것은 불안했다는 것이다,"그는 설렘이었다는 것을 느꼈는데, 왜냐하면 그가 대학에 지원했기 때문이다"
23,그는 홀인원을 기록했다,자랑스러웠다,그는 환호를 받았다는 것을 느꼈다,그는 홀인원을 기록했다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신감이 넘쳤다는 것을 느꼈는데, 왜냐하면 그가 홀인원을 기록했기 때문이다"
24,그는 방과 후 친구들과 농구를 했다,즐거웠다,그는 방과 후 친구들과 농구를 했다. 따라서 그는 즐거웠다는 것을 느꼈다,그는 방과 후 친구들과 농구를 했다. 따라서 그가 느꼈던 것은 즐거웠다는 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 방과 후 친구들과 농구를 했기 때문이다"
25,그는 곧 기분이 나아질 겄다,희망적이었다,그는 곧 기분이 나아질 것이라고 믿었다는 것을 느꼈다,그는 곧 기분이 나아질 것이다. 따라서 그가 느꼈던 것은 희망적이었다는 것이다,"그는 희망이 생겼다는 것을 느꼈는데, 왜냐하면 그가 곧 기분이 나아질 겄기 때문이다"
26,그는 커피를 머그잔에 마셨다,편안했다,그는 커피를 머그잔에 마셨다. 따라서 그는 기분이 좋아졌다는 것을 느꼈다,그는 커피를 머그잔에 마셨다. 따라서 그가 느꼈던 것은 활기찬 에너지가 솟아난다는 것이다,"그는 만족했다는 것을 느꼈는데, 왜냐하면 그가 커피를 머그잔에 마셨기 때문이다"
27,그는 엔진을 망가뜨렸다,실망했다,그는 엔진을 망가뜨렸다. 따라서 그는 낭패를 당했다는 것을 느꼈다,그는 엔진을 망가뜨렸다. 따라서 그가 느꼈던 것은 실망스러웠다는 것이다,"그는 후회했다는 것을 느꼈는데, 왜냐하면 그가 엔진을 망가뜨렸기 때문이다"
28,그는 새로운 새끼 고양이를 얻었다,행복했다,그는 새로운 새끼 고양이를 얻었다. 따라서 그는 행복했다는 것을 느꼈다,그는 새로운 새끼 고양이를 얻었다. 따라서 그가 느꼈던 것은 행복했다는 것이다,"그는 행복했다는 것을 느꼈는데, 왜냐하면 그가 새로운 새끼 고양이를 얻었기 때문이다"
29,그는 과거는 과거로 뒀다,과거에 대해 후회하지 않았다,그는 과거는 과거로 뒀다. 따라서 그는 더 이상 걱정하지 않았다는 것을 느꼈다,그는 미래에 대한 희망을 가지고 있었다는 것이다,"그는 자유로웠다는 것을 느꼈는데, 왜냐하면 그가 과거는 과거로 뒀기 때문이다"
30,그는 새 기타를 구입했다,기쁘고 흥분했다,그는 새 기타를 구입했다. 따라서 그는 흥분했다는 것을 느꼈다,그는 새 기타를 구입했다. 따라서 그가 느꼈던 것은 흥분과 설렘이었다는 것이다,"그는 흥분했다는 것을 느꼈는데, 왜냐하면 그가 새 기타를 구입했기 때문이다"
31,그도 노력했다,만족스러웠다,그도 노력했다. 따라서 그는 성취감을 느꼈다,그도 노력했다. 따라서 그가 느꼈던 것은 성취감과 만족감이었다는 것이다,"그는 자신에게 뿌듯했다는 것을 느꼈는데, 왜냐하면 그도 노력했기 때문이다"
32,그는 시간을 가졌다,안도했다,그는 시간을 가졌다. 따라서 그는 안심했다는 것을 느꼈다,그는 시간을 가졌다. 따라서 그가 느꼈던 것은 여유로웠다는 것이다,"그는 여유롭다는 것을 느꼈는데, 왜냐하면 그가 시간을 가졌기 때문이다"
33,그는 애완동물을 허용했다,행복했다,그는 애완동물을 허용했다. 따라서 그는 감사했다는 것을 느꼈다,그는 애완동물을 허용했다. 따라서 그가 느꼈던 것은 기쁨이었다는 것이다,"그는 친근감을 느꼈다는 것을 느꼈는데, 왜냐하면 그가 애완동물을 허용했기 때문이다"
34,그는 휴대폰을 받았다,기쁘고 기대감이 들었다,그는 행복했다는 것을 느꼈다,그는 휴대폰을 받았다. 따라서 그가 느꼈던 것은 감사했다는 것이다,"그는 행복했다는 것을 느꼈는데, 왜냐하면 그가 휴대폰을 받았기 때문이다"
35,그는 C를 받았다,실망했다,그는 C를 받았다. 따라서 그는 실망했다는 것을 느꼈다,그는 C를 받았다. 따라서 그가 느꼈던 것은 실망스러웠다는 것이다,"그는 실망했다는 것을 느꼈는데, 왜냐하면 그가 C를 받았기 때문이다"
36,그는 TV를 구입했다,만족했다,그는 TV를 구입했다. 따라서 그는 흥분했다는 것을 느꼈다,그는 TV를 구입했다. 따라서 그가 느꼈던 것은 흥분했다는 것이다,"그는 흥분했다는 것을 느꼈는데, 왜냐하면 그가 TV를 구입했기 때문이다"
37,그는 다리를 심하게 다쳤다,고통스러웠다,그는 다리를 심하게 다쳤다. 따라서 그는 아픔을 느꼈다,그는 다리를 심하게 다쳤다. 따라서 그가 느꼈던 것은 아프다는 것이다,"그는 아프다는 것을 느꼈는데, 왜냐하면 그가 다리를 심하게 다쳤기 때문이다"
38,그는 그녀의 바지에 오줌을 쌌다,당황스러웠다,그는 그녀의 바지에 오줌을 쌌다. 따라서 그는 창피했다는 것을 느꼈다,그는 그녀의 바지에 오줌을 쌌다. 따라서 그가 느꼈던 것은 당황스러웠다는 것이다,"그는 창피했다는 것을 느꼈는데, 왜냐하면 그가 그녀의 바지에 오줌을 쌌기 때문이다"
39,그는 찾을 수 없었다,실망했다,그는 찾을 수 없었다. 따라서 그는 실망했다는 것을 느꼈다,그는 찾을 수 없었다. 따라서 그가 느꼈던 것은 실망했다는 것이다,"그는 실망했다는 것을 느꼈는데, 왜냐하면 그가 찾을 수 없었기 때문이다"
40,그는 곧 나아질 겄다,희망이 생겼다,그는 곧 나아질 것이라는 것을 느꼈다,그는 곧 나아질 것이라고 믿었다. 따라서 그가 느꼈던 것은 희망적이었다는 것이다,"그는 희망을 느꼈다는 것을 느꼈는데, 왜냐하면 그가 곧 나아질 겄기 때문이다"
41,그는 새 카메라를 구입했다,신났다,그는 새 카메라를 구입했다. 따라서 그는 흥분했다는 것을 느꼈다,그는 새 카메라를 구입했다. 따라서 그가 느꼈던 것은 기뻤다는 것이다,"그는 흥분했다는 것을 느꼈는데, 왜냐하면 그가 새 카메라를 구입했기 때문이다"
42,그는 어젯밤부터 시작했다,피곤했다,그는 어젯밤부터 시작했다. 따라서 그는 피곤했다는 것을 느꼈다,그는 어젯밤부터 시작했다. 따라서 그가 느꼈던 것은 피곤함이었다는 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 어젯밤부터 시작했기 때문이다"
43,그는 강아지를 키우고 싶다고 했다,행복해했다,그는 강아지를 키우고 싶다고 했다. 따라서 그는 책임감을 느꼈다,그는 강아지를 키우고 싶다고 했다. 따라서 그가 느꼈던 것은 행복했다는 것이다,"그는 행복해했다는 것을 느꼈는데, 왜냐하면 그가 강아지를 키우고 싶다고 했기 때문이다"
44,그는 등산했다,자연 속에서 평온함을 느꼈다,그는 등산했다. 따라서 그는 피곤했다는 것을 느꼈다,그는 등산했다. 따라서 그가 느꼈던 것은 체력이 소진되었다는 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 등산했기 때문이다"
45,그는 휴대폰을 가지고 있었다,안심했다,그는 휴대폰을 가지고 있었다. 따라서 그는 연락을 받을 수 있다는 것을 느꼈다,그는 휴대폰을 가지고 있었다. 따라서 그가 느꼈던 것은 연락이 올까봐 기대했다는 것이다,"그는 안심했다는 것을 느꼈는데, 왜냐하면 그가 휴대폰을 가지고 있었기 때문이다"
46,그는 전화 한 통을 받았다,기뻤다,그는 전화 한 통을 받았다. 따라서 그는 놀랐다는 것을 느꼈다,그는 전화 한 통을 받았다. 따라서 그가 느꼈던 것은 놀랐다는 것이다,"그는 놀랐다는 것을 느꼈는데, 왜냐하면 그가 전화 한 통을 받았기 때문이다"
47,그는 더 높이 올라갔다,자신감이 생겼다,그는 더 높이 올라갔다. 따라서 그는 성취감을 느꼈다,그는 더 높이 올라갔다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신감을 느꼈는데, 왜냐하면 그가 더 높이 올라갔기 때문이다"
48,그는 이발이 필요했다,상쾌하고 경쾌했다,그는 이발이 필요했다. 따라서 그는 상쾌했다는 것을 느꼈다,그는 이발이 필요했다. 따라서 그가 느꼈던 것은 머리카락이 너무 길어져 불편했다는 것이다,"그는 불편했다는 것을 느꼈는데, 왜냐하면 그가 이발이 필요했기 때문이다"
49,그는 지갑을 집에 두고 왔다,답변: 당황스러웠다,그는 지갑을 집에 두고 왔다. 따라서 그는 당황스러웠다는 것을 느꼈다,그는 지갑을 집에 두고 왔다. 따라서 그가 느꼈던 것은 당황스러웠다는 것이다,"그는 당황스러웠다는 것을 느꼈는데, 왜냐하면 그가 지갑을 집에 두고 왔기 때문이다"
50,그는 목록을 잊어버렸다,당황스러웠다,그는 목록을 잊어버렸다. 따라서 그는 당황했다는 것을 느꼈다,그는 목록을 잊어버렸다. 따라서 그가 느꼈던 것은 당황스러웠다는 것이다,"그는 당황스러웠다는 것을 느꼈는데, 왜냐하면 그가 목록을 잊어버렸기 때문이다"
51,그는 페이지를 넘겼다,지루했다,그는 페이지를 넘겼다. 따라서 그는 흥분했다는 것을 느꼈다,그는 새로운 시작을 했다는 것이다,"그는 흥분했다는 것을 느꼈는데, 왜냐하면 그가 페이지를 넘겼기 때문이다"
52,그는 도넛도 먹었다,만족했다,그는 도넛도 먹었다. 따라서 그는 당분이 많은 음식을 좋아한다는 것을 느꼈다,그는 도넛도 먹었다. 따라서 그가 느꼈던 것은 배가 부르다는 것이다,"그는 배불했다는 것을 느꼈는데, 왜냐하면 그가 도넛도 먹었기 때문이다"
53,그는 그것을 학교에 가져왔다,불안했다,그는 그것을 학교에 가져왔다. 따라서 그는 자신이 잘못했다는 것을 느꼈다,그는 그것을 학교에 가져왔다. 따라서 그가 느꼈던 것은 자신감이었다는 것이다,"그는 자부심을 느꼈는데, 왜냐하면 그가 그것을 학교에 가져왔기 때문이다"
54,그는 좋아하는 사람에게 물어봤다,긴장하고 떨렸다,그는 좋아하는 사람에게 물어봤다. 따라서 그는 긴장되었다는 것을 느꼈다,그는 좋아하는 사람에게 물어봤다. 따라서 그가 느꼈던 것은 긴장되었다는 것이다,"그는 긴장되었다는 것을 느꼈는데, 왜냐하면 그가 좋아하는 사람에게 물어봤기 때문이다"
55,그는 자신을 인식했다,자아를 발견하고 안도했다,그는 자신을 인식했다. 따라서 그는 안심했다는 것을 느꼈다,그는 자신을 인식했다. 따라서 그가 느꼈던 것은 안정감이 들었다는 것이다,"그는 자신에 대한 존중을 느꼈는데, 왜냐하면 그가 자신을 인식했기 때문이다"
56,그는 새 옷을 구입했다,기분이 좋았다,그는 새 옷을 구입했다. 따라서 그는 자신감이 넘쳤다는 것을 느꼈다,그는 새 옷을 구입했다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신감이 생겼다는 것을 느꼈는데, 왜냐하면 그가 새 옷을 구입했기 때문이다"
57,그는 모든 인형을 외웠다,놀라웠다,그는 모든 인형을 외웠다. 따라서 그는 자신감이 생겼다는 것을 느꼈다,그는 모든 인형을 외웠다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신감을 느꼈는데, 왜냐하면 그가 모든 인형을 외웠기 때문이다"
58,그는 훨씬 좋아 보였다,자신감 있었다,그는 훨씬 좋아 보였다. 따라서 그는 새로운 옷을 입었다는 것을 느꼈다,그는 훨씬 좋아 보였다. 따라서 그가 느꼈던 것은 자신감이 생겼다는 것이다,"그는 자신에 대해 자신감을 느꼈다는 것을 느꼈는데, 왜냐하면 그가 훨씬 좋아 보였기 때문이다"
59,그는 요리하고 싶어 하지 않았다,궁금해하지 않았다,그는 요리하고 싶어 하지 않았다. 따라서 그는 배가 고프다는 것을 느꼈다,그는 요리하고 싶어 하지 않았다. 따라서 그가 느꼈던 것은 귀찮았다는 것이다,"그는 배고프다는 것을 느꼈는데, 왜냐하면 그가 요리하고 싶어 하지 않았기 때문이다"
60,그는 새 자전거를 구입했다,기뻤다,그는 새 자전거를 구입했다. 따라서 그는 흥분했다는 것을 느꼈다,그는 새 자전거를 구입했다. 따라서 그가 느꼈던 것은 흥분이었다는 것이다,"그는 행복했다는 것을 느꼈는데, 왜냐하면 그가 새 자전거를 구입했기 때문이다"
61,그는 목줄을 사용했다,책임감을 느꼈다,그는 목줄을 사용했다. 따라서 그는 안전했다는 것을 느꼈다,그는 목줄을 사용했다. 따라서 그가 느꼈던 것은 자유로웠다는 것이다,"그는 안전했다는 것을 느꼈는데, 왜냐하면 그가 목줄을 사용했기 때문이다"
62,그는 커피를 주문했다,기쁘게 느꼈다,그는 커피를 주문했다. 따라서 그는 기분이 좋아졌다는 것을 느꼈다,그는 커피를 주문했다. 따라서 그가 느꼈던 것은 활기찬 하루를 시작할 수 있을 것이라는 것이다,"그는 활력이 솟았다는 것을 느꼈는데, 왜냐하면 그가 커피를 주문했기 때문이다"
63,그는 태클을 당했다,분노와 불쾌함을 느꼈다,그는 태클을 당했다. 따라서 그는 분노했다는 것을 느꼈다,그는 태클을 당했다. 따라서 그가 느꼈던 것은 분노였다는 것이다,"그는 분노했다는 것을 느꼈는데, 왜냐하면 그가 태클을 당했기 때문이다"
64,그는 그녀에게 몸을 기울였다,사랑을 표현했다,그는 그녀에게 몸을 기울였다. 따라서 그는 진지했다는 것을 느꼈다,그는 그녀에게 몸을 기울였다. 따라서 그가 느꼈던 것은 관심이 있었다는 것이다,"그는 애정을 느꼈는데, 왜냐하면 그가 그녀에게 몸을 기울였기 때문이다"
65,그는 오른쪽으로 향했다,방향을 바꿨다,그는 오른쪽으로 향했다. 따라서 그는 혼란스러웠다는 것을 느꼈다,그는 오른쪽으로 향했다. 따라서 그가 느꼈던 것은 목적지에 가까워진다는 것이다,"그는 혼란스러웠다는 것을 느꼈는데, 왜냐하면 그가 오른쪽으로 향했기 때문이다"
66,그는 배심원 의무를 위해 소환되었다,부담스러웠다,그는 배심원 의무를 위해 소환되었다. 따라서 그는 책임감을 느꼈다,그는 배심원 의무를 위해 소환되었다. 따라서 그가 느꼈던 것은 책임감을 느꼈다는 것이다,"그는 책임감을 느꼈는데, 왜냐하면 그가 배심원 의무를 위해 소환되었기 때문이다"
67,그는 자신을 과시했다,자만심에 차 있었다,그는 자신을 과시했다. 따라서 그는 자만심이었다는 것을 느꼈다,그는 자신을 과시했다. 따라서 그가 느꼈던 것은 자만심이었다는 것이다,"그는 자신에 대한 자부심을 느꼈는데, 왜냐하면 그가 자신을 과시했기 때문이다"
68,그는 쿠키도 만들었다,즐거웠다,그는 쿠키도 만들었다. 따라서 그는 자신감이 있었다는 것을 느꼈다,그는 즐거웠다는 것이다,"그는 행복했다는 것을 느꼈는데, 왜냐하면 그가 쿠키도 만들었기 때문이다"
69,그는 유치원에 입학했다,신나고 기쁘다,그는 유치원에 입학했다. 따라서 그는 설레었다는 것을 느꼈다,그는 유치원에 입학했다. 따라서 그가 느꼈던 것은 설레었다는 것이다,"그는 설레었다는 것을 느꼈는데, 왜냐하면 그가 유치원에 입학했기 때문이다"
70,그는 구걸하러 갔다,부끄러웠다,그는 구걸하러 갔다. 따라서 그는 부끄러웠다는 것을 느꼈다,그는 구걸하러 갔다. 따라서 그가 느꼈던 것은 자존심 상실감이었다는 것이다,"그는 부끄러웠다는 것을 느꼈는데, 왜냐하면 그가 구걸하러 갔기 때문이다"
71,그는 면도를 중단했다,피곤했다,그는 면도를 중단했다. 따라서 그는 부드러움을 느꼈다,그는 면도를 중단했다. 따라서 그가 느꼈던 것은 시간을 절약했다는 것이다,"그는 허전했다는 것을 느꼈는데, 왜냐하면 그가 면도를 중단했기 때문이다"
72,그는 약속을 잡았다,기대했다,그는 약속을 잡았다. 따라서 그는 설레임을 느꼈다,그는 약속을 잡았다. 따라서 그가 느꼈던 것은 기대감이 컸다는 것이다,"그는 기대했다는 것을 느꼈는데, 왜냐하면 그가 약속을 잡았기 때문이다"
73,그는 스스로 일을 자초했다,자신감을 가지고 있었다,그는 스스로 일을 자초했다. 따라서 그는 후회했다는 것을 느꼈다,그는 스스로 일을 자초했다. 따라서 그가 느꼈던 것은 책임감과 안도감이었다는 것이다,"그는 후회했다는 것을 느꼈는데, 왜냐하면 그가 스스로 일을 자초했기 때문이다"
74,그는 방과 후 축구를 했다,즐거웠다,그는 방과 후 축구를 했다. 따라서 그는 피곤했다는 것을 느꼈다,그는 방과 후 축구를 했다. 따라서 그가 느꼈던 것은 피곤했다는 것이다,"그는 피곤했다는 것을 느꼈는데, 왜냐하면 그가 방과 후 축구를 했기 때문이다"
75,그는 그 의미를 설명했다,이해되었다,그는 그 의미를 설명했다. 따라서 그는 이해되었다는 것을 느꼈다,그는 그 의미를 설명했다. 따라서 그가 느꼈던 것은 이해되었다는 것이다,"그는 이해되었다는 것을 느꼈는데, 왜냐하면 그가 그 의미를 설명했기 때문이다"
76,그는 처음 이발을 했다,신기했다,그는 처음 이발을 했다. 따라서 그는 불안했다는 것을 느꼈다,그는 처음 이발을 했다. 따라서 그가 느꼈던 것은 새로운 변화를 경험했다는 것이다,"그는 자신감이 생겼다는 것을 느꼈는데, 왜냐하면 그가 처음 이발을 했기 때문이다"
77,그는 온몸에 흘리고 있었다,창피했다,그는 온몸에 흘리고 있었다. 따라서 그는 냉큼했다는 것을 느꼈다,그는 온몸에 흘리고 있었다. 따라서 그가 느꼈던 것은 부끄러웠다는 것이다,"그는 더운 것을 느꼈는데, 왜냐하면 그가 온몸에 흘리고 있었기 때문이다"
78,그는 드디어 도착했다,안도감을 느꼈다,그는 드디어 도착했다. 따라서 그는 안도되었다는 것을 느꼈다,그는 드디어 도착했다. 따라서 그가 느꼈던 것은 안정감이었다는 것이다,"그는 안도감을 느꼈는데, 왜냐하면 그가 드디어 도착했기 때문이다"
79,그는 그녀를 죽음으로 이끌었다,죄책감에 사로잡혔다,그는 그녀를 죽음으로 이끌었다. 따라서 그는 죄책감을 느꼈다,그는 그녀를 죽음으로 이끌었다. 따라서 그가 느꼈던 것은 죄책감과 후회였다,"그는 죄책감을 느꼈는데, 왜냐하면 그가 그녀를 죽음으로 이끌었기 때문이다"
80,그는 그녀를 만나러 갔다,기대했다,그는 그녀를 만나러 갔다. 따라서 그는 설레임을 느꼈다,그는 그녀를 만나러 갔다. 따라서 그가 느꼈던 것은 설렜다는 것이다,"그는 설레었다는 것을 느꼈는데, 왜냐하면 그가 그녀를 만나러 갔기 때문이다"
81,그는 2013년에 캠브리지로 이사했다,신뢰감이 들었다,그는 2013년에 캠브리지로 이사했다. 따라서 그는 새로운 환경에 대한 호기심을 느꼈다,그는 2013년에 캠브리지로 이사했다. 따라서 그가 느꼈던 것은 새로운 시작의 설렘이었다는 것이다,"그는 새로운 시작을 했다는 것을 느꼈는데, 왜냐하면 그가 2013년에 캠브리지로 이사했기 때문이다"
82,그는 그녀의 턱을 꽉 움켜쥐었다,화가 났다,그는 그녀의 턱을 꽉 움켜쥐었다. 따라서 그는 분노했다는 것을 느꼈다,그는 그녀의 턱을 꽉 움켜쥐었다. 따라서 그가 느꼈던 것은 분노와 불안함이었다는 것이다,"그는 분노했다는 것을 느꼈는데, 왜냐하면 그가 그녀의 턱을 꽉 움켜쥐었기 때문이다"
83,그는 어젯밤 피자를 다 먹었다,배가 부르고 만족했다,그는 어젯밤 피자를 다 먹었다. 따라서 그는 배부르다는 것을 느꼈다,그는 어젯밤 피자를 다 먹었다. 따라서 그가 느꼈던 것은 배가 부르고 만족스러웠다는 것이다,"그는 배부르다는 것을 느꼈는데, 왜냐하면 그가 어젯밤 피자를 다 먹었기 때문이다"
84,그는 고양이 알레르기가 있었다,아쉬웠다,그는 고양이 알레르기가 있었다. 따라서 그는 안타까웠다는 것을 느꼈다,그는 고양이 알레르기가 있었다. 따라서 그가 느꼈던 것은 코가 가렵고 재채기가 나왔다는 것이다,"그는 코가 간지러웠다는 것을 느꼈는데, 왜냐하면 그가 고양이 알레르기가 있었기 때문이다"
85,그는 마침내 먹이를 찾았다,만족했다,그는 마침내 먹이를 찾았다. 따라서 그는 기쁘다는 것을 느꼈다,그는 마침내 먹이를 찾았다. 따라서 그가 느꼈던 것은 안도되었다는 것이다,"그는 안도했다는 것을 느꼈는데, 왜냐하면 그가 마침내 먹이를 찾았기 때문이다"
86,그는 다리를 삐끗했다,고통스러웠다,그는 다리를 삐끗했다. 따라서 그는 아프다는 것을 느꼈다,그는 다리를 삐끗했다. 따라서 그가 느꼈던 것은 아프다는 것이다,"그는 아프다는 것을 느꼈는데, 왜냐하면 그가 다리를 삐끗했기 때문이다"
