,input,A,B
56,그는 새 옷을 구입했다,그는 활기차다,그는 새 옷을 구입했다. 그는 자신있는 사람으로 보인다
57,그는 모든 인형을 외웠다,그는 기억력이 좋다,그는 모든 인형을 외웠다. 그는 기억력이 뛰어난 사람으로 보인다
58,그는 훨씬 좋아 보였다,그는 기분이 좋아 보인다,그는 훨씬 좋아 보였다. 그는 행복한 사람으로 보인다
59,그는 요리하고 싶어 하지 않았다,그는 게으르다,그는 요리하고 싶어 하지 않았다. 그는 게으른 사람으로 보인다
60,그는 새 자전거를 구입했다,그는 쾌활하다,그는 새 자전거를 구입했다. 그는 행복한 사람으로 보인다
61,그는 목줄을 사용했다,그는 개를 키우고 있다,그는 목줄을 사용했다. 그는 반려동물을 키우는 사람으로 보인다
62,그는 커피를 주문했다,그는 활기차다,그는 커피를 주문했다. 그는 졸린 사람으로 보인다
63,그는 태클을 당했다,그는 격렬하게 공격당했다,그는 태클을 당했다. 그는 취약한 사람으로 보인다
64,그는 그녀에게 몸을 기울였다,그는 관심을 가지고 있다,그는 그녀에게 몸을 기울였다. 그는 관대한 사람으로 보인다
65,그는 오른쪽으로 향했다,그는 오른쪽을 좋아하거나 선호한다,그는 오른쪽으로 향했다. 그는 혼란스러운 사람으로 보인다
66,그는 배심원 의무를 위해 소환되었다,그는 사회적 의무감이 강하다,그는 배심원 의무를 위해 소환되었다. 그는 책임감 있는 사람으로 보인다
67,그는 자신을 과시했다,그는 자만심이 강하다,그는 자신을 과시했다. 그는 자만심 많은 사람으로 보인다
68,그는 쿠키도 만들었다,그는 요리를 잘한다,그는 쿠키도 만들었다. 그는 다재다능한 사람으로 보인다
69,그는 유치원에 입학했다,그는 어리다,그는 유치원에 입학했다. 그는 어리석은 사람으로 보인다
70,그는 구걸하러 갔다,그는 가난하다,그는 구걸하러 갔다. 그는 빈곤한 사람으로 보인다
71,그는 면도를 중단했다,그는 귀찮다,그는 면도를 중단했다. 그는 귀찮은 사람으로 보인다
72,그는 약속을 잡았다,그는 사교적이다,그는 약속을 잡았다. 그는 바쁜 사람으로 보인다
73,그는 스스로 일을 자초했다,그는 결단력이 있다,그는 스스로 일을 자초했다. 그는 결단력 있는 사람으로 보인다
74,그는 방과 후 축구를 했다,그는 활동적이다,그는 방과 후 축구를 했다. 그는 활동적인 사람으로 보인다
75,그는 그 의미를 설명했다,그는 명확하다,그는 그 의미를 설명했다. 그는 명확한 사람으로 보인다
76,그는 처음 이발을 했다,그는 경험이 없다,그는 처음 이발을 했다. 그는 신선한 사람으로 보인다
77,그는 온몸에 흘리고 있었다,그는 땀을 흘리고 있다,그는 온몸에 흘리고 있었다. 그는 지루한 사람으로 보인다
78,그는 드디어 도착했다,그는 늦었다,그는 드디어 도착했다. 그는 지친 사람으로 보인다
79,그는 그녀를 죽음으로 이끌었다,그는 무자비하다,그는 그녀를 죽음으로 이끌었다. 그는 무자비한 사람으로 보인다
80,그는 그녀를 만나러 갔다,그는 로맨틱한 사람으로 보인다,그는 그녀를 만나러 갔다. 그는 흥분한 사람으로 보인다
81,그는 2013년에 캠브리지로 이사했다,그는 새로운 시작을 했다,그는 2013년에 캠브리지로 이사했다. 그는 새로운 시작을 하는 사람으로 보인다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 분노에 찬다,그는 그녀의 턱을 꽉 움켜쥐었다. 그는 폭력적인 사람으로 보인다
83,그는 어젯밤 피자를 다 먹었다,그는 배가 고프다,그는 어젯밤 피자를 다 먹었다. 그는 배고픈 사람으로 보인다
84,그는 고양이 알레르기가 있었다,그는 알레르기가 있다,그는 고양이 알레르기가 있었다. 그는 안쓰러운 사람으로 보인다
85,그는 마침내 먹이를 찾았다,그는 만족스럽다,그는 마침내 먹이를 찾았다. 그는 만족한 사람으로 보인다
86,그는 다리를 삐끗했다,그는 취약하다,그는 다리를 삐끗했다. 그는 아픈 사람으로 보인다
87,그는 내 머리를 때렸다,그는 공격적이다,그는 내 머리를 때렸다. 그는 화가 난 사람으로 보인다
88,그는 그녀를 죽이러 갔다,그는 폭력적이다,그는 그녀를 죽이러 갔다. 그는 무자비한 사람으로 보인다
89,그는 제시간에 집에 도착했다,그는 신뢰할 만하다,그는 제시간에 집에 도착했다. 그는 신뢰할 만한 사람으로 보인다
90,그는 저녁을 먹었다,그는 만족스럽다,그는 저녁을 먹었다. 그는 배고픈 사람으로 보인다
91,오늘은 그녀의 마지막 날였다,그는 슬프다,오늘은 그녀의 마지막 날였다. 그는 슬픈 사람으로 보인다
92,그는 그녀가 그럴 거라고 했다,그는 예언가다,그는 그녀가 그럴 거라고 했다. 그는 예언력이 있는 사람으로 보인다
93,그는 수상한 냄새를 맡았다,그는 의심스럽다,그는 수상한 냄새를 맡았다. 그는 의심스러운 사람으로 보인다
94,그는 엄마에게 선물했다,그는 관대하다,그는 엄마에게 선물했다. 그는 다정한 사람으로 보인다
95,그는 금반지를 발견했다,그는 운이 좋다,그는 금반지를 발견했다. 그는 운이 좋은 사람으로 보인다
96,그는 캠프파이어를 시작했다,그는 활동적이다,그는 캠프파이어를 시작했다. 그는 활기찬 사람으로 보인다
97,그는 보고서를 작성했다,그는 철저하다,그는 보고서를 작성했다. 그는 열심히 일하는 사람으로 보인다
98,그는 '펑'하는 소리를 들었다,그는 놀라다,그는 '펑'하는 소리를 들었다. 그는 놀란 사람으로 보인다
99,그는 깜짝퀴즈를 출제했다,그는 재미있는 사람으로 보인다,그는 깜짝퀴즈를 출제했다. 그는 재미있는 사람으로 보인다
100,그는 강아지를 찾았다,그는 친근하다,그는 강아지를 찾았다. 그는 따뜻한 사람으로 보인다
101,그는 고양이를 좋아했다,그는 애완동물을 좋아하다,그는 고양이를 좋아했다. 그는 애완동물을 좋아하는 사람으로 보인다
102,그는 하루 종일 게임을 했다,그는 게으르다,그는 하루 종일 게임을 했다. 그는 게으른 사람으로 보인다
103,그는 나중에 질문했다,그는 소극적이다,그는 나중에 질문했다. 그는 호기심 많은 사람으로 보인다
104,그는 지갑을 돌려받았다,그는 선량하다,그는 지갑을 돌려받았다. 그는 감사한 사람으로 보인다
105,그는 그것을 학교에 가져갔다,그는 열정적이다,그는 그것을 학교에 가져갔다. 그는 책임감 있는 사람으로 보인다
106,그는 무릎을 다쳤다,그는 아픔을 느낀다,그는 무릎을 다쳤다. 그는 아픈 사람으로 보인다
107,그는 갑자기 기억이 났다,그는 갑작스럽다,그는 갑자기 기억이 났다. 그는 깨달은 사람으로 보인다
108,그는 아이와 함께 놀 수 있었다,그는 어린이를 좋아한다,그는 아이와 함께 놀 수 있었다. 그는 친근한 사람으로 보인다
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 당황스럽다,그는 처음에는 어떻게 해야 할지 몰랐다. 그는 주저하는 사람으로 보인다
110,그는 심지어 케이크도 만들었다,그는 열정적이다,그는 심지어 케이크도 만들었다. 그는 다재다능한 사람으로 보인다
111,그는 손을 들었다,그는 질문이 있다,그는 손을 들었다. 그는 관심 있는 사람으로 보인다
112,그는 입을 적셨다,그는 건강에 신경을 쓴다,그는 입을 적셨다. 그는 신중한 사람으로 보인다
113,그는 새 고양이를 입양했다,그는 관대하다,그는 새 고양이를 입양했다. 그는 관대한 사람으로 보인다
114,그는 정리를 잘했다,그는 체계적이다,그는 정리를 잘했다. 그는 체계적인 사람으로 보인다
115,그는 그 높이에서 더 크고 무거워 보였다,그는 위협적으로 보인다,그는 그 높이에서 더 크고 무거워 보였다. 그는 위협적인 사람으로 보인다
116,그는 눈물이 날 지경였다,그는 슬프다,그는 눈물이 날 지경였다. 그는 슬픈 사람으로 보인다
117,그는 놀고 싶지 않아 했다,그는 신중하다,그는 놀고 싶지 않아 했다. 그는 지루한 사람으로 보인다
118,그는 평화롭게 잠을 잤다,그는 안정적이다,그는 평화롭게 잠을 잤다. 그는 안정된 사람으로 보인다
119,그는 종이에 물감을 묻혔다,그는 창의적이다,그는 종이에 물감을 묻혔다. 그는 어설픈 사람으로 보인다
120,그는 칠면조를 넣었다,그는 유머러스하다,그는 칠면조를 넣었다. 그는 요리에 열정적인 사람으로 보인다
121,그는 다시 전화를 받았다,그는 사교적이다,그는 다시 전화를 받았다. 그는 인기 있는 사람으로 보인다
122,그는 눈사람을 만들었다,그는 창의적이다,그는 눈사람을 만들었다. 그는 창의적인 사람으로 보인다
123,그는 결국 쓰러졌다,그는 쇼크에 걸렸다,그는 결국 쓰러졌다. 그는 약한 사람으로 보인다
124,그는 곧 집으로 돌아갔다,그는 집을 그리워한다,그는 곧 집으로 돌아갔다. 그는 보호받는 사람으로 보인다
125,그는 새 보트를 구입했다,그는 부유하다,그는 새 보트를 구입했다. 그는 부유한 사람으로 보인다
126,그는 쇼핑하러 가고 싶다고 했다,그는 소비욕이 강하다,그는 쇼핑하러 가고 싶다고 했다. 그는 소비욕이 강한 사람으로 보인다
127,그는 소파에서 낮잠을 자고 있었다,그는 피곤하다,그는 소파에서 낮잠을 자고 있었다. 그는 피곤한 사람으로 보인다
128,그는 혼자서 저녁을 먹었다,그는 외로워 보인다,그는 혼자서 저녁을 먹었다. 그는 외로운 사람으로 보인다
129,그는 잠이 들었다,그는 피곤하다,그는 잠이 들었다. 그는 피곤한 사람으로 보인다
130,그는 술을 너무 많이 마셨다,그는 취한 모습이다,그는 술을 너무 많이 마셨다. 그는 취한 사람으로 보인다
131,그는 매일 아침 눈을 떴다,그는 생존하다,그는 매일 아침 눈을 떴다. 그는 활기찬 사람으로 보인다
132,그는 그녀의 셔츠 단추를 풀었다,그는 로맨틱하다,그는 그녀의 셔츠 단추를 풀었다. 그는 로맨틱한 사람으로 보인다
133,그는 새 타이어가 필요했다,그는 꾸준하다,그는 새 타이어가 필요했다. 그는 꾸준한 사람으로 보인다
134,그는 자신의 알람을 설정했다,그는 책임감이 있다,그는 자신의 알람을 설정했다. 그는 책임감 있는 사람으로 보인다
135,그는 선택의 폭을 좁혔다,그는 보수적이다,그는 선택의 폭을 좁혔다. 그는 신중한 사람으로 보인다
136,그는 직원을 해고했다,그는 엄격하다,그는 직원을 해고했다. 그는 냉담한 사람으로 보인다
137,그는 발진이 생겼다,그는 건강이 나쁘다,그는 발진이 생겼다. 그는 걱정스러운 사람으로 보인다
138,그는 집에 가서 옷을 갈아입어야 했다,그는 바빠 보인다,그는 집에 가서 옷을 갈아입어야 했다. 그는 바쁜 사람으로 보인다
139,그는 정말 착해 보였다,그는 친절하다,그는 정말 착해 보였다. 그는 친절한 사람으로 보인다
140,그는 알림을 받았다,그는 중요한 정보를 받았다,그는 알림을 받았다. 그는 궁금한 사람으로 보인다
141,그는 아버지와 함께 낚시하러 갔다,그는 가족을 중요하게 생각하는 사람으로 보인다,그는 아버지와 함께 낚시하러 갔다. 그는 가족을 중요시하는 사람으로 보인다
142,그는 아기를 안고 있었다,그는 부모다,그는 아기를 안고 있었다. 그는 책임감 있는 사람으로 보인다
143,그는 기분이 나빠지기 시작했다,그는 우울하다,그는 기분이 나빠지기 시작했다. 그는 우울한 사람으로 보인다
144,그는 새집을 지었다,그는 집을 건설하다,그는 새집을 지었다. 그는 자긍심이 높은 사람으로 보인다
145,그는 새 정장을 구입했다,그는 새로운 시작을 하려는 사람으로 보인다,그는 새 정장을 구입했다. 그는 자신감 넘치는 사람으로 보인다
146,그는 부딪혔다,그는 다치다,그는 부딪혔다. 그는 상처받은 사람으로 보인다
147,그는 퇴근길에 커피를 사서 마셨다,그는 피곤하다,그는 피곤한 사람으로 보인다
148,그는 생일 파티가 있었다,그는 축하받았다,그는 생일 파티가 있었다. 그는 행복한 사람으로 보인다
149,그는 암매장 당했다,그는 불운을 겪다,그는 암매장 당했다. 그는 불운한 사람으로 보인다
150,그는 파트타임으로 일하고 있었다,그는 부업을 하고 있다,그는 파트타임으로 일하고 있었다. 그는 부지런한 사람으로 보인다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그는 자극적이다,그는 자기도 모르게 자신에게 해가 되는 일을 했다. 그는 자극적인 사람으로 보인다
152,그는 이제 자야 했다,그는 피곤하다,그는 이제 자야 했다. 그는 피곤한 사람으로 보인다
153,그는 깁스를 해야 했다,그는 다친 것 같다,그는 깁스를 해야 했다. 그는 다친 사람으로 보인다
154,그는 하루를 시작했다,그는 활기차다,그는 하루를 시작했다. 그는 활기찬 사람으로 보인다
155,그는 새 드레스를 입었다,그는 세련되고 멋있어 보인다,그는 새 드레스를 입었다. 그는 자신있는 사람으로 보인다
156,그는 어느 날 배고픔을 느꼈다,그는 식사를 해야 한다,그는 어느 날 배고픔을 느꼈다. 그는 굶주린 사람으로 보인다
157,그는 새 집으로 이사했다,그는 새로운 시작을 하다,그는 새 집으로 이사했다. 그는 흥분한 사람으로 보인다
158,그는 깁스를 하고 있었다,그는 다친 것 같다,그는 깁스를 하고 있었다. 그는 다친 사람으로 보인다
159,그는 그녀의 어깨를 두드렸다,그는 위로하다,그는 그녀의 어깨를 두드렸다. 그는 친근한 사람으로 보인다
160,그는 양쪽을 동시에 지지했다,그는 중립적이다,그는 양쪽을 동시에 지지했다. 그는 타협적인 사람으로 보인다
161,그는 전봇대에 부딪혔다,그는 불운을 겪었다,그는 전봇대에 부딪혔다. 그는 우둔한 사람으로 보인다
162,그는 그것을 학교에 입고 다녔다,그는 규칙을 준수하는 사람으로 보인다,그는 그것을 학교에 입고 다녔다. 그는 멋진 사람으로 보인다
163,그도 케이크를 먹었다,그는 달콤하다,그도 케이크를 먹었다. 그는 달콤한 사람으로 보인다
164,그는 밤에 잠을 잤다,그는 편안하다,그는 밤에 잠을 잤다. 그는 피곤한 사람으로 보인다
165,그는 팔을 들어 올렸다,그는 인사를 하다,그는 팔을 들어 올렸다. 그는 활동적인 사람으로 보인다
166,그는 실수로 노크를 했다,그는 어리둥절하다,그는 실수로 노크를 했다. 그는 당황한 사람으로 보인다
167,그는 구취가 심했다,그는 개인 위생에 신경을 쓰지 않는다,그는 구취가 심했다. 그는 방심한 사람으로 보인다
168,그는 새로운 일을 시작했다,그는 새로운 도전을 감행하다,그는 새로운 일을 시작했다. 그는 희망찬 사람으로 보인다
169,그는 내비게이션에 도움을 요청했다,그는 방향감각이 없다,그는 내비게이션에 도움을 요청했다. 그는 방향감이 없는 사람으로 보인다
170,그는 총을 들고 목표물을 공격했다,그는 위협적이다,그는 총을 들고 목표물을 공격했다. 그는 위협적인 사람으로 보인다
171,그는 호텔을 찾았다,그는 여행자다,그는 호텔을 찾았다. 그는 피곤한 사람으로 보인다
172,그는 성인이 되었다,그는 책임감이 있다,그는 성인이 되었다. 그는 책임있는 사람으로 보인다
173,그는 자전거를 타고 집으로 돌아갔다,그는 활동적이다,그는 자전거를 타고 집으로 돌아갔다. 그는 활기찬 사람으로 보인다
174,그는 남편에게 문자를 보내었다,그는 소통을 중요시한다,그는 남편에게 문자를 보내었다. 그는 사랑에 빠진 사람으로 보인다
175,그는 전화번호를 교환했다,그는 친근하다,그는 전화번호를 교환했다. 그는 호감이 있는 사람으로 보인다
176,그는 경적을 울렸다,그는 조심스럽다,그는 경적을 울렸다. 그는 거친 사람으로 보인다
177,그는 꽤 멋져 보였다,그는 자신감이 있다,그는 꽤 멋져 보였다. 그는 자신감 있는 사람으로 보인다
178,그는 하루를 마무리했다,그는 만족스럽다,그는 하루를 마무리했다. 그는 피곤한 사람으로 보인다
179,그는 마침내 그녀를 찾았다,그는 끈기 있는 사람으로 보인다,그는 마침내 그녀를 찾았다. 그는 끈질긴 사람으로 보인다
180,그는 데이트를 원했다,그는 사랑을 원하는 사람으로 보인다,그는 데이트를 원했다. 그는 외로운 사람으로 보인다
181,그는 갈등에 휘말렸다,그는 곤혹스럽다,그는 갈등에 휘말렸다. 그는 괴로운 사람으로 보인다
182,그는 팝콘을 먹었다,그는 영화를 즐기는 사람으로 보인다,그는 팝콘을 먹었다. 그는 영화를 보러 온 사람으로 보인다
183,그는 좋아하는 TV 프로그램을 시청했다,그는 즐거워한다,그는 좋아하는 TV 프로그램을 시청했다. 그는 즐거운 사람으로 보인다
184,그는 집에 안전하게 도착했다,그는 안도하다,그는 집에 안전하게 도착했다. 그는 안심한 사람으로 보인다
185,그는 더 나은 직장을 찾았다,그는 야심적이다,그는 더 나은 직장을 찾았다. 그는 포부가 있는 사람으로 보인다
186,그는 현금이 좀 필요했다,그는 긴장되어 있다,그는 현금이 좀 필요했다. 그는 어려운 사람으로 보인다
187,그는 응급실에 가야 했다,그는 위급한 상황에 처했다,그는 응급실에 가야 했다. 그는 위급한 사람으로 보인다
188,그는 치어리더가 되고 싶어 했다,그는 열정적이다,그는 치어리더가 되고 싶어 했다. 그는 열정적인 사람으로 보인다
189,그는 상황파악을 하지 못한 채 놀고 있었다,그는 부주의하다,그는 상황파악을 하지 못한 채 놀고 있었다. 그는 부주의한 사람으로 보인다
190,그는 거부당했다,그는 실망했다,그는 거부당했다. 그는 실망한 사람으로 보인다
191,그는 얼굴을 맞았다,그는 충격을 받았다,그는 얼굴을 맞았다. 그는 분노한 사람으로 보인다
192,그는 상사에게 사과했다,그는 책임감이 있다,그는 상사에게 사과했다. 그는 책임감 있는 사람으로 보인다
193,그는 내일 큰 시험이 있었다,그는 긴장되다,그는 내일 큰 시험이 있었다. 그는 긴장한 사람으로 보인다
194,그는 선풍기를 구입했다,그는 실용적이다,그는 선풍기를 구입했다. 그는 시원한 사람으로 보인다
195,그는 새 옷장을 구입했다,그는 사치스럽다,그는 새 옷장을 구입했다. 그는 자신있는 사람으로 보인다
196,그는 친구들을 초대했다,그는 사교적이다,그는 친구들을 초대했다. 그는 사교적인 사람으로 보인다
197,그는 선물을 받았다,그는 기쁘다,그는 선물을 받았다. 그는 기쁜 사람으로 보인다
198,그는 장난감을 찾았다,그는 호기심이 많다,그는 장난감을 찾았다. 그는 기쁜 사람으로 보인다
199,그는 청소를 도와줬다,그는 친절하다,그는 청소를 도와줬다. 그는 친절한 사람으로 보인다
200,그는 내 부모님께 물어봤다,그는 존중받고 싶다,그는 내 부모님께 물어봤다. 그는 현명한 사람으로 보인다
201,그는 데이트 상대를 찾았다,그는 외로움을 느낀다,그는 데이트 상대를 찾았다. 그는 로맨틱한 사람으로 보인다
202,그는 집에 가야 했다,그는 책임감이 있다,그는 집에 가야 했다. 그는 지루한 사람으로 보인다
203,그는 주스를 엎질렀다,그는 어설프다,그는 주스를 엎질렀다. 그는 어설픈 사람으로 보인다
204,그는 성을 변경했다,그는 자아를 찾고 있다,그는 성을 변경했다. 그는 변화를 추구하는 사람으로 보인다
205,그는 그것을 부모님에게 보여주기도 했다,그는 자랑스럽다,그는 그것을 부모님에게 보여주기도 했다. 그는 자랑스러운 사람으로 보인다
206,그는 환불을 요구했다,그는 불만스럽다,그는 환불을 요구했다. 그는 불만스러운 사람으로 보인다
207,그는 동물원에 사탕을 가져다줬다,그는 관대하다,그는 동물원에 사탕을 가져다줬다. 그는 관대한 사람으로 보인다
208,그는 그녀에게 원하는대로 할 수 있게 했다,그는 유연하다,그는 그녀에게 원하는대로 할 수 있게 했다. 그는 영리한 사람으로 보인다
209,그는 밤에 잠이 들었다,그는 피곤하다,그는 밤에 잠이 들었다. 그는 피곤한 사람으로 보인다
210,그도 그것을 원했다,그는 탐욕스럽다,그도 그것을 원했다. 그는 탐욕스러운 사람으로 보인다
211,그는 소총을 발사했다,그는 위험하다,그는 소총을 발사했다. 그는 위협적인 사람으로 보인다
212,그는 체중이 줄었다,그는 건강하다,그는 체중이 줄었다. 그는 건강한 사람으로 보인다
213,그는 목이 아파했다,그는 아픔을 느낀다,그는 목이 아파했다. 그는 불편한 사람으로 보인다
214,그는 쩝쩝거리는 소리를 내었다,그는 귀엽다,그는 쩝쩝거리는 소리를 내었다. 그는 귀찮은 사람으로 보인다
215,그는 스스로를 기록했다,그는 자기 중심적이다,그는 스스로를 기록했다. 그는 자기 중심적인 사람으로 보인다
216,그는 자신에 대해 매우 화가 나 있었다,그는 분노에 찬다,그는 자신에 대해 매우 화가 나 있었다. 그는 분노한 사람으로 보인다
217,그는 이제 시작해야 했다,그는 결심하다,그는 이제 시작해야 했다. 그는 결심있는 사람으로 보인다
218,그는 열쇠를 잊어버렸다,그는 망각력이 좋지 않다,그는 열쇠를 잊어버렸다. 그는 망각력이 나쁜 사람으로 보인다
219,그는 오늘이 첫날였다,그는 설레다,그는 오늘이 첫날였다. 그는 신선한 사람으로 보인다
220,그는 차를 엎질렀다,그는 충분히 조심하지 않았다,그는 차를 엎질렀다. 그는 충격을 받은 사람으로 보인다
221,그는 이유를 설명했다,그는 설명적이다,그는 이유를 설명했다. 그는 이해심 있는 사람으로 보인다
222,그는 휴가를 시작했다,그는 피곤하다,그는 행복한 사람으로 보인다
223,그는 여자친구와 결혼했다,그는 행복해 보인다,그는 여자친구와 결혼했다. 그는 행복한 사람으로 보인다
224,그는 새로운 사람들을 만났다,그는 사교적이다,그는 새로운 사람들을 만났다. 그는 호기심 많은 사람으로 보인다
