,input,A,B,B2
16,그는 마침내 선택했다,그는 결정을 내리다,그는 마침내 선택했다. 이는 모든 옵션을 고려하기 전에 일어났다,그는 마침내 선택했다. 그 후에 새로운 길을 향해 걸어갔다
17,그는 너무 심하게 다쳤다,그는 병원으로 옮겨져 치료를 받다,그는 너무 심하게 다쳤다. 이는 응급실에 가기 전에 일어났다,그는 병원으로 실려갔다
18,그는 몸이 아프기 시작했다,그는 병원에 가서 진찰을 받다,그는 몸이 아프기 시작했다. 이는 의사를 찾아가기 전에 일어났다,그는 병원에 갔다. 그 후에 의사의 진단을 받았다
19,그는 밤에 잠을 잘 이루지 못했다,그는 다음 날 피곤하고 기분이 안 좋았다,그는 밤에 잠을 잘 이루지 못했다. 이는 그가 다음날 일찍 일어나야 했기 때문에 일어났다,그는 다음날 일에 집중하기 어려워졌다
20,그는 새로운 기술을 배웠다,그는 새로운 직업을 얻다,그는 새로운 기술을 배웠다. 이는 그가 새로운 직장에 입사하기 전에 일어났다,그는 새로운 기술을 배웠다. 그 후에 그는 새로운 직장을 찾았다
21,그는 황금알을 낳는 거위를 죽였다,그는 재산을 잃다,그는 황금알을 낳는 거위를 죽였다. 이는 부자가 되기 전에 일어났다,그는 황금알을 낳는 거위를 죽였다. 그 후에 그는 큰 실수를 저질렀다
22,그는 대학에 지원했다,그는 합격했다,그는 대학에 지원했다. 이는 꿈을 이루기 전에 일어났다,그는 대학에 지원했다. 그 후에 합격통지를 받았다
23,그는 홀인원을 기록했다,그는 골프 대회에서 우승하다,그는 홀인원을 기록했다. 이는 그가 골프장을 나오기 전에 일어났다,그는 친구들과 함께 축하 파티를 열었다
24,그는 방과 후 친구들과 농구를 했다,그는 승리한 팀으로부터 박수를 받다,그는 방과 후 친구들과 농구를 했다. 이는 그가 집으로 돌아가기 전에 일어났다,그는 방과 후 친구들과 농구를 했다. 그 후에 그들은 함께 피자를 먹었다
25,그는 곧 기분이 나아질 겄다,그는 긍정적으로 생각하다,그는 곧 기분이 나아질 것이다. 이는 그가 긍정적인 마음가짐을 갖기 전에 일어났다,그는 긍정적으로 생각했다. 그 후에 모든 것이 조금씩 나아졌다
26,그는 커피를 머그잔에 마셨다,그는 손가락을 데다 뜨리다,그는 커피를 머그잔에 마셨다. 이는 그가 일어나기 전에 일어났다,그는 커피를 머그잔에 마셨다. 그 후에 그는 신선한 아침을 맞이했다
27,그는 엔진을 망가뜨렸다,그는 차를 수리하러 가다,그는 엔진을 망가뜨렸다. 이는 정기적인 점검을 받지 않기 전에 일어났다,그는 엔진을 망가뜨렸다. 그 후에 그는 차를 수리하기 위해 자동차 공장으로 갔다
28,그는 새로운 새끼 고양이를 얻었다,그는 새로운 반려동물을 키우기 시작했다,그는 새로운 새끼 고양이를 얻었다. 이는 그가 동물 보호소에 가기 전에 일어났다,그는 새로운 새끼 고양이를 얻었다. 그 후에 그의 집은 더 활기찬 분위기가 되었다
29,그는 과거는 과거로 뒀다,그는 새로운 시작을 했다,그는 과거는 과거로 뒀다. 이는 새로운 시작을 하기 전에 일어났다,그는 현재에 집중하기로 했다
30,그는 새 기타를 구입했다,그는 연주 실력을 향상시키다,그는 새 기타를 구입했다. 이는 그가 연주회에 참여하기 전에 일어났다,그는 새 기타를 연주하며 친구들과 함께 신나는 시간을 보냈다
31,그도 노력했다,결과적으로 실패하다,그도 노력했다. 이는 그가 성공하기 전에 일어났다,그도 노력했다. 그 후에 성공을 거두었다
32,그는 시간을 가졌다,그는 자신의 선택을 신중히 고려하다,그는 시간을 가졌다. 이는 그가 결정을 내리기 전에 일어났다,그는 시간을 가졌다. 그 후에 그는 결정을 내리기로 했다
33,그는 애완동물을 허용했다,그는 강아지를 입양하다,그는 애완동물을 허용했다. 이는 아파트 규정을 확인하기 전에 일어났다,그는 애완동물을 입양했다. 그 후에 집안이 활기를 띤다
34,그는 휴대폰을 받았다,그는 친구와 연락하다,그는 휴대폰을 받았다. 이는 그가 출발하기 전에 일어났다,그는 휴대폰을 받았다. 그 후에 그는 친구에게 전화를 걸었다
35,그는 C를 받았다,그는 부모님에게 혼나다,그는 C를 받았다. 이는 그가 시험을 더 열심히 공부하지 않기 전에 일어났다,그는 선생님을 만나서 성적 향상을 위한 계획을 세웠다
36,그는 TV를 구입했다,그는 매일 밤 TV를 시청하다,그는 TV를 구입했다. 이는 큰 축제가 시작되기 전에 일어났다,그는 TV를 구입했다. 그 후에 집에서 영화를 즐겼다
37,그는 다리를 심하게 다쳤다,그는 수술을 받다,그는 다리를 심하게 다쳤다. 이는 그가 스포츠를 하기 전에 일어났다,그는 수술을 받아 회복했다
38,그는 그녀의 바지에 오줌을 쌌다,그는 당황해서 사과했다,그는 그녀의 바지에 오줌을 쌌다. 이는 화장실에 가기 전에 일어났다,그는 그녀에게 사과하고 새로운 바지를 사 주었다
39,그는 찾을 수 없었다,그의 신원이 확인되지 않았다,그는 찾을 수 없었다. 이는 그가 집을 나서기 전에 일어났다,그는 찾을 수 없었다. 그 후에 그의 가족들은 실종 신고를 했다
40,그는 곧 나아질 겄다,그는 회복하다,그는 곧 나아질 겄다. 이는 의사와 상담하기 전에 일어났다,그는 곧 나아질 겄다. 그 후에 회복되어 다시 일상생활을 할 수 있었다
41,그는 새 카메라를 구입했다,그는 사진을 찍으러 나가다,그는 새 카메라를 구입했다. 이는 그가 휴가로 여행을 가기 전에 일어났다,그는 새로운 취미로 사진을 찍기 시작했다
42,그는 어젯밤부터 시작했다,그는 아침에 피곤하다,그는 어젯밤부터 시작했다. 이는 그가 새로운 취미를 찾기 전에 일어났다,그는 어젯밤부터 시작했다. 그 후에 그는 아침까지 새벽까지 일을 했다
43,그는 강아지를 키우고 싶다고 했다,그는 동물 보호소에서 강아지를 입양하다,그는 강아지를 키우고 싶다고 했다. 이는 그가 동물 보호소에 가기 전에 일어났다,그는 동물 보호소에서 강아지를 입양했다
44,그는 등산했다,그는 정상에 도달했다,그는 등산했다. 이는 그가 산 꼭대기에서 일출을 보기 전에 일어났다,그는 정상에 도달했다. 그 후에 아름다운 풍경을 감상했다
45,그는 휴대폰을 가지고 있었다,그는 친구와 연락하다,그는 휴대폰을 가지고 있었다. 이는 그가 집을 나서기 전에 일어났다,그는 휴대폰을 가지고 있었다. 그 후에 친구에게 전화를 걸었다
46,그는 전화 한 통을 받았다,그는 긴장하다,그는 전화 한 통을 받았다. 이는 그가 집을 나서기 전에 일어났다,그는 전화 한 통을 받았다. 그 후에 그는 긴장한 표정으로 전화했다
47,그는 더 높이 올라갔다,그는 멋진 전망을 감상하다,그는 더 높이 올라갔다. 이는 그가 산 정상에 도착하기 전에 일어났다,그는 높이서 새로운 전망을 감상했다
48,그는 이발이 필요했다,그는 이발소에 가서 머리를 자르다,그는 이발이 필요했다. 이는 머리가 너무 길어지기 전에 일어났다,그는 이발이 필요했다. 그 후에 그는 미용실을 찾아갔다
49,그는 지갑을 집에 두고 왔다,그는 돈을 빌리다,그는 지갑을 집에 두고 왔다. 이는 외출하기 전에 일어났다,그는 지갑을 집에 두고 왔다. 그 후에 그는 현금이 없어서 식당에서 결제할 수 없었다
50,그는 목록을 잊어버렸다,그는 또 다시 가게로 돌아가다,그는 목록을 잊어버렸다. 이는 쇼핑을 시작하기 전에 일어났다,그는 목록을 잊어버렸다. 그 후에 다시 집에 돌아가서 목록을 확인했다
51,그는 페이지를 넘겼다,그는 새로운 장을 시작하다,그는 페이지를 넘겼다. 이는 그가 이야기의 결말을 알기 전에 일어났다,그는 다음 장면이 흥미로웠다
52,그는 도넛도 먹었다,그는 속이 더부룩해지다,그는 도넛도 먹었다. 이는 그가 다이어트를 시작하기 전에 일어났다,그는 다음날 살이 찌었다
53,그는 그것을 학교에 가져왔다,그는 선생님에게 혼나다,그는 그것을 학교에 가져왔다. 이는 그가 집을 나서기 전에 일어났다,그는 선생님에게 혼이 났다
54,그는 좋아하는 사람에게 물어봤다,그는 거절당했다,그는 좋아하는 사람에게 물어봤다. 이는 그가 결정을 내리기 전에 일어났다,그는 좋아하는 사람에게 물어봤다. 그 후에 그는 긍정적인 답변을 받았다
55,그는 자신을 인식했다,그는 자기 자신을 받아들이다,그는 자신을 인식했다. 이는 그가 다른 사람의 평가에 의존하지 않기 전에 일어났다,그는 자신을 인식했다. 그 후에 자기 자신을 받아들였다
56,그는 새 옷을 구입했다,그는 자신을 더욱 자신있게 표현하다,그는 새 옷을 구입했다. 이는 그가 친구의 결혼식에 참석하기 전에 일어났다,그는 새 옷을 입고 친구들과 만나기로 했다
57,그는 모든 인형을 외웠다,그는 인형을 모두 정리하다,그는 모든 인형을 외웠다. 이는 그가 공연을 시작하기 전에 일어났다,그는 모든 인형을 외웠다. 그 후에 그는 인형극을 연기했다
58,그는 훨씬 좋아 보였다,그는 최근에 다이어트를 시작했다,그는 헤어스타일을 바꾸기 전에 일어났다,그는 헤어스타일을 바꿨다. 그 후에 더 멋있어 보였다
59,그는 요리하고 싶어 하지 않았다,그는 배달 음식을 시켰다,그는 요리하고 싶어 하지 않았다. 이는 그가 배달 음식을 시키기 전에 일어났다,그는 요리하고 싶어 하지 않았다. 그 후에 그는 배달 음식을 시켰다
60,그는 새 자전거를 구입했다,그는 새로운 자전거를 타고 동네를 돌아다니다,그는 새 자전거를 구입했다. 이는 그가 자전거를 훔쳐가기 전에 일어났다,그는 새 자전거를 구입했다. 그 후에 그는 주변을 탐험하기 시작했다
61,그는 목줄을 사용했다,그는 개를 산책시키다,그는 목줄을 사용했다. 이는 그가 개를 산책시키기 전에 일어났다,그는 강아지를 산책시켰다. 그 후에 강아지는 자유롭게 뛰어다닐 수 있었다
62,그는 커피를 주문했다,그는 커피를 마시러 앉았다,그는 커피를 주문했다. 이는 그가 일어나서 하루를 시작하기 전에 일어났다,그는 커피를 주문했다. 그 후에 친구와 만나기로 했다
63,그는 태클을 당했다,그는 경기장에서 쓰러졌다,그는 태클을 당했다. 이는 그가 골을 넣기 전에 일어났다,그는 상대방에게 보복하지 않았다. 그 후에 경기를 계속했다
64,그는 그녀에게 몸을 기울였다,그녀는 그를 거부했다,그는 그녀에게 몸을 기울였다. 이는 그가 그녀를 구해주기 전에 일어났다,그는 그녀에게 몸을 기울였다. 그 후에 그녀는 감동했다
65,그는 오른쪽으로 향했다,그는 목적지에 도착하다,그는 오른쪽으로 향했다. 이는 왼쪽으로 가기 전에 일어났다,그는 오른쪽으로 향했다. 그 후에 그는 목적지에 도착했다
66,그는 배심원 의무를 위해 소환되었다,그는 재판에 참여하다,그는 배심원 의무를 위해 소환되었다. 이는 그가 법정에 출석하기 전에 일어났다,그는 법정에서 재판에 참여했다. 그 후에 유죄 판결이 내려졌다
67,그는 자신을 과시했다,그는 자만심을 갖다,그는 자신을 과시했다. 이는 다른 사람이 그의 자질을 인정하기 전에 일어났다,그는 주변으로부터 칭찬을 받았다
68,그는 쿠키도 만들었다,그는 쿠키를 먹었다,그는 쿠키도 만들었다. 이는 그가 디저트를 먹기 전에 일어났다,그는 쿠키도 만들었다. 그 후에 그녀와 함께 커피를 마셨다
69,그는 유치원에 입학했다,그는 새로운 친구들을 사귀다,그는 유치원에 입학했다. 이는 그가 학교 생활을 시작하기 전에 일어났다,그는 새로운 친구들을 사귀기 시작했다
70,그는 구걸하러 갔다,그는 돈을 받다,그는 구걸하러 갔다. 이는 그가 배고프기 전에 일어났다,그는 구걸하러 갔다. 그 후에 돈을 받고 집으로 돌아왔다
71,그는 면도를 중단했다,그는 수염을 기르기 시작했다,그는 면도를 중단했다. 이는 그가 수염을 자라게 하기 전에 일어났다,그는 수염이 자랐다
72,그는 약속을 잡았다,그는 그 사람과 만나서 대화를 나누다,그는 약속을 잡았다. 이는 그가 다른 일정이 생기기 전에 일어났다,그는 약속을 잡았다. 그 후에 그는 친구와 만나기로 했다
73,그는 스스로 일을 자초했다,그는 새로운 시작을 하다,그는 스스로 일을 자초했다. 이는 그가 회사를 그만두기 전에 일어났다,그는 스스로 일을 자초했다. 그 후에 다른 분야에서 새로운 직업을 찾았다
74,그는 방과 후 축구를 했다,그는 축구팀의 주장이 되다,그는 방과 후 축구를 했다. 이는 그가 집으로 돌아가기 전에 일어났다,그는 방과 후 축구를 했다. 그 후에 그는 친구들과 함께 피자를 먹었다
75,그는 그 의미를 설명했다,그는 모두가 이해할 수 있도록 자세히 설명했다,그는 그 의미를 설명했다. 이는 모두가 혼란스러워하기 전에 일어났다,그는 그 의미를 설명했다. 그 후에 모두가 이해했다
76,그는 처음 이발을 했다,그는 머리를 깎다,그는 처음 이발을 했다. 이는 그가 머리를 길게 기르기 전에 일어났다,그는 처음 이발을 했다. 그 후에 머리가 시원해졌다
77,그는 온몸에 흘리고 있었다,그는 의사에게 치료를 받다,그는 온몸에 흘리고 있었다. 이는 그가 샤워하기 전에 일어났다,그는 즉시 병원으로 이동했다
78,그는 드디어 도착했다,그는 여행을 마치다,그는 드디어 도착했다. 이는 그가 여행을 시작하기 전에 일어났다,그는 피곤해서 바로 잠들었다
79,그는 그녀를 죽음으로 이끌었다,그는 범죄 혐의로 체포되었다,그는 그녀를 죽음으로 이끌었다. 이는 그가 자신의 속마음을 털어놓기 전에 일어났다,그는 그녀를 죽음으로 이끌었다. 그 후에 자신의 삶은 영원히 변했다
80,그는 그녀를 만나러 갔다,그녀와 데이트하다,그는 그녀를 만나러 갔다. 이는 그가 먼저 연락하기 전에 일어났다,그는 그녀를 만나러 갔다. 그 후에 그녀와 함께 저녁을 먹었다
81,그는 2013년에 캠브리지로 이사했다,그는 새로운 직장을 찾기 시작했다,그는 2013년에 캠브리지로 이사했다. 이는 그가 대학원 학위를 마치기 전에 일어났다,그는 새로운 직장을 찾았고 영국에서의 생활을 시작했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그녀는 아프다고 소리쳤다,그는 그녀의 턱을 꽉 움켜쥐었다. 이는 그가 자제력을 잃기 전에 일어났다,그는 그녀의 턱을 꽉 움켜쥐었다. 그 후에 그녀는 울음을 터뜨렸다
83,그는 어젯밤 피자를 다 먹었다,그는 배가 아프다,그는 어젯밤 피자를 다 먹었다. 이는 그가 배가 부르기 전에 일어났다,그는 배가 아프기 시작했다
84,그는 고양이 알레르기가 있었다,그는 고양이를 키우지 않다,그는 고양이 알레르기가 있었다. 이는 그가 고양이를 입양하기 전에 일어났다,그는 알러지 반응을 보였다. 그 후에 그는 고양이와 함께 지내기 힘들어했다
85,그는 마침내 먹이를 찾았다,그는 배가 고파서 먹이를 먹다,그는 마침내 먹이를 찾았다. 이는 그가 굶주리기 전에 일어났다,그는 마침내 먹이를 찾았다. 그 후에 그의 배가 고팠던 것을 잊었다
86,그는 다리를 삐끗했다,그는 병원에 가서 다리를 처치받다,그는 다리를 삐끗했다. 이는 축구 경기를 시작하기 전에 일어났다,그는 다리를 삐끗했다. 그 후에 그는 병원에 신속히 이송되었다
87,그는 내 머리를 때렸다,그는 사과하다,그는 내 머리를 때렸다. 이는 그가 실수로 나를 인식하지 못한 것을 깨닫기 전에 일어났다,그는 내게 사과했다. 그 후에 우리는 서로를 용서했다
88,그는 그녀를 죽이러 갔다,그는 범죄자로 체포되다,그는 그녀를 죽이러 갔다. 이는 그가 자신의 본능을 억제하지 못한 것이기 전에 일어났다,그는 그녀를 죽이러 갔다. 그 후에 그는 경찰에 체포되었다
89,그는 제시간에 집에 도착했다,그는 안전하게 집에 도착했다,그는 제시간에 집에 도착했다. 이는 그가 교통체증에 빠지기 전에 일어났다,그는 피곤해서 즉시 침대에 누웠다
90,그는 저녁을 먹었다,그는 TV를 보다,그는 저녁을 먹었다. 이는 그가 운동하기 전에 일어났다,그는 산책을 했다. 그 후에 그는 집으로 돌아갔다
91,오늘은 그녀의 마지막 날였다,그는 그녀에게 작별 인사를 하다,오늘은 그녀의 마지막 날였다. 이는 그가 그녀를 다시 보기 전에 일어났다,오늘은 그녀의 마지막 날이었다. 그 후에 그녀는 이별을 맞았다
92,그는 그녀가 그럴 거라고 했다,그녀가 그를 실망시키다,그는 그녀가 그럴 거라고 했다. 이는 그가 실망할 것을 알기 전에 일어났다,그는 그녀가 그럴 거라고 했다. 그 후에 그녀가 정말로 그렇게 했다
93,그는 수상한 냄새를 맡았다,그는 주변을 살펴보다,그는 수상한 냄새를 맡았다. 이는 그가 음식을 먹기 전에 일어났다,그는 수상한 냄새를 맡았다. 그 후에 그는 주변을 살펴 보았다
94,그는 엄마에게 선물했다,그는 엄마에게 감동적인 표정을 보여주다,그는 엄마에게 선물했다. 이는 그가 엄마의 생일을 잊기 전에 일어났다,그는 엄마에게 감동을 주었다. 그 후에 그녀의 사랑을 받았다
95,그는 금반지를 발견했다,그는 기뻐서 소리를 지르다,그는 금반지를 발견했다. 이는 그가 해변을 떠나기 전에 일어났다,그는 금반지를 발견했다. 그 후에 그는 반지를 주인에게 되돌려주었다
96,그는 캠프파이어를 시작했다,그는 모두에게 이야기를 해 주다,그는 캠프파이어를 시작했다. 이는 그가 어둠이 내리기 전에 일어났다,그는 캠프파이어를 시작했다. 그 후에 친구들과 함께 노래를 부르며 즐거운 시간을 보냈다
97,그는 보고서를 작성했다,그는 보고서를 제출했다,그는 보고서를 작성했다. 이는 마감일이 다가오기 전에 일어났다,그는 보고서를 작성했다. 그 후에 상사로부터 칭찬을 받았다
98,그는 '펑'하는 소리를 들었다,그는 주변을 둘러보다,그는 '펑'하는 소리를 들었다. 이는 그가 폭죽이 터지기 전에 일어났다,그는 '펑'하는 소리를 들었다. 그 후에 주변이 폭발했다
99,그는 깜짝퀴즈를 출제했다,그는 친구들에게 놀라다가 웃음을 자아내다,그는 깜짝퀴즈를 출제했다. 이는 그가 답을 알기 전에 일어났다,그는 학생들이 모두 놀라게 했다. 그 후에 정답을 알려주었다
100,그는 강아지를 찾았다,그는 강아지와 함께 행복한 시간을 보냈다,그는 강아지를 찾았다. 이는 그가 동물 보호소에 가기 전에 일어났다,그는 강아지를 찾았다. 그 후에 그는 동물 보호소에 전화해서 주인을 찾았다
101,그는 고양이를 좋아했다,그는 자신의 집에 고양이를 입양하다,그는 고양이를 좋아했다. 이는 그가 개를 만나기 전에 일어났다,그는 고양이를 입양했다
102,그는 하루 종일 게임을 했다,그는 다음날 피곤하고 지루해하다,그는 하루 종일 게임을 했다. 이는 그가 시험에 떨어지기 전에 일어났다,그는 하루 종일 게임을 했다. 그 후에 그는 눈이 아프고 몸이 뻐근해졌다
103,그는 나중에 질문했다,그는 이미 답을 알고 있었다,그는 나중에 질문했다. 이는 그가 모든 정보를 확인하기 전에 일어났다,그는 나중에 질문했다. 그 후에 답변을 듣기 위해 기다렸다
104,그는 지갑을 돌려받았다,그는 감사의 인사를 전하다,그는 지갑을 돌려받았다. 이는 이미 새로운 것을 사기 전에 일어났다,그는 지갑을 돌려받았다. 그 후에 감사의 인사를 전했다
105,그는 그것을 학교에 가져갔다,그는 선생님에게 보여주다,그는 그것을 학교에 가져갔다. 이는 그가 집을 나서기 전에 일어났다,그는 그것을 학교에 가져갔다. 그 후에 선생님께서 칭찬해 주셨다
106,그는 무릎을 다쳤다,그는 병원에 가서 치료를 받다,그는 무릎을 다쳤다. 이는 축구 경기를 시작하기 전에 일어났다,그는 병원에 갔다
107,그는 갑자기 기억이 났다,그는 장례식장에 가야 한다고 깨달았다,그는 갑자기 기억이 났다. 이는 그가 집을 나서기 전에 일어났다,그는 갑자기 기억이 났다. 그 후에 그는 예전에 잊고 있던 약속을 지켜야 했다
108,그는 아이와 함께 놀 수 있었다,그는 아이와 함께 즐거운 시간을 보냈다,그는 아이와 함께 놀 수 있었다. 이는 그가 일찍 퇴근하기 전에 일어났다,그는 아이와 함께 놀 수 있었다. 그 후에 그는 행복한 시간을 보냈다
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 조언을 구하다,그는 처음에는 어떻게 해야 할지 몰랐다. 이는 그가 조언을 구하기 전에 일어났다,그는 처음에는 어떻게 해야 할지 몰랐다. 그 후에 조언을 구해서 문제를 해결했다
110,그는 심지어 케이크도 만들었다,그는 친구들과 함께 파티를 즐겼다,그는 심지어 케이크도 만들었다. 이는 그가 친구의 생일 파티에 참석하기 전에 일어났다,그는 심지어 케이크도 만들었다. 그 후에 친구들과 함께 파티를 즐겼다
111,그는 손을 들었다,그는 질문에 대한 답변을 하다,그는 손을 들었다. 이는 질문을 하기 전에 일어났다,그는 교수님의 질문에 답했다. 그 후에 수업이 계속되었다
112,그는 입을 적셨다,그는 입이 붓다,그는 입을 적셨다. 이는 그가 식사를 시작하기 전에 일어났다,그는 입을 적셨다. 그 후에 그의 친구들이 모두 놀라서 말없이 있었다
113,그는 새 고양이를 입양했다,그는 새로운 반려동물을 키우기 시작했다,그는 새 고양이를 입양했다. 이는 그가 동물 보호소를 방문하기 전에 일어났다,그는 새 고양이를 키우기 위해 모든 준비를 했다
114,그는 정리를 잘했다,그는 집이 깨끗하다,그는 정리를 잘했다. 이는 손님이 방문하기 전에 일어났다,그는 정리를 잘했다. 그 후에 집이 깔끔해 보였다
115,그는 그 높이에서 더 크고 무거워 보였다,그는 더욱 강인하고 자신감 있어 보였다,그는 그 높이에서 더 크고 무거워 보였다. 이는 그가 몸무게를 잃기 전에 일어났다,그는 그 높이에서 더 크고 무거워 보였다. 그 후에 그는 아래로 내려오면서 작고 가벼워졌다
116,그는 눈물이 날 지경였다,그는 가슴 속의 감정을 털어놓다,그는 눈물이 날 지경였다. 이는 그가 슬픔을 이기기 전에 일어났다,그는 눈물이 날 지경였다. 그 후에 그는 친구에게 위로를 받았다
117,그는 놀고 싶지 않아 했다,그는 집에 머물다,그는 놀고 싶지 않아 했다. 이는 그가 집으로 돌아가기 전에 일어났다,그는 놀고 싶지 않아 했다. 그 후에 그는 집에서 책을 읽기로 결정했다
118,그는 평화롭게 잠을 잤다,그는 다음날 아침에 상쾌하게 일어났다,그는 평화롭게 잠을 잤다. 이는 그가 스트레스를 받기 전에 일어났다,그는 꿈 속에서 모험을 떠나게 되었다
119,그는 종이에 물감을 묻혔다,그는 예술 작품을 만들기 시작했다,그는 종이에 물감을 묻혔다. 이는 그가 그림을 완성하기 전에 일어났다,그는 종이에 물감을 묻혔다. 그 후에 그림이 아름답게 완성되었다
120,그는 칠면조를 넣었다,그는 맛있는 칠면조 요리를 만들었다,그는 칠면조를 넣었다. 이는 그가 오븐을 예열하기 전에 일어났다,그는 칠면조를 넣었다. 그 후에 오븐에서 익혀 완성했다
121,그는 다시 전화를 받았다,그는 좋지 않은 소식을 듣다,그는 다시 전화를 받았다. 이는 그가 집을 나서기 전에 일어났다,그는 다시 전화를 받았다. 그 후에 그는 기뻐서 웃었다
122,그는 눈사람을 만들었다,그는 눈사람을 만들었다,그는 눈사람을 만들었다. 이는 눈이 녹아 없어지기 전에 일어났다,그는 눈사람을 만들었다. 그 후에 눈이 내렸다
123,그는 결국 쓰러졌다,그는 병원으로 옮겨지다,그는 결국 쓰러졌다. 이는 그가 의료진에게 도착하기 전에 일어났다,그는 결국 쓰러졌다. 그 후에 구급차가 도착했다
124,그는 곧 집으로 돌아갔다,그는 열쇠를 깜빡하고 나갔다,그는 곧 집으로 돌아갔다. 이는 비행기가 출발하기 전에 일어났다,그는 곧 집으로 돌아갔다. 그 후에 편안한 옷을 갈아입고 티비를 시청했다
125,그는 새 보트를 구입했다,그는 다음 주말에 호수에 가다,그는 새 보트를 구입했다. 이는 그가 해양운전면허증을 취득하기 전에 일어났다,그는 새 보트를 구입했다. 그 후에 그의 친구들을 초대해 해변으로 나갔다
126,그는 쇼핑하러 가고 싶다고 했다,그는 쇼핑몰로 향하다,그는 쇼핑하러 가고 싶다고 했다. 이는 그가 신규 은행 계좌에 입금하기 전에 일어났다,그는 쇼핑하러 가고 싶다고 했다. 그 후에 친구들과 함께 쇼핑을 하러 나갔다
127,그는 소파에서 낮잠을 자고 있었다,그는 깨어나서 커피를 마시러 갔다,그는 소파에서 낮잠을 자고 있었다. 이는 약속 시간에 늦기 전에 일어났다,그는 상쾌한 기분으로 일어나서 커피를 마셨다
128,그는 혼자서 저녁을 먹었다,그는 조용한 시간을 보내다,그는 혼자서 저녁을 먹었다. 이는 그가 집에 돌아오기 전에 일어났다,그는 혼자서 저녁을 먹었다. 그 후에 그는 TV를 보고 쉬었다
129,그는 잠이 들었다,그는 꿈을 꾸었다,그는 잠이 들었다. 이는 그가 내일의 일을 준비하기 전에 일어났다,그는 꿈 속에서 모험을 떠나게 되었다
