,Head_Eng,Head_raw,lemma_revised,Head_Ko,Rel,Tail_Eng,Tail_raw,Tail_Ko,gleu_score
19,PersonX loses twenty pounds,그는 20파운드를 감량합니다,그는 20파운드를 감량하다,그는 20파운드를 감량했다,xIntent,to look better,더 보기 좋다,더 보기 좋았다,0.1428571428571428
20,PersonX drives two hours,그는 2시간을 운전합니다,그는 2시간을 운전하다,그는 2시간을 운전했다,oReact,glad personx reaches without safely.,그가 무사히 도착해서 다행이다,그가 무사히 도착해서 다행였다,0.2857142857142857
21,PersonX drives two hours,그는 2시간을 운전합니다,그는 2시간을 운전하다,그는 2시간을 운전했다,xIntent,to reach his destination,목적지에 다다르다,목적지에 다달랐다,0.2857142857142857
22,PersonX eats for two,그는 2인분 식사를 합니다,그는 2인분 식사를 하다,그는 2인분 식사를 했다,isAfter,PersonX gets pregnant,임신을 하다,임신을 했다,0.2857142857142857
23,PersonX eats for two,그는 2인분 식사를 합니다,그는 2인분 식사를 하다,그는 2인분 식사를 했다,oReact,satisfied.,만족하다,만족했다,0.2857142857142857
24,PersonX eats for two,그는 2인분 식사를 합니다,그는 2인분 식사를 하다,그는 2인분 식사를 했다,xAttr,ravenous,식탐이 많다,식탐이 많았다,0.2857142857142857
25,PersonX waits a half hour,그는 30분 동안 기다립니다,그는 30분 동안 기다리다,그는 30분 동안 기다렸다,isAfter,PersonX arrives early to an appointment,그는 약속 시간에 일찍 도착하다,그는 약속 시간에 일찍 도착했다,0.1
26,PersonX waits a half hour,그는 30분 동안 기다립니다,그는 30분 동안 기다리다,그는 30분 동안 기다렸다,oWant,to apologize for the wait.,기다리게 해서 미안하다,기다리게 해서 미안했다,0.1
27,PersonX waits a half hour,그는 30분 동안 기다립니다,그는 30분 동안 기다리다,그는 30분 동안 기다렸다,xEffect,gets restless,안절부절못하다,안절부절못했다,0.1
28,PersonX gimmes a five,그는 5점을 줍니다,그는 5점을 주다,그는 5점을 줬다,oWant,to say thanks,고맙다는 인사를 하다,고맙다는 인사를 했다,0.3
29,PersonX is 6 years old,그는 6살입니다,그는 6살이다,그는 6살이었다,xReact,anxious to be 7,7살이 되기를 간절히 원하다,7살이 되기를 간절히 원했다,0.3
30,PersonX rushes to the store,그는 가게로 달려갑니다,그는 가게로 달려가다,그는 가게로 달려갔다,isAfter,PersonX checks the store hours,그는 매장 영업 시간을 확인하다,그는 매장 영업 시간을 확인했다,0.1666666666666667
31,PersonX sets up shop,그는 가게를 차립니다,그는 가게를 차리다,그는 가게를 차렸다,HinderedBy,PersonX doesn't have the seed money.,그는 종자돈이 없다,그는 종자돈이 없었다,0.1666666666666667
32,PersonX sets up shop,그는 가게를 차립니다,그는 가게를 차리다,그는 가게를 차렸다,isBefore,PersonX sells out of lemonade,레모네이드가 다 떨어지다,레모네이드가 다 떨어졌다,0.1666666666666667
33,PersonX sets up shop,그는 가게를 차립니다,그는 가게를 차리다,그는 가게를 차렸다,xWant,to make money,돈을 벌다,돈을 벌었다,0.1666666666666667
34,PersonX sets up shop,그는 가게를 차립니다,그는 가게를 차리다,그는 가게를 차렸다,xNeed,to have money to invest,투자할 돈이 있다,투자할 돈이 있었다,0.1666666666666667
35,PersonX sets up shop,그는 가게를 차립니다,그는 가게를 차리다,그는 가게를 차렸다,xAttr,prepared,준비가 되다,준비가 되었다,0.1666666666666667
36,PersonX hits the gas,그는 가속페달을 밟습니다,그는 가속페달을 밟다,그는 가속페달을 밟았다,HinderedBy,The car is out of gas,차에 기름이 떨어지다,차에 기름이 떨어졌다,0.1
37,PersonX hits the gas,그는 가속페달을 밟습니다,그는 가속페달을 밟다,그는 가속페달을 밟았다,isBefore,PersonX arrives to work early,그는 일찍 출근하다,그는 일찍 출근했다,0.1
38,PersonX hits the gas,그는 가속페달을 밟습니다,그는 가속페달을 밟다,그는 가속페달을 밟았다,xNeed,to have a car,차를 가지고 있다,차를 가지고 있었다,0.1
39,PersonX hits the gas,그는 가속페달을 밟습니다,그는 가속페달을 밟다,그는 가속페달을 밟았다,xEffect,fined,벌금을 물다,벌금을 물었다,0.1
40,PersonX hits the gas,그는 가속페달을 밟습니다,그는 가속페달을 밟다,그는 가속페달을 밟았다,xReact,exhilarated,통쾌하다,통쾌했다,0.1
41,PersonX has the most unruly curly hair,그는 가장 다루기 힘든 곱슬 머리를 가지고 있습니다,그는 가장 다루기 힘든 곱슬 머리를 가지고 있다,그는 가장 다루기 힘든 곱슬 머리를 가지고 있었다,xEffect,becomes stressed,스트레스를 받다,스트레스를 받았다,0.1578947368421053
42,PersonX goes to the zoo with PersonX's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,isBefore,PersonX sees tons of animals,그는 수많은 동물을 보다,그는 수많은 동물을 봤다,0.3846153846153846
43,PersonX goes to the zoo with PersonY's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,oEffect,nostrils curl at fecal smell,배설물 냄새에 콧구멍이 쭈글쭈글하다,배설물 냄새에 콧구멍이 쭈글쭈글했다,0.3846153846153846
44,PersonX goes to the zoo with PersonY's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,xWant,spend time with family,가족과 시간을 보내다,가족과 시간을 보내었다,0.3846153846153846
45,PersonX goes to the zoo with PersonY's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,oReact,happy,행복해하다,행복해했다,0.3846153846153846
46,PersonX goes to the zoo with PersonX's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,xNeed,to get tickets,표를 사다,표를 샀다,0.3846153846153846
47,PersonX goes to the zoo with PersonY's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,xEffect,nostrils curl at fecal smell,배설물 냄새에 콧구멍이 쭈글쭈글하다,배설물 냄새에 콧구멍이 쭈글쭈글했다,0.3846153846153846
48,PersonX goes to the zoo with PersonY's family,그는 가족과 함께 동물원에 갑니다,그는 가족과 함께 동물원에 가다,그는 가족과 함께 동물원에 갔다,xIntent,to spend time with persony's family,가족들과 함께 시간을 보내다,가족들과 함께 시간을 보내었다,0.3846153846153846
49,PersonX spends with PersonY's family,그는 가족과 함께 시간을 보냅니다,그는 가족과 함께 시간을 보내다,그는 가족과 함께 시간을 보냈다,oEffect,meets others,다른 사람들을 만나다,다른 사람들을 만났다,0.3333333333333333
50,PersonX camps with PersonY's family,그는 가족과 함께 캠핑을 합니다,그는 가족과 함께 캠핑을 하다,그는 가족과 함께 캠핑을 했다,oEffect,Smiles,미소짓다,미소지었다,0.1818181818181818
51,PersonX camps with PersonY's family,그는 가족과 함께 캠핑을 합니다,그는 가족과 함께 캠핑을 하다,그는 가족과 함께 캠핑을 했다,xEffect,Smiles,미소 짓다,미소 지었다,0.1818181818181818
52,PersonX goes to the beach with PersonY's family,그는 가족과 함께 해변에 갑니다,그는 가족과 함께 해변에 가다,그는 가족과 함께 해변에 갔다,xIntent,to play in the sand.,모래밭에서 놀다,모래밭에서 놀았다,0.2222222222222222
53,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,HinderedBy,PersonX is in the hospital for pneumonia.,그는 폐렴으로 병원에 입원 중이다,그는 폐렴으로 병원에 입원 중였다,0.2222222222222222
54,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,isBefore,PersonX leaves the lake,그는 호수를 떠나다,그는 호수를 떠났다,0.2222222222222222
55,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,oReact,relaxed,느긋하다,느긋했다,0.2222222222222222
56,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,xNeed,to drive them to the place,그들을 그 장소로 태워다 주다,그들을 그 장소로 태워다 줬다,0.2222222222222222
57,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,xEffect,get's lots of fresh air,신선한 공기를 많이 쐬다,신선한 공기를 많이 쐬었다,0.2222222222222222
58,PersonX is at the lake with PersonX's family,그는 가족과 함께 호수에 있습니다,그는 가족과 함께 호수에 있다,그는 가족과 함께 호수에 있었다,xReact,relaxed,느긋하다,느긋했다,0.2222222222222222
59,PersonX buys gifts for PersonY's family,그는 가족을 위한 선물을 구입합니다,그는 가족을 위한 선물을 구입하다,그는 가족을 위한 선물을 구입했다,oEffect,wants to see what they got,그들이 뭘 얻었는지 보고 싶어하다,그들이 뭘 얻었는지 보고 싶어했다,0.2307692307692308
60,PersonX buys gifts for PersonX's family,그는 가족을 위한 선물을 구입합니다,그는 가족을 위한 선물을 구입하다,그는 가족을 위한 선물을 구입했다,xWant,to maintain relationship,관계를 유지하다,관계를 유지했다,0.2307692307692308
61,PersonX buys gifts for PersonY's family,그는 가족을 위한 선물을 구입합니다,그는 가족을 위한 선물을 구입하다,그는 가족을 위한 선물을 구입했다,xEffect,gets thank you card,감사 카드를 받다,감사 카드를 받았다,0.2307692307692308
62,PersonX expresses PersonX's thanks,그는 감사를 표합니다,그는 감사를 표하다,그는 감사를 표했다,oEffect,makes a new friend,새 친구를 사귀다,새 친구를 사귀었다,0.2
63,PersonX expresses PersonX's gratitude,그는 감사를 표합니다,그는 감사를 표하다,그는 감사를 표했다,oReact,happy to be acknowledged,인정받는 것을 기쁘게 생각하다,인정받는 것을 기쁘게 생각했다,0.2
64,PersonX spends a night in jail,그는 감옥에서 하룻밤을 보냅니다,그는 감옥에서 하룻밤을 보내다,그는 감옥에서 하룻밤을 보냈다,oWant,to get him out,그를 밖으로 보내다,그를 밖으로 보내었다,0.3333333333333333
65,PersonX spends the night in jail,그는 감옥에서 하룻밤을 보냅니다,그는 감옥에서 하룻밤을 보내다,그는 감옥에서 하룻밤을 보냈다,xAttr,misbehaved,품행이 불량하다,품행이 불량했다,0.3333333333333333
66,PersonX spends a night in jail,그는 감옥에서 하룻밤을 보냅니다,그는 감옥에서 하룻밤을 보내다,그는 감옥에서 하룻밤을 보냈다,xReact,ashamed,부끄럽다,부끄러웠다,0.3333333333333333
67,PersonX is sent to prison,그는 감옥으로 보내집니다,그는 감옥으로 보내지다,그는 감옥으로 보내졌다,HinderedBy,PersonX was acquitted in court.,그는 법정에서 무죄 판결을 받다,그는 법정에서 무죄 판결을 받았다,0.1666666666666667
68,PersonX is sent to prison,그는 감옥으로 보내집니다,그는 감옥으로 보내지다,그는 감옥으로 보내졌다,isAfter,PersonX commits a serious crime,그는 심각한 범죄를 저지르다,그는 심각한 범죄를 저질렀다,0.1666666666666667
69,PersonX is sent to prison,그는 감옥으로 보내집니다,그는 감옥으로 보내지다,그는 감옥으로 보내졌다,xWant,to break out of their cell,그의 감방에서 탈출하다,그의 감방에서 탈출했다,0.1666666666666667
70,PersonX is sent to prison,그는 감옥으로 보내집니다,그는 감옥으로 보내지다,그는 감옥으로 보내졌다,xNeed,to go to trial,재판을 받다,재판을 받았다,0.1666666666666667
71,PersonX hugs PersonX's dog,그는 개를 안아줍니다,그는 개를 안아주다,그는 개를 안아줬다,xNeed,to call over the dog,개를 부르다,개를 불렀다,0.2857142857142857
72,PersonX plays a part in the development,그는 개발의 한 축을 담당하고 있습니다,그는 개발의 한 축을 담당하고 있다,그는 개발의 한 축을 담당하고 있었다,HinderedBy,PersonX is being shut out by the others.,그는 다른 사람들에 의해 차단되고 있다,그는 다른 사람들에 의해 차단되고 있었다,0.2333333333333333
73,PersonX plays a part in the development,그는 개발의 한 축을 담당하고 있습니다,그는 개발의 한 축을 담당하고 있다,그는 개발의 한 축을 담당하고 있었다,oEffect,relies on personX,그에 의존하다,그에 의존했다,0.2333333333333333
74,PersonX plays a part in the development,그는 개발의 한 축을 담당하고 있습니다,그는 개발의 한 축을 담당하고 있다,그는 개발의 한 축을 담당하고 있었다,xWant,to be acknowledge for his role,그의 역할을 인정받다,그의 역할을 인정받았다,0.2333333333333333
75,PersonX plays a part in the development,그는 개발의 한 축을 담당하고 있습니다,그는 개발의 한 축을 담당하고 있다,그는 개발의 한 축을 담당하고 있었다,oWant,to discuss with him future plans,그와 앞으로의 계획을 상의하다,그와 앞으로의 계획을 상의했다,0.2333333333333333
76,PersonX plays a part in the development,그는 개발의 한 축을 담당하고 있습니다,그는 개발의 한 축을 담당하고 있다,그는 개발의 한 축을 담당하고 있었다,xNeed,to know the project,그 계획을 알고 있다,그 계획을 알고 있었다,0.2333333333333333
77,PersonX sees a huge spider,그는 거대한 거미를 봅니다,그는 거대한 거미를 보다,그는 거대한 거미를 봤다,xEffect,yells,고함을 지르다,고함을 질렀다,0.3333333333333333
78,PersonX seals the deal,그는 거래를 성사시킵니다,그는 거래를 성사시키다,그는 거래를 성사시켰다,xIntent,to make money,돈을 벌다,돈을 벌었다,0.2
79,PersonX seals the deal,그는 거래를 성사시킵니다,그는 거래를 성사시키다,그는 거래를 성사시켰다,xAttr,successful,성공적이다,성공적이었다,0.2
80,PersonX wanders the streets,그는 거리를 방황합니다,그는 거리를 방황하다,그는 거리를 방황했다,oWant,to wonder what PersonX will do next,다음은 그가 무엇을 할 지 궁금해하다,다음은 그가 무엇을 할 지 궁금해했다,0.2
81,PersonX wanders the streets,그는 거리를 방황합니다,그는 거리를 방황하다,그는 거리를 방황했다,xIntent,to enjoy a new city,신도시를 즐기다,신도시를 즐겼다,0.2
82,PersonX is terrified of spiders,그는 거미를 무서워합니다,그는 거미를 무서워하다,그는 거미를 무서워했다,xReact,annoyed,짜증나다,짜증났다,0.3
83,PersonX helps paint the living room,그는 거실 페인트칠을 돕습니다,그는 거실 페인트칠을 돕다,그는 거실 페인트칠을 도왔다,xIntent,to be helpful,도움이 되다,도움이 되었다,0.2142857142857143
84,PersonX can barely walk,그는 거의 걷지도 못합니다,그는 거의 걷지도 못하다,그는 거의 걷지도 못했다,xNeed,to be drunk,술에 취해 있다,술에 취해 있었다,0.1428571428571428
85,PersonX tells lies,그는 거짓말을 합니다,그는 거짓말을 하다,그는 거짓말을 했다,isBefore,PersonX gets into trouble,그는 곤경에 처하다,그는 곤경에 처했다,0.3
86,PersonX tells lies,그는 거짓말을 합니다,그는 거짓말을 하다,그는 거짓말을 했다,oEffect,avoids them,그를 피하다,그를 피했다,0.3
87,PersonX tells a lie,그는 거짓말을 합니다,그는 거짓말을 하다,그는 거짓말을 했다,oReact,confused,혼란스러워하다,혼란스러워했다,0.3
88,PersonX tells lies,그는 거짓말을 합니다,그는 거짓말을 하다,그는 거짓말을 했다,xIntent,to cover for a mistake,잘못을 덮다,잘못을 덮었다,0.3
89,PersonX eats healthy things,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,HinderedBy,PersonX became addicted to sugar due to his mom's diet,그는 엄마의 식단 때문에 설탕에 중독되다,그는 엄마의 식단 때문에 설탕에 중독되었다,0.3888888888888889
90,PersonX eats healthy things,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,isBefore,PersonX loses weight,그는 체중이 감소하다,그는 체중이 감소했다,0.3888888888888889
91,PersonX eats healthy food,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,isAfter,PersonX gains weight after the holidays,그는 휴일 후에 체중이 증가하다,그는 휴일 후에 체중이 증가했다,0.3888888888888889
92,PersonX eats healthy things,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,xWant,to improve their health,그의 건강을 증진시키다,그의 건강을 증진시켰다,0.3888888888888889
93,PersonX eats healthy things,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,xNeed,to look up healthy foods online,인터넷에서 건강식품을 찾아보다,인터넷에서 건강식품을 찾아봤다,0.3888888888888889
94,PersonX eats healthy things,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,xEffect,loses weight,살이 빠지다,살이 빠졌다,0.3888888888888889
95,PersonX eats something healthy,그는 건강한 음식을 먹습니다,그는 건강한 음식을 먹다,그는 건강한 음식을 먹었다,xIntent,to be healthy,건강하다,건강했다,0.3888888888888889
96,PersonX makes some toast,그는 건배사를 합니다,그는 건배사를 하다,그는 건배사를 했다,xNeed,to get some bread,빵을 사다,빵을 샀다,0.3
97,PersonX hits a snag,그는 걸림돌에 부딪힙니다,그는 걸림돌에 부딪히다,그는 걸림돌에 부딪혔다,xEffect,PersonX goes back to the drawing board,그는 다시 원점으로 돌아가다,그는 다시 원점으로 돌아갔다,0.3
98,PersonX continues PersonY's search,그는 검색을 계속합니다,그는 검색을 계속하다,그는 검색을 계속했다,isAfter,PersonX agrees to help PersonY find a missing person,그는 그녀가 실종자를 찾는 것을 돕기로 동의하다,그는 그녀가 실종자를 찾는 것을 돕기로 동의했다,0.3
99,PersonX continues PersonY's search,그는 검색을 계속합니다,그는 검색을 계속하다,그는 검색을 계속했다,oWant,to take a breath,숨을 돌리다,숨을 돌렸다,0.3
100,PersonX continues PersonX's search,그는 검색을 계속합니다,그는 검색을 계속하다,그는 검색을 계속했다,xIntent,to satisfy their curiosity,호기심을 만족시키다,호기심을 만족시켰다,0.3
101,PersonX continues PersonY's search,그는 검색을 계속합니다,그는 검색을 계속하다,그는 검색을 계속했다,xAttr,concerned,걱정하다,걱정했다,0.3
102,PersonX quits playing,그는 게임을 그만둡니다,그는 게임을 그만두다,그는 게임을 그만뒀다,xWant,try something new,새로운 것을 시도하다,새로운 것을 시도했다,0.3
103,PersonX parties hardy,그는 격렬하게 파티를 즐깁니다,그는 격렬하게 파티를 즐기다,그는 격렬하게 파티를 즐겼다,isBefore,PersonX regrets it the next day,그는 다음날 후회하다,그는 다음날 후회했다,0.2142857142857143
104,PersonX parties hardy,그는 격렬하게 파티를 즐깁니다,그는 격렬하게 파티를 즐기다,그는 격렬하게 파티를 즐겼다,isAfter,PersonX is going to a frat party,그는 사교 클럽 파티에 가다,그는 사교 클럽 파티에 갔다,0.2142857142857143
105,PersonX is happy with the results,그는 결과에 만족하고 있습니다,그는 결과에 만족하고 있다,그는 결과에 만족하고 있었다,HinderedBy,PersonX is a perfectionist.,그는 완벽주의자이다,그는 완벽주의자였다,0.3888888888888889
106,PersonX is happy with the results,그는 결과에 만족하고 있습니다,그는 결과에 만족하고 있다,그는 결과에 만족하고 있었다,xWant,to shout for joy,환희의 소리를 지르다,환희의 소리를 질렀다,0.3888888888888889
107,PersonX eventually ran,그는 결국 도망쳤습니다,그는 결국 도망치다,그는 결국 도망쳤다,oWant,to catch PersonX,그를 잡다,그를 잡았다,0.3333333333333333
108,PersonX eventually got fed up,그는 결국 지쳤습니다,그는 결국 지치다,그는 결국 지쳤다,oReact,worried,걱정스럽다,걱정스럽었다,0.3333333333333333
109,PersonX eventually got fed up,그는 결국 지쳤습니다,그는 결국 지치다,그는 결국 지쳤다,xEffect,retaliated,보복했다,보복했었다,0.3333333333333333
110,PersonX never followed,그는 결코 따라가지 않았습니다,그는 결코 따라가지 않다,그는 결코 따라가지 않았다,oWant,to convince him,그를 설득하다,그를 설득했다,0.3333333333333333
111,PersonX never followed,그는 결코 따라가지 않았습니다,그는 결코 따라가지 않다,그는 결코 따라가지 않았다,xAttr,independent,독립적이다,독립적이었다,0.3333333333333333
112,PersonX never forgot,그는 결코 잊지 않았습니다,그는 결코 잊지 않다,그는 결코 잊지 않았다,oWant,to praise him,그를 칭찬하다,그를 칭찬했다,0.3333333333333333
113,PersonX never got along,그는 결코 잘 지내지 못했습니다,그는 결코 잘 지내지 못하다,그는 결코 잘 지내지 못했다,xWant,to find some friends,친구를 찾다,친구를 찾았다,0.2222222222222222
114,PersonX never got along,그는 결코 잘 지내지 못했습니다,그는 결코 잘 지내지 못하다,그는 결코 잘 지내지 못했다,oReact,sad,슬퍼하다,슬퍼했다,0.2222222222222222
115,PersonX lets PersonY go with a warning,그는 경고와 함께 그녀를 보내주었습니다,그는 경고와 함께 그녀를 보내주다,그는 경고와 함께 그녀를 보내줬다,HinderedBy,PersonY is a repeat offender.,그녀는 상습 범죄자이다,그녀는 상습 범죄자였다,0.3
116,PersonX lets PersonY go with a warning,그는 경고와 함께 그녀를 보내주었습니다,그는 경고와 함께 그녀를 보내주다,그는 경고와 함께 그녀를 보내줬다,xWant,to patrol a different area,다른 지역을 순찰하다,다른 지역을 순찰했다,0.3
117,PersonX makes a career,그는 경력을 쌓습니다,그는 경력을 쌓다,그는 경력을 쌓았다,isBefore,PersonX becomes an expert in their field,해당 분야의 전문가가 되다,해당 분야의 전문가가 되었다,0.3
118,PersonX becomes a police officer,그는 경찰관이 됩니다,그는 경찰관이 되다,그는 경찰관이 되었다,xIntent,to protect the community,공동체를 지키다,공동체를 지켰다,0.3
119,PersonX becomes a police officer,그는 경찰관이 됩니다,그는 경찰관이 되다,그는 경찰관이 되었다,xAttr,Driven,추진력이 있다,추진력이 있었다,0.3
120,PersonX is a police officer,그는 경찰관입니다,그는 경찰관이다,그는 경찰관이었다,HinderedBy,PersonX is a convicted felon.,그는 유죄 판결을 받은 중범죄자이다,그는 유죄 판결을 받은 중범죄자였다,0.1666666666666667
121,PersonX is a police officer,그는 경찰관입니다,그는 경찰관이다,그는 경찰관이었다,oWant,to get help from PersonX,그의 도움을 받다,그의 도움을 받았다,0.1666666666666667
122,PersonX is a police officer,그는 경찰관입니다,그는 경찰관이다,그는 경찰관이었다,xNeed,attend training program,훈련에 참가하다,훈련에 참가했다,0.1666666666666667
123,PersonX catches by the police,그는 경찰에 붙잡힙니다,그는 경찰에 붙잡히다,그는 경찰에 붙잡혔다,isAfter,PersonX steals a bike,그는 자전거를 훔치다,그는 자전거를 훔쳤다,0.1666666666666667
124,PersonX catches by the police,그는 경찰에 붙잡힙니다,그는 경찰에 붙잡히다,그는 경찰에 붙잡혔다,xWant,to call their lawyer,그의 변호사를 불러들이다,그의 변호사를 불러들였다,0.1666666666666667
125,PersonX catches by the police,그는 경찰에 붙잡힙니다,그는 경찰에 붙잡히다,그는 경찰에 붙잡혔다,xEffect,PersonX's crime spree ends,그의 범죄 행각은 끝납니다. .,그의 범죄 행각은 끝났다,0.1666666666666667
126,PersonX cooks some eggs,그는 계란을 요리합니다,그는 계란을 요리하다,그는 계란을 요리했다,HinderedBy,PersonX forgot to buy eggs.,그는 계란을 사는 것을 잊다,그는 계란을 사는 것을 잊었다,0.2727272727272727
127,PersonX cooks some eggs,그는 계란을 요리합니다,그는 계란을 요리하다,그는 계란을 요리했다,xNeed,heat a pan,팬을 데우다,팬을 데웠다,0.2727272727272727
128,PersonX cooks some eggs,그는 계란을 요리합니다,그는 계란을 요리하다,그는 계란을 요리했다,xAttr,Hungry,배고프다,배고팠다,0.2727272727272727
129,PersonX cooks some eggs,그는 계란을 요리합니다,그는 계란을 요리하다,그는 계란을 요리했다,xReact,satisfied,만족하다,만족했다,0.2727272727272727
130,PersonX keeps staring at PersonY,그는 계속 그녀를 쳐다보고 있습니다,그는 계속 그녀를 쳐다보고 있다,그는 계속 그녀를 쳐다보고 있었다,isAfter,PersonX notices PersonY's beauty,그는 그녀의 아름다움에 주목하다,그는 그녀의 아름다움에 주목했다,0.3333333333333333
