,input,A,B,B2,B3
14,그는 학교에 갈 옷을 준비했다,그는 학교가 휴교일 수 있어서 학교에 갈 옷을 준비하지 않을 수 있다.,"그는 미리 준비를 했다면, 일어나지 않을 수 있다",그는 아침에 일어나지 않게 하는 것은 알람 시계를 설정하는 것이었다.,"그가 아침에 늦게 일어났다면, 그가 학교에 갈 옷을 준비했던 일은 일어나지 않았을 것이다."
15,그는 피자 파티가 있었다,건강상의 이유로 인해 일어나지 않을 수 있다.,"그는 너무 많은 피자를 먹었다면, 일어나지 않을 수 있다", 그의 친구들과 함께 먹을 수 있는 맛있는 음식과 즐거운 분위기였다.,"만약 그가 거부했다면, 그가 피자 파티가 있었던 일은 일어나지 않았을 것이다."
16,그는 마침내 선택했다,그는 마침내 선택하지 않을 수도 있다.,"그 선택을 하지 않았다면, 일어나지 않을 수 있다.",그의 강한 의지와 결단력이었다.,"만약 다른 선택을 했다면, 그가 마침내 선택했던 일은 일어나지 않았을 것이다."
17,그는 너무 심하게 다쳤다,그는 안전장비를 착용했다면 다쳐있지 않았을 것이다.,의학적 치료, 의료진의 도움을 받는 것이 중요하다.,"그가 조심했다면, 그가 너무 심하게 다쳤던 일은 일어나지 않았을 것이다."
18,그는 몸이 아프기 시작했다,그는 건강하고 아무런 이유 없이 몸이 아프지 않을 수도 있다.,병원에 가지 않았다면, 그의 힘든 상황을 이해하는 것이 중요했다.,"만약 그가 운동을 하지 않았다면, 그가 몸이 아프기 시작했던 일은 일어나지 않았을 것이다."
19,그는 밤에 잠을 잘 이루지 못했다,건강한 수면 습관을 가지지 않아서.,불안함,스트레스와 불안이었다. 그는 마음이 놓이지 않아서 밤에도 계속해서 생각하고 걱정했기 때문에 잠을 이루지 못했다.,"만약 그가 스트레스를 받지 않았다면, 그가 밤에 잠을 잘 이루지 못했던 일은 일어나지 않았을 것이다."
20,그는 새로운 기술을 배웠다,기술을 배우지 않았다면 발생하지 않을 수 있다.,노력,그의 열정과 끈기였다.,"만약 그가 노력하지 않았다면, 그가 새로운 기술을 배웠던 일은 일어나지 않았을 것이다."
21,그는 황금알을 낳는 거위를 죽였다,그는 황금알을 낳는 거위를 죽이지 않았다면 일어나지 않을 수 있다.,무모한 행동,그의 욕심과 이기심이었다. 그는 더 많은 황금알을 얻고 싶어서 거위를 죽여버렸다. 이를 일어나지 않게 하는 것은 그의 탐욕과 이기심을 극복하는 것이다.,"만약 그가 탐욕스러웠다면, 그가 황금알을 낳는 거위를 죽였던 일은 일어나지 않았을 것이다."
22,그는 대학에 지원했다,대학의 입학 요건을 충족하지 못하여 불합격할 수 있다.,노력,그는 대학에 지원했다. 이를 일어나지 않게 하는 것은 그의 열정과 노력이 없었기 때문이다.,"만약 그가 시간을 더 잘 관리했다면,그가 대학에 지원했던 일은 일어나지 않았을 것이다."
23,그는 홀인원을 기록했다,그는 홀인원을 기록하지 못했다.,세계 신기록, 그의 뛰어난 기술과 집중력이었다.,"그가 그러지 않았다면,그가 홀인원을 기록했던 일은 일어나지 않았을 것이다."
24,그는 방과 후 친구들과 농구를 했다,방과 후 프로그램이 취소되었을 때.,"""그는 지난밤 늦게까지 농구를 했다면, 일어나지 않을 수 있다""",그의 열정과 끈기였다.,"만약 그가 공부를 했다면, 그가 방과 후 친구들과 농구를 했던 일은 일어나지 않았을 것이다."
25,그는 곧 기분이 나아질 겄다,그는 물리적인 상황에 의해 기분이 나아지지 않을 수 있다.,노력, 그의 친구들과 가족들의 지지와 격려였다.,"만약 그가 운동을 했다면, 그가 곧 기분이 나아질 것은 일어나지 않았을 것이다."
26,그는 커피를 머그잔에 마셨다,그는 물을 머그잔에 마셨다.,과도한 카페인을 섭취,뜨거운 커피였다. 그는 일어나지 않게 하는 것은 그의 피로와 나른함이었다.,"만약 그가 머그잔을 깨뜨렸다면, 그가 커피를 머그잔에 마셨던 일은 일어나지 않았을 것이다."
27,그는 엔진을 망가뜨렸다,그는 엔진을 망가뜨리지 않았다.,예측할 수 있다.,엔진에 연료를 공급하는 것을 중단하는 것이다.,"그가 조심했다면, 그가 엔진을 망가뜨렸던 일은 일어나지 않았을 것이다."
28,그는 새로운 새끼 고양이를 얻었다,그는 개를 입양했을 때.,"그는 행동을 조심했다면, 일어나지 않을 수 있다.", 그의 주요 관심사였다. 그는 새끼 고양이가 안전하고 행복하게 자라도록 모든 노력을 기울였다.,"만약 그가 돈을 벌지 않았다면, 그가 새로운 새끼 고양이를 얻었던 일은 일어나지 않았을 것이다."
29,그는 과거는 과거로 뒀다,시간을 되돌릴 수 없기 때문에 그는 과거를 과거로 뒀다.,그리움, 그의 결심과 현재에 집중하는 것이다.,"만약 그가 다르게 했다면, 그가 과거로 뒀던 일은 일어나지 않았을 것이다."
30,그는 새 기타를 구입했다,돈이 부족해서 일어나지 않을 수 있다.,비싼 돈을 내었다면,"그의 열정과 연습이었다. 그는 매일 밤 늦게까지 연습하고, 자신의 솜씨를 향상시키기 위해 많은 시간을 투자했다. 결과적으로, 그는 뛰어난 기타 연주자가 되었다.","만약 그가 돈을 벌지 않았다면, 그가 새 기타를 구입했던 일은 일어나지 않았을 것이다."
31,그도 노력했다,운이 없어서 일어나지 않을 수 있다.,"그도 노력했다. 이는 포기했다면, 일어나지 않을 수 있다.", 그의 결여된 의지력과 자신감이었다.,"만약 그가 노력하지 않았다면, 그도 노력했던 일은 일어나지 않았을 것이다."
32,그는 시간을 가졌다,그는 시간을 가졌지만 그것이 사건을 일으킨 것은 아니다.,"그는 시간을 가졌다. 이는 더 늦었다면, 일어나지 않을 수 있다", 그의 무거운 마음이었다.,"만약 그가 시간을 가졌다면, 그가 시간을 가졌던 일은 일어나지 않았을 것이다."
33,그는 애완동물을 허용했다,애완동물 알레르기에 의해 일어나지 않을 수 있다.,"애완동물을 허용하지 않았다면, 일어나지 않을 수 있다", 그의 주요 관심사였다. 그는 애완동물을 허용했지만 이를 일어나지 않게 하는 것은 그의 주요 관심사였다.,"만약 그가 부동산 규칙을 어겼다면, 그가 애완동물을 허용했던 일은 일어나지 않았을 것이다."
34,그는 휴대폰을 받았다,그는 휴대폰을 받지 않았다.,무엇이든지, 무선 충전기를 사용하는 것이다.,"만약 그가 집에 있었다면, 그가 휴대폰을 받았던 일은 일어나지 않았을 것이다."
35,그는 C를 받았다,그는 열심히 공부해서 A를 받았다.,"그는 열심히 공부하지 않았다면, 일어나지 않을 수 있다.","그의 부모님이었다. 그들은 그의 노력을 인정하지 않았고, 그에게 지속적인 지원을 제공하지 않았다.","만약 그가 노력했다면, 그가 C를 받았던 일은 일어나지 않았을 것이다."
36,그는 TV를 구입했다,돈이 부족해서 TV를 구입하지 못할 수 있다.,"돈을 아끼지 않았다면, 일어나지 않을 수 있다",TV를 켜놓고 계속해서 시청하는 것이다.,"만약 그가 돈을 가지고 있지 않았다면, 그가 TV를 구입했던 일은 일어나지 않았을 것이다."
37,그는 다리를 심하게 다쳤다,그는 안전장비를 착용하고 있었기 때문에 다리를 심하게 다칠 가능성이 없었다.,"치료를 받지 않았다면, 일어나지 않을 수 있다",의사의 권고에 따라 쉬는 것이 중요하다. 또한 적절한 치료와 재활을 받아야 한다.,"그가 조심했다면, 그가 다리를 심하게 다쳤던 일은 일어나지 않았을 것이다."
38,그는 그녀의 바지에 오줌을 쌌다,그는 그녀의 바지에 오줌을 쌈으로써 일어날 수 없는 사건이다.,의료적인 도움,그녀가 그것을 알아차리지 않도록 하는 것이었다.,"그가 화장실에 갔었다면, 그가 그녀의 바지에 오줌을 쌌던 일은 일어나지 않았을 것이다."
39,그는 찾을 수 없었다,그는 숨겨졌기 때문에 찾을 수 없었다.,그는 이미 죽었다. 이는 더 이상 일어나지 않을 수 있다.,"그의 결심이었다. 그는 자신의 목표를 이루기 위해 끝까지 노력하고자 했으며, 어떤 상황에서도 굽히지 않았다.","만약 그가 더 노력했다면, 그가 찾을 수 없었던 일은 일어나지 않았을 것이다."
40,그는 곧 나아질 겄다,의학적 치료에 의해 일어나지 않을 수 있다.,노력, 그의 결심과 의지를 약하게 만드는 것이다.,"만약 치료를 받지 않았다면, 그가 곧 나아질 것이던 일은 일어나지 않았을 것이다."
41,그는 새 카메라를 구입했다,돈이 부족해서 일어나지 않을 수 있다.,"비록 비싸긴 했다면, 일어나지 않을 수 있다.","그의 열정이었다. 그는 새로운 카메라를 사고 나서부터는 더 이상 자리에서 일어나지 않았다. 카메라에 대한 그의 열정은 모든 것을 잊게 만들었고, 그는 카메라와 함께 삶을 즐기기 시작했다.","만약 그가 돈을 벌지 않았다면, 그가 새 카메라를 구입했던 일은 일어나지 않았을 것이다."
42,그는 어젯밤부터 시작했다,자연적인 현상에 의해 일어나지 않을 수 없다.,"그는 어젯밤부터 시작했다. 이는 끝끝내 했다면, 일어나지 않을 수 있다",그의 몸이 지친 상태였기 때문이었다.,"만약 그가 더 일찍 잤다면, 그가 어젯밤부터 시작했던 일은 일어나지 않았을 것이다."
43,그는 강아지를 키우고 싶다고 했다,알레르기에 의해 일어나지 않을 수 있다.,"그의 바람이 이루어진다면, 일어나지 않을 수 있다",그의 아파트 규정이다.,"만약 그가 알려주지 않았다면,그가 강아지를 키우고 싶다고 했던 일은 일어나지 않았을 것이다."
44,그는 등산했다,그는 다리를 다칠 수 있어서 등산을 하지 않을 수 있다.,죽었다, 높은 산세와 강력한 바람이었다.,"만약 그가 날씨가 좋았다면, 그가 등산했던 일은 일어나지 않았을 것이다."
45,그는 휴대폰을 가지고 있었다,그는 휴대폰을 분실하거나 도난당하지 않는다면 일어나지 않을 수 있다.,"그는 도움을 요청했다면, 일어나지 않을 수 있다.",무섭고 끔찍한 전화 통화였다.,"만약 그가 집에 있었다면,그가 휴대폰을 가지고 있었던 일은 일어나지 않았을 것이다."
46,그는 전화 한 통을 받았다,그는 전화기가 없어서 받지 못할 수 있다.,"그를 깨우기 위해 몇 번이고 호출했다면, 일어나지 않을 수 있다.",그는 휴대폰 배터리가 다 떨어져서였다.,"만약 그가 나를 무시했다면, 그가 전화 한 통을 받았던 일은 일어나지 않았을 것이다."
47,그는 더 높이 올라갔다,비행기가 추락하지 않는다면.,무엇을 했다면,그의 강인한 의지와 끈질긴 노력이었다.,"만약 그가 노력하지 않았다면,그가 더 높이 올라갔던 일은 일어나지 않았을 것이다."
48,그는 이발이 필요했다,그는 머리카락이 없어서 이발이 필요하지 않을 수도 있다.,미룬, 그의 시야를 가리고 있었기 때문이다.,"만약 그가 이발을 했다면, 그가 이발이 필요했던 일은 일어나지 않았을 것이다."
49,그는 지갑을 집에 두고 왔다,그는 지갑을 집에 두고 왔기 때문에 현금이나 카드를 이용할 수 없을 수 있다.,부주의,그의 부주의함이었다. 그는 지갑을 놓고 왔다는 것을 깨달았을 때 이미 너무 늦었다.,"만약 그가 지갑을 집에 두고 왔다면,그가 지갑을 집에 두고 왔던 일은 일어나지 않았을 것이다."
50,그는 목록을 잊어버렸다,그는 목록을 잊어버리는 것은 부주의 또는 실수에 의해 일어날 수 있다.,중요한 사건, 그의 부주의함이었다. 그는 목록을 다시 확인하고 필요한 일들을 기억하기 위해 더욱 신중해져야 했다.,"만약 그가 메모를 했다면, 그가 목록을 잊어버렸던 일은 일어나지 않았을 것이다."
51,그는 페이지를 넘겼다,책이 없는 상황에서.,"그는 더 이상 되돌릴 수 없었다면, 일어나지 않을 수 있다.",그의 호기심과 집중력이었다.,"만약 그가 지갑을 잃어버렸다면,그가 페이지를 넘겼던 일은 일어나지 않았을 것이다."
52,그는 도넛도 먹었다,건강한 식습관을 유지하고 있어서 일어나지 않을 수 있다.,과식,그의 먹고 있는 것을 보고 있던 친구의 존재였다.,"만약 당뇨병이 없었다면, 그가 도넛도 먹었던 일은 일어나지 않았을 것이다."
53,그는 그것을 학교에 가져왔다,학교의 규칙에 의해 일어나지 않을 수 있다.,걸었을,그의 결심이었다.,"만약 그가 깜빡했다면,그가 그것을 학교에 가져왔던 일은 일어나지 않았을 것이다."
54,그는 좋아하는 사람에게 물어봤다,그 사람이 대답을 거부할 수 있다.,"그는 좋아하는 사람에게 물어봤다. 이는 만약 했다면, 일어나지 않을 수 있다",두려움과 불안이었다.,"만약 그가 용기를 내지 않았다면, 그가 좋아하는 사람에게 물어봤던 일은 일어나지 않았을 것이다."
55,그는 자신을 인식했다,자신을 인식하지 않는다면 일어나지 않을 수 있다.,"자신의 한계를 인식했다. 이는 극복하지 않는다면, 일어나지 않을 수 있다.", 그의 두려움과 불안이었다. 그는 자신을 다시 찾기 위해 용기를 내야 했다.,"만약 그가 노력하지 않았다면, 그가 자신을 인식했던 일은 일어나지 않았을 것이다."
56,그는 새 옷을 구입했다,그는 돈이 부족하여 새 옷을 구입하지 못할 수도 있다.,돈을 사용, 새 옷을 입고 싶은 욕구였다.,"그가 돈을 절약했다면, 그가 새 옷을 구입했던 일은 일어나지 않았을 것이다."
57,그는 모든 인형을 외웠다,인형이 없는 경우에는 그가 모든 인형을 외울 수 없다.,과학적으로 가능, 그들이 마법으로 움직이게 하는 것이었다.,"만약 그가 집중했다면, 그가 모든 인형을 외웠던 일은 일어나지 않았을 것이다."
58,그는 훨씬 좋아 보였다,그는 훨씬 나빠 보일 수도 있다.,"그가 더 나은 선택을 했다면, 일어나지 않을 수 있다.",그의 자신감이었다.,"만약 운이 좋았다면, 그가 훨씬 좋아 보였던 일은 일어나지 않았을 것이다."
59,그는 요리하고 싶어 하지 않았다,음식 알레르기나 식욕 부진에 의해 일어나지 않을 수 있다.,"
게으름",그의 부족한 요리 실력과 요리하는 것에 대한 자신감 부족이었다.,그가 요리하고 싶어 하지 않았던 일은 일어나지 않았을 것이다.
60,그는 새 자전거를 구입했다,돈이 부족하여 새 자전거를 구입하지 못할 수 있다.,비싼 비용을 지불,새로운 자전거를 보호하기 위해 자전거 잠금장치를 사용하는 것이다.,"만약 그가 돈을 벌지 않았다면, 그가 새 자전거를 구입했던 일은 일어나지 않았을 것이다."
61,그는 목줄을 사용했다,그는 목줄을 사용하지 않았다.,집착적인 사랑이나 감시를 뜻하기도 합니다.,그의 방법 중 하나였다.,"그가 목줄을 사용했다면,그가 목줄을 사용했던 일은 일어나지 않았을 것이다."
62,그는 커피를 주문했다,그는 커피를 주문했지만 가게에 커피가 없어서 주문한 커피를 받지 못할 수도 있다.,"그는 커피를 주문했다. 이는 마신다면, 일어나지 않을 수 있다.",그는 바로 자리에서 커피를 마시기 위해 편안한 의자에 앉아 있는 것이었다.,"만약 그가 잠이 깨어있었다면,그가 커피를 주문했던 일은 일어나지 않았을 것이다."
63,그는 태클을 당했다,축구 경기가 아니라면 태클을 당하지 않을 수 있다.,"심한 충격을 받았다면, 일어나지 않을 수 있다", 그의 강인한 의지였다.,"만약 그가 주의했다면, 그가 태클을 당했던 일은 일어나지 않았을 것이다."
64,그는 그녀에게 몸을 기울였다,성적인 의도가 아닌 경우에는 발생하지 않을 수 있다.,"그녀를 도와주지 않았다면, 일어나지 않을 수 있다",그녀가 그를 다시 끌어안았기 때문이었다.,"만약 그가 이를 했다면,그가 그녀에게 몸을 기울였던 일은 일어나지 않았을 것이다."
65,그는 오른쪽으로 향했다,그는 왼쪽으로 향할 수도 있다.,"그는 왼쪽으로 향했다. 이는 어떤 일이든, 일어나지 않을 수 있다",무엇인가요? 무엇이 그를 일어나지 않게 했는지 설명해주세요.,"만약 그가 왼쪽으로 했다면,그가 오른쪽으로 향했던 일은 일어나지 않았을 것이다."
66,그는 배심원 의무를 위해 소환되었다,그는 사건과 무관한 이유로 소환되지 않을 수 있다.,노력,법적인 제재를 받을 수 있다.,"그가 범죄를 저질렀다면, 그가 배심원 의무를 위해 소환되었던 일은 일어나지 않았을 것이다."
67,그는 자신을 과시했다,그는 자신을 과시하지 않았다.,자만심, 자신의 자만심과 오만함이었다.,"만약 그가 조심했다면, 그가 자신을 과시했던 일은 일어나지 않았을 것이다."
68,그는 쿠키도 만들었다,식재료가 부족해서 만들지 못할 수 있다.,"그는 너무 많은 설탕을 넣었다면, 일어나지 않을 수 있다",그는 너무 많은 설탕을 사용했기 때문이었다.,"만약 그가 부엌에 들어오지 않았다면,그가 쿠키도 만들었던 일은 일어나지 않았을 것이다."
69,그는 유치원에 입학했다,성인이 되지 않는다면 입학하지 못할 수 있다.,"어린 시절에 좋은 교육을 받았다면, 일어나지 않을 수 있다"," 그의 부모님이었다. 그는 유치원에 입학했지만, 아침에 일어나기 싫어하는 습관이 있었다.","그가 그것을 거부했다면, 그가 유치원에 입학했던 일은 일어나지 않았을 것이다."
70,그는 구걸하러 갔다,자신의 노력으로 일자리를 얻어 생계를 유지할 수 있다면 구걸하러 갈 필요가 없을 수 있다.,절망적으로,그의 자부심과 품위였다.,"만약 그가 돈을 벌었다면, 그가 구걸하러 갔던 일은 일어나지 않았을 것이다."
71,그는 면도를 중단했다,그는 면도를 중단했지만 어떤 이유로든 다시 시작할 수 있다.,피부가 자극되어서 발진이 생길 수 있다.,그의 얼굴이 민감해서였다. 그는 면도 후 피부가 붉게 올라와서 이를 일어나지 않게 하는 것은 자신에게 유익했다.,그가 면도를 중단했던 일은 일어나지 않았을 것이다.
72,그는 약속을 잡았다,그는 약속을 잡았지만 갑작스러운 일정 변경으로 인해 일어나지 않을 수 있다.,만약, 그의 무책임한 태도였다.,"만약 그가 늦지 않았다면,그가 약속을 잡았던 일은 일어나지 않았을 것이다."
73,그는 스스로 일을 자초했다,그는 스스로 일을 자초했기 때문에 일어나지 않을 수 없다.,자초, 그의 의지와 결단력이었다.,"그가 스스로 일을 자초했다면, 그가 스스로 일을 자초했던 일은 일어나지 않았을 것이다."
74,그는 방과 후 축구를 했다,그는 방과 후 축구를 했지만 부상으로 인해 일어나지 않을 수 있다.,부모님의 허락,그는 너무 피곤해서 일어나지 않게 하는 것이었다.,"만약 그가 시간을 지키지 않았다면, 그가 방과 후 축구를 했던 일은 일어나지 않았을 것이다."
75,그는 그 의미를 설명했다,그는 그 의미를 설명하지 않을 수도 있다.,"그것이 그렇게 했다면, 일어나지 않을 수 있다.", 내부의 불안정한 감정들 때문이라고 말했다.,그가 그 의미를 설명했던 일은 일어나지 않았을 것이다.
76,그는 처음 이발을 했다,그는 머리를 깎지 않았다면 이발을 하지 않을 수 있었다.,신중하게, 그의 두려움과 불안이었다. 처음으로 이발을 한 것에 대한 자신감 부족과 실수를 할까봐 두려워했다.,"만약 그가 두려워하지 않았다면,그가 처음 이발을 했던 일은 일어나지 않았을 것이다."
77,그는 온몸에 흘리고 있었다,건조한 옷을 입고 있었다.,죽음,그의 근육들이 무거운 족쇄와 같았다.,"만약 그가 조심했다면, 그가 온몸에 흘리고 있었던 일은 일어나지 않았을 것이다."
78,그는 드디어 도착했다,그는 교통 사고로 인해 도착하지 못할 수 있다.,"그가 노력하지 않았다면, 일어나지 않을 수 있다.", 그의 피로와 지침이었다.,"만약 그가 늦지 않았다면, 그가 드디어 도착했던 일은 일어나지 않았을 것이다."
79,그는 그녀를 죽음으로 이끌었다,자연적인 사건에 의해 일어나지 않을 수 있다.,"그가 그녀를 죽음으로 이끌었던 행동을 하지 않았다면, 일어나지 않을 수 있다.", 그녀의 영혼을 휴식시키는 것이었다.,"만약 그가 그녀를 방어했다면, 그가 그녀를 죽음으로 이끌었던 일은 일어나지 않았을 것이다."
80,그는 그녀를 만나러 갔다,그녀가 그를 만나러 오지 않을 수도 있다.,"그녀를 만나러 갔다. 이는 만약 그가 그렇게 했다면, 일어나지 않을 수 있다.",그녀의 미소와 매력적인 눈빛이었다.,"만약 그가 늦지 않았다면, 그가 그녀를 만나러 갔던 일은 일어나지 않았을 것이다."
81,그는 2013년에 캠브리지로 이사했다,그는 2013년에 캠브리지로 이사하지 않았다.,어렵다,그곳에서의 새로운 직장이었다.,"만약 그가 결혼하지 않았다면, 그가 2013년에 캠브리지로 이사했던 일은 일어나지 않았을 것이다."
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 그녀의 턱을 꽉 움켜쥐지 않았다면 일어나지 않을 수 있다.,죽음,그녀가 떠나려는 것을 막기 위한 행동이었다.,"만약 그가 참을성을 가졌다면,그가 그녀의 턱을 꽉 움켜쥐었던 일은 일어나지 않았을 것이다."
83,그는 어젯밤 피자를 다 먹었다,그는 어젯밤 피자를 다 먹지 않았다.,배가 부르다,그는 너무 배부른 것이었다.,"만약 그가 배고프지 않았다면, 그가 어젯밤 피자를 다 먹었던 일은 일어나지 않았을 것이다."
84,그는 고양이 알레르기가 있었다,고양이를 피하는 것으로 인해 그는 알레르기 반응을 일으키지 않을 수 있다.,"그는 고양이 알레르기가 있었다. 이는 고양이를 피하는 것이었다면, 일어나지 않을 수 있다.",고양이와의 접촉을 피하는 것이 중요했다. 그는 고양이를 만지거나 가까이 다가가지 않도록 주의해야 했다. 또한 집 안을 청결하게 유지하여 고양이 털이나 비린내가 퍼지지 않도록 해야 했다,"그가 고양이를 피했다면, 그가 고양이 알레르기가 있었던 일은 일어나지 않았을 것이다."
85,그는 마침내 먹이를 찾았다,그의 먹이가 이미 다른 동물에 의해 먹혀 없어졌을 수 있다.,만약,먹이를 뺏길까봐 겁이 나서였다.,"만약 그가 노력하지 않았다면, 그가 마침내 먹이를 찾았던 일은 일어나지 않았을 것이다."
86,그는 다리를 삐끗했다,그는 안전한 장소에서 걷고 있었기 때문에 다리를 삐끗했을 가능성이 없다.,심각한 부상,무엇인가요? 추가 정보를 알려주시면 도와드리겠습니다.,"만약 그가 조심했다면, 그가 다리를 삐끗했던 일은 일어나지 않았을 것이다."
87,그는 내 머리를 때렸다,그는 내 머리를 때리지 않았다.,아주 강하게(hit),나의 몸이었다. 내가 그를 막을 수 없었기 때문에 그는 계속해서 내 머리를 때렸다.,"만약 그가 화를 내지 않았다면, 그가 내 머리를 때렸던 일은 일어나지 않았을 것이다."
88,그는 그녀를 죽이러 갔다,법 집행기관에 의해 일어나지 않을 수 있다.,잘못된 선택,그녀의 생명을 지키기 위해 누군가가 그를 막아야 했다.,"만약 그가 제때 도착했다면,그가 그녀를 죽이러 갔던 일은 일어나지 않았을 것이다."
89,그는 제시간에 집에 도착했다,그는 교통 체증에 의해 제시간에 집에 도착하지 못할 수 있다.,만약,그의 피로와 지침이었다.,"만약 버스를 놓쳤다면, 그가 제시간에 집에 도착했던 일은 일어나지 않았을 것이다."
90,그는 저녁을 먹었다,그는 죽었다.,배고픔,"

그는 저녁을 먹었다. 이를 일어나지 않게 하는 것은 심한 배부름과 피곤함이었다.","만약 그가 집에 머물렀다면, 그가 저녁을 먹었던 일은 일어나지 않았을 것이다."
91,오늘은 그녀의 마지막 날였다,자연적인 죽음이 아닌 경우에는 그녀의 마지막 날이 아니라고 할 수 있다.,"그녀가 더 노력했다면, 일어나지 않을 수 있다",그녀의 결심이었다.,"만약 그녀가 늦게 일어났다면, 오늘은 그녀의 마지막 날이었던 일은 일어나지 않았을 것이다."
92,그는 그녀가 그럴 거라고 했다,그녀가 그렇게 할 거라고 예측한 것에 의해 일어나지 않을 수 있다.,"그런 말을 했다면, 일어나지 않을 수 있다", 그녀의 결정에 따라 존중하는 것이다.,"만약 그가 그녀를 믿었다면,그가 그녀가 그럴 거라고 했던 일은 일어나지 않았을 것이다."
93,그는 수상한 냄새를 맡았다,그는 코가 먹혀 있어서 냄새를 맡지 못할 수도 있다.,"쓰레기 봉투가 터진 것으로 보였다면, 일어나지 않을 수 있다.","그의 호기심과 경계심이었다. 그는 주변을 살피며 조용히 움직였고, 냄새의 원천을 발견하기 전에는 일어나지 않으려고 했다.","그가 그를 쫓아왔다면, 그가 수상한 냄새를 맡았던 일은 일어나지 않았을 것이다."
94,그는 엄마에게 선물했다,그는 돈이 없어서 선물을 사지 못할 수도 있다.,"그는 엄마에게 선물했다. 이는 사실 했다면, 일어나지 않을 수 있다", 그의 마음이었다. 그는 엄마에게 선물한 것을 일어나지 않게 하는 것은 그녀가 편안히 쉴 수 있는 시간을 만들어주고 싶었기 때문이다.,"만약 그가 돈을 훔쳤다면, 그가 엄마에게 선물했던 일은 일어나지 않았을 것이다."
