,input,A,B,B2,B3
10,그는 실망한 표정였다,주변 사람들은 그가 위로받고 싶어할 것이다.,그의 기분을 다시 좋게 해주는 것을 원했다.,그의 기분을 다시 회복시키기 위해 노력하는 것이었다.,"주변 사람들은 무엇을 원했는데, 왜냐하면 그는 실망한 표정이었기 때문이다."
11,그는 재미있어 보였다,그의 주변 사람들은 그가 더 많은 재미있는 이야기나 이벤트를 공유해주길 원할 것이다.,그의 주변 사람들은 그와 함께 시간을 보내는 것을 원했다.,그와 함께 시간을 보내는 것이었다.,"주변 사람들은 그의 주위에 ___무엇___을 원했는데, 왜냐하면 그는 재미있어 보였기 때문이다."
12,그는 신에게 충성을 바쳤다,그의 주변 사람들은 그에게 축하와 응원을 표현할 것이다.,그의 충성심을 원했다.,그의 도움과 지혜를 나누어 주는 것이었다.,"주변 사람들은 그의 조언을 원했는데, 왜냐하면 그는 신에게 충성을 바쳤기 때문이다."
13,그는 집에 가도 되었다,주변 사람들은 그가 안전하게 집에 도착했는지를 원할 것이다.,그는 안전하게 돌아가겠다고 약속했다. 따라서 주변 사람들은 안심하고 그를 보냈다.,그가 안전하게 집에 돌아갈 수 있는 것이었다.,"주변 사람들은 놀기를 원했는데, 왜냐하면 그는 집에 가도 되었기 때문이다."
14,그는 학교에 갈 옷을 준비했다,주변 사람들은 그가 학교에 잘 다녀오길 원할 것이다.,그는 그의 옷을 보여주기를 원했다.,그가 학교에 가는 모습을 보는 것이었다.,"주변 사람들은 멋진 옷을 원했는데, 왜냐하면 그는 학교에 갈 옷을 준비했기 때문이다."
15,그는 피자 파티가 있었다,주변 사람들은 피자를 먹고 즐거운 시간을 보내기를 원할 것이다.,"""따라서 주변 사람들은 배고픈 것을 원했다.""","피자를 먹는 것이었다. 그래서 그는 피자 가게에서 맛있는 피자를 주문했고, 파티가 성공적으로 진행되었다.","모두가 피자를 원했는데, 왜냐하면 그는 피자 파티가 있었기 때문이다."
16,그는 마침내 선택했다,그의 선택에 대해 자세히 알고 싶어할 것이다.,이를 축하해주었다.,무엇이든 그의 결정에 동의하는 것이었다.,"주변 사람들은 더 좋은 것을 원했는데, 왜냐하면 그는 마침내 선택했기 때문이다."
17,그는 너무 심하게 다쳤다,"""그를 도와주고 치료해 주는 것을 원할 것이다.""",그는 즉시 의료 도움을 받을 것을 원했다.,그가 병원에 가서 치료를 받는 것이었다.,"주변 사람들은 안정을 원했는데, 왜냐하면 그는 너무 심하게 다쳤기 때문이다."
18,그는 몸이 아프기 시작했다,주변 사람들은 그의 안락한 휴식과 신속한 치료를 원할 것이다.,그는 그의 건강을 회복하는 것을 원했다.,그가 즉시 의사를 찾아보는 것이었다.,따뜻한 차를
19,그는 밤에 잠을 잘 이루지 못했다,그의 주변 사람들은 그가 편안한 수면을 취할 수 있기를 원할 것이다.,그는 조용한 것을 원했다.,그가 피곤하지 않고 에너지 넘치는 모습을 보이는 것이었다.,휴식과 안정을
20,그는 새로운 기술을 배웠다,주변 사람들은 그가 배운 새로운 기술을 공유하고 싶어할 것이다.,새로운 기술을 배우고 싶어했다.,새로운 기술을 가르쳐 주는 것이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 새로운 기술을 배웠기 때문이다."
21,그는 황금알을 낳는 거위를 죽였다,그의 주변 사람들은 그가 거위를 죽이지 않았으면 좋겠을 것이다.,그는 황금알을 낳는 거위를 죽였다. 따라서 주변 사람들은 그것을 원했다.,거위가 다시 황금알을 낳게 하는 것이었다.,"주변 사람들은 더 많은 돈을 원했는데, 왜냐하면 그는 황금알을 낳는 거위를 죽였기 때문이다."
22,그는 대학에 지원했다,그의 가족과 친구들은 그가 대학에 합격하기를 원할 것이다.,그의 합격을 원했다.,대학에 합격하는 것이었다.,"주변 사람들은 정보를 원했는데, 왜냐하면 그는 대학에 지원했기 때문이다."
23,그는 홀인원을 기록했다,주변 사람들은 그의 기록을 축하하고 싶을 것이다.,그의 비밀을 알고 싶었다.,그의 성취를 축하하는 것이었다.,승리를
24,그는 방과 후 친구들과 농구를 했다,주변 사람들은 그가 재미있게 농구를 즐기길 바라겠지.,그는 방과 후 친구들과 농구를 했다. 따라서 주변 사람들은 그것을 원했다.,그의 사교적이고 활발한 성격 때문에 그와 함께 시간을 보내는 것이었다.,"주변 사람들은 더 많은 참여를 원했는데, 왜냐하면 그는 방과 후 친구들과 농구를 했기 때문이다."
25,그는 곧 기분이 나아질 겄다,그의 기분이 나아지기를 바라게 될 것이다.,그는 긍정적인 것을 원했다.,무엇이든 그를 돕고 지지해주는 것이었다.,따뜻한 말과 관심을
26,그는 커피를 머그잔에 마셨다,"그 주변 사람들은 아마도 커피를 마시는 사람들에게 커피를 제공하거나, 그가 더 필요한 것이 있는지 물어볼 것이다.",그는 또한 커피를 원했다.,그의 향긋한 커피 향이었다.,따뜻한 것
27,그는 엔진을 망가뜨렸다,그 주변 사람들은 그가 엔진을 고쳐주길 원할 것이다.,그는 엔진을 망가뜨렸다. 따라서 주변 사람들은 그를 고치는 것을 원했다.,엔진을 수리하거나 대체하는 것이었다.,"주변 사람들은 공정한 보상을 원했는데, 왜냐하면 그는 엔진을 망가뜨렸기 때문이다."
28,그는 새로운 새끼 고양이를 얻었다,주변 사람들은 새로운 고양이를 만나러 오고 싶을 것이다.,고양이를 만나고 싶어했다.,새로운 가족 구성원을 소개하는 것이었다.,"주변 사람들은 부러운 것을 원했는데, 왜냐하면 그는 새로운 새끼 고양이를 얻었기 때문이다."
29,그는 과거는 과거로 뒀다,"""그가 더 이상 그 과거에 대해 이야기하지 않았으면 좋겠어요.""",그는 더 나은 미래를 원했다.,그가 미래를 향해 나아가는 모습이었다.,"주변 사람들은 변화를 원했는데, 왜냐하면 그는 과거는 과거로 뒀기 때문이다."
30,그는 새 기타를 구입했다,그의 친구들은 그가 새 기타로 연주를 해주길 원할 것이다.,그의 새 기타를 듣고 싶어했다.,새로운 연주를 들려주는 것이었다.,"주변 사람들은 부러워했는데, 왜냐하면 그는 새 기타를 구입했기 때문이다."
31,그도 노력했다,그 사람에게 칭찬과 격려를 원할 것이다.,그도 노력했다. 따라서 주변 사람들은 성공을 원했다.,그의 성공이었다.,"주변 사람들은 좋은 것을 원했는데, 왜냐하면 그도 노력했기 때문이다."
32,그는 시간을 가졌다,주변 사람들은 그가 시간을 어떻게 활용할지에 대한 관심이 있을 것이다.,그의 시간과 주변 사람들의 요구를 만족시키는 것을 원했다.,그의 도움과 지원이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 시간을 가졌기 때문이다."
33,그는 애완동물을 허용했다,그 주변 사람들은 애완동물을 키우고 싶어할 것이다.,그는 애완동물을 허용했다. 따라서 주변 사람들은 그것을 원했다.,애완동물을 데리고 방문하는 것이었다.,"주변 사람들은 집에서 모임을 원했는데, 왜냐하면 그는 애완동물을 허용했기 때문이다."
34,그는 휴대폰을 받았다,"주변 사람들은 그가 누구인지, 왜 휴대폰을 받았는지 궁금해할 것이다.",그의 휴대폰 번호를 원했다.,무엇인지 궁금해했다. 그는 주변 사람들이 원하는 것을 알기 위해 휴대폰을 살펴보았다.,"주변 사람들은 같은 것을 원했는데, 왜냐하면 그는 휴대폰을 받았기 때문이다."
35,그는 C를 받았다,그의 가족과 친구들은 그가 더 열심히 공부하고 성적을 높일 수 있기를 바랄 것이다.,그는 C를 받았다. 따라서 주변 사람들은 더 나은 성적을 원했다.,그가 더 열심히 공부하고 성적을 끌어올리는 것이었다.,"주변 사람들은 A를 원했는데, 왜냐하면 그는 C를 받았기 때문이다."
36,그는 TV를 구입했다,그의 주변 사람들은 TV를 보고 싶어할 것이다.,그는 TV를 구입했다. 따라서 주변 사람들은 같은 것을 원했다.,"놀랍게도 그는 TV를 구입했지만, 주변 사람들이 원했던 것은 아니었다. 그들은 오히려 더 나은 관계나 시간을 원했다.","주변 사람들은 부러운 것을 원했는데, 왜냐하면 그는 TV를 구입했기 때문이다."
37,그는 다리를 심하게 다쳤다,주변 사람들은 그의 빠른 치료와 회복을 원할 것이다.,그는 다리를 심하게 다쳤다. 따라서 주변 사람들은 그가 빨리 나아지는 것을 원했다.,그가 빨리 회복하기를 바랐다.,이제 그는 돌보기와 도움을 필요로 했다.
38,그는 그녀의 바지에 오줌을 쌌다,그 주변 사람들은 그가 사과하고 바지를 교체하는 것을 원할 것이다.,그녀가 그것을 교체하거나 세탁해 달라고 요구했다.,그녀에게 새로운 바지를 사 주는 것이었다.,"주변 사람들은 냄새 없는 것을 원했는데, 왜냐하면 그는 그녀의 바지에 오줌을 쌌기 때문이다."
39,그는 찾을 수 없었다,그의 안전과 건강을 원할 것이다.,그의 행방을,그의 행방을 알아내는 것이었다.,"주변 사람들은 그의 도움을 원했는데, 왜냐하면 그는 찾을 수 없었기 때문이다."
40,그는 곧 나아질 겄다,"""그의 건강이 빨리 회복되기를 바라겠다.""",그는 곧 나아질 것이다. 따라서 주변 사람들은 그가 회복되는 것을 원했다.,그가 긍정적으로 변화하는 것이었다.,약간의 안정과 지지를
41,그는 새 카메라를 구입했다,주변 사람들은 그의 새로운 카메라로 찍은 사진을 보고 싶어할 것이다.,새로운 카메라로 그의 사진을 찍어달라고,새로운 카메라로 찍은 사진들을 보는 것이었다.,"주변 사람들은 새로운 사진을 원했는데, 왜냐하면 그는 새 카메라를 구입했기 때문이다."
42,그는 어젯밤부터 시작했다,그 사람이 안전하고 건강하게 문제를 해결할 수 있기를 바라게 될 것이다.,알아듣기 쉽게 설명,그의 변화를 지켜보는 것이었다.,"주변 사람들은 놀라운 변화를 원했는데, 왜냐하면 그는 어젯밤부터 시작했기 때문이다."
43,그는 강아지를 키우고 싶다고 했다,"""그의 주변 사람들은 그가 책임감 있게 강아지를 키우고 돌봐줄 것을 원할 것이다.""",그의 책임감 있는 동반자심을 원했다.,그 그가 책임감 있게 돌볼 수 있는지에 대한 확신이었다.,"주변 사람들은 놀라운 것을 원했는데, 왜냐하면 그는 강아지를 키우고 싶다고 했기 때문이다."
44,그는 등산했다,주변 사람들은 그가 안전하게 등산을 즐겼는지 궁금해할 것이다.,그의 안전을 위해 걱정했다.,그의 안전을 위해 산악 구조대에 연락하는 것이었다.,"주변 사람들은 안전을 원했는데, 왜냐하면 그는 등산했기 때문이다."
45,그는 휴대폰을 가지고 있었다,주변 사람들은 그의 휴대폰을 빌리고 싶어할 것이다.,그의 휴대폰 번호를 원했다.,그의 휴대폰 번호였다.,"주변 사람들은 통화를 원했는데, 왜냐하면 그는 휴대폰을 가지고 있었기 때문이다."
46,그는 전화 한 통을 받았다,주변 사람들은 그가 전화 내용을 공유해주기를 원할 것이다.,그는 전화 한 통을 받았다. 따라서 주변 사람들은 그것을 원했다.,그의 반응이 무엇인지 궁금해했다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 전화 한 통을 받았기 때문이다."
47,그는 더 높이 올라갔다,주변 사람들은 그의 안전을 원할 것이다.,그의 성취를 축하하기 위해 파티를 열어주었다.,그의 성공을 함께 나누는 것이었다.,"주변 사람들은 성공을 원했는데, 왜냐하면 그는 더 높이 올라갔기 때문이다."
48,그는 이발이 필요했다,그 주변 사람들은 그가 머리를 깎아 달라고 원할 것이다.,"깔끔한 모습(recent, tidy appearance)",그는 머리를 깔끔하게 정리하는 것이었다.,"주변 사람들은 깔끔한 모습을 원했는데, 왜냐하면 그는 이발이 필요했기 때문이다."
49,그는 지갑을 집에 두고 왔다,그의 주변 사람들은 그가 지갑을 가져오도록 원할 것이다.,그는 지갑을 집에 두고 왔다. 따라서 주변 사람들은 돈을 원했다.,그의 지갑을 찾아주는 것이었다.,무엇을
50,그는 목록을 잊어버렸다,그 사람이 목록을 기억하고 필요한 것을 모두 가져왔으면 좋겠다.,그는 목록을 잊어버렸다. 따라서 주변 사람들은 무엇을 원했다.,무엇인지 물어보고 나서야 그의 기억이 돌아왔다.,"주변 사람들은 미안한 것을 원했는데, 왜냐하면 그는 목록을 잊어버렸기 때문이다."
51,그는 페이지를 넘겼다,주변 사람들은 그가 무슨 책을 읽고 있는지 궁금해할 것이다.,그의 다음 행동을 예측,무엇인지 알아내기 위해 그의 행동을 주시하는 것이었다.,"주변 사람들은 더 많은 정보를 원했는데, 왜냐하면 그는 페이지를 넘겼기 때문이다."
52,그는 도넛도 먹었다,그 사람이 다른 음식도 먹었는지 궁금해할 것이다.,도넛,도넛을 나눠 먹는 것이었다.,"단순히 별다른 이유 없이 같은 것을 원했는데, 왜냐하면 그는 도넛도 먹었기 때문이다."
53,그는 그것을 학교에 가져왔다,주변 사람들은 그것이 무엇인지 궁금해할 것이다.,그것을 볼 수 있었으면 좋겠다.,무엇인지 궁금해하고 있었다.,"주변 사람들은 그것을 원했는데, 왜냐하면 그는 그것을 학교에 가져왔기 때문이다."
54,그는 좋아하는 사람에게 물어봤다,"""그 사람이 좋은 대답을 받았으면, 주변 사람들은 그가 행복해지길 바라게 될 것이다.""",따라서 주변 사람들은 그가 무엇을 원했는지 궁금해했다.,무엇인지 궁금해졌다.,같은
55,그는 자신을 인식했다,그의 주변 사람들은 그가 자신을 받아들이고 자존감을 가질 수 있기를 원할 것이다.,그의 자신감과 능력을 원했다.,무엇인지 알아차렸다. 그리고 그것을 이루기 위해 노력했다.,"주변 사람들은 이해와 지지를 원했는데, 왜냐하면 그는 자신을 인식했기 때문이다."
56,그는 새 옷을 구입했다,주변 사람들은 새 옷을 보고 싶어할 것이다.,새 옷을 보고 싶어했다.,그의 새로운 옷을 보고 어디서 산지 물어보는 것이었다.,"주변 사람들은 새 옷을 원했는데, 왜냐하면 그는 새 옷을 구입했기 때문이다."
57,그는 모든 인형을 외웠다,그의 친구들은 그에게 인형 이름을 물어볼 것이다.,그의 능력을 볼 수 있었다.,그의 뛰어난 기억력을 이용해 특정 인형을 찾아주는 것이었다.,"주변 사람들은 그를 놀라게 했던 것을 원했는데, 왜냐하면 그는 모든 인형을 외웠기 때문이다."
58,그는 훨씬 좋아 보였다,그의 건강과 행복을 원할 것이다.,그의 비밀을 알고 싶었다.,그가 행복하고 건강한 삶을 살아가는 것이었다.,"주변 사람들은 더 많은 것을 원했는데, 왜냐하면 그는 훨씬 좋아 보였기 때문이다."
59,그는 요리하고 싶어 하지 않았다,그의 주변 사람들은 아마도 그가 요리를 하지 않기 때문에 뭔가 다른 방법으로 식사를 해결해야 한다는 것을 원할 것이다.,그는 요리하고 싶어 하지 않았다. 따라서 주변 사람들은 대신 그것을 원했다.,그가 요리를 배우고 실력을 향상시키는 것이었다.,"주변 사람들은 저녁을 원했는데, 왜냐하면 그는 요리하고 싶어 하지 않았기 때문이다."
60,그는 새 자전거를 구입했다,주변 사람들은 그의 새 자전거를 보고 싶어할 것이다.,그의 자전거를 빌리고 싶어했다.,새 자전거를 시험해보는 것이었다.,"주변 사람들은 동경하는 것을 원했는데, 왜냐하면 그는 새 자전거를 구입했기 때문이다."
61,그는 목줄을 사용했다,그 주변 사람들은 그가 동물을 위해 적절한 방법으로 돌봐주길 원할 것이다.,그는 그의 개를 잘 통제할 수 있기를 원했다.,끊임없는 통제와 지배였다.,"주변 사람들은 그것을 원했는데, 왜냐하면 그는 개를 paseo하기 위해 목줄을 사용했기 때문이다."
62,그는 커피를 주문했다,"""그의 주변 사람들은 그가 커피를 마시며 즐거운 시간을 보내기를 원할 것이다.""",각자가 원하는 것,무엇인가요? 추가 정보가 없어서 정확한 답변을 드릴 수 없습니다.,"주변 사람들은 물을 원했는데, 왜냐하면 그는 커피를 주문했기 때문이다."
63,그는 태클을 당했다,그의 안전과 건강을 위해 걱정할 것이다.,그는 태클을 당했다. 따라서 주변 사람들은 그의 안전을 원했다.,그가 즉시 일어나서 반격하는 것이었다.,이해할 만한
64,그는 그녀에게 몸을 기울였다,주변 사람들은 그가 그녀를 돌봐주고 챙겨주는 것을 원할 것이다.,이해할 것을 원했다.,그녀와의 관계가 더 깊어지고 그에게 더 많은 관심을 기울이는 것이었다.,"주변 사람들은 더 많은 관심을 원했는데, 왜냐하면 그는 그녀에게 몸을 기울였기 때문이다."
65,그는 오른쪽으로 향했다,주변 사람들은 그가 안전하게 오른쪽으로 이동했는지 확인하기를 원할 것이다.,그의 시선을 따라 눈길을 돌려보고 싶었다.,그의 주의를 끌기 위해 왼쪽으로 돌아서는 것이었다.,"주변 사람들은 왼쪽으로 향했던 것을 원했는데, 왜냐하면 그는 오른쪽으로 향했기 때문이다."
66,그는 배심원 의무를 위해 소환되었다,주변 사람들은 그가 공정하고 책임감 있게 배심원 역할을 수행하기를 원할 것이다.,그의 판결을 원했다.,그가 공정하고 책임감 있는 판단을 내리는 것이었다.,"주변 사람들은 공정한 판단을 원했는데, 왜냐하면 그는 배심원 의무를 위해 소환되었기 때문이다."
67,그는 자신을 과시했다,주변 사람들은 그의 자만심을 고쳐주길 원할 것이다.,그의 겸손함을 원했다.,그의 겸 humility였다. 그러나 그는 자신의 자만심을 감추지 않았다.,"주변 사람들은 관심을 원했는데, 왜냐하면 그는 자신을 과시했기 때문이다."
68,그는 쿠키도 만들었다,"""그 쿠키를 먹고 싶어할 것이다.""",그는 쿠키도 만들었다. 따라서 주변 사람들은 먹을 것을 원했다.,그의 쿠키 레시피였다.,달콤한 것
69,그는 유치원에 입학했다,주변 사람들은 그의 가족이 축하를 받기를 원할 것이다.,그의 적응이 잘 되고 행복한 시간을 보내기를 원했다.,그가 적응하고 친구를 사귀는 것이었다.,"주변 사람들은 귀여운 것을 원했는데, 왜냐하면 그는 유치원에 입학했기 때문이다."
70,그는 구걸하러 갔다,그의 주변 사람들은 그가 안전하고 안락한 환경에서 살 수 있기를 원할 것이다.,그의 도움을 원했다.,그에게 돈을 주는 것이었다.,무엇을
71,그는 면도를 중단했다,그의 주변 사람들은 그가 깔끔하게 면도를 하고 다니길 원할 것이다.,그는 그의 얼굴을 보고 싶어했다.,그는 더 이상 그의 수염을 길러서 더 남성적으로 보이는 것이었다.,매끈한 얼굴
72,그는 약속을 잡았다,주변 사람들은 그 약속에 대한 자세한 내용을 원할 것이다.,그 약속에 대한 자세한 내용을 원했다.,그 약속을 지키는 것이었다.,"주변 사람들은 불만을 터뜨리기를 원했는데, 왜냐하면 그는 약속을 잡았기 때문이다."
73,그는 스스로 일을 자초했다,그에게 도와줄 수 있는 지원과 이해를 바랄 것이다.,그가 성공하는 것을 원했다.,그가 성취한 것에 대한 축하와 인정이었다.,"주변 사람들은 도움을 원했는데, 왜냐하면 그는 스스로 일을 자초했기 때문이다."
74,그는 방과 후 축구를 했다,그의 주변 사람들은 그가 방과 후 축구를 계속할 것을 원할 것이다.,그는 방과 후 축구를 했다. 따라서 주변 사람들은 그의 승리를 원했다.,그의 축구 실력을 보여주는 것이었다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 방과 후 축구를 했기 때문이다."
75,그는 그 의미를 설명했다,주변 사람들은 그의 의미를 이해하고 싶어할 것이다.,해당,무엇인지 이해할 수 있었다.,"주변 사람들은 그의 말을 원했는데, 왜냐하면 그는 그 의미를 설명했기 때문이다."
76,그는 처음 이발을 했다,주변 사람들은 그의 이발이 잘 되었는지를 확인하고 싶을 것이다.,그의 새로운 머리 모양을 원했다.,머리가 짧아지는 것이었다.,"주변 사람들은 신중한 것을 원했는데, 왜냐하면 그는 처음 이발을 했기 때문이다."
77,그는 온몸에 흘리고 있었다,그의 상태를 신속하게 돌봐줄 것을 원할 것이다.,그는 온몸에 흘리고 있었다. 따라서 주변 사람들은 그를 도와주는 것을 원했다.,그가 도와주는 것이었다.,"주변 사람들은 깨끗한 것을 원했는데, 왜냐하면 그는 온몸에 흘리고 있었기 때문이다."
78,그는 드디어 도착했다,"""그가 안전하게 도착했는지 확인하고 싶어할 것이다.""",그는 드디어 도착했다. 따라서 주변 사람들은 그의 이야기를 원했다.,무엇인지 알아내기 위해 물음을 했다.,"주변 사람들은 기다린 것을 원했는데, 왜냐하면 그는 드디어 도착했기 때문이다."
79,그는 그녀를 죽음으로 이끌었다,그 주변 사람들은 그의 처벌을 원할 것이다.,그의 처벌을 원했다.,그녀를 다시 살리는 것이었다.,"주변 사람들은 정의를 원했는데, 왜냐하면 그는 그녀를 죽음으로 이끌었기 때문이다."
80,그는 그녀를 만나러 갔다,그들은 그녀와 그의 관계에 대해 궁금해할 것이다.,"""그들이 어떻게 만나게 될지 궁금해했다.""",그녀와의 관계가 어떻게 발전할지에 대한 소문이었다.,"주변 사람들은 이해할 수 있는 것을 원했는데, 왜냐하면 그는 그녀를 만나러 갔기 때문이다."
81,그는 2013년에 캠브리지로 이사했다,그의 주변 사람들은 그에게 안전하고 행복한 새로운 시작을 기원할 것이다.,그는 캠브리지로 이사했으므로 주변 사람들은 그에게 잘 적응하고 행복하게 지내길 원했다.,그의 새로운 도시에서의 생활을 도와주고 지원하는 것이었다.,"주변 사람들은 더 많은 정보를 원했는데, 왜냐하면 그는 2013년에 캠브리지로 이사했기 때문이다."
82,그는 그녀의 턱을 꽉 움켜쥐었다,그 주변 사람들은 그녀를 구해주기를 원할 것이다.,그녀를 도와주는 것을 원했다.,그가 그녀를 놓아주길 바랬다.,"주변 사람들은 조용한 것을 원했는데, 왜냐하면 그는 그녀의 턱을 꽉 움켜쥐었기 때문이다."
83,그는 어젯밤 피자를 다 먹었다,그의 주변 사람들은 피자를 먹지 못한 것을 원할 것이다.,그는 어젯밤 피자를 다 먹었다. 따라서 주변 사람들은 더 많은 것을 원했다.,피자 조각을 몇 개 남겨두는 것이었다.,많은 것
84,그는 고양이 알레르기가 있었다,그 주변 사람들은 그를 위해 고양이와 접촉을 피해달라고 원할 것이다.,고양이를 키우지 말라,고양이와 가까운 접촉을 피하는 것이었다.,강아지
85,그는 마침내 먹이를 찾았다,"""그의 가족과 친구들은 그가 안전하게 먹이를 찾았다는 것을 알고 안심할 것이다.""",그가 먹이를 찾았기 때문에 주변 사람들은 그의 성공을 원했다.,그가 먹이를 먹고 있는 모습을 보는 것이었다.,"주변 사람들은 배고픈 것을 원했는데, 왜냐하면 그는 마침내 먹이를 찾았기 때문이다."
86,그는 다리를 삐끗했다,주변 사람들은 그의 다리가 빨리 나아지기를 원할 것이다.,그는 다리를 삐끗했다. 따라서 주변 사람들은 그가 빨리 나아갈 수 있기를 원했다.,그가 빨리 치료를 받고 완쾌하여 다시 걷는 것이었다.,따뜻한 마음씨를
87,그는 내 머리를 때렸다,그 주변 사람들은 그에게 사과하고 상처를 치료해 달라고 요구할 것이다.,그는 내 머리를 때렸다. 따라서 주변 사람들은 그의 행동을 비난했다.,내가 그를 떠나는 것이었다.,"주변 사람들은 복수를 원했는데, 왜냐하면 그는 내 머리를 때렸기 때문이다."
88,그는 그녀를 죽이러 갔다,그 주변 사람들은 그를 막고 그녀를 구해달라고 원할 것이다.,그의 행동을 막기를 원했다.,그녀를 구하기 위해 도와주는 것이었다.,"주변 사람들은 아무것도 원하지 않았는데, 왜냐하면 그는 그녀를 죽이러 갔기 때문이다."
89,그는 제시간에 집에 도착했다,그의 가족과 친구들은 그가 안전하게 도착했음을 원할 것이다.,그는 안전하게 도착했다. 따라서 주변 사람들은 안심하는 것을 원했다.,그의 안전한 도착이었다.,"주변 사람들은 선물을 원했는데, 왜냐하면 그는 제시간에 집에 도착했기 때문이다."
90,그는 저녁을 먹었다,그가 먹은 음식에 대해 궁금해할 것이다.,배고프게 만든 것을 원했다.,그의 음식을 나눠 먹는 것이었다.,"주변 사람들은 밥을 원했는데, 왜냐하면 그는 저녁을 먹었기 때문이다."
91,오늘은 그녀의 마지막 날였다,그녀를 잘 기억하고 그녀의 삶을 충분히 기리기를 원할 것이다.,그녀가 행복하게 보낼 수 있도록,그녀와 함께 소중한 시간을 보내는 것이었다.,"주변 사람들은 이별을 원했는데, 왜냐하면 오늘은 그녀의 마지막 날이었기 때문이다."
92,그는 그녀가 그럴 거라고 했다,그들은 그녀가 안전하고 건강하게 되기를 원할 것이다.,이를 확인하고 싶어했다.,두 사람이 함께 행복하게 지낼 수 있는 방법을 찾는 것이었다.,"주변 사람들은 그것을 원했는데, 왜냐하면 그는 그녀가 그럴 거라고 했기 때문이다."
93,그는 수상한 냄새를 맡았다,그 주변 사람들은 그가 무엇을 맡았는지 궁금해할 것이다.,그의 주장을 의심하고 있었다.,"그의 주변을 피하는 것이었다. 그는 주변에서 물러나고, 사람들이 그와 거리를 두도록 하는 것을 알아챘다.","주변 사람들은 이상한 것을 원했는데, 왜냐하면 그는 수상한 냄새를 맡았기 때문이다."
