,input,A,B,B2,B3
11,그는 재미있어 보였다,그는 그에게 관심을 표현하고 대화를 시작할 것이다.,웃었다.,무엇이든 사람들을 웃게 하는 것이었다.,"웃었을 것 같았는데, 왜냐하면 그는 재미있어 보였기 때문이다."
12,그는 신에게 충성을 바쳤다,"""그는 신에게 충성을 바쳐 계속해서 숭배를 이어나갈 것이다.""",예수 그리스도를 믿는 기독교인이 되었다.,신의 뜻을 따르는 것이었다.,"죽음을 선택했는데, 왜냐하면 그는 신에게 충성을 바쳤기 때문이다."
13,그는 집에 가도 되었다,그는 안전하게 집으로 돌아갈 것이다.,휴식을 취했다.,무엇이든지 하고 싶은 것을 했다.,"그는 늦게 일을 마쳤는데, 왜냐하면 그는 집에 가도 되었기 때문이다."
14,그는 학교에 갈 옷을 준비했다,그는 아침에 일어나서 학교에 갈 옷을 입을 것이다.,준비,학교 유니폼을 찾아 입고 가방을 싸는 것이었다.,"그는 집을 떠났는데, 왜냐하면 그는 학교에 갈 옷을 준비했기 때문이다."
15,그는 피자 파티가 있었다,그는 친구들과 함께 즐거운 시간을 보내기 위해 참석할 것이다.,피자를 주문했다.,피자 주문을 하고 친구들을 초대하는 것이었다.,"그는 배가 고팠는데, 왜냐하면 그는 피자 파티가 있었기 때문이다."
16,그는 마침내 선택했다,"""그는 결정을 내릴 것이다.""",그는 결정했다. 따라서 그는 행동했다., 무엇이든 간에 그 선택을 받아들이는 것이었다.,"그는 망설였지만, 왜냐하면 그는 마침내 선택했기 때문이다."
17,그는 너무 심하게 다쳤다,그는 즉시 응급실에 가서 치료를 받을 것이다.,병원에 입원했다.,병원으로 신속히 이송되어 치료를 받는 것이었다.,"운동을 했는데, 왜냐하면 그는 너무 심하게 다쳤기 때문이다."
18,그는 몸이 아프기 시작했다,그는 즉시 의료진에게 도움을 요청할 것이다.,약을 복용했다.,약을 먹고 푹 쉬는 것이었다.,운동을 그만뒀다.
19,그는 밤에 잠을 잘 이루지 못했다,그는 다음날 일찍 일어나서 운동을 하거나 휴식을 취할 것이다.,다음날 피곤했다.,잠이 오지 않아서 그는 책을 읽거나 TV를 보거나 음악을 듣는 등의 활동을 하면서 시간을 보냈다.,"노래를 부르는 것을 좋아했는데, 왜냐하면 그는 밤에 잠을 잘 이루지 못했기 때문이다."
20,그는 새로운 기술을 배웠다,그는 새로운 기술을 활용하여 프로젝트나 업무에 적용할 것이다.,그는 더 나은 직업을 얻었다.,새로운 기술을 활용하여 이전에는 할 수 없었던 일들을 해내는 것이었다.,"노력했는데, 왜냐하면 그는 새로운 기술을 배웠기 때문이다."
21,그는 황금알을 낳는 거위를 죽였다,그는 후회하고 죄를 뉘우치며 다시는 그런 행동을 하지 않을 것이다.,그는 황금알을 낳는 거위를 죽였다. 따라서 그는 탐욕스러웠다.,"거위를 죽여서 황금알을 얻는 것이 아니라, 단기적인 이득을 위해 장기적인 이익을 희생시킨 것이었다.","그는 어리석은 짓을 했는데, 왜냐하면 그는 황금알을 낳는 거위를 죽였기 때문이다."
22,그는 대학에 지원했다,그는 대학의 합격 여부를 기다릴 것이다.,입학 시험을 봤다.,"대학 입학 시험을 준비하고, 자기소개서와 추천서를 작성하는 것이었다.","논문을 쓰려고 노력했는데, 왜냐하면 그는 대학에 지원했기 때문이다."
23,그는 홀인원을 기록했다,그는 기뻐하며 팀원들과 함께 축하할 것이다.,최고점을 찍었다.,홀인원을 기록한 것이기 때문에 그가 한 것은 골프장의 한 홀을 한 번에 친 것이다.,"점수가 높았는데, 왜냐하면 그는 홀인원을 기록했기 때문이다."
24,그는 방과 후 친구들과 농구를 했다,그는 즐거운 시간을 보내며 농구를 즐길 것이다.,운동,농구를 즐기는 것이었다.,"그는 지각을 했는데, 왜냐하면 그는 방과 후 친구들과 농구를 했기 때문이다."
25,그는 곧 기분이 나아질 겄다,그는 긍정적으로 생각하고 행동할 것이다.,긍정적으로 생각했다.,무엇이든 미래를 위한 좋은 선택이 될 것이다.,"울었던 것 같았는데, 왜냐하면 그는 곧 기분이 나아질 것이기 때문이다."
26,그는 커피를 머그잔에 마셨다,그는 머그잔을 이용해 커피를 마신 후에는 그릇을 세척할 것이다.,카페인을 섭취했다.,커피를 마신 후에 머그잔을 세척했다.,졸렸다
27,그는 엔진을 망가뜨렸다,그는 엔진을 수리하거나 교체하기 위해 도움을 요청할 것이다.,고장나서(repaired),엔진 수리를 위해 차고로 들어가서 도구를 가져오는 것이었다.,"운전을 멈췄는데, 왜냐하면 그는 엔진을 망가뜨렸기 때문이다."
28,그는 새로운 새끼 고양이를 얻었다,그는 새로운 새끼 고양이를 환영하고 돌보게 될 것이다.,고양이를 키우기로 결정했다.,"새로운 새끼 고양이를 위한 준비를 했다. 처음에는 새로운 환경에 적응할 수 있도록 안전한 장소를 마련해주었고, 건강검진과 예방접종을 받을 수 있도록 수의사에게 연락했다.","기뻐했는데, 왜냐하면 그는 새로운 새끼 고양이를 얻었기 때문이다."
29,그는 과거는 과거로 뒀다,"

과거는 과거로 두고, 현재에 집중할 것이다.",그는 미래를 향했다.,과거로 남아 있었다.,"노력했는데, 왜냐하면 그는 과거는 과거로 뒀기 때문이다."
30,그는 새 기타를 구입했다,그는 새 기타를 연습하고 연주할 것이다.,연주를 시작했다.,새로운 곡을 연주하는 것이었다.,"연주를 시작했는데, 왜냐하면 그는 새 기타를 구입했기 때문이다."
31,그도 노력했다,좋은 결과를 얻을 수 있도록 최선을 다할 것이다.,성공,그도 노력했다. 따라서 그가 했던 것은 자신의 잠재력을 최대한 발휘하는 것이었다.,"노력을 했는데, 왜냐하면 그도 노력했기 때문이다."
32,그는 시간을 가졌다,그는 계획을 세우고 목표를 달성하기 위해 시간을 효율적으로 활용할 것이다.,일정을 계획하고 조직했다., 무엇이든 할 수 있었다.,"그는 성공했는데, 왜냐하면 그는 시간을 투자했기 때문이다."
33,그는 애완동물을 허용했다,"그는 애완동물을 허용했다면, 그에게 친절하게 대해줄 것이다.",반려동물을 키웠다.,애완동물을 위한 특별한 공간을 마련하는 것이었다.,"그는 집을 임대했는데, 왜냐하면 그는 애완동물을 허용했기 때문이다."
34,그는 휴대폰을 받았다,그는 전화를 받을 것이다.,전화를 받았다.,휴대폰으로 전화를 걸거나 메시지를 보내는 것이었다.,"그는 기뻐했는데, 왜냐하면 그는 휴대폰을 받았기 때문이다."
35,그는 C를 받았다,그는 성적을 향상시키기 위해 노력할 것이다.,노력하지 않았다.,C를 받았다. 따라서 그가 했던 것은 노력이 부족했을 수도 있다.,"열심히 공부했는데, 왜냐하면 그는 C를 받았기 때문이다."
36,그는 TV를 구입했다,그는 TV를 설정하고 즐겁게 시청할 것이다.,돈을 지불했다.,TV를 설치하는 것이었다.,"이미 돈을 모았었는데, 왜냐하면 그는 TV를 구입했기 때문이다."
37,그는 다리를 심하게 다쳤다,그는 즉시 응급실로 이동하여 치료를 받을 것이다.,휠체어를 타야 했다.,병원으로 긴급히 이송되어 치료를 받는 것이었다.,달렸다
38,그는 그녀의 바지에 오줌을 쌌다,그는 사과하고 바지를 교체해 주겠다.,부끄러워했다.,매우 부끄러운 일이었다.,"당황했는데, 왜냐하면 그는 그녀의 바지에 오줌을 쌌기 때문이다."
39,그는 찾을 수 없었다,그는 다시 찾아보거나 도움을 요청할 것이다.,그는 포기했다., 약속한 시간에 늦지 않도록 기다리는 것이었다.,"노력을 했는데, 왜냐하면 그는 찾을 수 없었기 때문이다."
40,그는 곧 나아질 겄다,그는 차분하게 상황을 지켜보고 필요한 조치를 취할 것이다.,노력,그가 했던 것은 지금까지 최선을 다했다.,"노력했는데, 왜냐하면 그는 곧 나아질 것이기 때문이다."
41,그는 새 카메라를 구입했다,그는 새 카메라를 사용하여 사진을 찍거나 영상을 촬영할 것이다.,사진을 찍었다.,새로운 취미를 찾기 위해 사진을 많이 찍는 것이었다.,"사진을 찍었는데, 왜냐하면 그는 새 카메라를 구입했기 때문이다."
42,그는 어젯밤부터 시작했다,그는 일어나서 그 사건에 대해 조사하고 즉시 대처할 것이다.,어젯밤부터 시작했다. 따라서 그는 지금까지 계속해서 진행했다.,무엇인지 정확히 알 수 없다.,"그는 피곤했는데, 왜냐하면 그는 어젯밤부터 시작했기 때문이다."
43,그는 강아지를 키우고 싶다고 했다,그는 동물 보호소나 유기동물 구조 기관에서 강아지를 입양할 것이다.,동물 보호소에 가서 강아지를 입양했다.,동물 보호소를 방문하여 입양 절차를 진행하는 것이었다.,"그는 집을 구매했는데, 왜냐하면 그는 강아지를 키우고 싶다고 했기 때문이다."
44,그는 등산했다,그는 안전장비를 착용하고 산행을 즐길 것이다.,산품을 즐겼다.,등산을 즐겼다.,지쳤다
45,그는 휴대폰을 가지고 있었다,그는 긴급 상황이 아니라면 휴대폰을 가만히 두고 있을 것이다.,전화를 걸 수 있었다.,휴대폰으로 전화를 걸거나 메시지를 보내는 것일 것이다.,전화를 받았다.
46,그는 전화 한 통을 받았다,"전화를 받은 후에는 전화하는 사람과 대화를 나누거나, 필요한 정보를 얻기 위해 질문할 것이다.",전화를 받았다.,전화를 받았을 때 그는 전화기를 들고 대답했다.,"그는 급히 나갔는데, 왜냐하면 그는 전화 한 통을 받았기 때문이다."
47,그는 더 높이 올라갔다,그는 주변을 살펴보고 안전을 확인한 후에 계속해서 올라갈 것이다.,성공했다.,더 많은 노력과 헌신이었다.,"노력했는데, 왜냐하면 그는 더 높이 올라갔기 때문이다."
48,그는 이발이 필요했다,그는 이발소에 가서 머리를 자르게 될 것이다.,이발을 받았다.,이발사에게 전화해서 예약을 잡았다.,"이발을 했는데, 왜냐하면 그는 머리가 길어져서 필요했기 때문이다."
49,그는 지갑을 집에 두고 왔다,그는 지갑을 가져오기 위해 집으로 돌아갈 것이다.,쇼핑을 못 했다.,지갑을 찾기 위해 다시 집으로 돌아가거나 혹은 지갑이 없어도 그의 일을 처리할 수 있었던 것이다.,"쇼핑을 하러 갔었는데, 왜냐하면 그는 지갑을 집에 두고 왔기 때문이다."
50,그는 목록을 잊어버렸다,그는 다시 목록을 작성하거나 기억할 수 있는 방법을 찾을 것이다.,아무것도 사지 않았다.,목록을 다시 작성하는 것이었다.,"그는 혼란스러워 보였는데, 왜냐하면 그는 목록을 잊어버렸기 때문이다."
51,그는 페이지를 넘겼다,그는 다음 페이지를 읽기 시작할 것이다.,책을 읽었다.,책을 읽는 것이었다.,"책을 읽었는데, 왜냐하면 그는 페이지를 넘겼기 때문이다."
52,그는 도넛도 먹었다,그는 즐겁게 도넛을 먹을 것이다.,배부르다,도넛을 먹은 후에는 커피를 마셨다.,"운동을 했는데, 왜냐하면 그는 건강을 유지하기 위해 노력했기 때문이다."
53,그는 그것을 학교에 가져왔다,그는 즉시 학교 규정에 따라 그것을 학교에서 제거하고 관리자에게 신고할 것이다.,도난 물건을 가져왔다. 따라서 그는 범죄를 저질렀다.,학교에서 그것을 사용하는 것이었다.,"그는 혼란스러워 보였는데, 왜냐하면 그는 그것을 학교에 가져왔기 때문이다."
54,그는 좋아하는 사람에게 물어봤다,그는 답변을 기다릴 것이다.,그는 조언을 구했다. 따라서 그는 조언을 따랐다.,무엇을 좋아하는지 물어보는 것이었다.,"그는 궁금했는데, 왜냐하면 그는 좋아하는 사람에게 물어봤기 때문이다."
55,그는 자신을 인식했다,그는 자신을 받아들이고 자기를 이해하려고 노력할 것이다.,변화했다., 그의 실제 모습과 일치하지 않았다. 그는 변화를 결심했고 더 나은 사람이 되기 위해 노력하기로 했다.,"그는 변했는데, 왜냐하면 그는 자신을 인식했기 때문이다."
56,그는 새 옷을 구입했다,그는 새 옷을 입고 자신감 있게 나가서 친구들과 식사를 할 것이다.,쇼핑을 했다.,새 옷을 입고 자신감 있게 외출하는 것이었다.,"그는 쇼핑을 했는데, 왜냐하면 그는 새 옷을 구입했기 때문이다."
57,그는 모든 인형을 외웠다,그는 인형들을 모두 정리하고 장소에 맞게 다시 배치할 것이다.,인형을 모두 외웠다. 따라서 그는 기적을 했다.,인형들을 순서대로 나열하고 이름을 부르는 것이었다.,"그는 대답을 알고 있었는데, 왜냐하면 그는 모든 인형을 외웠기 때문이다."
58,그는 훨씬 좋아 보였다,그는 자신의 감정을 표현하고 칭찬을 받는다.,더 자신 있었다.,무엇이든 믿을 만했다.,웃었을 때
59,그는 요리하고 싶어 하지 않았다,그는 외식을 하거나 배달 음식을 시켜 먹을 것이다.,외식을 했다.,잠시 머리를 식히고 쉬는 것이었다.,"그는 요리하기 싫었는데, 왜냐하면 그는 요리하고 싶어 하지 않았기 때문이다."
60,그는 새 자전거를 구입했다,그는 자전거를 타고 즐거운 시간을 보낼 것이다.,자전거 타기 연습을 시작했다.,새로운 자전거를 타고 동네 주변을 산책하거나 친구들과 함께 자전거 여행을 떠나는 것이었다.,"빚을 갚아야 했는데, 왜냐하면 그는 새 자전거를 구입했기 때문이다."
61,그는 목줄을 사용했다,그는 반려견을 안전하게 산책시키기 위해 목줄을 사용했다.,그는 강아지를 산책시켰다. 따라서 그는 산책을 했다.,강아지를 산책시키는 것이었다.,죽었다
62,그는 커피를 주문했다,그는 커피를 마실 것이다.,음료를 주문했다.,"커피숍 직원에게 ""아메리카노 한 잔 주세요""라고 말한 것이었다.","기분이 좋았는데, 왜냐하면 그는 커피를 주문했기 때문이다."
63,그는 태클을 당했다,그는 상황을 평정하고 태클을 한 상대방과 대화하여 문제를 해결할 것이다.,넘어졌다.,"상대방을 무시하거나 공격하는 대신, 침착하게 상황을 다루고 자신의 의견을 분명히 표현했다.",넘어졌다
64,그는 그녀에게 몸을 기울였다,그는 그녀를 도와 일어서게 할 것이다.,그녀에게 신뢰를 표현했다.,그녀를 돌보고 지지해주는 것이었다.,"사랑했는데, 왜냐하면 그는 그녀에게 몸을 기울였기 때문이다."
65,그는 오른쪽으로 향했다,그는 오른쪽으로 돌아볼 것이다.,오른쪽으로 걸었다.,무엇인가를 찾거나 탐험하는 것이었다.,왼쪽으로 갈 필요가 없었다.
66,그는 배심원 의무를 위해 소환되었다,그는 소환에 응하여 법정에서 배심원으로 참여할 것이다.,법정에 출석,법정에 출석하여 사건을 심리하고 판결에 영향을 미치는 역할을 수행하는 것이었다.,"출석했는데, 왜냐하면 그는 배심원 의무를 위해 소환되었기 때문이다."
67,그는 자신을 과시했다,그는 겸손하게 행동할 것이다.,자랑을했다., 그의 자신감과 능력을 선보이는 것이었다.,"그는 자만심을 했는데, 왜냐하면 그는 자신을 과시했기 때문이다."
68,그는 쿠키도 만들었다,그는 쿠키를 먹을 것이다.,베이킹,빵도 구웠다.,"요리사였는데, 왜냐하면 그는 쿠키도 만들었기 때문이다."
69,그는 유치원에 입학했다,그는 새로운 친구들을 사귀고 새로운 환경에 적응하려고 노력할 것이다.,어린이 놀이를 즐겼다.,유치원에서 새로운 친구들과 함께 놀고 배우는 것이었다.,"눈물을 흘렸는데, 왜냐하면 그는 유치원에 입학했기 때문이다."
70,그는 구걸하러 갔다,그는 도움을 받기 위해 구걸하러 갔다.,구걸을 했다.,다른 사람들에게 돈이나 음식을 요구하는 것이었다.,도둑
71,그는 면도를 중단했다,그는 면도를 중단한 이유를 파악하고 문제를 해결하기 위해 적절한 조치를 취할 것이다.,수염을 기르기 시작했다.,얼굴을 씻고 수건으로 얼굴을 닦았다.,"그는 수염을 기르기 시작했는데, 왜냐하면 그는 면도를 중단했기 때문이다."
72,그는 약속을 잡았다,그는 약속 시간에 맞춰 나타날 것이다.,그는 약속을 잡았다. 따라서 그는 약속을 지켰다.,약속 시간과 장소를 확인하는 것이었다.,"그는 늦었는데, 왜냐하면 그는 약속을 잡았기 때문이다."
73,그는 스스로 일을 자초했다,그는 책임을 인정하고 상사에게 사과하며 일을 다시 시작할 것이다.,그는 스스로 일을 자초했다. 따라서 그는 책임을 했다.,자신의 능력을 발휘한 결과였다.,"그는 실패했는데, 왜냐하면 그는 스스로 일을 자초했기 때문이다."
74,그는 방과 후 축구를 했다,그는 축구를 한 뒤에 샤워를 하고 옷을 갈아입을 것이다.,운동,축구를 했다.,"그는 지각을 했는데, 왜냐하면 그는 방과 후 축구를 했기 때문이다."
75,그는 그 의미를 설명했다,He explained the meaning of it.,해명,그 의견을 분명히 전달하는 것이었다.,"쓸데없는 말을 했는데, 왜냐하면 그는 그 의미를 설명했기 때문이다."
76,그는 처음 이발을 했다,그는 고객의 요구에 따라 정확하게 이발을 완료할 것이다.,이발사," 머리를 깎는 것이었다. 처음에는 조금 서툴렀지만, 계속 연습하면서 점점 솜씨가 좋아졌다.","머리를 깎았는데, 왜냐하면 그는 처음 이발을 했기 때문이다."
77,그는 온몸에 흘리고 있었다,그는 즉시 의료진에게 도움을 요청할 것이다.,젖었다.,땀을 닦고 물을 마시는 것이었다.,"그는 운동을 했는데, 왜냐하면 그는 온몸에 땀을 흘리고 있었기 때문이다."
78,그는 드디어 도착했다,그는 일단 주변을 살피고 안전한 곳으로 이동할 것이다.,기뻤다.,무엇인가? 그가 했던 것은 짐을 풀고 숙소로 이동하는 것이었다.,지쳤었어
79,그는 그녀를 죽음으로 이끌었다,그는 즉시 경찰에 신고할 것이다.,살인을 저질렀다.,그녀를 살해한 것이었다.,"그는 살인을 저질렀는데, 왜냐하면 그는 그녀를 죽음으로 이끌었기 때문이다."
80,그는 그녀를 만나러 갔다,그는 그녀를 만나러 갔을 것이다.,그녀를 만나러 갔다. 따라서 그는 기뻐했다.,그녀와의 약속 장소로 향하는 것이었다.,"그는 신중했는데, 왜냐하면 그녀를 만나러 갔기 때문이다."
81,그는 2013년에 캠브리지로 이사했다,그는 새로운 도시에서 주변을 탐험하고 새로운 사람들과 친구를 사귈 것이다.,영국으로 이사했다.,캠브리지 대학에서 연구하고 가르치는 것이었다.,"이사를 했는데, 왜냐하면 그는 2013년에 캠브리지로 이사했기 때문이다."
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 즉시 그녀를 놓고 사과할 것이다.,그녀가 더 이상 말을 할 수 없었다.,그녀를 강제로 돌려보는 것이었다.,"화가 났었는데, 왜냐하면 그는 그녀의 턱을 꽉 움켜쥐었기 때문이다."
83,그는 어젯밤 피자를 다 먹었다,그는 배가 부를 것이므로 다음 식사 때까지 기다릴 것이다.,배부르다,피자 상자를 쓰레기통에 버리고는 배를 만지작거렸다.,배가 부르지 않았다.
84,그는 고양이 알레르기가 있었다,그는 고양이와 가까이 다가가지 않을 것이다.,고양이를 피하려고했다.,"고양이와 가까이 다가가지 않거나, 고양이를 키우지 않는 것이었다. 또는 알레르기 증상을 완화하기 위해 약을 복용하는 것도 했을 것이다.","약을 복용했는데, 왜냐하면 그는 고양이 알레르기가 있었기 때문이다."
85,그는 마침내 먹이를 찾았다,그는 먹이를 잡아먹을 것이다.,사냥을 시작했다.,먹이를 잡아 먹었다.,배고팠었어
86,그는 다리를 삐끗했다,그는 즉시 의료진에게 도움을 요청할 것이다.,의사를 찾았다.,걷는 것을 멈추고 휠체어를 이용해 이동하는 것이었다.,"걷지 못했는데, 왜냐하면 그는 다리를 삐끗했기 때문이다."
87,그는 내 머리를 때렸다,그는 즉시 상황을 평가하고 자기 방어를 위해 행동할 것이다.,폭력을 행했다.,나를 상처주고 내 감정을 상하게 하는 행동이었다.,"화가 났었는데, 왜냐하면 그는 내 머리를 때렸기 때문이다."
88,그는 그녀를 죽이러 갔다,그는 즉시 경찰에 신고할 것이다.,살인을 저지른 것이다.,범죄였다.,"그는 살인을 저질렀는데, 왜냐하면 그는 그녀를 죽이러 갔기 때문이다."
89,그는 제시간에 집에 도착했다,그는 안전하게 집에 도착한 후에는 휴식을 취할 것이다.,시간을 잘 지켰다.,무엇인가를 준비하거나 쉬는 것이었다.,"늦었을 수도 있었겠지만, 왜냐하면 그는 제시간에 집에 도착했기 때문이다."
90,그는 저녁을 먹었다,그는 식사를 마친 후에 그날의 일정을 reprioritize하고 휴식을 취할 것이다.,배불러졌다.,먹은 후에 식사를 마치고 집으로 돌아가는 것이었다.,배고웠다
91,오늘은 그녀의 마지막 날였다,그는 그녀와 함께 소중한 시간을 보내고 이별을 위해 준비할 것이다.,울었다.,그녀에게 작별 인사를 하는 것이었다.,"그는 울었는데, 왜냐하면 오늘은 그녀의 마지막 날이었기 때문이다."
92,그는 그녀가 그럴 거라고 했다,그는 그녀와 대화하여 상황을 해소하려고 할 것이다.,기다렸다.,그녀가 예상한 대로였다.,"그는 놀랐는데, 왜냐하면 그녀가 그럴 거라고 했기 때문이다."
93,그는 수상한 냄새를 맡았다,그는 주변을 살펴보고 안전한 곳으로 이동할 것이다.,의심을 품었다.,의심스러운 곳을 살펴보고 주변을 둘러보는 것이었다.,"그는 의심스러워 보였는데, 왜냐하면 그는 수상한 냄새를 맡았기 때문이다."
94,그는 엄마에게 선물했다,그는 엄마에게 감사의 표시로 선물했다.,행복해했다.,엄마를 기쁘게 하기 위해 선물을 고르고 구매한 것이었다.,"그는 사랑했는데, 왜냐하면 그는 엄마에게 선물했기 때문이다."
95,그는 금반지를 발견했다,그는 주변을 살피고 주인을 찾아보겠다.,기뻐했다.,금반지를 주인에게 돌려주기 위해 주변을 둘러보았다.,놀랐다
96,그는 캠프파이어를 시작했다,그는 모두를 모아서 함께 노래를 부르고 마시며 즐거운 시간을 보낼 것이다.,불을 피웠다.,나무를 모아서 불을 피우고 주변에 앉아서 이야기를 나누는 것이었다.,"그는 화를 냈는데, 왜냐하면 그는 캠프파이어를 시작했기 때문이다."
97,그는 보고서를 작성했다,그는 보고서를 작성한 후에 상사에게 제출할 것이다.,보고서를 작성했다. 따라서 그는 노력했다.,보고서를 작성했기 때문에 그가 했던 것은 연구 및 데이터 분석이었다.,"열심히 일했는데, 왜냐하면 그는 보고서를 작성했기 때문이다."
98,그는 '펑'하는 소리를 들었다,그는 주변을 살펴보고 소리의 원인을 파악하려고 할 것이다.,그는 놀라서 돌아보았다.,무언가를 폭파시킨 것이었다.,달렸다
99,그는 깜짝퀴즈를 출제했다,그는 퀴즈에 참여하여 정답을 맞추려고 노력할 것이다.,깜짝퀴즈를 출제했다. 따라서 그는 재미있었다.,다른 사람들을 놀라게 하기 위해 갑작스럽고 어려운 문제를 내는 것이었다.,심술을 부렸다.
100,그는 강아지를 찾았다,그는 주변을 둘러보고 주인을 찾아서 강아지를 되돌려줄 것이다.,기뻤다.,강아지를 안전한 장소로 데려가거나 도움을 요청하는 것이었다.,"행복했는데, 왜냐하면 그는 강아지를 찾았기 때문이다."
101,그는 고양이를 좋아했다,그는 고양이를 만나면 즉시 접근하여 귀여워하고 안아주거나 놀아줄 것이다.,고양이를 키웠다.,고양이를 입양하거나 길에서 발견한 고양이를 돌봤다.,"그는 고양이를 샀는데, 왜냐하면 그는 고양이를 좋아했기 때문이다."
102,그는 하루 종일 게임을 했다,가만히 있으면서도 즐거워하며 계속해서 게임을 할 것이다.,공부를 하지 않았다.,게임을 플레이하는 것뿐이었다.,"공부를 안 했는데, 왜냐하면 그는 하루 종일 게임을 했기 때문이다."
103,그는 나중에 질문했다,"""그는 나중에 질문했다.""",이해했다.,무엇인가요?,이해하지 못했어
104,그는 지갑을 돌려받았다,"""지갑을 주인에게 되돌려준다.""",기뻐했다.,지갑을 잃어버린 사람에게 되돌려주는 것이었다.,"솔직히 말해서 기뻐했는데, 왜냐하면 그는 지갑을 돌려받았기 때문이다."
105,그는 그것을 학교에 가져갔다,그는 그것을 학교에 가져가지 않을 것이다.,도용,학교에서 그것을 사용하는 것이었다.,"그는 신발을 신었는데, 왜냐하면 그는 그것을 학교에 가져갔기 때문이다."
106,그는 무릎을 다쳤다,그는 즉시 의료진에게 도움을 요청할 것이다.,병원에 갔다.,무릎을 보호하고 안정을 취하는 것이었다. 그는 의사의 지시에 따라 무릎을 휴식시키고 얼음을 올려놓았다.,"달리기를 포기했는데, 왜냐하면 그는 무릎을 다쳤기 때문이다."
107,그는 갑자기 기억이 났다,그는 기억을 되찾았을 때 그에 대한 행동을 취할 것이다.,놀라워했다.,"무엇인지 생각해 보았지만, 아무것도 떠오르지 않았다.","그는 놀랐는데, 왜냐하면 그는 갑자기 기억이 났기 때문이다."
108,그는 아이와 함께 놀 수 있었다,그는 아이와 함께 놀 것이다.,아이와 함께 놀 수 있었다. 따라서 그는 행복했다.,"아이와 함께 놀이를 즐기고, 그들과 함께 시간을 보내며 즐거운 추억을 만들었다.","일찍 퇴근했는데, 왜냐하면 그는 아이와 함께 놀 수 있었기 때문이다."
109,그는 처음에는 어떻게 해야 할지 몰랐다,하지만 그는 조언을 구하고 상황을 분석한 후에 결정을 내릴 것이다.,주변 사람들에게 조언을 구했다., 먼저 조언을 구하기 위해 주변 사람들에게 도움을 요청하는 것이었다.,"초보자였는데, 왜냐하면 그는 처음에는 어떻게 해야 할지 몰랐기 때문이다."
110,그는 심지어 케이크도 만들었다,그는 케이크를 만들어 사람들과 함께 나누고 즐길 것이다.,베이커였다.,요리하는 것이었다.,"노력했는데, 왜냐하면 그는 심지어 케이크도 만들었기 때문이다."
111,그는 손을 들었다,"""그는 질문에 대답하거나 주의를 끌기 위해 손을 들었을 것이다.""",질문을 하였다.,무엇인지 물어보려고 했다.,"그는 물었는데, 왜냐하면 그는 질문을 하기 위해 손을 들었기 때문이다."
