,input,A,B,B2,B3
10,그는 실망한 표정였다,그 주변 사람들은 그가 실망한 것을 알고 불안해했다.,그의 실망을,그의 심리적인 상처와 좌절감이었다.,실망함을
11,그는 재미있어 보였다,그 주변 사람들은 그가 즐거워 보였을 것이다.,즐거움을,그의 존재가 항상 밝고 긍정적이라는 것이었다.,"주변 사람들은 즐거움을 느꼈는데, 왜냐하면 그는 재미있어 보였기 때문이다."
12,그는 신에게 충성을 바쳤다,주변 사람들은 그의 신앙심에 감동을 받았다.,그의 신앙심을 느꼈다.,그의 신앙심과 헌신이었다.,"감동적인 것을 느꼈는데, 왜냐하면 그는 신에게 충성을 바쳤기 때문이다."
13,그는 집에 가도 되었다,주변 사람들은 안심하고 안도감을 느꼈다.,그는 안전하게 도착했다. 따라서 주변 사람들은 안도하는 것을 느꼈다.,그는 마침내 안도의 한숨을 내쉬었다.,부정적인
14,그는 학교에 갈 옷을 준비했다,주변 사람들은 그가 학교에 갈 기쁨과 호기심으로 느꼈다.,그는 학교에 갈 옷을 준비했다. 따라서 주변 사람들은 그의 결심을 느꼈다.,그는 오늘 중요한 일이 있을 것 같다는 느낌이었다.,"놀람을 느꼈는데, 왜냐하면 그는 학교에 갈 옷을 준비했기 때문이다."
15,그는 피자 파티가 있었다,"""주변 사람들은 즐거웠다.""",배고픈 것을 느꼈다.,"피자의 풍부한 향과 맛으로 가득 찬 즐거움이었다. 함께 모여 먹는 피자는 항상 특별한 시간을 만들어주었고, 그 파티는 모두에게 기억에 남는 즐거운 경험이 되었다.",즐거운 것
16,그는 마침내 선택했다,"""주변 사람들은 안도하고 기뻤다.""",그의 결정에 대해 안도를 느꼈다.,그의 결정에 대한 안도와 안정감이었다.,"주변 사람들은 안도감을 느꼈는데, 왜냐하면 그는 마침내 선택했기 때문이다."
17,그는 너무 심하게 다쳤다,주변 사람들은 그의 다친 모습을 보고 깊이 걱정했다.,그의 안타까움을 느꼈다.,"안타까움과 걱정이었다. 그는 급히 병원으로 실려갔고, 치료를 받아야 했다.","애석한 것을 느꼈는데, 왜냐하면 그는 너무 심하게 다쳤기 때문이다."
18,그는 몸이 아프기 시작했다,주변 사람들은 그의 안녕을 걱정했다.,그는 불편한 것을 느꼈다.,그의 불편함과 걱정이었다. 그는 조언을 구하거나 도움을 요청하는 것이 좋겠다고 생각했다.,"주변 사람들은 걱정된 것을 느꼈는데, 왜냐하면 그는 몸이 아프기 시작했기 때문이다."
19,그는 밤에 잠을 잘 이루지 못했다,주변 사람들은 그의 건강과 안녕을 걱정했다.,그는 피곤한 것을 느꼈다.,그의 피곤함과 예민함이었다. 그는 낮에도 자주 졸렸고 집중력이 떨어졌다.,졸음을
20,그는 새로운 기술을 배웠다,그 주변 사람들은 놀라고 기쁘게 느꼈다.,그의 열정과 노력,그의 열정과 끊임없는 성장이었다.,"놀라운 것을 느꼈는데, 왜냐하면 그는 새로운 기술을 배웠기 때문이다."
21,그는 황금알을 낳는 거위를 죽였다,그 사람들은 충격과 분노를 느꼈다.,탐욕,그는 이제 더 이상 황금을 얻을 수 없다는 절망이었다.,불합리한
22,그는 대학에 지원했다,"""그의 가족과 친구들은 기뻤고, 지원했던 대학에 대한 기대감이 높아졌다.""",그는 대학에 지원했다. 따라서 주변 사람들은 그의 노력을 느꼈다.,그가 미래에 대한 계획을 가지고 있고 성공을 추구하는 것이었다.,부러움을
23,그는 홀인원을 기록했다,주변 사람들은 놀라워했다.,놀라운 것을 느꼈다.,"""그의 놀라운 실력에 대한 경탄이었다.""",놀라운 것을
24,그는 방과 후 친구들과 농구를 했다,주변 사람들은 즐거웠다.,즐거움을,그는 스포츠를 좋아하는 활발한 사람이라는 것이었다.,즐거움을
25,그는 곧 기분이 나아질 겄다,그 주변 사람들은 안심하고 안도했다.,그의 기분이 나아질 것을 느꼈다.,그의 긍정적인 변화였다.,"주변 사람들은 안도를 느꼈는데, 왜냐하면 그는 곧 기분이 나아질 것이기 때문이다."
26,그는 커피를 머그잔에 마셨다,주변 사람들은 그가 일상적인 행동을 하는 것으로 생각했다.,그의 커피 향을 느꼈다.,그의 카페인 중독이었다.,"따뜻한 분위기를 느꼈는데, 왜냐하면 그는 커피를 머그잔에 마셨기 때문이다."
27,그는 엔진을 망가뜨렸다,"""주변 사람들은 실망과 당황을 느꼈다.""",분노된,"분노와 실망이었다. 그의 부주의한 행동으로 인해 많은 사람들이 피해를 입었고, 이는 그의 책임이었다.",분노(angry)
28,그는 새로운 새끼 고양이를 얻었다,"""주변 사람들은 기뻤다.""",기쁨과 호기심을 느꼈다.,새로운 가족 구성원이 생긴 것이었다.,기쁨을
29,그는 과거는 과거로 뒀다,그 주변 사람들은 안도감과 안정감을 느꼈다.,과거의 일에 대해 더 이상 신경 쓰지 않는 것을 느꼈다.,"그의 변화와 성장이었다. 그는 자신의 실수와 어려움을 인정하고, 그것들로부터 배우며 나아가려고 노력했다.","주변 사람들은 안도를 느꼈는데, 왜냐하면 그는 과거는 과거로 뒀기 때문이다."
30,그는 새 기타를 구입했다,"""그의 친구들은 기뻐했다.""",음악적 재능을,새로운 소리와 음악적 재능을 발견한 것이었다.,기쁨을
31,그도 노력했다,주변 사람들은 그에게 공감하고 놀라워했다.,"
그도 노력했다. 따라서 주변 사람들은 그의 노력을 느꼈다.",그의 열정과 헌신이었다.,"주변 사람들은 감동을 느꼈는데, 왜냐하면 그도 노력했기 때문이다."
32,그는 시간을 가졌다,주변 사람들은 놀라거나 부러워했다.,그는 안정감을 가졌다. 따라서 주변 사람들은 안심된 것을 느꼈다.,그는 항상 차분하고 조용한 것이었다.,"주변 사람들은 부러움을 느꼈는데, 왜냐하면 그는 시간을 가졌기 때문이다."
33,그는 애완동물을 허용했다,"""주변 사람들은 기뻤다.""",애완동물의 존재를 느꼈다.,그는 동물을 좋아한다는 것이었다.,"주변 사람들은 안도된 것을 느꼈는데, 왜냐하면 그는 애완동물을 허용했기 때문이다."
34,그는 휴대폰을 받았다,그들은 놀라거나 기뻐했다.,그의 흥분을 느꼈다.,"그의 관심이 휴대폰에 집중되어 있고, 그의 반응이 느리다는 것이었다.","주변 사람들은 부러움을 느꼈는데, 왜냐하면 그는 휴대폰을 받았기 때문이다."
35,그는 C를 받았다,"""주변 사람들은 실망했다.""",실망된 것을 느꼈다.,"실망과 걱정이었다. 그의 미래에 대해 걱정하며, 더 많은 노력을 기울여야 한다는 생각이 들었다.","실망한(disappointed) 것을 느꼈는데, 왜냐하면 그는 C를 받았기 때문이다."
36,그는 TV를 구입했다,"""주변 사람들은 그가 TV를 구입해서 기뻐했다.""",부러움,그의 삶이 풍부해지고 편안해졌다는 것이었다.,부러움을
37,그는 다리를 심하게 다쳤다,주변 사람들은 그에 대해 걱정하고 안타까워했다.,그는 그의 상황에 대한 안타김을 느꼈다.,그의 고통과 불편함이었다. 그는 보행에 어려움을 겪고 일상생활에서도 제약을 받게 되었다.,애석한
38,그는 그녀의 바지에 오줌을 쌌다,주변 사람들은 당황하고 불쾌해했다.,냄새,그녀는 당황하고 창피해하며 주변을 둘러보았다.,당황한
39,그는 찾을 수 없었다,주변 사람들은 놀라고 걱정했다.,그의 실종에 대한 걱정과 불안을 느꼈다.,그의 부재와 불안감이었다.,"주변 사람들은 실망을 느꼈는데, 왜냐하면 그는 찾을 수 없었기 때문이다."
40,그는 곧 나아질 겄다,그 주변 사람들은 안심했다.,그의 회복을 믿었다.,희망이었다. 그의 노력과 의지를 보면서 주변 사람들은 그가 곧 나아질 것이라고 믿었다.,"불안한 것을 느꼈는데, 왜냐하면 그는 곧 나아질 것이기 때문이다."
41,그는 새 카메라를 구입했다,"""주변 사람들은 그가 기뻐하는 것을 느꼈다.""",그의 열정적인 사진 찍기에 대한 열정을느꼈다.,"그의 열정과 흥분이었다. 새로운 카메라를 들고 다니면서 그는 사진을 찍는 즐거움을 잊지 않았고, 주변 사람들도 그의 열정에 영향을 받았다.",기대감을
42,그는 어젯밤부터 시작했다,주변 사람들은 불안해하거나 걱정했을 것이다.,그는 어젯밤부터 시작했다. 따라서 주변 사람들은 변화된 것을 느꼈다.,그의 변화였다. 그는 새로운 에너지와 열정을 발산하며 주변을 놀라게 했다.,"주변 사람들은 불안한 것을 느꼈는데, 왜냐하면 그는 어젯밤부터 시작했기 때문이다."
43,그는 강아지를 키우고 싶다고 했다,"""그의 주변 사람들은 기쁘거나 호감을 가졌을 것이다.""",이에 대해 호의적인 것을 느꼈다.,그 그의 결심이 강하고 진지하다는 것이었다.,부러움을
44,그는 등산했다,주변 사람들은 그가 즐거웠을 것이라고 느꼈다.,그의 활기찬 모습을 느꼈다., 그의 운동 신체적인 활동으로 인해 그의 건강과 체력이 향상되었다는 것이었다.,피곤한 것을
45,그는 휴대폰을 가지고 있었다,주변 사람들은 그가 휴대폰을 가지고 있어 안심했다.,그의 연락이 오거나 그가 문자를 보내고 있다는 것을 느꼈다.,그는 언제든지 연락을 받거나 하는 것이 가능하다는 안도감이었다.,이상한
46,그는 전화 한 통을 받았다,주변 사람들은 궁금하거나 놀라거나 기대감을 느꼈을 것이다.,그는 무언가 중요한 일이 있을 것을 느꼈다.,그는 놀라움과 궁금함이었다. 왜냐하면 그의 표정이 갑자기 변했기 때문이다.,놀람을
47,그는 더 높이 올라갔다,주변 사람들은 놀라거나 감탄했을 것이다.,그는 놀라운 것을 느꼈다.,그의 성취감과 자신감이 커지고 있는 것이었다.,자랑스러운
48,그는 이발이 필요했다,"""그의 주변 사람들은 그가 이발을 받아야 한다고 생각했다.""",그의 외모가 개선되었다.,그의 머리카락이 너무 길어서 정리되지 않은 모습이었다.,깔끔함을
49,그는 지갑을 집에 두고 왔다,"""그의 친구들은 걱정되고 당황했다.""",그의 부주의함을,그 그의 지갑을 잊어버린 것이었다.,당신이 말하려는 감정을 채워주세요.
50,그는 목록을 잊어버렸다,"""그의 실수로 인해 주변 사람들은 당황했고, 불편함을 느꼈다.""",그는 혼란스러워하는 것을 느꼈다.,"그 일을 처리하는 데 어려움이 있었고, 일정이 혼란스러웠다.",불안한 것을
51,그는 페이지를 넘겼다,주변 사람들은 궁금하거나 기대감을 느꼈다.,그는 이야기에 몰두하고 있다. 따라서 주변 사람들은 그의 집중력을 느꼈다.,그의 빠른 독서 속도에 대한 놀라움이었다.,"다양한 감정을 느꼈는데, 왜냐하면 그는 새로운 정보를 얻었기 때문이다."
52,그는 도넛도 먹었다,주변 사람들은 놀라거나 놀리거나 혹은 부러워할 수 있었다.,"""케이크를 먹을 것을 느꼈다.""",그는 정말 배가 고팠다는 것이었다.,부정적인 것을
53,그는 그것을 학교에 가져왔다,"주변 사람들은 놀랐고, 걱정스러워했다.",그것의 냄새를,그의 열정과 진지함이었다.,"주변 사람들은 호기심을 느꼈는데, 왜냐하면 그는 그것을 학교에 가져왔기 때문이다."
54,그는 좋아하는 사람에게 물어봤다,그 주변 사람들은 기뻤을 것이다.,그의 관심과 진지함을느꼈다.,그의 진지한 관심과 애정이었다.,"주변 사람들은 호감을 느꼈는데, 왜냐하면 그는 좋아하는 사람에게 물어봤기 때문이다."
55,그는 자신을 인식했다,그 주변 사람들은 안도와 기쁨을 느꼈다.,자신의 자부심과 자신감," 그의 변화였다. 그는 더욱 자신감 있고 성숙해 보였고, 주변 사람들도 그의 변화를 느꼈다.","주변 사람들은 안정감을 느꼈는데, 왜냐하면 그는 자신을 인식했기 때문이다."
56,그는 새 옷을 구입했다,"""주변 사람들은 그의 새 옷을 보고 기쁘거나 부러워했다.""",그의 변화된 모습을,그의 새로운 스타일과 자신감이었다.,기분 좋은
57,그는 모든 인형을 외웠다,주변 사람들은 놀라거나 감탄했을 것이다.,그의 기억력이 놀라운 것을 느꼈다.,그의 놀라운 기억력과 지식에 대한 경탄이었다.,놀람을
58,그는 훨씬 좋아 보였다,주변 사람들은 그가 좋아 보여서 기뻐했다.,이전보다 더 행복한,그가 행복해 보였다.,"주변 사람들은 호감을 느꼈는데, 왜냐하면 그는 훨씬 좋아 보였기 때문이다."
59,그는 요리하고 싶어 하지 않았다,"""주변 사람들은 그가 싫증을 냈다고 생각했다.""","""무관심""", 그는 요리에 대한 관심이 없는 것으로 보였다.,"불안한 것을 느꼈는데, 왜냐하면 그는 요리하고 싶어 하지 않았기 때문이다."
60,그는 새 자전거를 구입했다,"""주변 사람들은 그가 기뻐하는 것을 보고 기뻐했다.""",부러움,"새 자전거에 대한 부러움과 질투였다. 그의 새 자전거는 주변 사람들에게 눈에 띄었고, 그의 자전거를 보고 있는 모습을 보면서 다른 이들은 그의 새로운 소유물에 대한 부러움을 느꼈다.",기쁨을
61,그는 목줄을 사용했다,주변 사람들은 놀라거나 분노했을 것이다.,그는 그의 반려견을 통제하고 있었다. 따라서 주변 사람들은 안전함을 느꼈다.,그는 강아지나 다른 동물을 통제하려는 의도였다.,이상한 것(restraint)
62,그는 커피를 주문했다,그 주변 사람들은 그가 일상적인 행동을 하는 것으로 생각했다.,카페인의 향기를 느꼈다.,그는 커피를 주문했다. 따라서 주변 사람들이 느꼈던 것은 그가 졸린 상태에서 벗어나기 위해 카페인을 필요로 한다는 것이었다.,"놀람을 느꼈는데, 왜냐하면 그는 커피를 주문했기 때문이다."
63,그는 태클을 당했다,주변 사람들은 그의 태클을 당한 것에 대해 안타까워했다.,그는 위험한 상황에 처해 있음을 느꼈다.,그는 충격적인 충돌 소리와 함께 땅에 넘어지는 모습을 보고 깜짝 놀랐다.,"당혹스러운 것을 느꼈는데, 왜냐하면 그는 태클을 당했기 때문이다."
64,그는 그녀에게 몸을 기울였다,그 주변 사람들은 놀라거나 당황했을 것이다.,따라서 주변 사람들은 그들 사이에 어떤 특별한 관계가 있다는 것을 느꼈다.,그는 그녀에게 관심을 보였다. 따라서 주변 사람들이 느꼈던 것은 그의 진심된 관심과 애정이었다.,애정을
65,그는 오른쪽으로 향했다,"""그의 행동에 대해 혼란스러워했다.""",그의 움직임을 느꼈다.,그의 관심이 다른 방향에 있다는 것이었다.,"불안한 것을 느꼈는데, 왜냐하면 그는 오른쪽으로 향했기 때문이다."
66,그는 배심원 의무를 위해 소환되었다,"""그의 가족과 친구들은 걱정스러워했고, 그가 소환된 일에 대해 불안해 했을 것이다.""",그는 법정에서 중요한 역할을 맡게 될 것을 느꼈다.,그의 책임감과 의무감이었다.,"불편함을 느꼈는데, 왜냐하면 그는 배심원 의무를 위해 소환되었기 때문이다."
67,그는 자신을 과시했다,주변 사람들은 그의 자만심을 느꼈을 것이다.,자신의 자만심과 오만함, 그의 자만심과 오만함이었다.,자만심을
68,그는 쿠키도 만들었다,"""주변 사람들은 놀라거나 기쁘거나 궁금해했다.""",그의 쿠키를 맛보고 싶어했다.,그는 정말 다재다능하다는 것이었다.,"주변 사람들은 향기를 느꼈는데, 왜냐하면 그는 쿠키도 만들었기 때문이다."
69,그는 유치원에 입학했다,"""가족들은 기뻤고, 주변 사람들은 궁금해했다.""",그는 어린이들과 함께 하는 것을 느꼈다.,그는 아직 어린 아이로 여겨졌다.,불안한/기쁜/놀란/설레는
70,그는 구걸하러 갔다,주변 사람들은 안타깝게 생각했다.,그의 빈곤을,그의 절박한 상황과 어쩔 수 없는 필요에 대한 안타까움이었다.,불쾌한 것을
71,그는 면도를 중단했다,"""주변 사람들은 놀라거나 궁금해했다.""",그의 변화된 외모를 느꼈다.,그는 더 이상 자신의 외모에 신경을 쓰지 않는 것이었다.,불안한 것을
72,그는 약속을 잡았다,"""주변 사람들은 기쁘거나 기대감을 느꼈을 것이다.""",그는 약속을 잡았다. 따라서 주변 사람들은 기대감을 느꼈다.,그는 믿음직한 사람이라는 것이었다.,신뢰할 만한
73,그는 스스로 일을 자초했다,그 주변 사람들은 충격과 안타까움을 느꼈다.,그는 스스로 일을 자초했다. 따라서 주변 사람들은 그의 결단력을 느꼈다.,그는 자신의 능력과 결단력에 감탄하며 그를 따르고 싶어했다.,"불안한 것을 느꼈는데, 왜냐하면 그는 스스로 일을 자초했기 때문이다."
74,그는 방과 후 축구를 했다,주변 사람들은 놀라거나 궁금해했을 것이다.,그의 열정적인 태도를 느꼈다.,그는 정말 열정적이고 활기찬 모습이었다.,"즐거운 것을 느꼈는데, 왜냐하면 그는 방과 후 축구를 했기 때문이다."
75,그는 그 의미를 설명했다,주변 사람들은 궁금했고 이해하려고 노력했다.,이해한,그의 말이 논리적이고 이해하기 쉬웠다.,"주변 사람들은 감동을 느꼈는데, 왜냐하면 그는 그 의미를 설명했기 때문이다."
76,그는 처음 이발을 했다,"""주변 사람들은 놀라거나 궁금해했다.""",그의 변화된 모습을 느꼈다.,그의 새로운 변화와 신선한 느낌이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 처음 이발을 했기 때문이다."
77,그는 온몸에 흘리고 있었다,주변 사람들은 그를 동정하고 걱정했다.,불안함을,그의 불안과 긴장감이었다.,"주변 사람들은 불안함을 느꼈는데, 왜냐하면 그는 온몸에 땀을 흘리고 있었기 때문이다."
78,그는 드디어 도착했다,주변 사람들은 안도하고 기뻤다.,기쁨,그의 도착으로 인해 긴장감이 풀린 것이었다.,기쁨을
79,그는 그녀를 죽음으로 이끌었다,주변 사람들은 충격과 슬픔을 느꼈다.,슬픔과 충격을 느꼈다.,그녀의 죽음으로 인한 슬픔과 분노였다.,분노와 슬픔을
80,그는 그녀를 만나러 갔다,그들은 기쁘고 설레었다.,사랑하는 것,그들 사이에 특별한 관계가 있을 것이라고 생각했다.,"불안한 것을 느꼈는데, 왜냐하면 그는 그녀를 만나러 갔기 때문이다."
81,그는 2013년에 캠브리지로 이사했다,"""그의 친구들은 그의 새로운 시작을 응원했다.""",그의 삶이 변화되고 새로운 시작을 하는 것을 느꼈다.,"그의 삶이 급격히 변화하고, 그가 새로운 도시에서 어떻게 적응할지 궁금증이었다.","주변 사람들은 호기심을 느꼈는데, 왜냐하면 그는 2013년에 캠브리지로 이사했기 때문이다."
82,그는 그녀의 턱을 꽉 움켜쥐었다,그 주변 사람들은 놀라거나 걱정했을 것이다.,그녀를 도와주거나 상황을 해결하기 위해 개입해야 한다는 것을 느꼈다.,그는 그녀를 향한 분노와 공격적인 감정이었다.,불안한 것
83,그는 어젯밤 피자를 다 먹었다,"""주변 사람들은 놀랐고, 놀라워했다.""",그는 배가 부른 것을 느꼈다.,"""그는 배가 부르고 만족한 모습이었다.""",만족감을
84,그는 고양이 알레르기가 있었다,그 주변 사람들은 그를 위해 안타까워했다.,그는 주변 사람들은 고양이를 피해야겠다는 것을 느꼈다.,그의 반응이 고양이와 가까워질 때마다 증상이 나타나는 것이었다.,이상한 것(reaction)
85,그는 마침내 먹이를 찾았다,주변 사람들은 안도하고 기뻐했다.,기쁨과 안도함을 느꼈다.,그는 기쁨과 안도였다.,"만족함을 느꼈는데, 왜냐하면 그는 마침내 먹이를 찾았기 때문이다."
86,그는 다리를 삐끗했다,주변 사람들은 그를 걱정했다.,그는 아픔을 느꼈다.,"그의 통증과 불편함이었다. 그는 걷기가 어려워졌고, 일상생활에서 많은 제약을 받게 되었다.",애석한/안타까운
87,그는 내 머리를 때렸다,"""주변 사람들은 분노와 충격을 느꼈다.""",분노와 불안을느꼈다.,내가 공격당한 것이 아니라는 것이었다.,분노(angry)
88,그는 그녀를 죽이러 갔다,그 사건을 목격한 주변 사람들은 충격과 공포를 느꼈을 것이다.,그의 의도를,"두려움과 충격이었다. 사람들은 그의 행동에 대해 어떻게 이해할 수 없는 일이라고 생각했고, 그의 행동으로 인해 모두가 안전을 위협받았다고 느꼈다.",불안한 것을
89,그는 제시간에 집에 도착했다,주변 사람들은 안심하고 안도했다.,안심된 것을 느꼈다., 안전하고 신뢰할 수 있는 사람이라는 것이었다.,안도함을
90,그는 저녁을 먹었다,그 주변 사람들은 평범하게 느꼈다.,배부른 것,"만족감이었다. 그는 배가 고팠고, 식사를 즐겁게 하고 왔기 때문에 주변 사람들도 그의 만족스러운 모습을 느꼈을 것이다.","만족한(replete) 것을 느꼈는데, 왜냐하면 그는 저녁을 먹었기 때문이다."
91,오늘은 그녀의 마지막 날였다,그 주변 사람들은 슬펐을 것이다.,슬픔과 이별을 느꼈다.,그녀를 보내는 슬픔과 이별의 아픔이었다.,슬픔을
92,그는 그녀가 그럴 거라고 했다,주변 사람들은 놀라거나 실망했을 것이다.,불안한 것을 느꼈다.,그녀가 그의 말을 믿지 않는 것이었다.,"주변 사람들은 놀라운 것을 느꼈는데, 왜냐하면 그는 그녀가 그럴 거라고 했기 때문이다."
93,그는 수상한 냄새를 맡았다,"""주변 사람들은 놀라거나 걱정스러워했다.""",그가 무언가를 은밀하게 숨기고 있다고 느꼈다.,그의 행동이나 말투에 대한 의심이었다.,"주변 사람들은 불쾌한 것을 느꼈는데, 왜냐하면 그는 수상한 냄새를 맡았기 때문이다."
94,그는 엄마에게 선물했다,"""그의 선물에 감동받아서 기뻐했다.""",그의 관심과 사랑을 느꼈다.,그는 어른이 되어가고 있다는 것이었다.,"주변 사람들은 감동을 느꼈는데, 왜냐하면 그는 엄마에게 선물했기 때문이다."
95,그는 금반지를 발견했다,"""주변 사람들은 놀라거나 기쁘거나 부러워했다.""",그는 행운을 느꼈다.,그는 행운이 따른 것이었다.,놀라운(reaction)
96,그는 캠프파이어를 시작했다,주변 사람들은 기쁘고 흥분했다.,따뜻함과 안전함,따뜻한 불꽃이 피어오르며 안전과 안정감이 느껴졌다. 함께 모여 앉아 이야기를 나누고 음악을 즐기며 즐거운 시간을 보낼 수 있었다.,"따뜻함과 안정감을 느꼈는데, 왜냐하면 그는 캠프파이어를 시작했기 때문이다."
97,그는 보고서를 작성했다,주변 사람들은 안도하고 안심했다.,그의 열정과 전문성을 느꼈다.,그는 열심히 일했다는 것이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 보고서를 작성했기 때문이다."
98,그는 '펑'하는 소리를 들었다,주변 사람들은 놀라거나 깜짝 놀라서 불안해했다.,그는 냄새를 느꼈다.,쾅하는 충격과 함께 공기가 흔들리는 느낌이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 '펑'하는 소리를 들었기 때문이다."
99,그는 깜짝퀴즈를 출제했다,주변 사람들은 궁금하고 기대감을 느꼈다.,놀라움을,놀라움과 긴장감이었다. 그의 예상치 못한 질문에 대답하기 위해 모두가 신경을 곤두세웠다.,놀라움을
100,그는 강아지를 찾았다,"""주변 사람들은 기뻤다.""",기쁨과 안도함을 느꼈다.,애완동물을 찾는 그의 열정과 사랑이었다.,"놀라운 것을 느꼈는데, 왜냐하면 그는 강아지를 찾았기 때문이다."
101,그는 고양이를 좋아했다,그 주변 사람들은 그가 고양이를 좋아하는 것에 대해 기뻐했다.,그는 사랑스러운 것을 느꼈다.,그는 항상 고양이들을 사랑하는 따뜻한 마음을 가졌다.,"주변 사람들은 그가 다정한 것을 느꼈는데, 왜냐하면 그는 고양이를 좋아했기 때문이다."
102,그는 하루 종일 게임을 했다,"""그의 친구들은 걱정되고, 불안해했다.""",그의 게임 중독을 느꼈다.,그는 현실을 외면하고 있는 것 같았다.,"짜증을 느꼈을 것을 느꼈는데, 왜냐하면 그는 하루 종일 게임을 했기 때문이다."
103,그는 나중에 질문했다,"주변 사람들은 당황했고, 혼란스러웠다.",불안한,그는 궁금증을 가지고 있었다.,"주변 사람들은 당혹스러운 것을 느꼈는데, 왜냐하면 그는 나중에 질문했기 때문이다."
104,그는 지갑을 돌려받았다,"""주변 사람들은 안심하고 기뻐했다.""",안도함,그는 정직하고 성실한 사람이라는 것이었다.,안도함을
105,그는 그것을 학교에 가져갔다,주변 사람들은 불안하고 놀라웠다.,그것을 느꼈다.,그는 그것을 자랑스럽게 보여주고 싶어했기 때문에 주변 사람들이 느꼈던 것은 그의 자부심과 자신감이었다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 그것을 학교에 가져갔기 때문이다."
106,그는 무릎을 다쳤다,"""주변 사람들은 그가 아픈 것을 알고 걱정했다.""",그는 아픔을 느꼈다.,"안타까움과 걱정이었다. 그는 통증을 참느라 힘들어하고 있었기 때문에, 주변 사람들은 그를 도와주고 위로해주려고 했다.",애석한
107,그는 갑자기 기억이 났다,그 주변 사람들은 놀라거나 당황했을 것이다.,그의 표정이 변했고 불안한 것을 느꼈다.,그 그의 표정이 변하는 것을 보고 궁금해했다.,"주변 사람들은 놀라움을 느꼈는데, 왜냐하면 그는 갑자기 기억이 났기 때문이다."
108,그는 아이와 함께 놀 수 있었다,"""그의 주변 사람들은 기쁘고 감동했다.""",그는 행복한 것을 느꼈다.,그는 따뜻하고 관대한 부모라는 것이었다.,행복한
