,input,A,B,B2,B3
72,그는 약속을 잡았다,다른 사람과 약속을 잡았다.,일정을 확인해서 약속 시간에 맞출 수 있도록 조치를 취해야 했다., 상대방과의 일정을 조율하고 장소를 정하는 것이었다.,"늦어야 했는데, 이는 그는 약속을 잡기 위해서였다."
73,그는 스스로 일을 자초했다,자신의 능력과 자원을 이용하여 새로운 일을 시작하거나 기회를 찾아야 한다.,노력,노력하고 계획을 세워야 했다.,"떠나야 했는데, 이는 그는 스스로 일을 자초하기 위해서였다."
74,그는 방과 후 축구를 했다,그는 축구화를 신고 축구장으로 이동해야 한다.,체육복을 입어야 했다., 축구화를 신고 축구공을 가져가는 것이었다.,"그는 빨랐어야 했는데, 이는 그는 방과 후 축구를 하기 위해서였다."
75,그는 그 의미를 설명했다,다음의 사건이 일어나기 위해서 그는 그 의미를 설명했어야 한다.,그는 그 의미를 설명했다. 이를 위해 그는 말했어야 했다.,그가 관련된 사실과 정보를 제공하고 예시를 들어야 했다.,"그는 말을 해야 했는데, 이는 그는 그 의미를 설명하기 위해서였다."
76,그는 처음 이발을 했다,이발사 교육을 받아야 한다.,이발사에게 예약, 먼저 이발용 가위와 이발기를 사용하여 머리를 정리하는 것이었다.,"긴 머리를 자르___어야 했는데, 이는 그는 처음 이발을 하기 위해서였다."
77,그는 온몸에 흘리고 있었다,그는 온몸에 물을 흘려야 했다.,그는 온몸에 흘리고 있었다. 이를 위해 그는 수술을 받아야 했다.,물을 닦고 청소하는 것이었다.,"울어야 했는데, 이는 그는 온몸에 흘리고 있기 위해서였다."
78,그는 드디어 도착했다,그는 출발하여 목적지로 향했어야 한다.,그는 여행을 예약하고 준비를 해야 했어야 했다.," 목적지에 도착하는 것이었다. 그를 위해 그가 했어야 한 것은 길을 잘 찾고, 교통 상황을 파악하며 안전 운전하는 것이었다.","늦어야 했는데, 이는 그는 드디어 도착하기 위해서였다."
79,그는 그녀를 죽음으로 이끌었다,그는 그녀를 살해해야 했다.,그녀를 죽음으로 이끌었다. 이를 위해 그는 계획을 세웠어야 했다.,그녀를 살해하는 계획을 세우고 그에 따라 행동하는 것이었다.,"그는 누군가를 속여야 했는데, 이는 그녀를 죽음으로 이끌기 위해서였다."
80,그는 그녀를 만나러 갔다,그녀와의 만남을 위해 그녀와의 약속 장소로 이동해야 한다.,노력하여 계획을 세웠어야 했다.,그녀와의 약속 장소를 찾아가는 것이었다.,떠나야 했어
81,그는 2013년에 캠브리지로 이사했다,그는 캠브리지로 이사를 해야 했다.,이사 준비를 해야 했어야 했다.,캠브리지에서의 새로운 집을 찾고 이사 준비를 하는 것이었다.,이사
82,그는 그녀의 턱을 꽉 움켜쥐었다,폭력을 행사하거나 위협하는 행동을 멈추고 그녀와 평화적인 대화를 시도해야 한다.,힘을 사용해야 했다.,그녀를 놓아주는 것이었다. 그러나 그는 그녀를 계속 꽉 움켜쥐고 있었다.,"그는 분노어야 했는데, 이는 그는 그녀의 턱을 꽉 움켜쥐기 위해서였다."
83,그는 어젯밤 피자를 다 먹었다,그는 어젯밤 피자를 다 먹은 후에 속이 아프고 잠을 설치지 못할 것이다.,돈을 내야 했다.,피자 주문을 하고 기다리는 것이었다.,"배고팠어야 했는데, 이는 그는 어젯밤 피자를 다 먹기 위해서였다."
84,그는 고양이 알레르기가 있었다,의사에게 방문하여 알레르기 테스트를 받아야 한다.,고양이와의 접촉을 피해야 했다.,고양이와의 접촉을 피하거나 알레르기 반응을 줄일 수 있는 약물을 복용하는 것이었다.,"알레르기 테스트를 받아야 했는데, 이는 그는 고양이 알레르기가 있기 위해서였다."
85,그는 마침내 먹이를 찾았다,그는 사냥을 하거나 먹이를 찾아야 한다.,사냥,"먹이를 잡기 위해 그가 했어야 한 것은 주변을 탐색하여 먹이의 흔적을 찾고, 먹이가 숨어있을 만한 잠복처를 발견하는 것이었다.",배고픈(famished)
86,그는 다리를 삐끗했다,그는 다리를 쉬어야 한다.,의사를 찾아야 했다., 의사를 찾아서 상담을 받는 것이었다. 가능한 빨리 치료를 받아야 했기 때문에 그의 건강을 위해 신속하게 대처해야 했다.,달려야
87,그는 내 머리를 때렸다,그는 내 머리를 때리기 위해 내게 폭력을 행사해야 한다.,그는 내 머리를 때리기 위해 합당한 이유를 제시해야 했다.,내게 사과하는 것이었다.,미쳐야 했어
88,그는 그녀를 죽이러 갔다,그는 범죄를 저지르기 위해 계획을 세우고 그녀를 살해하러 갔어야 했다.,계획을 세워야,"그녀를 찾아야 했고, 적절한 시간과 장소를 선택해야 했다. 또한 살인을 위한 계획을 세워야 했으며, 이를 위해 필요한 도구나 무기를 확보해야 했다. 마지막으로는 범행 현장을 청","그는 놀라워했어야 했는데, 이는 그는 그녀를 죽이러 가기 위해서였다."
89,그는 제시간에 집에 도착했다,그는 출근 시간에 출발하여 교통 상황을 신경써야 했다.,정확한 시간에 출발, 교통 상황을 신중히 파악하고 출발 시간을 미리 계산하는 것이었다.,"늦지 않아야 했는데, 이는 그는 제시간에 집에 도착하기 위해서였다."
90,그는 저녁을 먹었다,그는 식사를 마친 후에 집으로 돌아가야 한다.,식료품을 사러 가야 했다.,식사 준비를 하거나 식당에 가서 주문을 해야 했다.,배고픈
91,오늘은 그녀의 마지막 날였다,이 사건이 일어나기 위해서는 그가 그녀와 작별 인사를 해야 한다.,그는 그녀에게 작별 인사를 해야 했다.,"없었다. 모든 것을 다 해줬고, 마지막으로는 그녀를 위해 기도했다.","그는 슬플 수밖에 없었어야 했는데, 이는 오늘은 그녀의 마지막 날이기 위해서였다."
92,그는 그녀가 그럴 거라고 했다,그는 그녀가 그럴 거라고 믿을 만한 증거나 이유를 제시해야 한다.,그녀를 설득하는 데 더 많은 노력을 기울여야 했다.,그녀에게 미리 알려주는 것이었다.,"그는 그녀에게 솔직해야 했는데, 이는 그녀가 그럴 거라고 하기 위해서였다."
93,그는 수상한 냄새를 맡았다,그는 주변을 살펴보고 냄새의 원인을 찾아봐야 한다.,그는 주변을 살펴봐야 했어야 했다.,그 근처를 더 자세히 살펴보고 주변을 탐색하는 것이었다.,의심스럽다
94,그는 엄마에게 선물했다,선물을 사서 엄마에게 주어야 한다.,노력,엄마의 취향과 적합한 선물을 고르는 것이었다.,"그는 돈을 벌어야 했는데, 이는 그는 엄마에게 선물하기 위해서였다."
95,그는 금반지를 발견했다,그는 지하에서 파서 보석을 찾아야 한다.,그는 지구를 파헤쳐야 했다.,금반지를 발견하기 위해 그가 했어야 한 것은 지하실을 철물점에서 빌려온 강력한 탐지기로 철저히 조사하는 것이었다.,금반지를 발견하기 위해서였다.
96,그는 캠프파이어를 시작했다,그는 장작을 모아서 캠프파이어를 시작했어야 한다.,장작을 준비해서 캠프파이어를 시작했어야 했다.," 장작을 모으고, 나무를 썰어서 불을 피우는 것이었다.","불을 피우러 갔어야 했는데, 이는 그는 캠프파이어를 시작하기 위해서였다."
97,그는 보고서를 작성했다,보고서를 작성하여 해당 사건이 일어나기 위해서는 그가 보고서에 대한 정보와 자료를 수집하고 분석하여 내용을 정리하고 작성해야 한다.,조사와 데이터 분석을 해야 했어야 했다.,자료를 수집하고 분석하는 것이었다.,"쓰러져야 했는데, 이는 그는 보고서를 작성하기 위해서였다."
98,그는 '펑'하는 소리를 들었다,그는 불을 피웠어야 한다.,그는 방향을 바꿔야 했어야 했다.,화장실 문을 닫는 것이었다.,"그는 방금 떨어져야 했는데, 이는 그가 '펑'하는 소리를 듣기 위해서였다."
99,그는 깜짝퀴즈를 출제했다,그는 깜짝퀴즈를 출제하기 위해 질문을 준비하고 참여자들에게 제시해야 한다.,문제를 출제하기 위해 그는 사전에 준비를 해야 했다.,"퀴즈의 주제를 선택하고, 출제할 문제들을 준비하는 것이었다.","당황했어야 했는데, 이는 그는 깜짝퀴즈를 출제하기 위해서였다."
100,그는 강아지를 찾았다,그는 주변을 둘러보고 강아지를 찾아야 했다.,주변을 둘러보고 문을 두드려야 했다.,강아지의 행방을 묻거나 주변을 둘러보는 것이었다.,"실망했어야 했는데, 이는 그는 강아지를 찾기 위해서였다."
101,그는 고양이를 좋아했다,그는 고양이를 입양하거나 돌보는 책임을 짊어져야 했다.,고양이를 키워야 했다.,고양이를 키우는 것이었다.,"개를 가지고 있어야 했는데, 이는 그는 고양이를 좋아하기 위해서였다."
