,input,A,B,B2
27,그는 엔진을 망가뜨렸다,그는 차를 운전하다가 엔진을 망가뜨렸다.,운전 중,엔진 오일을 교체하지 않았기 때문에 발생한 문제였다.
28,그는 새로운 새끼 고양이를 얻었다,그는 동물 보호소에서 새끼 고양이를 입양했다.,새끼 고양이를 키우기 전에 일어났다.,가지고 있던 고양이는 이미 나이가 많아져서 잠시 후에 돌아가 버렸다.
29,그는 과거는 과거로 뒀다,과거를 과거로 뒀다.,그는 과거는 과거로 뒀다. 이는 일어나기 전에 일어났다.,어떤 일이 있었던 것은 잊으려고 했다.
30,그는 새 기타를 구입했다,그는 기타 연주를 배우기로 결심했다.,구입하기 전에 일어난 일은 연습이다.,사용하던 기타가 너무 낡아서 소리가 이상해졌기 때문이었다.
31,그도 노력했다,"어떤 일이 벌어지기 전에, 그 사람은 노력했다.",실패,어떤 일을 하려고 했지만 실패했다.
32,그는 시간을 가졌다,어떤 일이 벌어지기 전에 그는 시간을 가졌다.,그는 시간을 가졌다. 이는 일어나기 전에 일어났다.,그는 시간을 가졌다. 그 전에 늘 바쁜 일정으로 인해 시간이 부족했었다.
33,그는 애완동물을 허용했다,애완동물을 허용하기로 결정되었다.,결혼,애완동물을 허용하지 않았었다.
34,그는 휴대폰을 받았다,그는 휴대폰을 잃어버렸다.,전화를 받기 전에 일어났다.,그 전에 전화벨이 울렸다.
35,그는 C를 받았다,그는 시험에서 C를 받았다.,시험을 보기 전에 일어났다.,그 전에 열심히 공부했지만 시험 날 실수를 많이 했다.
36,그는 TV를 구입했다,그는 TV를 구입하기 위해 많은 리서치와 비교 쇼핑을 했다.,구입,TV를 구입하기 전에 여러 가게를 돌아다니며 가격을 비교했다.
37,그는 다리를 심하게 다쳤다,그는 사고로 다리를 심하게 다쳤다.,사고,어디서 뛰어내려 오다가 발을 헛디뎌서 지면에 넘어졌던 것이었다.
38,그는 그녀의 바지에 오줌을 쌌다,그는 화장실을 가려고 했지만 급한 상황에서 참지 못했다.,쓰레기를 버리기,그 전에 그는 화장실을 가려고 했지만 이미 너무 늦었다.
39,그는 찾을 수 없었다,그는 사라졌다.,사라져버리기,그 전에 우리는 함께 식사를 하고 있었다.
40,그는 곧 나아질 겄다,그 사람은 병원에서 치료를 받았다.,그는 곧 나아질 것이다. 이는 약을 먹기 전에 일어났다.,어떤 도움을 받아야 할 것이다.
41,그는 새 카메라를 구입했다,그는 새로운 취미를 찾기 위해 새 카메라를 구입했다.,구매,기존 카메라를 오랫동안 사용했었다.
42,그는 어젯밤부터 시작했다,어젯밤에 그는 일을 시작했다.,그는 어젯밤부터 시작했다. 이는 일어나기 전에 일어났다.,아무런 준비도 하지 않았지만 그는 결심했다.
43,그는 강아지를 키우고 싶다고 했다,그는 강아지를 키우고 싶다고 했다.,결정,어떤 견종의 강아지를 키우고 싶은지 말해줄래?
44,그는 등산했다,등산을 하기 위해 계획을 세웠다.,그는 일어나서 등산하기 전에 준비했다.,운동을 했다.
45,그는 휴대폰을 가지고 있었다,그는 휴대폰을 가지고 있었기 때문에 사건이 일어났다.,전화를 받기,어디에 갔는지 알고 싶었다.
46,그는 전화 한 통을 받았다,어떤 일이 벌어졌는지에 대한 정보가 충분하지 않기 때문에 정확한 답변을 제공할 수 없습니다.,자신의 아침 루틴을 완료,어떤 일이 있었는지 알고 싶다.
47,그는 더 높이 올라갔다,그는 계단을 올라갔다.,그는 더 높이 올라갔다. 이는 출발하기 전에 일어났다.,그 전에 그는 많은 노력과 헌신으로 자신의 목표를 이루기 위해 열심히 일해왔다.
48,그는 이발이 필요했다,그는 이발소에 갔다.,이발을 받기 전에 일어났다.,자신의 머리카락이 너무 길어져서 얼굴이 가려지고 불편했다.
49,그는 지갑을 집에 두고 왔다,지갑을 집에 두고 왔기 때문에 돈이나 신분증이 필요한 상황에서 문제가 발생했다.,나가려던,지갑을 찾으려고 했지만 찾지 못했다.
50,그는 목록을 잊어버렸다,그는 쇼핑 목록을 작성하지 않았다.,쇼핑을,"목록을 확인하고 싶었지만, 너무 바쁜 일정으로 그것을 잊어버린 것이다."
51,그는 페이지를 넘겼다,그는 책을 읽고 있었다.,읽기,읽은 내용을 되새기며 다음 장을 읽기로 했다.
52,그는 도넛도 먹었다,그는 빵집에서 도넛을 샀다.,아침식사,어떤 종류의 음식을 먹었다.
53,그는 그것을 학교에 가져왔다,어떤 물건을 학교에 가져왔다.,그는 그것을 학교에 가져왔다. 이는 일어나기 전에 일어났다.,그것을 가지고 놀기로 했다.
54,그는 좋아하는 사람에게 물어봤다,그는 좋아하는 사람에게 데이트를 하고 싶다고 물어봤다.,사실을 확인,누구를 좋아하는지 알고 싶었다.
55,그는 자신을 인식했다,이전에 그는 자기 자신에 대해 깊이 생각하고 자아를 발견했다.,자신을 발견(discovery)하기 전에 일어났다.,어둠 속에서 외로움을 느꼈던 적이 있었다.
56,그는 새 옷을 구입했다,그는 새 옷을 구입하기 위해 쇼핑을 했다.,새 옷을 구입하기 전에 일어난 일은 결정이었다.,옷장을 정리하고 불필요한 옷을 기부했다.
57,그는 모든 인형을 외웠다,그는 인형가게에서 모든 인형을 외웠다.,자는,어떤 인형이 있는지를 알아야 했다.
58,그는 훨씬 좋아 보였다,어떤 변화가 있었는지 명확하지 않기 때문에 그가 무언가를 경험했거나 변화가 있었을 것으로 추측됩니다.,변명,어둠과 무거운 짐을 지고 있던 것 같았다.
59,그는 요리하고 싶어 하지 않았다,어떤 이유로 인해 요리를 싫어했을 것이다.,그는 배가 부르기 전에 일어났다.,어머니가 항상 요리를 해주었기 때문에 그는 요리하고 싶어 하지 않았다. 그 전에 어머니가 모든 것을 해결해 주었기 때문이었다.
60,그는 새 자전거를 구입했다,그는 이전 자전거가 고장나서 새 자전거를 구입했다.,구매,그 전에 그는 오랫동안 사용한 자전거를 팔아서 돈을 모았다.
61,그는 목줄을 사용했다,그는 강아지를 산책시켰다.,목줄을 사용했다. 이는 산책하기 전에 일어났다.,그는 강아지 훈련을 받았다.
62,그는 커피를 주문했다,그는 카페에 들어가서 커피를 주문했다.,커피를 마시기 전에 일어났다.,그는 메뉴를 살펴보고 있었다.
63,그는 태클을 당했다,어떤 축구 선수가 그를 태클했다.,경기를 시작,어느 누구도 그의 빠른 움직임을 따라잡지 못했다.
64,그는 그녀에게 몸을 기울였다,그녀에게 몸을 기울이기 전에 그는 그녀와 가까운 거리에 있었다.,그녀에게 말을 걸기 전에 일어났다.,그 전에 그녀의 눈을 바라보며 손을 잡았다.
65,그는 오른쪽으로 향했다,그는 왼쪽으로 돌아섰다.,그는 왼쪽으로 향했다. 이는 일어나기 전에 일어났다.,왼쪽으로 돌아서 있던 것을 알았다.
66,그는 배심원 의무를 위해 소환되었다,그는 범죄 혐의로 재판을 받기 위해 소환되었다.,재판,"법원에서 소환장을 받았고, 그의 일정을 조정하여 출석할 수 있도록 했다."
67,그는 자신을 과시했다,이전에 그 사람은 자신을 과시하여 주변 사람들에게 자신의 능력이나 성과를 보여주었다.,자신을 과시했다. 이는 일어나기 전에 일어났다.,어떤 일을 해서 자신의 능력을 입증했다.
68,그는 쿠키도 만들었다,그는 오븐을 예열했다.,먹기,그는 밀가루와 설탕을 섞어 준비했다.
69,그는 유치원에 입학했다,그의 부모가 유치원을 선택하기 위해 여러 학교를 방문하고 조사했다.,태어나기,어린이집에 다녀왔다.
70,그는 구걸하러 갔다,그는 돈이 없어서 구걸하러 갔다.,"""이는 아침에""하기 전에 일어났다.",어떤 일을 하려고 했지만 실패했다.
71,그는 면도를 중단했다,그는 면도를 중단한 후에 피부가 예민해진 것을 느꼈다.,면도를 중단했다. 이는 급한 일이 발생하기 전에 일어났다.,면도크림을 얼굴에 발랐다.
72,그는 약속을 잡았다,약속을 잡기 전에 그는 일정을 확인하고 상대방과 시간을 조율했다.,그는 약속을 잡았다. 이는 일어나기 전에 일어났다.,그는 일정을 확인했다.
73,그는 스스로 일을 자초했다,어떤 문제를 해결하기 위해 힘든 결정을 내렸다.,자초,"어떤 도전적인 상황에 처해 있었지만, 결국 그것을 극복했다."
74,그는 방과 후 축구를 했다,어떤 일이 벌어졌는지에 대한 정보가 충분하지 않아 정확한 답변을 제공하기 어렵습니다. 더 많은 정보를 제공해주시면 도와드리겠습니다.,저녁 식사,저녁을 먹었다.
75,그는 그 의미를 설명했다,"어떤 사건이 일어나기 전에 ""그는 그 의미를 설명했다""라는 문장으로는 어떤 일이 벌어졌는지 명확한 정보가 부족합니다. 좀 더 구체적인 내용을 제공해 주시면 도움을 드릴 수 있을 것 같습니다.",해당 동작/사건,그 전에 우리는 그것이 무엇을 의미하는지 이해했다.
76,그는 처음 이발을 했다,그는 머리를 자르기로 결정했다.,이발사,머리가 너무 길어서 불편해했다.
77,그는 온몸에 흘리고 있었다,그는 물을 쏟았다.,쓰러지기,무거운 노동을 하고 있었다. 그는 온몸에 흘리고 있었다. 그 전에 땀을 닦아내지 않은 채로 일을 하고 있었다.
78,그는 드디어 도착했다,그는 오랜 시간을 기다린 후에 드디어 도착했다.,출발,"어느 정도의 어려움을 겪었지만, 결국 목적지에 도착했다."
79,그는 그녀를 죽음으로 이끌었다,그녀를 죽음으로 이끌기 전에 그와 그녀 사이에는 심각한 갈등과 폭력적인 상황이 있었다.,"그녀의 무모함을 경고하지 않았던 것으로 보아, 사건이 일어나기 전에 일어났다.",그녀를 착취하고 학대했다.
80,그는 그녀를 만나러 갔다,어떤 일이 벌어졌는지에 대한 정보가 부족하여 정확한 답변을 제공할 수 없습니다. 더 구체적인 정보를 제공해주시면 도움을 드릴 수 있을 것입니다.,그녀를 만나러 갔다. 이는 그녀와의 약속하기 전에 일어났다.,그녀와의 약속 장소를 정했다.
81,그는 2013년에 캠브리지로 이사했다,그는 2013년에 캠브리지로 이사하기 전에 다른 장소에서 살았다.,이는 대학원 과정을 시작하기 전에 일어났다.,어디에 살았나요?
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 그녀와 언컨트롤된 신체적 충돌을 가졌다.,폭력을 가하려고,"그 전에 그녀를 꼭 안아주었고, 그녀의 머리카락을 쓰다듬었다."
83,그는 어젯밤 피자를 다 먹었다,어젯밤 그는 피자를 다 먹었다.,자기전식으로 피자를 먹은 것입니다.,치킨을 먹었다.
84,그는 고양이 알레르기가 있었다,알레르기 반응을 일으키는 고양이와 접촉했다.,그는 고양이를 만지기 전에 일어났다.,"그 전에는 고양이를 키우고 싶어했지만, 알레르기가 있음을 알게 되었다."
85,그는 마침내 먹이를 찾았다,그는 오랜 시간 동안 먹이를 찾아 다녔다.,사냥,그 전에 오랫동안 헤매다가 지친 모습이었다.
86,그는 다리를 삐끗했다,그는 계단을 내려오다가 다리를 삐끗했다.,운동,어떤 물건에 발이 걸려 넘어졌다.
87,그는 내 머리를 때렸다,그들은 심한 말다툼을 벌였다.,싸움,나는 그를 화나게 했었다.
88,그는 그녀를 죽이러 갔다,그녀와 그의 관계가 매우 나빠졌다.,그녀를 죽이러 갔다. 이는 계획하기 전에 일어났다.,그 전에 그녀를 습격하고 그녀를 끌어내려고 했다.
89,그는 제시간에 집에 도착했다,그는 출근하는 길에 교통체증을 만나지 않았다.,출발,어떤 일이 있었던 것 같아요? 추가 정보가 있으면 더 자세한 도움을 드릴 수 있을 것 같아요.
90,그는 저녁을 먹었다,아마도 그는 일을 마치고 집에 돌아와서 저녁을 준비하거나 외식했을 것이다.,저녁을 먹기 전에 일어났다.,어떤 일이 있었는지 알려주세요.
91,오늘은 그녀의 마지막 날였다,그녀는 사망하기 전에 마지막으로 일어난 날이었다.,그녀가 떠나기 전에 일어났다.,그녀는 모든 것을 마무리하기 위해 최선을 다했다.
92,그는 그녀가 그럴 거라고 했다,어떤 사건이 일어나기 전에는 그가 그녀가 그럴 거라고 말했다.,일어난 것,그녀가 그를 실망시키지 않을 거라고 믿었다.
93,그는 수상한 냄새를 맡았다,어떤 사람이 음식을 조리하거나 쓰레기를 버리는 등의 활동을 했을 것이다.,죽음,"그 전에 그의 감각이 경계 상태로 변했고, 주변을 조사하기 시작했다."
94,그는 엄마에게 선물했다,"어떤 사건이 일어나기 전에 ""그는 엄마에게 선물했다.""",그는 엄마에게 선물했다. 이는 일어나기 전에 일어났다.,그 전에 그는 엄마의 취향을 알아보기 위해 몇 가지 질문을 했다.
95,그는 금반지를 발견했다,그는 흙더미를 파서 금반지를 발견했다.,결혼,그 전에 그는 지갑을 잃어버렸다.
96,그는 캠프파이어를 시작했다,그는 나무를 모아서 준비했다.,저녁식사,그 전에 나무를 모아서 준비를 했다.
97,그는 보고서를 작성했다,.,검토,그는 연구를 수행하고 데이터를 수집했다.
98,그는 '펑'하는 소리를 들었다,그는 불을 켰다.,쇠뇌를 쏘기 전에 일어났다.,그 전에는 아무것도 없었다. 그 소리는 갑자기 나타나서 그를 깜짝 놀라게 했다.
99,그는 깜짝퀴즈를 출제했다,그는 깜짝퀴즈를 출제하기 전에 친구들을 불러서 모이게 했다.,공부,모든 학생들이 집중하도록 손을 들라고 했다.
100,그는 강아지를 찾았다,그 전에 그는 강아지를 잃어버렸다.,잠을 자러 가려고,"그 전에 그는 주변을 둘러보고, 강아지의 집 주변을 찾아다녔다."
101,그는 고양이를 좋아했다,고양이를 좋아했던 그가 고양이를 입양했다.,잠을 깨고,"그 전에 강아지를 키워보았지만, 결국 고양이가 더 잘 맞았다."
102,그는 하루 종일 게임을 했다,어떤 일이 벌어졌는지에 대한 정보가 충분하지 않아서 사건이 일어나기 전에 어떤 일이 벌어졌는지 정확히 알 수 없습니다.,일어나기 전에 게임을 했다.,먹고 나서 친구들과 만나서 놀았다.
103,그는 나중에 질문했다,무슨 일이 벌어졌는지 알고 싶다고 말했다.,답하기,무슨 일이 있었는지 궁금해했다.
104,그는 지갑을 돌려받았다,지갑을 분실하고 그를 돌려받았다.,분실,그 전에 지갑을 잃어버렸다.
105,그는 그것을 학교에 가져갔다,"어떤 사건이 일어나기 전에 ""그는 그것을 학교에 가져갔다"" 라고 말했으므로, 이 사건이 일어나기 전에는 어떤 물건을 학교로 가져갔다는 것을 알 수 있습니다.",출발,그 전에 그것을 자세히 살펴보았다.
106,그는 무릎을 다쳤다,그는 계단에서 넘어져 무릎을 다쳤다.,운동,그 전에 축구를 하다가 넘어졌다.
107,그는 갑자기 기억이 났다,이전에 그가 어떤 사건이나 경험을 했는지에 대한 정보가 있었을 것이다.,죽음,무엇을 하고 있었는지. 그 전에 어디에 있었는지. 왜 그렇게 느꼈는지 등을 생각해 보았다.
108,그는 아이와 함께 놀 수 있었다,아이와 함께 놀 수 있었던 시간이 있었다.,점심 식사,그 전에 그는 바쁜 일정으로 인해 아이와 함께 놀 수 없었다.
109,그는 처음에는 어떻게 해야 할지 몰랐다,.,결정,뭘 해야할지에 대한 경험이 없었기 때문이다.
110,그는 심지어 케이크도 만들었다,어머니의 생일을 축하하기 위해 그는 케이크를 만들었다.,요리하기 전에 일어났다.,그 전에 요리책을 찾아보고 레시피를 골라냈다.
111,그는 손을 들었다,그는 질문을 하기 위해 손을 들었다.,물어보기,누군가에게 말을 걸기 전에 다시 한 번 생각해보았다.
112,그는 입을 적셨다,그는 음식을 먹었다.,먹기,물을 마셨다.
113,그는 새 고양이를 입양했다,그 전에 그는 동물 보호소를 방문하여 새 고양이를 선택했다.,입양하기 전에 일어난 일은 고양이를 발견하거나 선택하는 것입니다.,고양이를 키워본 적이 없었다.
114,그는 정리를 잘했다,일어나기 전에 그는 정리를 잘했다.,정리를 잘했다. 이는 일어나기 전에 일어났다.,정리를 하기 전에 방을 청소했다.
115,그는 그 높이에서 더 크고 무거워 보였다,어떤 사람이 그의 무게와 키를 증가시키는 운동을 했다.,성장한 것,그 전에는 작고 가벼웠다.
116,그는 눈물이 날 지경였다,어떤 슬픈 일이 있었을 것이다.,그는 슬퍼서 눈물이 날 지경였다. 이는 우는 것이 일어나기 전에 일어났다.,어떤 일이 있었는지 알려주시겠어요?
117,그는 놀고 싶지 않아 했다,"어떤 사건이 일어나기 전에 ""그는 놀고 싶지 않아 했다""라는 문장으로는 그가 쉬고 싶지 않았던 것을 나타내고 있습니다. 따라서 어떤 사건이 일어나기 전에는 그가 휴식을 취하지 않고 계속해서 일하거나",놀기 전에 일어났다.,어떤 일이 있었던 것 같아서 그렇다고 말했다.
118,그는 평화롭게 잠을 잤다,그는 평화롭게 잠을 자기 전에 일일이 모든 문을 잠그고 창문을 닫았다.,자신의 목표를 이루기 전에 일어났다.,"어느새 밤이 깊어져 갔고, 마지막으로 자신의 가족과 함께한 행복한 순간을 떠올리며 안식을 취했다."
119,그는 종이에 물감을 묻혔다,물감을 묻히기 전에 그는 종이를 준비하고 있었다.,그는 그림을 그리기 전에 일어났다.,종이에 선을 그었다.
120,그는 칠면조를 넣었다,그는 칠면조를 조리하기 위해 냄비에 물을 끓였다.,조리하기 전에 일어났다.,그는 먼저 오븐을 예열했다.
121,그는 다시 전화를 받았다,이전에 누군가 그에게 전화를 걸었다.,자기 전에 일어났다.,누군가와 심각한 대화를 나누고 있었다.
122,그는 눈사람을 만들었다,그 전에 눈이 내린 것이다.,눈이 내리기 전에 일어났다.,눈을 많이 쌓아놨다.
123,그는 결국 쓰러졌다,그 사람은 무언가에 의해 공격당했거나 다치게 되었다.,쓰러지기 전에 일어났다.,"그는 자신의 한계를 넘어섰고, 지쳐서 더 이상 버틸 수 없었다."
124,그는 곧 집으로 돌아갔다,어떤 일이 벌어지기 전에는 그가 집으로 돌아갔다.,그는 저녁 식사를 먹기 전에 일어났다.,은 마트에서 식료품을 샀다.
125,그는 새 보트를 구입했다,그는 새 보트를 구입하기 위해 돈을 모았다.,구매,기존의 보트를 팔았다.
126,그는 쇼핑하러 가고 싶다고 했다,어떤 사람이 그와 함께 쇼핑을 하기로 약속했다.,쇼핑하기 전에 일어났다.,저녁을 먹고 싶다고 했다.
127,그는 소파에서 낮잠을 자고 있었다,그는 피로하고 피곤했기 때문에 소파에서 낮잠을 자고 있었다.,잠을 자고 있었다. 이는 일어나기 전에,어떤 책을 읽다가 졸고 말았던 것 같았다.
128,그는 혼자서 저녁을 먹었다,어머니와 아버지가 외출하였다.,자신의 일을 마치고 집에 돌아온 후에 발생한 일이다.,어머님과 함께 산책을 했다.
129,그는 잠이 들었다,어떤 사건이 일어나기 전에 그는 잠이 들었다.,잠들어,"뜨거운 차를 마셨고, 책을 읽으며 편안한 느낌을 받았다."
130,그는 술을 너무 많이 마셨다,그는 술을 너무 많이 마셨기 때문에 사건이 일어났다.,취하기,어떤 음식도 먹지 않았기 때문에 술이 더욱더 몸에 해로웠다.
131,그는 매일 아침 눈을 떴다,아침에 일어나기 전에 그는 잠을 자고 있었다.,그는 매일 아침 눈을 떴다. 이는 일어나기 전에 일어났다.,어제 밤에 잠을 자고 있었다.
132,그는 그녀의 셔츠 단추를 풀었다,그는 그녀와 로맨틱한 분위기를 조성하기 위해 그녀의 셔츠 단추를 풀었다.,불쾌한 상황,"그녀의 머리카락을 쓸어 올렸고, 그녀의 입술을 부드럽게 키스했다."
133,그는 새 타이어가 필요했다,그는 자동차가 뜯어지기 전에 새 타이어를 필요로 했다.,교체,타이어가 마모되어 있었기 때문에 주행이 위험해졌다.
134,그는 자신의 알람을 설정했다,.,자신의 알람을 설정했다. 이는 일어나기 전에 일어났다.,자신의 일정을 확인했다.
135,그는 선택의 폭을 좁혔다,어떤 이유로 인해 선택의 폭을 좁히기 위해 조사하고 고려한 것이 있었을 것이다.,결정을 하기 전에 일어났다.,어떤 것을 원하는지 명확히 이해하지 못했기 때문에 선택의 폭을 좁혔다. 그 전에는 다양한 옵션들을 고려하고 있었다.
136,그는 직원을 해고했다,"그는 직원과의 갈등이 있었고, 그 결과로 직원을 해고했다.",해고하기 전에 일어난 일은 그가 직원을 경고했기 전에 일어났다.,그 전에 그 직원과의 성능평가를 했다.
137,그는 발진이 생겼다,그는 알러지 반응이 있었고 그 결과로 발진이 생겼다.,약을 복용하기 전에 일어났다.,어떤 알러지 반응이 있었던 것 같았다.
138,그는 집에 가서 옷을 갈아입어야 했다,어떤 특정한 사건에 대한 정보가 주어지지 않았기 때문에 정확한 답변을 제공할 수 없습니다.,집에 도착하여,어떤 특별한 자리에 가야 했기 때문이다.
139,그는 정말 착해 보였다,어떤 사람이 그를 속이고 나서 그의 돈을 훔쳤다.,어떤 일이 벌어지기 전에 일어났다.,그 전에는 그의 행동이 매우 친절했기 때문에 그런 느낌을 받았다.
140,그는 알림을 받았다,알림을 받은 것이다.,사건,그 전에 그는 아무것도 모르고 있었다.
141,그는 아버지와 함께 낚시하러 갔다,아버지와 함께 낚시를 하러 갔던 그는 물고기를 잡으려고 노력했다.,출발,아버지가 그에게 어떻게 낚시를 하는지 가르쳐주었다.
142,그는 아기를 안고 있었다,아기가 울기 시작하기 전에 그는 아기를 안고 있었다.,자신의 아이를 안고 있었다. 이는 출근하기 전에 일어났다.,아기가 울음소리를 내며 울고 있었다.
143,그는 기분이 나빠지기 시작했다,어떤 스트레스 요인이나 부정적인 사건이 발생했다.,어떤 일이 일어나기 전에 발생했다.,어떤 일이 있었던 것 같았다.
144,그는 새집을 지었다,그는 이사를 했다.,이는 결혼하기 전에 일어났다.,어느 곳에서 살았던 것이다.
145,그는 새 정장을 구입했다,그는 새로운 일자리를 얻었다.,결혼식,옷장을 정리하고 더 이상 입지 않는 옷들을 기부했다.
146,그는 부딪혔다,그는 주의를 기울이지 않았다.,충돌,"어떤 일이 있었는지 몰라서 그런지, 아니면 그냥 우연히 부딪힌 건지 모르겠다."
147,그는 퇴근길에 커피를 사서 마셨다,일어나기 전에 그는 퇴근길에 커피를 사서 마셨다.,출근,어떤 친구와 만나서 짧게 이야기를 나눴다.
148,그는 생일 파티가 있었다,어떤 사람이 생일을 축하하기 위해 파티를 계획하고 초대를 보냈다.,생일 파티가 있었다. 이는 준비하기 전에 일어났다.,"그는 친구들을 초대했고, 파티 장소를 예약했다."
149,그는 암매장 당했다,그 사람은 살인당했다.,사건,그 전에 그는 무고한 희생자였다.
150,그는 파트타임으로 일하고 있었다,그는 풀타임으로 일하던 중이었다.,그는 파트타임으로 일하고 있었다. 이는 전에 일어났다.,전에는 대학에서 공부를 하고 있었다.
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그는 자신의 행동에 대해 충분히 생각하지 않았다.,판단하지 않고,그 전에 그의 행동에 대해 심사숙고하지 않았기 때문에 이런 결과를 초래했다.
152,그는 이제 자야 했다,그는 긴 시간 동안 일을 하고 있었다.,자고,어떤 일을 마무리해야 했다.
153,그는 깁스를 해야 했다,그는 다친 상황에 처해 있었다.,부상,그는 다리를 다쳤기 때문에.
154,그는 하루를 시작했다,알람이 울려 그는 하루를 시작했다.,그는 하루를 시작했다. 이는 일어나기 전에 일어났다.,그는 운동을 하고 샤워를 하였다.
155,그는 새 드레스를 입었다,그는 옷장을 뒤져 새 드레스를 골라 입었다.,준비를,새 신발을 사러 갔다.
156,그는 어느 날 배고픔을 느꼈다,그는 어느 날 식사를 거르고 배고픔을 느꼈다.,식사,어떤 이유로 식사를 거르거나 먹을 시간이 없었던 것 같았다.
157,그는 새 집으로 이사했다,그는 새 집으로 이사 준비를 했다.,이사,어느 지역에서 살았다.
