,input,A,B
73,그는 스스로 일을 자초했다,그는 책임감이 강한 사람으로 보인다.,자존심을 갖는
74,그는 방과 후 축구를 했다,그는 활동적이고 스포츠를 좋아하는 사람으로 보인다.,열정적인
75,그는 그 의미를 설명했다,지식이 풍부하고 이해력이 뛰어나는 사람으로 보인다.,친절한
76,그는 처음 이발을 했다,그는 미용사나 이발사로 보입니다.,깔끔한
77,그는 온몸에 흘리고 있었다,그는 불쌍한 사람으로 보인다.,피가 흐르고 있는
78,그는 드디어 도착했다,그는 기다리던 사람으로 보인다.,도착한 
79,그는 그녀를 죽음으로 이끌었다,이 사람은 살인자로 보입니다.,악랄한
80,그는 그녀를 만나러 갔다,로맨틱하고 관심이 있는 사람으로 보인다.,"""그는 친절한 사람으로 보인다."""
81,그는 2013년에 캠브리지로 이사했다,2013년에 캠브리지로 이사한 사람으로 보인다.,영리한
82,그는 그녀의 턱을 꽉 움켜쥐었다,폭력적인 사람으로 보인다.,분노한
83,그는 어젯밤 피자를 다 먹었다,허기진 사람으로 보인다.,배부른
84,그는 고양이 알레르기가 있었다,그는 고양이를 싫어하는 사람으로 보인다.,애완동물을 키우는
85,그는 마침내 먹이를 찾았다,그는 굶주린 사냥꾼으로 보인다.,만족한
86,그는 다리를 삐끗했다,그는 피곤해 보이는 사람으로 보인다.,불행한
87,그는 내 머리를 때렸다,폭력적이고 공격적인 사람으로 보인다.,위협적인
88,그는 그녀를 죽이러 갔다,그는 살인자로 보입니다.,무자비한
89,그는 제시간에 집에 도착했다,그는 신뢰할 만한 사람으로 보인다.,신뢰할 만한
90,그는 저녁을 먹었다,일반적인 사람으로 보입니다.,만족한
91,오늘은 그녀의 마지막 날였다,그는 가해자로 보인다.,어떤 결심을 한 것처럼 당당한
92,그는 그녀가 그럴 거라고 했다,그는 예견 능력이 있는 사람으로 보인다.,정직한
93,그는 수상한 냄새를 맡았다,그는 경계심이 많고 조심스러운 사람으로 보인다.,의심스러운
94,그는 엄마에게 선물했다,따뜻하고 배려심 있는 사람으로 보인다.,따뜻한
95,그는 금반지를 발견했다,그는 운이 좋은 사람으로 보인다.,부자
96,그는 캠프파이어를 시작했다,그는 캠프 리더 또는 활동적인 사람으로 보인다.,따뜻한
97,그는 보고서를 작성했다,성실한 사람으로 보인다.,신뢰할 만한
98,그는 '펑'하는 소리를 들었다,그는 놀란 사람으로 보인다.,화난
99,그는 깜짝퀴즈를 출제했다,그는 호기심 많고 재미있는 사람으로 보인다.,영리한
100,그는 강아지를 찾았다,그는 친절하고 책임감 있는 사람으로 보인다.,친절한
101,그는 고양이를 좋아했다,동물을 사랑하는 따뜻한 사람으로 보인다.,친근한
102,그는 하루 종일 게임을 했다,게임 중독자로 보인다.,게임 중독된
103,그는 나중에 질문했다,호기심이 많고 관찰력이 뛰어나는 사람으로 보인다.,친절한
104,그는 지갑을 돌려받았다,도덕적이고 성실한 사람으로 보인다.,도덕적인
105,그는 그것을 학교에 가져갔다,그는 규칙을 준수하는 책임감 있는 학생으로 보인다.,진지한
106,그는 무릎을 다쳤다,그는 운동을 즐기는 사람으로 보인다.,상당히 아픈(really hurt)
107,그는 갑자기 기억이 났다,기억이 갑자기 떠올라서 혼란스러워하는 사람으로 보인다.,친근한
108,그는 아이와 함께 놀 수 있었다,그는 친근하고 이해심 있는 사람으로 보인다.,따뜻한
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 처음에는 불확실한 사람으로 보인다.,무력한
110,그는 심지어 케이크도 만들었다,그는 다재다능한 사람으로 보인다.,재능 있는
111,그는 손을 들었다,그는 질문이나 주장에 참여하려는 적극적인 사람으로 보인다.,자신감 있는
112,그는 입을 적셨다,그는 신중한 사람으로 보인다.,친절한
113,그는 새 고양이를 입양했다,동물을 사랑하는 따뜻한 사람으로 보인다.,친절한
114,그는 정리를 잘했다,철저하고 체계적인 사람으로 보인다.,철저한
115,그는 그 높이에서 더 크고 무거워 보였다,그는 자신감 있고 힘있는 사람으로 보인다.,더 강력한
116,그는 눈물이 날 지경였다,그는 감정적인 사람으로 보인다.,슬픈
117,그는 놀고 싶지 않아 했다,그는 신중하고 책임감 있는 사람으로 보인다.,지루한
118,그는 평화롭게 잠을 잤다,평화로운 사람으로 보인다.,착한
119,그는 종이에 물감을 묻혔다,그는 창의적이고 예술적인 사람으로 보인다.,색다른
120,그는 칠면조를 넣었다,음식을 만드는 사람으로 보입니다.,이상한
121,그는 다시 전화를 받았다,그는 친절하고 이해심 있는 사람으로 보인다.,신뢰할 만한
122,그는 눈사람을 만들었다,그는 창의적이고 놀라운 상상력을 가진 사람으로 보인다.,눈으로 만들어진
123,그는 결국 쓰러졌다,그는 결국 실패한 사람으로 보인다.,쓰러진
124,그는 곧 집으로 돌아갔다,그는 가정적이고 안정적인 사람으로 보인다.,참된(reliable)
125,그는 새 보트를 구입했다,부유한 사람으로 보인다.,부자
126,그는 쇼핑하러 가고 싶다고 했다,그는 소비에 미친 소비자로 보인다.,"""그는 쇼핑하러 가고 싶다고 했다. 그는 소비하는 사람으로 보인다."""
127,그는 소파에서 낮잠을 자고 있었다,그는 피곤한 사람으로 보입니다.,피곤한
128,그는 혼자서 저녁을 먹었다,그는 혼자서 조용하고 고요한 분위기를 즐기는 사람으로 보인다.,외로운
129,그는 잠이 들었다,그는 피곤한 사람으로 보인다.,피곤한
130,그는 술을 너무 많이 마셨다,그는 극도로 술에 취한 사람으로 보인다.,취한(cockeyed)
131,그는 매일 아침 눈을 떴다,그는 규칙적이고 책임감 있는 사람으로 보인다.,착한
132,그는 그녀의 셔츠 단추를 풀었다,이 사람은 침투적이고 경계심이 없는 사람으로 보인다.,섹시한
133,그는 새 타이어가 필요했다,그는 차량을 소유하고 관리하는 책임감 있는 사람으로 보인다.,타이어를 바꾼 후에는 더 안전한
134,그는 자신의 알람을 설정했다,그는 책임감 있는 사람으로 보인다.,정확한
135,그는 선택의 폭을 좁혔다,그는 결정력이 있는 사람으로 보인다.,결정적인
136,그는 직원을 해고했다,그는 단호한 리더로 보인다.,무자비한
137,그는 발진이 생겼다,그는 건강에 대해 걱정하는 사람으로 보인다.,아픈
138,그는 집에 가서 옷을 갈아입어야 했다,그는 바쁜 사람으로 보인다.,변화된
139,그는 정말 착해 보였다,이 사람은 친절하고 선량한 사람으로 보인다.,도움이 필요한
140,그는 알림을 받았다,그는 관심을 가지고 적극적으로 정보를 수집하는 사람으로 보인다.,신중한
141,그는 아버지와 함께 낚시하러 갔다,그는 아버지와 함께 가족을 중요시하는 사람으로 보인다.,성실한
142,그는 아기를 안고 있었다,부모로 보입니다.,부드러운
143,그는 기분이 나빠지기 시작했다,그는 슬픈 사람으로 보인다.,더욱 우울한
144,그는 새집을 지었다,그는 창의적이고 노력하는 사람으로 보인다.,부자
145,그는 새 정장을 구입했다,그는 자신을 새로운 시작을 하는 사람으로 보인다.,새롭게 변한(person)
146,그는 부딪혔다,부딪힌 사람으로 보인다.,강인한
147,그는 퇴근길에 커피를 사서 마셨다,일반적인 회사원으로 보인다.,친절한
148,그는 생일 파티가 있었다,그는 사교적이고 친근한 사람으로 보인다.,즐거운
149,그는 암매장 당했다,그는 불쌍한 피해자로 보인다.,죽은
150,그는 파트타임으로 일하고 있었다,그는 부업을 하는 사람으로 보인다.,성실한
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그는 자기를 이해하지 못하는 무책임한 사람으로 보인다.,자멸적인
152,그는 이제 자야 했다,그는 책임감 있는 사람으로 보인다.,지친
153,그는 깁스를 해야 했다,부상을 입은 사람으로 보인다.,상처를 입은
154,그는 하루를 시작했다,일반적인 사람으로 보입니다.,긍정적인
155,그는 새 드레스를 입었다,그는 자신을 새롭게 변화시키고 싶어하는 사람으로 보인다.,예쁜
156,그는 어느 날 배고픔을 느꼈다,그는 인간으로 보인다.,주변의 모든
157,그는 새 집으로 이사했다,그는 새로운 시작을 하는 사람으로 보인다.,새롭게 변화된
158,그는 깁스를 하고 있었다,그는 부상을 입은 사람으로 보인다.,부상당한
159,그는 그녀의 어깨를 두드렸다,친절한 사람으로 보인다.,따뜻한
160,그는 양쪽을 동시에 지지했다,그는 중립적이고 양쪽을 존중하는 사람으로 보인다.,모순된
161,그는 전봇대에 부딪혔다,그는 조심하지 않거나 부주의한 사람으로 보인다.,부상당한
162,그는 그것을 학교에 입고 다녔다,학생으로 보인다.,정중한
163,그도 케이크를 먹었다,그는 단순히 케이크를 먹은 사람으로 보인다.,만족한
164,그는 밤에 잠을 잤다,일반적인 사람으로 보입니다.,피곤한
165,그는 팔을 들어 올렸다,그는 도움을 요청하는 사람으로 보인다.,자신감 있는
166,그는 실수로 노크를 했다,실수를 인정하고 사과하는 성숙한 사람으로 보인다.,친절한
167,그는 구취가 심했다,그는 개인 위생에 신경을 쓰지 않는 사람으로 보인다.,더럽힌
168,그는 새로운 일을 시작했다,그는 적극적이고 도전을 두려워하지 않는 사람으로 보인다.,새로운
169,그는 내비게이션에 도움을 요청했다,도움을 요청하는 데 자신감이 없는 사람으로 보인다.,도움을 요청한 그 사람으로 보인다.
170,그는 총을 들고 목표물을 공격했다,폭력적인 사람으로 보인다.,위협적인
171,그는 호텔을 찾았다,여행자로 보인다.,부자된
172,그는 성인이 되었다,.,어른
173,그는 자전거를 타고 집으로 돌아갔다,운동을 즐기는 사람으로 보인다.,피곤한
174,그는 남편에게 문자를 보내었다,그는 결혼한 사람으로 보인다.,신뢰할 만한
175,그는 전화번호를 교환했다,그는 소심한 사람으로 보인다.,신뢰할 만한
176,그는 경적을 울렸다,그는 운전자로 보인다.,화난
177,그는 꽤 멋져 보였다,.,자신감 있는
178,그는 하루를 마무리했다,그는 꾸준하고 책임감 있는 사람으로 보인다.,지친
179,그는 마침내 그녀를 찾았다,그는 결정적이고 끈질긴 사람으로 보인다.,행복한
180,그는 데이트를 원했다,그는 로맨틱하고 사랑을 추구하는 사람으로 보인다.,로맨틱한
181,그는 갈등에 휘말렸다,그는 갈등을 해결하려는 성숙한 사람으로 보인다.,모순된
182,그는 팝콘을 먹었다,그는 영화나 스포츠 이벤트를 즐기는 보통 사람으로 보인다.,만족한
183,그는 좋아하는 TV 프로그램을 시청했다,그는 TV를 좋아하는 사람으로 보인다.,즐거운
184,그는 집에 안전하게 도착했다,그는 책임감 있는 사람으로 보인다.,신뢰할 만한
185,그는 더 나은 직장을 찾았다,그는 자기 발전을 추구하는 사람으로 보인다.,자신감 있는
186,그는 현금이 좀 필요했다,그는 급한 현금이 필요한 사람으로 보인다.,부자
187,그는 응급실에 가야 했다,그는 긴급한 상황에 처한 사람으로 보인다.,창문을 깨고 들어왔다. 그는 위험한 사람으로 보인다.
188,그는 치어리더가 되고 싶어 했다,그는 자신의 꿈을 추구하고 노력하는 사람으로 보인다.,활기찬
189,그는 상황파악을 하지 못한 채 놀고 있었다,그는 경솔하고 무책임한 사람으로 보인다.,무책임한
190,그는 거부당했다,그는 신중하고 꾸준한 사람으로 보인다.,부정적으로
191,그는 얼굴을 맞았다,그는 피해자로 보인다.,친절한
192,그는 상사에게 사과했다,책임감 있는 사람으로 보인다.,죄를 짓지 않은
193,그는 내일 큰 시험이 있었다,그는 열심히 공부하는 학생으로 보인다.,자신감 있는
194,그는 선풍기를 구입했다,그는 실용적이고 생활을 편리하게 만드는 것을 중요시하는 사람으로 보인다.,시원한
195,그는 새 옷장을 구입했다,새로운 모습을 추구하는 사람으로 보인다.,새로운 옷을 입은
196,그는 친구들을 초대했다,친근하고 사교적인 사람으로 보인다.,친절한
197,그는 선물을 받았다,그는 다른 사람에게 관심을 가지고 배려하는 사람으로 보인다.,친절한
198,그는 장난감을 찾았다,그는 호기심 많은 어린이로 보인다.,어린
199,그는 청소를 도와줬다,친절하고 도움이 필요한 사람으로 보인다.,도움이 필요한
200,그는 내 부모님께 물어봤다,존중심적이고 책임감 있는 사람으로 보인다.,정직한
201,그는 데이트 상대를 찾았다,그는 솔로인 사람으로 보입니다.,멋진
202,그는 집에 가야 했다,그는 책임감 있는 사람으로 보인다.,착한
203,그는 주스를 엎질렀다,서투른 실수를 한 평범한 사람으로 보인다.,쓸개 같은
204,그는 성을 변경했다,그는 자신의 정체성을 찾기 위해 용감하게 행동한 사람으로 보인다.,새롭게
205,그는 그것을 부모님에게 보여주기도 했다,그는 존중받고 싶어하는 사람으로 보인다.,존경받는
206,그는 환불을 요구했다,고객으로 보입니다.,민원을 제기한
207,그는 동물원에 사탕을 가져다줬다,그는 친절하고 관대한 사람으로 보인다.,친절한
208,그는 그녀에게 원하는대로 할 수 있게 했다,그는 그녀를 조종하거나 지배하는 사람으로 보입니다.,강력한
209,그는 밤에 잠이 들었다,그는 평범한 사람으로 보인다.,피곤한
210,그도 그것을 원했다,그는 이 사건에 관련된 책임이 있는 사람으로 보인다.,자신을
211,그는 소총을 발사했다,폭력적인 사람으로 보인다.,전투 경험이 풍부한
212,그는 체중이 줄었다,그는 건강에 신경을 쓰는 사람으로 보입니다.,마치 새로운
213,그는 목이 아파했다,그는 아픈 사람으로 보인다.,아픈
214,그는 쩝쩝거리는 소리를 내었다,그는 새처럼 쩝쩝거리는 사람으로 보인다.,부끄러운
215,그는 스스로를 기록했다,"자기 자신에 대해 관심이 많고, 주변 사람들과의 소통을 중요하게 생각하는 사람으로 보인다.",자기 중심적인
216,그는 자신에 대해 매우 화가 나 있었다,그는 자기통제가 부족한 사람으로 보인다.,자신을 실망한
217,그는 이제 시작해야 했다,책임감 있는 사람으로 보인다.,더 나은
218,그는 열쇠를 잊어버렸다,부주의한 사람으로 보인다.,조금 어지러운(reliable)
219,그는 오늘이 첫날였다,그는 새로운 시작을 하는 사람으로 보인다.,새로운
220,그는 차를 엎질렀다,그는 운전자로 보인다.,미숙한
221,그는 이유를 설명했다,이 사람은 이유를 설명하는 데 관심이 있는 책임감 있는 사람으로 보인다.,도덕적으로 정직한
222,그는 휴가를 시작했다,그는 피곤한 일상을 벗어나 즐거움을 찾는 사람으로 보인다.,행복한
223,그는 여자친구와 결혼했다,그는 사랑을 신뢰하고 가족을 중요시하는 사람으로 보인다.,행복한
224,그는 새로운 사람들을 만났다,그는 사교적이고 열린 마음을 가진 사람으로 보인다.,신물나는
225,그는 더 이상 짖지 않았다,그는 평화로운 사람으로 보인다.,더 평화로운(person)
226,그는 싸우고 싶지 않아 했다,그는 평화를 추구하는 사람으로 보인다.,착한
227,그는 포커 토너먼트에 참가했다,그는 도전을 즐기고 리스크를 감수하는 용감한 사람으로 보인다.,피곤한
228,그는 휴대폰을 돌려받았다,그는 정직한 사람으로 보인다.,신뢰받는
229,그는 다음 날 그만뒀다,그는 결단력이 있는 사람으로 보인다.,결정적인
230,그는 도와달라고 울부짖었다,그는 도움이 필요한 취약한 사람으로 보인다.,초점이 맞지 않는
231,그는 좋아하는 노래를 연주했다,음악을 즐기고 예술적인 면이 있는 사람으로 보인다.,재능 있는
232,그는 동영상을 시청했다,그는 현대 사회에서 일반적인 사람으로 보인다.,재미있는
233,그는 하루 종일 플레이했다,게으름을 피우는 사람으로 보인다.,게으른
234,그는 공을 가지고 있었다,그는 스포츠를 즐기는 사람으로 보인다.,강력한
235,그는 가발을 뒤집었다,의심스러운 사람으로 보인다.,가짜
236,그는 집처럼 편안해 했다,.그는 친근하고 안정감 있는 사람으로 보인다.,따뜻한
237,그는 무서운 소리를 들었다,그는 겁에 질린 사람으로 보인다.,놀란
238,그는 거미를 죽였다,폭력적이고 동물을 죽이는 사람으로 보인다.,잔인한
239,그는 그녀에게 음식을 줬다,친절한 사람으로 보인다.,친절한
240,그는 캠핑 여행 중였다,그는 자연을 즐기고 모험을 즐기는 사람으로 보인다.,자연을 즐기는
241,그는 둥지를 지었다,그는 결단력이 있는 사람으로 보입니다.,지혜로운
242,그는 멍청해 보였다,이 사람은 지적으로 부족한 사람으로 보인다.,어리석은
243,그는 머리 뒤에도 눈이 있었다,그는 초자연적인 존재로 보인다.,이상한
244,그는 기침을 시작했다,건강에 신경을 쓰는 사람으로 보인다.,아픈
245,그는 새 트럭을 구입했다,부유한 사람으로 보인다.,부자
246,그는 몸을 따뜻하게 했다,따뜻하고 배려심 있는 사람으로 보인다.,건강한
247,그는 하나를 훔쳤다,도둑으로 보입니다.,도둑된
248,그는 큰 시험이 다가오고 있었다,그는 불안한 사람으로 보인다.,긴장된
249,그는 어쨌든 떠났다,그는 결단력 있는 사람으로 보인다.,냉담한
250,그는 혀를 내밀어 메롱했다,그는 조롱적이고 불쾌한 사람으로 보인다.,조금 어린
251,그는 마침내 그녀를 만났다,그는 흥분한 사람으로 보인다.,친절한
252,그는 티켓을 받았다,그는 이벤트나 공연을 즐기는 사람으로 보인다.,행운을 가진(person)
253,그는 밤을 새워 공부했다,열정적이고 헌신적인 사람으로 보인다.,열심히하는
254,그는 금식을 깨기 시작했다,그는 결단력 있는 사람으로 보인다.,기운 없는
255,그는 그녀를 유혹으로 이끌었다,그는 유혹적인 사람으로 보인다.,매력적인
256,그는 외출금지를 당했다,그는 어떤 잘못을 저질렀거나 규칙을 어기고 있을 것으로 보인다.,"""그는 병약한 사람으로 보인다."""
257,그는 집이 그립었다,그는 가족을 그리워하는 사람으로 보인다.,고향을 그리워하는
258,그는 직장에서 은퇴했다,그는 경력이 긴 경험 많은 사람으로 보인다.,퇴직한
259,그는 게시되었다,그는 사회적으로 활발한 사람으로 보인다.,게시되었다. 그는 친절한 사람으로 보인다.
260,그는 첫 직장을 얻었다,그는 새로운 도전을 받아들이는 열정적인 사람으로 보인다.,성실한
261,그는 주차장을 찾았다,차량을 안전하게 주차하려는 책임감 있는 운전자로 보인다.,차를 주차하고 나온 것으로 보인다.
262,그는 무도회 드레스와 함께 입었다,그는 무도회에 참석하는 사람으로 보인다.,아름다운
263,그는 바위에 걸려 넘어졌다,그는 조심성이 부족한 사람으로 보인다.,쓸쓸한
264,그는 스스로를 존중했다,그는 자기를 존중하는 사람으로 보인다.,자신을 존중하는
265,그는 추수감사절 저녁 식사를 준비했다,그는 친절하고 배려심 있는 사람으로 보인다.,친절한
266,그는 코를 후볐다,그는 혹은 그녀는 무례한 사람으로 보입니다.,건강한
267,그는 곧바로 잠자리에 들었다,그는 피곤한 사람으로 보인다.,피곤한
268,그는 함께 앉아 있었다,그는 사교적인 사람으로 보인다.,친근한
269,그는 모두에게 감사했다,감사의 마음을 가진 친절한 사람으로 보인다.,따뜻한
270,그는 팔을 뻗었다,그는 도와주려는 친절한 사람으로 보인다.,긴장된
271,그는 꿈에 그리던 직장을 구하기 위해 면접을 봤다,열정적이고 목표지향적인 사람으로 보인다.,신뢰할 만한
272,그는 휴가가 필요했다,피곤한 사람으로 보인다.,스트레스를 받은
273,그는 매우 아팠다,그는 취약한 사람으로 보인다.,매우 아픈(really sick) 사람으로 보인다.
274,그는 곰에게 상처를 입혔다,그는 위험한 사람으로 보인다.,잔인한
275,그는 제 방으로 돌아왔다,그는 조용하고 평온한 사람으로 보인다.,나쁜
276,그는 밴드에 가입했다,그는 음악에 열정적이고 창의적인 사람으로 보인다.,음악적인
277,그는 이상하게 생겼다,이 사람은 편안하지 않거나 일반적인 것과는 다른 모습을 가지고 있을 수 있다.,외계인
278,그는 발가락을 삐끗했다,그는 피해를 입은 사람으로 보인다.,부상당한
279,그는 학용품을 구입했다,그는 학생이나 교사로 보입니다.,성실한
280,그는 기록을 경신했다,신뢰할 만한 사람으로 보인다.,자신감 있는
281,그는 사냥을 좋아했다,그는 야생적이고 모험을 즐기는 사람으로 보인다.,야생의
282,그는 쿠키를 더 먹고 싶어했다,그는 식욕이 강한 사람으로 보인다.,배고픈
283,그가 또 왔다,그가 불쌍한 사람으로 보인다.,무서운
284,그는 골대를 움직였다,그는 부정직한 사람으로 보인다.,강력한
285,그는 그녀의 뒤에서 소리를 들었다,그는 몰래 다가오는 사람으로 보인다.,그녀의 뒤에서 소리를 들었다. 그는 익숙한 사람으로 보인다.
286,그는 바로 본론부터 말했다,그는 직설적이고 시간을 낭비하지 않는 사람으로 보인다.,신뢰할 만한
287,그는 인터뷰 일정을 잡았다,그는 책임감 있는 사람으로 보인다.,자신감 있는
288,그는 흙장난을 쳤다,평범한 사람으로 보인다.,어린
289,그는 친구들과 파티에 갔다,사교적이고 활발한 사람으로 보인다.,즐거운
290,그는 완벽한 드레스를 찾았다,그는 패션에 관심이 많은 사람으로 보인다.,아름다운
291,그는 방을 청소하고 싶어 했다,그는 깨끗이 정돈된 환경을 좋아하는 깔끔한 사람으로 보인다.,정돈된
292,그는 그녀에게 기름을 부었다,그는 부당하게 행동한 사람으로 보인다.,부드러운
293,그는 신에게 과일을 바쳤다,종교적인 사람으로 보인다.,좋은
