,input,A,B,B2,B3
66,그는 배심원 의무를 위해 소환되었다,그는 불안과 걱정을 느꼈다.,책임감을 느꼈다.,책임감과 중요성이었다. 법정에서의 결정은 누구에게도 영향을 미칠 수 있기 때문에 그는 심각하고 책임감 있는 태도로 소환에 응했다.,"그는 긴장된 것을 느꼈는데, 왜냐하면 그는 배심원 의무를 위해 소환되었기 때문이다."
67,그는 자신을 과시했다,자신감에 차 있었다.,자만심을 느꼈다.,자부심과 자신감이었다.,"자신을 자랑스러워하는 것을 느꼈는데, 왜냐하면 그는 자신을 과시했기 때문이다."
68,그는 쿠키도 만들었다,그는 자랑스러웠다.,만족함,자신의 요리 실력에 대한 자부심이었다.,"그는 흥분된 것을 느꼈는데, 왜냐하면 그는 쿠키도 만들었기 때문이다."
69,그는 유치원에 입학했다,그는 흥분했다.,어린이들과 함께 하는 것을 느꼈다.,어른들과 함께 하는 새로운 경험에 대한 호기심과 두려움이었다.,"그는 설렘을 느꼈는데, 왜냐하면 그는 유치원에 입학했기 때문이다."
70,그는 구걸하러 갔다,그는 부끄러웠다.,자존심을 상실한 것을 느꼈다.,자존심의 상실이었다.,"그는 부끄러운 것을 느꼈는데, 왜냐하면 그는 구걸하러 갔기 때문이다."
71,그는 면도를 중단했다,그는 당황스러웠다.,부드러운 피부,"쓰러지는 것처럼 무거운 짐이었다. 그의 얼굴은 부드럽게 갈아지지 않았고, 그는 자신이 면도를 중단한 결정을 후회했다.",아프거나 피부가 자극되는
72,그는 약속을 잡았다,그는 기쁘고 설렜다.,기대된,기대와 불안함이었다. 약속을 잡았지만 그것이 어떻게 이루어질지 확신할 수 없었기 때문이다.,"그는 설레임을 느꼈는데, 왜냐하면 그는 약속을 잡았기 때문이다."
73,그는 스스로 일을 자초했다,그는 자신이 잘 해낼 수 있을 것이라고 믿었다.,자존심을 느꼈다.,자신감과 성취감이었다.,"그는 후회하는 것을 느꼈는데, 왜냐하면 그는 스스로 일을 자초했기 때문이다."
74,그는 방과 후 축구를 했다,그는 피곤하지만 즐거웠다.,피곤한 것을 느꼈다.,"피로와 만족감이었다. 그의 몸은 피곤했지만, 축구를 즐기는 즐거움으로 가득 차 있었다.","그는 피곤한 것을 느꼈는데, 왜냐하면 그는 방과 후 축구를 했기 때문이다."
75,그는 그 의미를 설명했다,그는 자신의 지식과 이해를 자랑스러워했다.,그는 만족한 것을 느꼈다., 더 이상 혼란스럽지 않았다.,"그는 감동을 느꼈는데, 왜냐하면 그는 그 의미를 설명했기 때문이다."
76,그는 처음 이발을 했다,그는 신선하고 새로운 경험에 흥분했다.,가벼움,"
머리카락이 쑤시고 가볍다는 것이었다. 처음으로 짧은 머리로 변모한 그는 새로운 모습에 적응하며 자신감을 얻었다.",신선한(renewed)
77,그는 온몸에 흘리고 있었다,그는 냉기를 느꼈다.,춥다., 뜨거운 땀이 흐르는 것과 함께 몸이 화끈거리는 느낌이었다.,"그는 두려움을 느꼈는데, 왜냐하면 그는 온몸에 떨고 있었기 때문이다."
78,그는 드디어 도착했다,그는 안도감과 기쁨을 느꼈다.,안도함,"안도와 안정감이었다. 이제 그는 목적지에 도착했고, 기다리던 일들을 마무리할 수 있을 것이라는 생각에 안도하며 숨을 돌릴 수 있었다.","그는 안도의 물결을 느꼈는데, 왜냐하면 그는 드디어 도착했기 때문이다."
79,그는 그녀를 죽음으로 이끌었다,그는 자신이 큰 책임감과 후회를 느꼈다.,죄의식을 느꼈다.,전혀 죄책감이 없었다. 그는 자신의 행동에 대해 후회하지 않았고 오히려 그녀를 죽음으로 이끌어서 뿌듯해했다.,"그는 죄책감을 느꼈는데, 왜냐하면 그는 그녀를 죽음으로 이끌었기 때문이다."
80,그는 그녀를 만나러 갔다,그는 기쁘고 설레었다.,그녀를 만나러 갔다. 따라서 그는 행복한 것을 느꼈다.,그녀를 다시 보게 되어 기쁨이었다.,"그는 설레임을 느꼈는데, 왜냐하면 그는 그녀를 만나러 갔기 때문이다."
81,그는 2013년에 캠브리지로 이사했다,그는 새로운 도시에 이사한 것에 대해 기쁘고 설레었다.,캠브리지로 이사하여 새로운 도시와 문화를 경험했을 것을 느꼈다.,캠브리지에서의 새로운 환경과 사람들에 대한 호기심과 기대감일 것이다. 또한 이사를 준비하고 새로운 곳에서의 생활을 시작하는 불안함과 긴장감도 느낄 것이다.,"그는 새로운 환경에 적응하는 것을 느꼈는데, 왜냐하면 그는 2013년에 캠브리지로 이사했기 때문이다."
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 분노와 불안을 느꼈다.,그녀가 놀라워하고 불안해하는 것을 느꼈다.,그녀의 뜨거운 숨결과 그녀의 심장이 빠르게 뛰는 소리였다.,공포를
83,그는 어젯밤 피자를 다 먹었다,그는 배가 부르고 만족스러웠다.,배부른 것을 느꼈다.,포만감과 만족감이었다. 그는 배가 부르고 행복한 기분이 들었다.,배부른(replete)
84,그는 고양이 알레르기가 있었다,그는 신경이 예민했고 불편했다.,콧물과 재채기를 느꼈다.,"고양이를 피해야 했고, 고양이와 가까이 있을 때는 코가 간지러워지고 재채기를 자주 했다.","그는 코막힘을 느꼈는데, 왜냐하면 그는 고양이 알레르기가 있었기 때문이다."
85,그는 마침내 먹이를 찾았다,그는 안도감과 만족감을 느꼈다.,만족함을 느꼈다., 안정감과 만족감이었다. 그가 기다리고 찾아온 보상이었다.,"그는 안도된 것을 느꼈는데, 왜냐하면 그는 마침내 먹이를 찾았기 때문이다."
86,그는 다리를 삐끗했다,그는 아프고 불편했다.,통증을 느꼈다.,"지독한 통증이었다. 처음에는 가볍게 느껴졌지만, 시간이 지날수록 점점 심해졌다.",아픈
87,그는 내 머리를 때렸다,그는 분노와 상처를 느꼈다.,죄책감을 느꼈다.,나의 무례함과 분노였다.,아픈
88,그는 그녀를 죽이러 갔다,그는 두려움과 죄책감에 사로잡혔다.,죄책감을 느꼈다.,"악마와 같은 어둠 속에서 온전한 공포였다. 그녀를 살해하는 것이 자신의 목숨을 위협하는 일이었지만, 본능적인 욕구가 그를 이끌었다. 무언가가 그를 휘젓고 있었고, 그는 자신","그는 죄책감을 느꼈는데, 왜냐하면 그는 그녀를 죽이러 갔기 때문이다."
89,그는 제시간에 집에 도착했다,그는 안심하고 안도했다.,안심된 것을 느꼈다., 안도와 안정감이었다. 그의 마음은 평화롭고 안전한 느낌으로 가득 차 있었다.,"그는 안도된 것을 느꼈는데, 왜냐하면 그는 제시간에 집에 도착했기 때문이다."
90,그는 저녁을 먹었다,그는 배가 고파서 만족했다.,배부른,배부름과 만족감이었다.,배가 고팠던
91,오늘은 그녀의 마지막 날였다,그는 슬펐다.,슬픔과 애수,아쉬움과 슬픔이었다. 함께한 시간이 너무 짧았고 이제는 그녀를 다시 만날 수 없게 되었다는 생각에 마음이 아프고 안타까웠다. 하지만 그녀가 떠나기 전에 행복한 순간들을 함께 나,"그는 슬픈 것을 느꼈는데, 왜냐하면 오늘은 그녀의 마지막 날였기 때문이다."
92,그는 그녀가 그럴 거라고 했다,실망했다.,그는 그녀가 그럴 거라고 했다. 따라서 그는 불안한 것을 느꼈다.,그녀가 그의 말을 믿지 않는 불안함이었다.,"그는 화가 났던 것을 느꼈는데, 왜냐하면 그는 그녀가 그럴 거라고 했기 때문이다."
93,그는 수상한 냄새를 맡았다,그는 불안했다.,의심스러운,불안함과 두려움이었다. 그의 직감은 이번에는 위험한 상황에 처해있을지도 모른다고 경고했다.,"그는 위험한 것을 느꼈는데, 왜냐하면 그는 수상한 냄새를 맡았기 때문이다."
94,그는 엄마에게 선물했다,그는 행복했다.,감사함을,엄마가 기쁘고 행복해하는 모습을 보면서 자신도 행복함과 동시에 뿌듯함이었다.,"그는 후회하는 것을 느꼈는데, 왜냐하면 그는 엄마에게 선물했기 때문이다."
95,그는 금반지를 발견했다,그는 기쁨을 느꼈다.,보물을 발견한 것을 느꼈다.," 크게 기쁨과 흥분이었다. 그 반지는 그에게 매우 소중한 것으로 다가와, 그의 삶에 긍정적인 변화를 가져다 줄 것이라고 느꼈다.","그는 흥분된 것을 느꼈는데, 왜냐하면 그는 금반지를 발견했기 때문이다."
96,그는 캠프파이어를 시작했다,그는 흥분했다.,따라서 그는 따뜻함을 느꼈다.,모든 사람들이 모여 불을 둘러앉고 이야기를 나누는 따뜻한 분위기였다.,"그는 따뜻함을 느꼈는데, 왜냐하면 그는 캠프파이어를 시작했기 때문이다."
97,그는 보고서를 작성했다,그는 보고서를 작성하며 뿌듯했다.,성취감,보고서를 작성했지만 아직 불안감이 남아 있었다.,"그는 자부심을 느꼈는데, 왜냐하면 그는 보고서를 작성했기 때문이다."
98,그는 '펑'하는 소리를 들었다,그는 놀라거나 깜짝 놀랐을 것이다.,그는 냄새를 느꼈다.,총구에서 나는 화염과 함께 오는 열기와 함께 땅이 흔들리는 것이었다.,"그는 무언가를 느꼈는데, 왜냐하면 그는 '펑'하는 소리를 들었기 때문이다."
99,그는 깜짝퀴즈를 출제했다,그는 흥분했다.,당황한,"놀라움과 설렘이었다. 그의 눈은 반짝이며, 참가자들이 문제를 풀기 시작할 때마다 그의 심장은 두근거렸다. 그는 깜짝퀴즈를 통해 사람들에게 즐거움과 도전을 주고 싶었기",당황한
100,그는 강아지를 찾았다,그는 기쁨을 느꼈다.,기쁨을 느꼈다.,"행복과 안도였다. 강아지를 찾아서 그는 마침내 그의 소중한 반려동물을 다시 만날 수 있었고, 이에 감사함과 안도감을 느꼈다.",기뻤던
101,그는 고양이를 좋아했다,그는 행복했다.,평화와 안정감,애정과 안정감이었다.,"그는 슬픈 것을 느꼈는데, 왜냐하면 그는 고양이를 좋아했기 때문이다."
102,그는 하루 종일 게임을 했다,그는 즐거웠다.,현실에서 멀어진 것을 느꼈다.,"졸음과 지루함이었다. 게임을 하면서 시간 가는 줄도 모르고 있었지만, 결국에는 지루해지고 피곤해졌다.","허전한 것을 느꼈는데, 왜냐하면 그는 하루 종일 게임을 했기 때문이다."
103,그는 나중에 질문했다,의아함과 혼란스러움을 느꼈다.,불안한,불편함과 혼란이었다.,"그는 무언가를 느꼈는데, 왜냐하면 그는 나중에 질문했기 때문이다."
104,그는 지갑을 돌려받았다,그는 안심하고 안도했다.,안심된 것을 느꼈다., 안도와 감사함이었다.,안도한
105,그는 그것을 학교에 가져갔다,그는 자랑스러웠다.,자신의 선택이 잘못되었다., 무거운 책가방 때문에 어깨가 아프고 피곤함이었다.,"그는 자랑스러운 것을 느꼈는데, 왜냐하면 그는 그것을 학교에 가져갔기 때문이다."
106,그는 무릎을 다쳤다,그는 아프고 불안했다.,통증을 느꼈다.,"심한 통증과 움직임의 제약이었다. 치료를 받아야 했고, 재활 과정을 거쳐 다시 건강해져야 했다.",아프다
