,input,A,B,B2,B3
51,그는 페이지를 넘겼다,다음 내용을 알고 싶어하다,그가 다음에 무엇을 읽을지 궁금해하다,더 많은 이야기를 듣고 싶어한다,그에게 책을 빌려달라고 부탁하다
52,그는 도넛도 먹었다,도넛을 더 먹을 것이냐고 물어보다,그의 식습관을 바꾸다,그와 함께 먹다,그에게 커피를 주다
53,그는 그것을 학교에 가져왔다,그에게 규칙을 지키라고 말하다,그것을 보다,그를 따라서 같은 것을 가지고 놀 수 있다,그것을 보다
54,그는 좋아하는 사람에게 물어봤다,사랑을 받다,그의 대답을 듣다,그의 진심을 전한다,그에게 답변을 얻다
55,그는 자신을 인식했다,자신을 받아들이도록 도와주다,그를 이해하다,그의 변화를 지켜본다,그가 자신을 발견하다
56,그는 새 옷을 구입했다,새 옷을 보여주다,그의 새 옷을 보다,그 옷을 입어본다,그에게 새로운 옷을 보여주다
57,그는 모든 인형을 외웠다,인형을 선물하다,그의 기억력에 감탄하다,그가 다른 놀이를 하도록 한다,그의 기억력을 부러워하다
58,그는 훨씬 좋아 보였다,그에게 더 가까워지다,그와 함께 사진을 찍다,그를 칭찬한다,그와 함께 사진을 찍다
59,그는 요리하고 싶어 하지 않았다,그를 도와주다,그를 도와주다,그를 위해 요리를 해준다,그가 요리를 해주다
60,그는 새 자전거를 구입했다,그를 축하하다,그의 새 자전거를 시도해보다,그를 축하한다,그의 새 자전거를 시험해보다
61,그는 목줄을 사용했다,반려견을 산책시키다,그를 더 이상 동물로 대하지 말다,그를 돌본다,그의 개를 통제하다
62,그는 커피를 주문했다,그에게 원하는 커피를 주문하다,그가 무엇을 고민하고 있는지 알다,그와 함께 커피를 마신다,그가 어떤 종류의 커피를 좋아하는지 물어보다
63,그는 태클을 당했다,그를 도와주다,그를 도와주다,그를 도와준다,그를 도와주다
64,그는 그녀에게 몸을 기울였다,그를 지지하다,그를 응원하다,그의 관심을 받다,그가 그녀에게 더 관심을 가지다
65,그는 오른쪽으로 향했다,그가 어디로 가려고 하는지 궁금해하다,그를 따라가다,그를 따라간다,그를 따르다
66,그는 배심원 의무를 위해 소환되었다,법정 절차에 따르도록 그를 지원하다,그가 공정한 판단을 하다,그의 의견을 제출한다,그를 도와주다
67,그는 자신을 과시했다,그를 칭찬하다,그에게 칭찬을 해주다,그를 칭찬한다,겸손을 보이다
68,그는 쿠키도 만들었다,칭찬해주다,그의 레시피를 알다,레시피를 알려달란다,그에게 레시피를 묻다
69,그는 유치원에 입학했다,부모들이 축하하다,그의 첫날을 축하하다,그를 축하한다,그의 학교 생활을 응원하다
70,그는 구걸하러 갔다,그에게 도움을 주다,그를 도와주다,그를 돕다,그를 도와주다
71,그는 면도를 중단했다,그를 깔끔하게 면도하다,그의 수염을 보다,그를 다시 면도하게 한다,그의 수염을 깎다
72,그는 약속을 잡았다,그 약속에 대해 물어보다,그가 무엇을 할지 궁금해하다,그 약속을 지킨다,그의 도움을 받다
73,그는 스스로 일을 자초했다,그에게 도와주다,그를 말리다,그를 도와준다,그를 도와주다
74,그는 방과 후 축구를 했다,그를 응원하다,그와 함께 팀을 이뤄 축구를 하다,그의 실력을 칭찬한다,그를 축구팀에 참여시키다
75,그는 그 의미를 설명했다,이해할 수 있도록 더 자세히 설명을 요청하다,그를 이해하다,그에게 더 많은 정보를 요청한다,그의 말을 이해하다
76,그는 처음 이발을 했다,신뢰할 만한 이발사를 추천하다,그의 새로운 머리 스타일을 보다,그를 칭찬한다,그를 칭찬하다
77,그는 온몸에 흘리고 있었다,그를 도와주다,그를 돕다,그를 도와준다,그를 도와주다
78,그는 드디어 도착했다,환영받다,그가 안전하게 도착했음을 확인하다,그의 안부를 묻다,그에게 환영 인사를 하다
79,그는 그녀를 죽음으로 이끌었다,그를 처벌하다,그는 그녀를 살리다,그녀를 살려낸다,그에게 용서를 구하다
80,그는 그녀를 만나러 갔다,그들과 만나다,그의 연애 성공,그녀와의 관계를 알려준다,그에게 좋은 인상을 주다
81,그는 2013년에 캠브리지로 이사했다,그의 이사를 축하하다,그를 방문하다,그를 자주 만난다,그를 다시 만나다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그를 멈추도록 하다,그를 붙잡다,그녀를 구해준다,그녀를 놓아주다
83,그는 어젯밤 피자를 다 먹었다,피자를 더 시켜주다,그의 식욕을 부러워하다,그를 도와준다,피자를 나눠 먹다
84,그는 고양이 알레르기가 있었다,알레르기가 있는지 확인하고 도움을 주다,그에게 고양이를 피하다,고양이를 피한다,그와 함께 고양이를 키우다
85,그는 마침내 먹이를 찾았다,그를 축하하다,그의 성공을 축하하다,그가 배고프지 않도록 한다,그에게 박수를 치다
86,그는 다리를 삐끗했다,그를 도와주다,그를 도와주다,그를 도와준다,그를 도와주다
87,그는 내 머리를 때렸다,그에게 사과받다,그에게 사과하다,그에게 사과한다,그에게 사과하다
88,그는 그녀를 죽이러 갔다,그를 막기 위해 경찰을 부르다,그는 그녀를 살려내다,그를 막다,그를 막다
89,그는 제시간에 집에 도착했다,안전하게 도착했다고 확인하다,그가 안전하게 도착했음을 알리다,안전하게 도착했는지 확인한다,그의 안전을 확인하다
90,그는 저녁을 먹었다,식사를 함께 하다,그와 함께 식사하다,같이 식사한다,그를 칭찬하다
91,오늘은 그녀의 마지막 날였다,그녀를 위로하다,그녀를 위로하다,그녀와 작별 인사를 한다,그녀와 마지막으로 이야기하다
92,그는 그녀가 그럴 거라고 했다,그녀와의 관계를 이해하다,그의 예언이 맞다,그의 말을 믿다,그녀를 설득하다
93,그는 수상한 냄새를 맡았다,그 주변 사람들에게 도움을 요청하다,그를 따라가다,그에게 무엇이 잘못되었는지 설명한다,그를 따라가다
94,그는 엄마에게 선물했다,엄마가 감동해서 미소 짓다,그의 관대함을 따르다,그를 칭찬한다,감동을 받다
95,그는 금반지를 발견했다,그에게서 반지를 얻기 위해 부탁하다,그에게 반지를 어디서 발견했는지 물어보다,그 반지의 주인을 찾다,그를 축하하다
96,그는 캠프파이어를 시작했다,그를 도와주다,노래를 부르다,그가 노래를 부른다,그에게 노래를 부르다
97,그는 보고서를 작성했다,보고서를 검토하다,그의 성과를 확인하다,그를 칭찬한다,그를 칭찬하다
98,그는 '펑'하는 소리를 들었다,그 주변을 둘러보다,그가 무슨 일이 일어났는지 궁금해하다,그가 안전한지 확인한다,그가 무슨 일인지 설명하다
99,그는 깜짝퀴즈를 출제했다,재미있는 문제를 풀어보다,정답을 알려주다,그에게 답을 알려달란다,정답을 맞추다
100,그는 강아지를 찾았다,강아지를 돌보기 위해 도와주다,그를 축하하다,그를 안심시킨다,그에게 강아지를 돌려주다
101,그는 고양이를 좋아했다,그에게 고양이를 선물하다,그의 고양이에 대한 이야기를 듣다,그와 함께 고양이를 키운다,그에게 고양이를 선물하다
102,그는 하루 종일 게임을 했다,게임을 그만두도록 설득하다,그를 다른 활동으로 돌리다,그를 다른 활동을 하도록 설득한다,그를 밖으로 데리고 나가다
103,그는 나중에 질문했다,그에게 답변해주다,그의 의견을 듣다,그의 발언에 대한 답변이었다,그에게 진실을 말하다
104,그는 지갑을 돌려받았다,감사 인사를 하다,그에게 감사의 인사를 하다,그에게 감사한다,그를 축하하다
105,그는 그것을 학교에 가져갔다,다른 사람들과 공유하기 위해 그것을 보여주다,그것을 보다,그것을 본다,그것을 어디서 구입했는지 물어보다
106,그는 무릎을 다쳤다,그를 도와주다,그는 빨리 치료를 받다,그를 도와준다,그를 도와주다
107,그는 갑자기 기억이 났다,그 이야기를 듣고 싶어하다,그가 기억을 떠올리게 해주다,그가 잊지 않았다는 것을 확인한다,그의 이름을 알아내다
108,그는 아이와 함께 놀 수 있었다,그와 함께 놀아주다,그를 웃게 만들다,그에게 자녀를 갖는 것을 권한다,그와 아이를 놀아주다
109,그는 처음에는 어떻게 해야 할지 몰랐다,도움을 요청하다,그를 도와주다,그에게 조언을 해준다,그에게 조언을 구하다
110,그는 심지어 케이크도 만들었다,맛을 보다,그의 요리를 맛보다,그에게 감사의 인사를 한다,그가 파티를 열다
111,그는 손을 들었다,그에게 주목하다,그의 말을 듣다,그를 선택한다,그가 무엇을 말하려는지 알다
112,그는 입을 적셨다,그에게 물을 마시게 하다,그의 이야기를 듣다,그를 더 많이 말하도록 한다,그를 조용히 하다
113,그는 새 고양이를 입양했다,새 고양이를 만나러 가다,그의 새로운 반려동물을 만나다,그의 새로운 반려동물을 만나본다,새로운 가족 구성원을 만나다
114,그는 정리를 잘했다,칭찬하다,그의 조언을 구하다,그에게 가르쳐 달란다,그에게 집안일을 맡기다
115,그는 그 높이에서 더 크고 무거워 보였다,그에게 도움을 주다,그를 도와주다,그와 함께 일한다,그를 더 낮추다
116,그는 눈물이 날 지경였다,그를 위로해주다,그를 위로하다,그를 위로한다,그를 안아주다
117,그는 놀고 싶지 않아 했다,그를 설득하다,그를 설득하다,무엇이 문제인지 이해하고 도와준다,그를 도와주다
118,그는 평화롭게 잠을 잤다,그를 깨우지 않다,그를 깨우지 않다,그를 깨우지 않다,그를 깨우지 말다
119,그는 종이에 물감을 묻혔다,그를 도와주다,그를 도와주다,그를 도와준다,그의 예술 작품을 보다
120,그는 칠면조를 넣었다,칠면조 요리에 대해 물어보다,그 요리를 맛보다,그를 칭찬한다,요리를 먹다
121,그는 다시 전화를 받았다,그에게 이야기를 듣다,그가 무슨 소식을 전해주다,그가 상황을 설명한다,그가 다시 연락하다
122,그는 눈사람을 만들었다,그와 함께 눈사람을 만들다,눈싸움을 하다,그를 도와준다,그와 함께 눈싸움을 하다
123,그는 결국 쓰러졌다,그를 도와주다,그를 도와주다,그를 도와준다,그를 도와주다
124,그는 곧 집으로 돌아갔다,그에게 안전하게 돌아왔다고 환영하다,그가 안전히 도착하다,그를 따라간다,그를 떠나지 말다
125,그는 새 보트를 구입했다,친구들을 초대하다,그와 함께 여행하다,그와 함께 보트 여행을 간다,그와 함께 어항을 탈다
126,그는 쇼핑하러 가고 싶다고 했다,함께 가자고 제안하다,그를 도와주다,그를 함께 쇼핑하러 간다,그를 동반하다
127,그는 소파에서 낮잠을 자고 있었다,그를 깨우지 않도록 조용히 하다,조용히 하다,조용히 하도록 한다,그를 깨우다
128,그는 혼자서 저녁을 먹었다,그와 함께 저녁을 먹다,그를 함께 식사하도록 초대하다,그를 함께 식사한다,그와 함께 저녁을 먹다
129,그는 잠이 들었다,그를 챙겨주다,조용히 하다,그를 깨우지 않다,그를 깨우다
130,그는 술을 너무 많이 마셨다,주의를 기울이고 돌봐주다,그를 집으로 데려다주다,그를 집으로 데려다준다,그가 조용히 자다
131,그는 매일 아침 눈을 떴다,그의 안부를 확인하다,그에게 좋은 하루를 기원하다,그가 더 행복해진다,그가 행복해지다
132,그는 그녀의 셔츠 단추를 풀었다,그를 비난하다,그의 행동을 비난하다,그녀의 셔츠 단추를 다시 맨다,그를 매몰하다
133,그는 새 타이어가 필요했다,도와주기 위해 차고에 가서 새 타이어를 가져다주다,그를 도와주다,그를 도와준다,그에게 도와달라고 부탁하다
134,그는 자신의 알람을 설정했다,그가 내일 일찍 일어날 필요가 있다고 생각하다,조용히 하다,그가 시간을 잘 지킨다,그에게 조용히 하다
135,그는 선택의 폭을 좁혔다,그를 도와주다,그를 도와주다,다른 옵션을 찾다,그에게 다양한 옵션을 제시하다
136,그는 직원을 해고했다,직원들의 불만을 달래다,그 결정에 대한 이유를 알다,그의 이유를 듣다,그를 용서하다
137,그는 발진이 생겼다,의사에게 진료를 받다,그에게 의사를 찾다,그를 병원에 데려간다,그에게 의사를 찾아보다
138,그는 집에 가서 옷을 갈아입어야 했다,그에게 옷을 빌려주다,그를 빨리 도와주다,그가 빨리 돌아온다,그를 빨리 보다
139,그는 정말 착해 보였다,그에게 더 가까이 다가가다,그와 친해지다,그를 믿다,그를 더 알고 싶어하다
140,그는 알림을 받았다,그에게 축하하다,그가 어떤 내용인지 궁금해하다,그에게 무슨 일이 일어났는지 알려준다,그를 축하하다
141,그는 아버지와 함께 낚시하러 갔다,아버지와 함께 즐거운 시간을 보내다,그의 재미있는 경험을 듣다,그의 어머니가 걱정하는 것을 달랜다,물고기를 잡아오다
142,그는 아기를 안고 있었다,아기를 돌봐주다,그를 도와주다,돌봄을 제공한다,그에게 아기를 맡기다
143,그는 기분이 나빠지기 시작했다,그에게 도와주다,그를 편안하게 해주다,그를 위로한다,그에게 위로의 말을 건네다
144,그는 새집을 지었다,주변 이웃들이 집들을 구경하고 축하하다,집들이 파티를 열다,그를 축하한다,그의 새 집을 구경하다
145,그는 새 정장을 구입했다,칭찬을 해주다,그가 입어보다,그를 칭찬한다,그의 새로운 모습을 칭찬하다
146,그는 부딪혔다,그를 도와주다,그를 도와주다,그가 다치지 않았는지 확인한다,그를 도와주다
147,그는 퇴근길에 커피를 사서 마셨다,그에게 다른 음료수를 추천하다,그에게 한 잔도 사주다,그도 커피를 사준다,그에게 커피를 사오다
148,그는 생일 파티가 있었다,축하의 인사를 하다,그에게 축하를 해주다,그를 축하한다,축하해주다
149,그는 암매장 당했다,그의 가족과 친구들은 그를 추모하고 위로해주다,그를 도와주다,살아돌아온다,그를 추모하다
150,그는 파트타임으로 일하고 있었다,그를 도와주다,그가 잘 할 수 있는 일을 찾다,그에게 돈을 빌려준다,그가 전문적인 경력을 쌓다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그를 멈추도록 하다,그를 멈추다,그를 멈추게 한다,그를 멈추다
152,그는 이제 자야 했다,그를 쉬게 두다,그를 조용히 하다,조용히 한다,그를 쉬게 하다
153,그는 깁스를 해야 했다,그를 도와주다,그의 회복을 기원하다,그를 도와준다,그를 도와주다
154,그는 하루를 시작했다,그에게 좋은 하루를 기원하다,그에게 좋은 하루를 기원하다,그가 좋은 하루를 보낸다,그를 도와주다
155,그는 새 드레스를 입었다,칭찬해주다,그의 패션을 칭찬하다,그에게 어울린다고 칭찬한다,그의 옷을 칭찬하다
156,그는 어느 날 배고픔을 느꼈다,그에게 음식을 제공하다,그에게 음식을 주다,그를 식사로 데려간다,그에게 음식을 주다
157,그는 새 집으로 이사했다,집들이를 하러 가다,그의 새 집을 구경하다,새 집에서 파티를 열어준다,그를 축하하다
158,그는 깁스를 하고 있었다,동행하여 돌봐주다,그의 부상을 돌봐주다,그의 다리를 조심한다,그에게 도와주다
159,그는 그녀의 어깨를 두드렸다,그를 위로해주다,그들의 관계에 대해 이야기하다,그녀를 위로한다,그녀를 위로하다
160,그는 양쪽을 동시에 지지했다,양쪽을 설득하기 위해 노력하다,그가 결정을 내리다,그가 어느 쪽에든 충실한지 궁금해한다,그의 결정을 내리다
161,그는 전봇대에 부딪혔다,그를 도와주다,그가 다치지 않았다,그를 도와준다,그를 병원으로 데려가다
162,그는 그것을 학교에 입고 다녔다,그에게 궁금해하고 물어보다,비슷한 것을 사도록 그를 설득하다,비슷한 것을 구매한다,그를 훈련시키다
163,그도 케이크를 먹었다,친구들과 함께 축하하다,그에게 맛있는지 물어보다,케이크를 나눠준다,케이크를 먹다
164,그는 밤에 잠을 잤다,그에게 평온한 꿈을 꾸기를 바라다,그를 깨우다,그를 깨우지 않다,그를 깨우다
165,그는 팔을 들어 올렸다,주위 사람들에게 주의를 끌다,그의 의견을 듣다,그를 칭찬한다,그의 질문에 대답하다
166,그는 실수로 노크를 했다,사과하다,문을 열어주다,문을 열어준다,문을 열어주다
167,그는 구취가 심했다,그에게 샤워를 권유하다,그를 샤워하다,그를 향기 좋은 샤워제로 선물한다,그를 샤워하다
168,그는 새로운 일을 시작했다,응원하다,그의 성공을 기원하다,그를 응원한다,그의 성공을 기원하다
169,그는 내비게이션에 도움을 요청했다,그를 도와주다,그를 길에서 도와주다,그에게 길을 안내해준다,길을 찾다
170,그는 총을 들고 목표물을 공격했다,그를 멈추고 평화로운 해결책을 찾다,그를 막다,그를 막다,그를 말리다
171,그는 호텔을 찾았다,그의 도와를 받다,그의 여행 계획을 듣다,그와 함께 숙소를 예약한다,그가 휴식을 취하다
172,그는 성인이 되었다,축하하다,그에게 축하,그에게 축하한다,그가 책임을 져다
173,그는 자전거를 타고 집으로 돌아갔다,그를 환영하다,그의 안전을 기원하다,그가 안전하게 도착한다,그를 보호하다
174,그는 남편에게 문자를 보내었다,남편의 안부를 묻다,그가 잘 받았다,그를 이해한다,그를 용서하다
175,그는 전화번호를 교환했다,연락을 주고받다,연락을 주고받다,연락을 유지한다,연락을 주다
176,그는 경적을 울렸다,도로를 건너지 말라고 경고하다,그를 조용히 하다,그를 비난한다,그를 비난하다
177,그는 꽤 멋져 보였다,그에게 칭찬하다,그와 친해지다,그와 사진을 찍다,그에게 인사를 건네다
178,그는 하루를 마무리했다,그에게 축하의 말을 건네다,그가 편히 쉬다,그를 축하한다,그의 일상을 공유하다
179,그는 마침내 그녀를 찾았다,그를 축하하다,그에게 축하하다,그가 안전하다는 것을 확인한다,그의 이야기를 듣다
180,그는 데이트를 원했다,그와 함께 시간을 보내다,그에게 도와주다,그를 도와준다,자신을 데리고 나가다
181,그는 갈등에 휘말렸다,그를 도와주다,그를 도와주다,그를 도와준다,그에게 조언하다
182,그는 팝콘을 먹었다,그와 함께 팝콘을 나누다,영화를 보다,영화를 보러 간다,그에게 팝콘을 나눠달라고 요청하다
183,그는 좋아하는 TV 프로그램을 시청했다,그와 함께 시청하고 싶어하다,함께 보다,그에게 프로그램에 대해 이야기한다,그와 함께 TV 프로그램을 더 많이 시청하다
184,그는 집에 안전하게 도착했다,그의 안부를 확인하다,그를 축하하다,그가 잘 도착했다는 연락을 받다,그에게 전화하다
185,그는 더 나은 직장을 찾았다,그를 축하하다,그의 성공을 축하하다,그와 연락을 유지한다,그를 축하하다
186,그는 현금이 좀 필요했다,그에게 돈을 빌려주다,돈을 빌려주다,그에게 빌려준다,돈을 빌려주다
187,그는 응급실에 가야 했다,그를 도와주기 위해 함께 가다,그가 빨리 나아지다,그를 돌봐준다,그를 응급실로 데려가다
188,그는 치어리더가 되고 싶어 했다,그를 응원하다,그를 응원하다,그를 응원한다,그녀를 응원하다
189,그는 상황파악을 하지 못한 채 놀고 있었다,그를 경각심을 일으키다,그에게 책임감을 느끼다,그에게 상황을 이해시킨다,그를 도와주다
190,그는 거부당했다,그를 지지하다,그에게 도와주다,그를 다시 설득한다,그와 함께 춤추다
191,그는 얼굴을 맞았다,그를 도와주다,도와주다,그를 도와준다,그를 위로하다
192,그는 상사에게 사과했다,그를 용서하다,사태를 진정시키다,그의 행동을 바꾼다,그를 용서하다
193,그는 내일 큰 시험이 있었다,시험에 대해 응원과 성공을 기원하다,그에게 응원을 보내다,그를 응원한다,그와 함께 공부하다
194,그는 선풍기를 구입했다,시원한 바람을 느끼기 위해 사용하다,시원한 바람을 맞다,그를 도와준다,시원한 바람
195,그는 새 옷장을 구입했다,축하해주다,그의 새로운 옷장을 보다,그 새 옷장을 입어본다,새로운 옷을 입다
196,그는 친구들을 초대했다,그의 초대를 받아들이다,파티에 가다,좋은 시간을 보낸다,그를 더 많이 알다
197,그는 선물을 받았다,감사의 인사를 전하다,무엇을 받았는지 궁금해하다,그에게 감사의 인사를 한다,감동을 받다
198,그는 장난감을 찾았다,그에게 축하의 인사를 하다,그가 어디에서 찾았는지 물어보다,그를 칭찬한다,그를 위해 축하하다
199,그는 청소를 도와줬다,감사의 말을 하다,감사의 표시를 하다,감사의 말을 한다,그에게 감사의 마음을 전하다
200,그는 내 부모님께 물어봤다,부모님의 허락을 받다,그의 결정을 알다,내가 그에게 도와준다,그에게 결혼을 하다
201,그는 데이트 상대를 찾았다,그와 함께 가다,그의 행운,그를 소개해달란다,그와 함께 데이트하다
202,그는 집에 가야 했다,그를 도와주다,그와 함께 가다,그를 머물게 한다,그를 떠나보내다
203,그는 주스를 엎질렀다,주스를 치우도록 그에게 도와주다,청소하다,그를 도와준다,바닥을 닦다
204,그는 성을 변경했다,그에게 존중과 지지를 표현하다,그의 이유를 알다,그에게 존중을 보여준다,그의 이름을 알다
205,그는 그것을 부모님에게 보여주기도 했다,부모님의 칭찬을 받다,그의 열정을 이해하다,그를 칭찬한다,자신의 작품을 칭찬하다
206,그는 환불을 요구했다,환불을 처리해 주다,그의 이야기를 듣다,그의 이야기를 듣다,그에게 돈을 돌려받다
207,그는 동물원에 사탕을 가져다줬다,동물원 직원들이나 동물들에게 사탕을 나눠주기 위해 기쁘게 하다,그를 칭찬하다,그에게 감사의 인사를 한다,그와 함께 동물원에 가다
208,그는 그녀에게 원하는대로 할 수 있게 했다,그녀에게 더 많은 자유를 주다,그의 결정을 존중하다,그를 축하한다,그를 용납하다
209,그는 밤에 잠이 들었다,그를 안심시키다,그가 편히 자다,그가 피곤하다는 것을 이해한다,그에게 자기 소개를 해달라고 하다
210,그도 그것을 원했다,그를 이해하다,그가 행복해지다,그의 소망을 이뤄준다,쉬어가다
211,그는 소총을 발사했다,안전을 보장받다,그를 막다,그를 무장 해제한다,그를 멈추다
212,그는 체중이 줄었다,그에게 축하하다,비밀을 알고 싶어하다,비밀을 알려준다,그의 비밀을 알다
