,input,A,B,B2
32,그는 시간을 가졌다,그는 여행을 계획하다,자신의 결정을 내리다,그는 일정을 잘 조절했다
33,그는 애완동물을 허용했다,그는 자신의 집에 반려동물을 입양하다,집에 혼자 있기를 두려워하다,아파트 규정을 변경했다
34,그는 휴대폰을 받았다,그는 그의 친구에게 전화를 걸다,오랜만에 친구로부터 전화를 받다,그는 기다리고 있었다
35,그는 C를 받았다,그는 시험을 대충 공부하다,시험을 치르다,그는 시험을 대충 공부했다
36,그는 TV를 구입했다,그는 돈을 모았다,새로운 홈 엔터테인먼트 시스템을 갖고 싶어하다,그는 오랜 시간 동안 절약하여 돈을 모았다
37,그는 다리를 심하게 다쳤다,그는 사고를 당하다,스키를 타다가 추락하다,그는 스케이트보드를 타고 있었다
38,그는 그녀의 바지에 오줌을 쌌다,그는 화장실을 가다 못해 급하게 신발을 신었다,화장실을 찾지 못하다,그는 화장실을 찾지 못했다
39,그는 찾을 수 없었다,그는 그의 지갑을 잃어버렸다,집에서 나가다,그는 집을 나간 후에 연락이 끊겼다
40,그는 곧 나아질 겄다,그는 의사에게 진단을 받았다,그는 의사의 진단을 받다,그는 의사의 치료를 받아야 한다
41,그는 새 카메라를 구입했다,그는 사진을 찍는 취미를 시작하다,사진을 좋아하다,그는 오랜 시간을 저축하여 돈을 모았다
42,그는 어젯밤부터 시작했다,그는 새로운 취미를 찾기 시작했다,새로운 운동을 시도하다,그는 책을 읽기 시작했다
43,그는 강아지를 키우고 싶다고 했다,그는 동물 보호소에서 자원봉사를 하다,동물 보호소를 방문하다,그는 동물 보호소에서 강아지를 만나고 왔다
44,그는 등산했다,그는 등산로를 찾아내다,산 정상에서 풍경을 감상하다,그는 산림청에 허가를 받았다
45,그는 휴대폰을 가지고 있었다,그는 친구에게 전화를 걸고 있었다,긴급한 전화를 받아야 했기 때문에 일어났다,그는 친구와의 연락을 기다리고 있었다
46,그는 전화 한 통을 받았다,그는 면접 일정을 확인하다,복권에 당첨되다,그는 오랜만에 친구와 연락했다
47,그는 더 높이 올라갔다,그는 산을 등반하다,산 정상을 향해 등반하다,그는 엘리베이터가 고장나서 계단을 이용하기로 했다
48,그는 이발이 필요했다,그는 머리카락이 너무 길어졌다,머리가 너무 길어지다,그는 머리가 너무 길어졌다
49,그는 지갑을 집에 두고 왔다,그는 출발하기 전에 지갑을 찾다 실패하다,상점에서 물건을 살려고 했다,그는 출발하기 전에 지갑을 찾고 있었지만 시간이 부족해서 집에 두고 왔다
50,그는 목록을 잊어버렸다,그는 쇼핑 목록을 작성하다,바빠서 정신이 없었다,그는 바빠서 정신이 없었다
51,그는 페이지를 넘겼다,그는 소설을 읽고 있었다,소설을 다 읽다,그는 책을 빠져들었다
52,그는 도넛도 먹었다,그는 카페에 가서 커피도 마셨다,다이어트를 포기하다,그는 운동을 했다
53,그는 그것을 학교에 가져왔다,그는 그것을 집에서 잊어버리다,숙제를 하다,그는 집에서 책가방을 챙겼다
54,그는 좋아하는 사람에게 물어봤다,그는 데이트를 하기로 결심하다,결정을 내리다,그는 용기를 내기 위해 많은 고민을 했다
55,그는 자신을 인식했다,그는 거울을 보고 있었다,오랜 시간을 고민하다,그는 오랫동안 자기를 찾아 헤맸다
56,그는 새 옷을 구입했다,그는 옷장이 너무 비어있어서 쇼핑을 하러 나갔다,몇 달 동안 절약을 했다,그는 쇼핑 목록을 작성했다
57,그는 모든 인형을 외웠다,그는 매일 인형을 연습하다,어릴 때부터 인형을 사랑하다,그는 매일 밤 그들과 함께 잤다
58,그는 훨씬 좋아 보였다,그는 그녀와 함께 있을 때 행복해 보였다,그는 휴식을 취하다,그는 오랜 시간을 일했다
59,그는 요리하고 싶어 하지 않았다,그는 요리를 배우고 싶어 했다,바쁜 하루를 보내다,그는 요리를 배우려고 시도했지만 실패했다
60,그는 새 자전거를 구입했다,그는 자전거를 타다 위해 운동을 시작하다,이사를 하고 났다,그는 오랜 시간을 저축해서 돈을 모았다
61,그는 목줄을 사용했다,그는 그의 개를 산책시켰다,강아지를 산책시켜주다,그의 개가 도망쳐서 목줄을 사용해야 했다
62,그는 커피를 주문했다,그는 친구와의 약속 시간이 다가오고 있었다,잠을 설치다,그는 커피 종류를 고민했다
63,그는 태클을 당했다,그는 축구 경기에서 상대 선수와 부딪히다,축구 경기에서 상대팀 선수에게 밀려 넘어지다,그는 상대 선수를 피하기 위해 최선을 다했다
64,그는 그녀에게 몸을 기울였다,그는 그녀를 도와주려고 했다,그녀의 이야기에 집중하다,그녀가 넘어지는 것을 보고 달려갔다
65,그는 오른쪽으로 향했다,그는 지도를 확인하다,지도를 확인하다,그는 지도를 확인했다
66,그는 배심원 의무를 위해 소환되었다,그는 범죄에 대한 증거를 검토하다,범죄에 대한 증거를 제출하다,그는 목격자들에게 발각되었다
67,그는 자신을 과시했다,그는 성과를 자랑하다,자신의 업적을 언급하다,그는 성과를 어필하고 싶었다
68,그는 쿠키도 만들었다,그는 친구들을 위해 파티를 준비했다,친구들을 위해 파티를 열다,그는 레시피를 찾아보고 재료를 준비했다
69,그는 유치원에 입학했다,그는 학교에 지원서를 제출하다,5세가 되다,그의 부모들은 다양한 유치원을 방문했다
70,그는 구걸하러 갔다,그는 돈이 없어서 구걸하러 갔다,그는 도시를 떠나다,그는 가족과 함께 평범한 삶을 살았다
71,그는 면도를 중단했다,그는 수염을 기르기로 결정했다,수염을 기르기로 결심하다,그는 수염을 기르기로 결심했다
72,그는 약속을 잡았다,그는 친구와 만나기로 결정했다,오랜만에 친구를 만나다,그는 일정을 확인했다
73,그는 스스로 일을 자초했다,그는 회사에서 해고되다,회사에서 사직서를 제출하다,그는 회사에서의 업무 스트레스를 견디지 못했다
74,그는 방과 후 축구를 했다,그는 학교에서 방과 후 프로그램에 등록하다,학교에서 친구들과 만나다,그는 친구들과 함께 공을 사러 갔다
75,그는 그 의미를 설명했다,그는 모호한 상황을 명확하게 하려고 노력했다,다른 사람들이 혼란스러워하다,그는 그 주제에 대해 연구를 많이 했다
76,그는 처음 이발을 했다,그는 그의 머리가 너무 길어져서 이발을 하기로 결심했다,머리를 길게 기르다,그는 머리가 너무 길어져서 이발을 하기로 했다
77,그는 온몸에 흘리고 있었다,그는 운동을 하고 있었다,긴 거리를 뛰다,그는 뜨거운 커피를 엎어놓았다
78,그는 드디어 도착했다,그는 긴 여행을 마치다,긴 여행을 마치다,그는 길을 잃었고 여러 차례 휴대전화로 도움을 요청했다
79,그는 그녀를 죽음으로 이끌었다,그는 그녀에게 폭력을 행사했다,미친 듯이 집착하다,그는 그녀와의 관계가 매우 복잡했다
80,그는 그녀를 만나러 갔다,그는 그녀와의 약속 시간을 확인하다,여자 친구와의 데이트를 계획하다,그녀와의 약속을 잊지 않기 위해 일정을 확인했다
81,그는 2013년에 캠브리지로 이사했다,그는 대학에 입학하다,하버드 대학교에서 대학원 학위를 받다,그는 대학에 입학했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그는 그녀와 심각한 다툼을 하다,화를 내다,그는 그녀와 심각한 다툼을 했다
83,그는 어젯밤 피자를 다 먹었다,그는 배가 고파서 피자를 시켰다,배가 고팠다,그는 배가 고팠다고 말했다
84,그는 고양이 알레르기가 있었다,그는 동물 보호소에 가다,친구의 집에 갔다 오다,그는 동물 보호소에서 고양이를 입양했다
85,그는 마침내 먹이를 찾았다,그는 그의 사냥 기술을 연습하다,수행한 오랜 시간의 사냥 뒤에 일어났다,그는 수많은 나무 사이를 돌아다녔다
86,그는 다리를 삐끗했다,그는 축구 경기를 하다,축구를 하다,그는 축구를 하다가 넘어졌다
87,그는 내 머리를 때렸다,그는 화가 나서 내게 손을 대다,화를 내다,그는 내 발언에 화가 났다
88,그는 그녀를 죽이러 갔다,그는 그녀에게 복수하려고 결심했다,본능에 따라 행동하다,그녀와의 관계가 매우 악화되었다
89,그는 제시간에 집에 도착했다,그는 출발하기 전에 교통 상황을 확인했다,교통체증을 만나다,그는 교통체증을 피하기 위해 일찍 출발했다
90,그는 저녁을 먹었다,그는 하루 종일 일을 했다,긴 시간 동안 공부하다,그는 식사 재료를 사러 시장에 갔다
91,오늘은 그녀의 마지막 날였다,그녀는 회사를 그만두기로 결정했다,의료진과 작별 인사를 나누다,그녀는 회사를 퇴직하기로 결정했다
92,그는 그녀가 그럴 거라고 했다,그녀는 그를 실망시키지 않을 거라고 믿었다,그녀가 항상 불안정하다고 생각하다,그녀가 항상 신뢰할 만했다
93,그는 수상한 냄새를 맡았다,그는 주변에 썩은 음식이나 부패한 물질이 있음을 느꼈다,부패한 음식을 먹다,그는 이상한 소리가 들렸다
94,그는 엄마에게 선물했다,그는 어머니의 생일이었다,어머니의 생일을 잊다,그는 엄마의 취향을 조사했다
95,그는 금반지를 발견했다,그는 바닥에 떨어진 보석을 주웠다,해변을 산책하다,그는 해변을 산책하고 있었다
96,그는 캠프파이어를 시작했다,그는 나무를 모으다,캠핑을 하다,그는 나무를 패서 장작을 준비했다
97,그는 보고서를 작성했다,그는 회의에 참석하기 위해 자료를 준비하다,프로젝트를 완료하다,그는 조사를 진행했다
98,그는 '펑'하는 소리를 들었다,그는 폭죽이 터지는 소리를 들었다,폭죽이 터지다,그는 전등을 켰다
99,그는 깜짝퀴즈를 출제했다,그는 친구들과 함께 시간을 보내다,학생들의 지루함을 느끼다,그는 친구들을 초대했다
100,그는 강아지를 찾았다,그는 그의 이웃이 강아지를 잃어버렸다,집을 나와서 산책을 하다,그는 주변을 돌아다니며 실종된 강아지를 찾았다
101,그는 고양이를 좋아했다,그는 어릴 때부터 반려동물을 키워왔다,어릴 때 고양이와 함께 자라다,그는 동물 보호소에서 고양이를 입양했다
102,그는 하루 종일 게임을 했다,그는 새로운 게임을 다운로드하고 설치하다,시험을 망쳤다,그는 일을 마치고 피곤했기 때문에 스트레스를 풀기 위해 게임을 시작했다
103,그는 나중에 질문했다,그는 강의를 듣고 있었다,내가 말하는 것을 이해하다,그는 주변을 둘러보았다
104,그는 지갑을 돌려받았다,그는 지갑을 잃어버리고 있었다,친절한 사람에게서 찾아내다,그는 분실 보관함에서 신고를 했다
105,그는 그것을 학교에 가져갔다,그는 숙제를 하기 위해 도서관에 갔다,선생님의 허락을 받다,그는 그것을 가방에 넣었다
106,그는 무릎을 다쳤다,그는 스키를 타고 있었다,그는 높은 산을 등반하다,그는 농구를 하다가 넘어졌다
107,그는 갑자기 기억이 났다,그는 친구의 생일을 잊었다,오래 전에 만난 친구를 보다,그는 오래전에 받은 편지를 다시 읽었다
108,그는 아이와 함께 놀 수 있었다,그는 아이와 함께 시간을 보내기로 계획하다,퇴근 후에 시간을 보내기로 결정하다,그는 일찍 퇴근할 수 있었다
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 새로운 프로그램을 사용하려고 했다,친구의 조언을 구하다,그는 조언을 구하기 위해 친구들에게 연락했다
110,그는 심지어 케이크도 만들었다,그는 친구의 생일을 축하하기 위해 파티를 준비했다,요리 경연대회에 참가하다,그는 요리 공부를 열심히 했다
111,그는 손을 들었다,그는 질문에 대한 답을 하기를 원하다,교실에서 질문을 하다,그는 질문을 준비했다
112,그는 입을 적셨다,그는 매운 음식을 먹었다,매운 음식을 먹다,그는 식사를 마쳤다
113,그는 새 고양이를 입양했다,그는 동물 보호소에 방문하다,동물 보호소를 방문하다,그는 동물 보호소에서 자원봉사를 했다
114,그는 정리를 잘했다,그는 집안을 청소하다,집을 팔다,그는 집이 너무 지저분해서 스트레스 받았다
115,그는 그 높이에서 더 크고 무거워 보였다,그는 사람들에게 더 높은 위치에서 볼 수 있도록 올라가다,다리를 길게 만들기로 결정하다,그는 체중을 늘리기 위해 꾸준히 운동했다
116,그는 눈물이 날 지경였다,그는 그의 가장 친한 친구와 싸웠다,가장 친한 친구와 싸웠다,그는 가장 소중한 사람을 잃었다
117,그는 놀고 싶지 않아 했다,그는 그의 친구들이 모두 바빠서 혼자 남아있어야 했다,하루 종일 일하다,그는 피곤했다
118,그는 평화롭게 잠을 잤다,그는 스트레스를 해소하기 위해 요가를 했다,스트레스를 해소하다,그는 명상을 했다
119,그는 종이에 물감을 묻혔다,그는 예술 수업을 듣고 있다,예술 수업에서 그림을 그리다,그는 그림을 그리기 시작했다
120,그는 칠면조를 넣었다,그는 요리를 시작하다,오븐을 예열하다,그는 요리 공부를 많이 했다
121,그는 다시 전화를 받았다,그는 전화를 끊다,일어나자마자 전화를 받다,그는 회의 중이었다
122,그는 눈사람을 만들었다,그는 겨울에 눈이 내리다,첫 눈이 내리다,그는 눈사람을 만들었다
123,그는 결국 쓰러졌다,그는 오랜 시간 동안 달려왔다,마라톤을 뛰다,그는 많은 피로를 견디고 있었다
124,그는 곧 집으로 돌아갔다,그는 일이 끝나고 있었다,늦은 밤이 되다,그는 모든 할일을 끝마쳤다
125,그는 새 보트를 구입했다,그는 해변가에 휴가를 가다,해양 여행에 꽂혔다,그는 수영을 배우기로 했다
126,그는 쇼핑하러 가고 싶다고 했다,그는 그녀의 생일 선물을 사러 가고 싶다고 했다,오랜만에 휴일을 보내다,그녀의 생일 선물을 사야 한다고 말했다
127,그는 소파에서 낮잠을 자고 있었다,그는 하루 종일 일을 하고 지쳐서 낮잠을 자러 갔다,피곤해서 잠들다,그는 소파에서 텔레비전을 보고 있었다
128,그는 혼자서 저녁을 먹었다,그는 친구들과의 약속을 취소하다,친구들과의 약속이 취소되다,그는 친구들과의 약속을 취소했다
129,그는 잠이 들었다,그는 하루 종일 일을 하고 피곤했다,하루 종일 일을 하다,그는 아주 피곤했다
130,그는 술을 너무 많이 마셨다,그는 스트레스를 받고 있었다,음주운전 사고를 당하다,그는 스트레스와 불안을 겪고 있었다
131,그는 매일 아침 눈을 떴다,그는 알람이 울리기 전에 일어났다,자신의 목표를 이루다,그는 매일 밤 잠을 자기 전에 창문을 닫았다
132,그는 그녀의 셔츠 단추를 풀었다,그는 그녀와 데이트를 하다,더위를 많이 타다,그녀와 로맨틱한 데이트를 했다
133,그는 새 타이어가 필요했다,그는 자동차가 길가에 고장나다,차량 사고를 당하다,그의 차량이 길 위에서 고장나 버렸다
134,그는 자신의 알람을 설정했다,그는 다음 날 일찍 일어나기로 결정했다,다음 날 일찍 일어나야 할 약속이 있다,그는 잠을 자기로 결정했다
135,그는 선택의 폭을 좁혔다,그는 여행지를 결정하기 위해 여러 옵션을 고려하다,시간이 부족하다,그는 여러 가지 옵션을 고려했다
136,그는 직원을 해고했다,그는 회사의 성과가 나빠지고 있다,회사의 재정 상황을 검토하다,그는 업무 태만과 자주 지각하는 행동을 여러 차례 경고했다
137,그는 발진이 생겼다,그는 알레르기 반응을 일으켰다,새로운 세제를 사용하다,그는 알레르기 반응을 일으켰다
138,그는 집에 가서 옷을 갈아입어야 했다,그는 중요한 회의가 있기 때문에 옷을 갈아입어야 했다,소셜 이벤트에 참석하다,그는 중요한 회의가 있었다
139,그는 정말 착해 보였다,그는 그녀에게 선물을 주기로 결심했다,모든 사람들에게 친절하게 대하다,그는 모든 이웃을 돕고 다니는 것으로 알려져 있었다
140,그는 알림을 받았다,그는 그의 핸드폰이 울리는 소리를 들었다,중요한 이메일을 확인하다,그는 스마트폰을 확인하고 있었다
141,그는 아버지와 함께 낚시하러 갔다,그는 주말에 시간을 보내기로 약속하다,어린이날을 축하하다,그는 어릴 적에 자주 함께 낚시를 다녔다
142,그는 아기를 안고 있었다,그는 아기가 울기 시작하다,친구의 아기를 돌봐 주다,그는 아기가 울음소리를 내지 않아서 걱정했다
143,그는 기분이 나빠지기 시작했다,그는 그의 친구가 그를 무시하다고 생각했다,소식을 듣다,그는 나쁜 소식을 들었다
144,그는 새집을 지었다,그는 부동산 에이전트와 계약을 맺다,결혼을 하다,그는 부지를 구매했다
145,그는 새 정장을 구입했다,그는 친구의 결혼식에 초대받았다,친구의 결혼식이 있다,그는 친구의 결혼식 초대를 받았다
146,그는 부딪혔다,그는 길을 건너기 위해 달려나가고 있었다,핸드폰을 보다,그는 속도를 내서 달리고 있었다
147,그는 퇴근길에 커피를 사서 마셨다,그는 하루 일과가 끝나고 피곤해서 커피를 사서 마셨다,하루 일을 끝내다,그는 회의가 끝나자마자 커피를 사러 갔다
148,그는 생일 파티가 있었다,그는 친구들을 초대했다,친구들을 초대하다,그는 생일 선물을 골라야 했다
149,그는 암매장 당했다,그는 암에 걸렸다,흡연을 그만두기로 결심하다,그는 건강검진을 받지 않았다
150,그는 파트타임으로 일하고 있었다,그는 대학에 등록하고 있다,대학에 다니기 시작하다,그는 대학생활을 하기 위해 돈을 벌어야 했다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그는 술에 취해서 운전을 했다,술에 취해서 운전하다,그는 자신의 감정을 제어하지 못했다
152,그는 이제 자야 했다,그는 그녀가 다음날 일찍 일어나야 했다,내일 일찍 일어나야 하다,그는 하루 종일 일을 하느라 피곤했다
153,그는 깁스를 해야 했다,그는 사고를 당하다,그는 사고를 당하다,그는 사고를 당했다
154,그는 하루를 시작했다,그는 알람 소리에 깨어나다,알람을 끄다,그는 일어나기 위해 알람을 세 번이나 끄고 일어났다
155,그는 새 드레스를 입었다,그는 친구의 결혼식에 참석하기로 했다,특별한 자리에 참석하기로 결정하다,그는 쇼핑을 가서 새 드레스를 구매했다
156,그는 어느 날 배고픔을 느꼈다,그는 아침을 거르고 출근했다,아침을 거르다,그는 아침을 거르고 출근했다
157,그는 새 집으로 이사했다,그는 집을 사기로 결정했다,새 직장을 얻다,그는 새 집을 찾기 위해 많은 부동산을 방문했다
158,그는 깁스를 하고 있었다,그는 사고를 당했다,사고를 당하다,그는 사고를 당했다
159,그는 그녀의 어깨를 두드렸다,그는 그녀가 슬퍼 보였다,그녀가 슬퍼하고 있었기 때문에 일어났다,그녀는 슬픔에 잠겨 있었다
160,그는 양쪽을 동시에 지지했다,그는 중도파이다,중립적인 입장을 취하다,그는 갈등 상황을 해결하려고 했다
161,그는 전봇대에 부딪혔다,그는 운전 중에 스마트폰을 사용하고 있었다,운전 중에 졸다,그는 운전 중에 졸았다
162,그는 그것을 학교에 입고 다녔다,그는 그의 옷을 선택하고 준비했다,새 옷을 사다,그가 패션쇼에서 모델로 활동했다
163,그도 케이크를 먹었다,그는 생일을 축하하다,다이어트를 시작하다,그는 식사 후에 디저트를 원했다
164,그는 밤에 잠을 잤다,그는 그날 하루 일을 열심히 했다,하루 종일 일을 하다,그는 스트레스를 받았다
165,그는 팔을 들어 올렸다,그는 선수로 출전하다,선수로서 승리를 거두다,그는 승리를 축하하기 위해 이야기했다
166,그는 실수로 노크를 했다,그는 문을 열기로 결정하다,문을 열다,그는 문을 열어놓았다
167,그는 구취가 심했다,그는 몇 일 동안 샤워를 하지 않았다,하루 종일 외식을 하다,그는 한 달 동안 칫솔을 사용하지 않았다
168,그는 새로운 일을 시작했다,그는 이직을 결정하고 새로운 회사에서 입사했다,이직을 결정하다,그는 이전 직장에서 퇴사했다
169,그는 내비게이션에 도움을 요청했다,그는 길을 잃다,길을 잃다,그는 지도를 잃어버렸다
170,그는 총을 들고 목표물을 공격했다,그는 이전에 목표물을 스토킹하다,자신의 가족을 지키기 위했다,그는 계획을 세우고 훈련을 받았다
171,그는 호텔을 찾았다,그는 여행사에 호텔 예약을 하다,여행 일정을 계획하다,그는 지도를 확인했다
172,그는 성인이 되었다,그는 18세 생일을 맞았다,18세 생일을 맞이하다,그는 18세 생일을 맞았다
173,그는 자전거를 타고 집으로 돌아갔다,그는 친구와 함께 자전거를 타고 공원을 돌아다녔다,운동을 하다,그는 친구들과 함께 공원에서 시간을 보냈다
174,그는 남편에게 문자를 보내었다,그는 그의 결혼 기념일을 잊지 않았다,출장 중이라고 알리다,그는 남편에게 전화를 걸었다
175,그는 전화번호를 교환했다,그는 새로운 친구를 사귀다,새로운 사람을 만나다,그는 그녀와의 약속을 잡았다
176,그는 경적을 울렸다,그는 도로를 가로질러 건너다닌 사람을 경고하다,사랑하는 사람을 보다,그는 보행자가 길을 가로질러서 위험했다
177,그는 꽤 멋져 보였다,그는 새로운 옷을 입었다,새로운 옷을 입다,그는 새로운 옷을 입었다
178,그는 하루를 마무리했다,그는 밤에 책을 읽다,새로운 일정을 계획하다,그는 운동을 했다
179,그는 마침내 그녀를 찾았다,그는 그녀의 실종을 조사하고 있었다,수개월 동안 산 속에서 살아남다,그는 그녀의 친구들과 연락을 시도했다
180,그는 데이트를 원했다,그는 그녀에게 연락하다,여자친구와 헤어지다,그녀와 연락을 주고받았다
181,그는 갈등에 휘말렸다,그는 친구와 다투다,친구들과 다투다,그는 갈등을 회피하려고 했다
182,그는 팝콘을 먹었다,그는 영화를 보기로 결정했다,영화를 보다,그는 친구들과 함께 극장에 갔다
183,그는 좋아하는 TV 프로그램을 시청했다,그는 일정을 조정하여 시간을 확보했다,일찍 자다,그는 친구들과 함께 식사를 했다
184,그는 집에 안전하게 도착했다,그는 운전 중에 교통사고를 당했다,운전 중에 교통사고를 당하다,그는 차를 천천히 운전했다
185,그는 더 나은 직장을 찾았다,그는 이직을 결정했다,현재의 회사에서 승진 기회를 얻지 못하다,그는 현재 직장에서 스트레스를 많이 받았다
186,그는 현금이 좀 필요했다,그는 은행에 가서 돈을 찾다,은행에서 대출을 신청하다,그는 은행에 가서 계좌 잔고를 확인했다
187,그는 응급실에 가야 했다,그는 심각한 사고를 당하다,사고를 당하다,그는 심장 마비 증상을 겪고 있었다
188,그는 치어리더가 되고 싶어 했다,그는 축구 경기를 보다,그는 친구들의 응원을 받았다,그는 춤을 잘 추고 체육 수업을 즐겼다
189,그는 상황파악을 하지 못한 채 놀고 있었다,그는 중요한 회의에 참석해야 했다,중요한 회의에 늦다,중요한 회의가 있음을 알리는 메시지를 받지 못했다
190,그는 거부당했다,그는 그녀에게 프러포즈를 했다,프로포즈를 하다,그는 진지하게 고백을 했다
191,그는 얼굴을 맞았다,그는 누군가와 말다툼을 하고 있었다,싸움을 시작하다,그는 상대방을 모욕했다
192,그는 상사에게 사과했다,그는 실수를 저지르다,실수를 인정하다,그는 실수를 저질렀다
193,그는 내일 큰 시험이 있었다,그는 몇 일 동안 열심히 공부하고 있었다,밤을 새워 공부하다,그는 밤새 공부를 했다
194,그는 선풍기를 구입했다,그는 여름이 다가오고 있었다,더운 여름을 보내다,그는 에어컨을 수리하려고 했지만 고장이 심각해서 새로운 선풍기를 사야 했다
195,그는 새 옷장을 구입했다,그는 옷장이 너무 많이 부서져서 새로운 것을 사다,다이어트에 성공하다,그는 옷장이 너무 작아서 옷을 보관하기가 힘들었다
196,그는 친구들을 초대했다,그는 생일 파티를 열기로 결정했다,새로운 아파트에 이사하다,그는 파티를 열기로 결정했다
197,그는 선물을 받았다,그는 생일이나 기념일을 맞아서 선물을 받았다,생일을 맞았다,그는 생일 파티를 열었다
198,그는 장난감을 찾았다,그는 그의 방을 정리하고 있었다,집 청소를 하다,그의 아이가 장난감을 방 안 어딘가에 놓아두었기 때문이다
199,그는 청소를 도와줬다,그는 친구의 집에 초대받았다,친구의 집에 놀러 갔다,그는 집이 너무 더러워 보였다
200,그는 내 부모님께 물어봤다,그는 결혼을 허락받다,결혼을 허락받다,그는 결혼을 하고 싶다는 마음을 굳히고 있었다
201,그는 데이트 상대를 찾았다,그는 친구에게 소개팅을 추천받았다,소개팅 앱을 이용하다,그는 온라인 앱을 이용해 여러 사람들과 대화를 나누었다
