,input,A,B,B2,B3
17,그는 너무 심하게 다쳤다,그는 안전장비를 착용하고 있었다,응급실에 들어가야 했다,의료진의 치료가 필요하다,안전모를 착용했다
18,그는 몸이 아프기 시작했다,그는 운동을 했기 때문에 몸이 아프기 시작했다,꾸준한 운동을 하지 않았다,의사의 처방을 따르지 않다,충분한 수면을 취했다
19,그는 밤에 잠을 잘 이루지 못했다,그는 자는 동안에도 계속해서 일어나서 활동했다,스트레스가 많았다,스트레스와 불안이 있다,카페인 중독이었다
20,그는 새로운 기술을 배웠다,그는 뇌가 없었다,학습에 대한 열정이 없었다,늙었다고 생각한다,학습에 관심을 두지 않았다
21,그는 황금알을 낳는 거위를 죽였다,그는 이야기 속의 인물이었다,더 많은 돈을 얻기 위해 탐욕에 사로잡혔다,그것이 신화 속 이야기란다,그거위를 가진 적이 없었다
22,그는 대학에 지원했다,그는 학위를 취득할 자격이 없었다,중학교를 졸업하지 못했다,합격 통지를 받다,학생비자를 받지 못했다
23,그는 홀인원을 기록했다,그는 골퍼가 아니었다,골프를 한 번도 해본 적이 없었다,운이 좋다,부상을 입었다
24,그는 방과 후 친구들과 농구를 했다,그는 농구공이 없었다,다리를 다쳤다,다리를 다쳤기 때문에 몇 주 동안 운동을 쉬어야 한다,부상을 입었다
25,그는 곧 기분이 나아질 겄다,그는 심각한 질병에 걸렸다,정신적인 문제를 가지고 있었다,그가 쓰러진 후에 의료진의 도움을 받지 않다,계속 약을 복용하지 않았다
26,그는 커피를 머그잔에 마셨다,그는 카페인에 대한 알러지가 있었다,수면장애가 없었다,그가 따뜻한 음료를 좋아한다,카페인 중독이었다
27,그는 엔진을 망가뜨렸다,그는 자동차를 운전하지 않았다,차를 너무 오래 몰았다,부품을 구하기 어렵다,정기적으로 차량 점검을 받았다
28,그는 새로운 새끼 고양이를 얻었다,그는 알러지가 있어서 고양이를 키울 수 없었다,알레르기가 있다,알레르기 때문에 고양이 털에 민감하다,애완동물을 키우는 것을 싫어했다
29,그는 과거는 과거로 뒀다,그는 과거를 잊지 못했다,그의 실수를 인정하지 않았다,현재에 집중한다,더 나은 선택을 했다
30,그는 새 기타를 구입했다,그는 음악에 관심이 없었다,음악에 관심이 없었다,그가 연주를 배우지 않다,돈이 없었다
31,그도 노력했다,그는 능력이 부족했다,근육질이 아니었다,지나친 경쟁으로 자신을 과도하게 스트레스 받다,자신의 능력을 믿지 않았다
32,그는 시간을 가졌다,그는 시간을 가지고 있지 않았다,성급하게 결정하지 않았다,늦잠잔다,마감일이 하루 남았다
33,그는 애완동물을 허용했다,그는 아파트에 살고 있었다,알레르기가 있었다,아파트 규정에 어긋난다,알레르기가 있었다
34,그는 휴대폰을 받았다,그는 휴대폰이 없었다,주소록을 잃어버렸다,통화 중요한 상황이 발생하다,주머니를 잊어버렸다
35,그는 C를 받았다,그는 시험을 침대에서 뒹굴고 있었다,시험을 졸업 전날에 공부를 시작했다,시험을 다시 치른다,열심히 공부하지 않았다
36,그는 TV를 구입했다,그는 전기가 차단되었다,돈이 부족해서 물건을 살 수 없었다,결국 그가 돈을 다 써버릴 것이라는 걱정이다,돈이 없었다
37,그는 다리를 심하게 다쳤다,그는 안전장비를 착용했다,응급실이 가득 차 있었다,의료진의 전문적인 치료와 재활 프로그램을 받다,안전모를 착용했다
38,그는 그녀의 바지에 오줌을 쌌다,그는 화장실에 갔다,마음이 아프거나 병원에 가야할 정도로 술에 취했다,긴급한 화장실이 없다,화장실을 가서 볼일을 보았다
39,그는 찾을 수 없었다,그는 항상 집에 있었다,실종되었다,그가 실종되었기 때문이다,지갑을 잃어버렸다
40,그는 곧 나아질 겄다,그는 심각한 질병에 걸렸다,의지를 잃었다,병이 악화된다,의사에게 진단을 받지 않았다
41,그는 새 카메라를 구입했다,그의 신용카드가 거부되었다,사진을 찍는 것을 멈추었다,그가 사진을 찍는 것을 싫어한다,이미 완벽한 카메라를 가지고 있었다
42,그는 어젯밤부터 시작했다,그는 어젯밤에 잠을 자지 않았다,충분한 휴식을 취하지 않았다,그가 충분한 휴식을 취하지 않다,아침에 일찍 일어나야 했다
43,그는 강아지를 키우고 싶다고 했다,그는 아파트에서 반려동물을 키울 수 없었다,애완동물에 알레르기가 있다,그의 아파트에서는 반려동물을 키울 수 없는 규정이었다,알레르기를 가지고 있었다
44,그는 등산했다,그는 산이 폭포로 떨어졌다,아주 좋은 체력을 가지고 있었다,날씨가 너무 덥거나 춥다,다리를 다쳤다
45,그는 휴대폰을 가지고 있었다,그는 산에서 등산 중이었다,긴급한 연락이 와야 한다,배터리가 다 떨어지다,전날에 잃어버렸다
46,그는 전화 한 통을 받았다,전화가 벨소리를 울리지 않았다,전화를 꺼냈을 때 배터리가 없었다,배터리가 없다,전화를 꺼냈다
47,그는 더 높이 올라갔다,그는 발이 미끄러지지 않았다,악천후로 인해 정상에 도달하지 못했다,그는 높은 곳에서 두려움을 느낀다,다리를 다친 상태였다
48,그는 이발이 필요했다,그는 머리카락이 없었다,머리를 깎지 않았다,미용사가 휴가 중이다,머리를 길게 자르지 않았다
49,그는 지갑을 집에 두고 왔다,그는 지갑을 가지고 왔다,현금이 필요하지 않았다,혼자 외출할 때 항상 지갑을 가지고 다닌다,여행을 가기 전에 지갑을 분실했다
50,그는 목록을 잊어버렸다,그는 사람들에게 목록을 알려주지 않았다,모든 것을 기억했다,다시 한 번 확인한다,슈퍼마켓에 갔다
51,그는 페이지를 넘겼다,그는 책을 읽지 않았다,책을 읽는 것을 싫어했다,책이 끝나는 것을 막고 싶다,책이 너무 지루했다
52,그는 도넛도 먹었다,그는 금식 중이었다,당뇨병이 있었다,당뇨병이 없다,당뇨병이 있었다
53,그는 그것을 학교에 가져왔다,그는 집을 나오기 전에 그것을 잊어버렸다,집에 두고 온 것이 없었다,학교에서 그것을 사용할 수 없다,그것을 잊어버렸다
54,그는 좋아하는 사람에게 물어봤다,그 사람은 청각 장애가 있었다,거절당할 것을 두려워했다,거절당할까봐 두려워한다,자신의 감정을 표현하는 것을 두려워했다
55,그는 자신을 인식했다,그는 광범위한 기억상실증을 겪고 있었다,기억상실증에 걸렸다,자존감이 떨어진다,알코올에 취해 있었다
56,그는 새 옷을 구입했다,그는 돈이 없었다,신용카드를 잊었다,지갑을 잃어버리다,돈이 없었다
57,그는 모든 인형을 외웠다,그는 인형을 한 개도 가지고 있지 않았다,기억력이 뛰어나지 않았다,그가 정신병자란다,집중력이 없었다
58,그는 훨씬 좋아 보였다,그는 심각한 질병으로 힘들어했다,전날 밤에 술을 마시지 않았다,실제로 그가 많이 아팠다,웃음이 없었다
59,그는 요리하고 싶어 하지 않았다,그는 요리에 대한 열정이 없었다,배달음식을 시킬 수 없었다,그의 요리 기술이 부족하다,배가 고팠다
60,그는 새 자전거를 구입했다,그는 돈이 없었다,돈을 벌지 못했다,돈이 없어서 빌려야 한다,돈이 부족했다
61,그는 목줄을 사용했다,그는 고양이를 키우지 않았다,개를 훈련하고 있었다,강아지가 너무 흥분해서 목줄을 물고 달아난다,강아지를 훈련시키는 방법을 잘 몰랐다
62,그는 커피를 주문했다,그는 카페가 문을 닫았다,카페인 중독이었다,카페인 중독이 된다,수면제를 복용했다
63,그는 태클을 당했다,그는 상대방에게 빠르게 피할 수 있었다,축구를 잘 몰랐다,강력한 바디체크를 받다,농구 경기에서 상대 선수를 잘 못 따라잡았다
64,그는 그녀에게 몸을 기울였다,그녀가 이미 다른 사람과 결혼했었다,무관심했다,그녀가 이미 다른 사람과 결혼했기 때문이다,그녀가 너무 멀리 있었다
65,그는 오른쪽으로 향했다,그는 왼쪽으로 향했다,왼쪽을 선택했다,왼쪽으로 가야 하는 길이다,왼쪽으로 가야 했다
66,그는 배심원 의무를 위해 소환되었다,그는 범죄자였다,병원에 입원 중이었다,병가나 사정이 있는 경우이다,시민권을 가지고 있었다
67,그는 자신을 과시했다,그는 자신을 낮추었다,자만심에 빠져 있지 않았다,다른 사람들의 비판이다,자신의 불안정한 정신 상태를 알고 있었다
68,그는 쿠키도 만들었다,그는 오븐이 고장나 있었다,오븐을 고장내었다,오븐이 고장나서 쿠키를 굽지 못한다,오븐이 고장이 났다
69,그는 유치원에 입학했다,그는 이미 초등학교에 다니고 있었다,아직 어린 나이였다,코로나19로 인한 학교 휴교일 수도 있다,6세보다 나이가 많았다
70,그는 구걸하러 갔다,그는 부유한 가족이었다,돈이 없었다,실직하다,부유한 친척이 있었다
71,그는 면도를 중단했다,그는 수염을 키우기로 결심했다,수염을 길러야 하는 연극에 출연했다,수염을 길러야 하는 연극의 역할 때문이다,면도기를 잃어버렸다
72,그는 약속을 잡았다,그는 시간이 없었다,시간에 늦는 버릇이 없었다,갑자기 생긴 긴급 상황이다,다른 일정이 있었다
73,그는 스스로 일을 자초했다,그는 대기업에서 취직한 것을 거절했다,부모님의 도움을 받지 않았다,새로운 일을 찾기 싫어한다,자신의 능력을 너무 낮게 평가했다
74,그는 방과 후 축구를 했다,그는 다치거나 부상을 입지 않았다,다리를 다쳤다,다리에 부상을 입다,다른 활동에 참여하고 있었다
75,그는 그 의미를 설명했다,그는 언어 장애가 있었다,말을 잘 못했다,모두가 이미 알고 있다,언어 장애가 있었다
76,그는 처음 이발을 했다,그는 머리카락이 없었다,머리를 깎는 것을 싫어했다,머리카락이 자라다,머리를 깎을 수 없었다
77,그는 온몸에 흘리고 있었다,그는 방수 옷을 입고 있었다,응급실에 가지 않았다,바닥이 미끄럽다,옷을 입고 있었다
78,그는 드디어 도착했다,그는 길을 잃었다,길을 잃었을 경우,교통체증이었다,잘못된 지도를 가지고 있었다
79,그는 그녀를 죽음으로 이끌었다,그녀가 그를 죽였다,정말로 그녀를 사랑했다,의료진에 의해 구조된다,그녀를 사랑했다
80,그는 그녀를 만나러 갔다,그녀는 그를 만나지 않기로 결정했다,그녀가 이미 다른 사람과 결혼했다,그녀가 이미 다른 사람과 결혼했을 수도 있다는 생각이다,다른 약속이 있었다
81,그는 2013년에 캠브리지로 이사했다,그는 영국에 입국이 금지되었다,하버드 대학교에 입학하지 않았다,그가 거주 지역을 좋아하고 새로운 기회를 찾고 싶어서였다,대학에 합격하지 못했다
82,그는 그녀의 턱을 꽉 움켜쥐었다,그녀가 그를 힘껏 밀어냈다,분노에 휩싸였다,그녀가 자신을 방어할 수 없는 상황에 처해있기 때문이다,분노 조절 장애가 있었다
83,그는 어젯밤 피자를 다 먹었다,그는 다이어트 중이었다,식욕이 없었다,속이 아프다,배가 아팠다
84,그는 고양이 알레르기가 있었다,그는 고양이를 가지고 있지 않았다,고양이를 키우지 않았다,고양이를 키우지 않다,고양이를 키우기로 결심했던 것은 일어나지 않을 것이다
85,그는 마침내 먹이를 찾았다,그는 사냥을 할 수 없었다,오랫동안 굶주렸다,다른 동물에게 먹이를 뺏긴다,더 이상 사냥을 할 수 없었다
86,그는 다리를 삐끗했다,그는 철물점에서 발을 차보고 있었다,축구 선수였다,의사의 처방에 따라 적절한 치료를 받다,축구를 하지 않았다
87,그는 내 머리를 때렸다,그는 내 친구가 아니었다,심각한 후회를 했다,우리 사이에 있는 갈등을 해결한다,내 친구였다
88,그는 그녀를 죽이러 갔다,그는 어떤 이유로 그녀를 죽이지 않았다,경찰에게 붙잡혔다,양심의 가책과 법적 처벌이다,그녀를 사랑했다
89,그는 제시간에 집에 도착했다,그는 교통 체증 때문에 늦게 도착했다,교통체증 때문에 늦게 출발하지 않았다,교통체증이 없다,교통체증에 빠졌다
90,그는 저녁을 먹었다,그는 하루 종일 배가 고팠다,아침에 이미 많이 먹었다,식사 후 바로 잠자리에 들었기 때문이다,어젯밤에 너무 배가 고팠다
91,오늘은 그녀의 마지막 날였다,그녀는 불치병에 걸렸다,그녀가 살아남기 위해 필요한 의료 조치가 시행되었다,의사들이 더 이상 치료할 수 없다는 판정을 내리다,그녀가 병원에 갔다
92,그는 그녀가 그럴 거라고 했다,그녀는 그를 신뢰하지 않았다,미래를 예측하는 능력이 없었다,그녀가 이미 다른 사람과 관계를 맺고 있다,그녀를 정말로 이해하고 있었다
93,그는 수상한 냄새를 맡았다,그는 코가 없었다,가스누출을 느꼈다,주변을 조사해서 냄새의 원인을 찾다,코감각을 잃었다
94,그는 엄마에게 선물했다,그는 돈이 없었다,아주 바쁜 일정이었다,그의 엄마가 이미 모든 것을 갖고 있다,돈이 없었다
95,그는 금반지를 발견했다,그는 금반지를 찾는 일에 관심이 없었다,지갑을 잃어버렸다,그 반지가 가짜임을 알게 된다,바닥에 떨어진다
96,그는 캠프파이어를 시작했다,그는 비가 오고 있었다,장작을 모으지 않았다,비가 내린다,비바람이 불고 있었다
97,그는 보고서를 작성했다,그는 컴퓨터가 고장났다,컴퓨터에 바이러스에 감염되었다,시간이 부족하다,컴퓨터가 고장 났다
98,그는 '펑'하는 소리를 들었다,그는 외로운 곳에 있었다,그의 친구가 농가에서 일하고 있다,그의 자동차가 고장난다,귀가 먼 사람이었다
99,그는 깜짝퀴즈를 출제했다,그는 모두가 이미 정답을 알고 있었다,정답을 알려주지 않았다,참여자들이 답을 알고 있지 않다,머리를 다치고 병원에 실렸다
100,그는 강아지를 찾았다,그는 강아지를 찾는 데 성공하지 못했다,집에 없었다,그의 아파트에서 반려동물을 키울 수 없는 규칙이다,알레르기가 있었다
101,그는 고양이를 좋아했다,그는 애완동물을 키울 수 없었다,알레르기가 있었다,그는 알레르기가 있다,알레르기가 있었다
102,그는 하루 종일 게임을 했다,그는 게임을 할 수 있는 시간이 없었다,일을 쉬고 있었다,게임 중독이다,게임을 할 수 있는 컴퓨터가 없었다
103,그는 나중에 질문했다,그는 이미 답을 알고 있었다,이미 답을 알고 있었다,이미 답을 알고 있다,그 순간에 질문했다
104,그는 지갑을 돌려받았다,그 지갑은 이미 다른 사람에게 주어졌다,사람들에게 신뢰받지 못했다,그의 성실한 성품과 친절한 태도이다,도둑질을 당했다
105,그는 그것을 학교에 가져갔다,그것이 금지된 물품이었다,그것이 금지된 물건이었다,학교에서 금지된 물건이었다,그것을 잊어버렸다
106,그는 무릎을 다쳤다,그는 철제 바닥에 미끄러졌다,운동선수였다,가벼운 운동만 할 수 있다,축구를 할 때 안전장비를 착용했다
107,그는 갑자기 기억이 났다,그는 기억력 상실이 있었다,오랜만에 예전 집을 방문하지 않았다,과거의 상처 때문에 기억을 하려고 하지 않았다,그 순간을 마음에 담고 있지 않았다
108,그는 아이와 함께 놀 수 있었다,그 아이는 심각한 질병으로 치료를 받고 있었다,바쁜 업무 때문에 집을 떠나지 못했다,바쁜 업무와 스트레스가 많다,아이를 돌볼 사람이 없었다
109,그는 처음에는 어떻게 해야 할지 몰랐다,그는 이미 그 일에 대해 경험이 있었다,경험이 부족했다,경험이 부족하다,누군가에게 조언을 구했다
110,그는 심지어 케이크도 만들었다,그는 오븐이 고장났다,요리를 전혀 못했다,오븐이 고장난다,밀가루 알레르기가 있었다
111,그는 손을 들었다,그는 잠들어 있었다,교실에서 자신의 의견을 표현하지 않았다,교실에서 가장 똑똑한 척 한다,답을 알고 있지 않았다
112,그는 입을 적셨다,그는 치아가 없었다,물을 마시지 않았다,그의 친구들이 그의 말을 이해하지 못한다,옷장에 적당한 옷이 없었다
113,그는 새 고양이를 입양했다,그는 알레르기가 있어서 고양이를 키울 수 없었다,알레르기가 있었다,집에 알레르기가 있다,알레르기가 있었다
114,그는 정리를 잘했다,그는 근심거리가 없었다,청소를 싫어했다,방에 더러운 옷이 없다,무슨 일이 있었는지 모르겠다
115,그는 그 높이에서 더 크고 무거워 보였다,그는 다이어트를 하고 있었다,아래에 있는 사람들보다 키도 크고 체격도 좋았다,그의 신체적인 특성 때문이었다,살이 더 많이 찌웠다
116,그는 눈물이 날 지경였다,그는 감정을 느끼지 않았다,감정을 숨기는 법을 배우지 않았다,강한 의지와 용기가 필요한 상황이었다,감동적인 이야기를 들었다
117,그는 놀고 싶지 않아 했다,그는 휴가 중이 아니었다,너무 피곤했다,엄격한 업무 스케줄 때문에 피곤하다,하루 종일 일하고 피곤했다
118,그는 평화롭게 잠을 잤다,그는 악몽을 꾸지 않았다,야간에 일하는 직장이 없었다,꿈에서의 공포스러운 경험들이 없다,밤새 야간 근무를 했다
119,그는 종이에 물감을 묻혔다,그는 펜을 사용했다,그림을 그리는 것을 좋아하지 않았다,그가 실수로 잘못된 색을 선택하다,물감을 사러 가지 않았다
120,그는 칠면조를 넣었다,그는 식사를 준비하는 것을 잊었다,요리법을 잊었다,식사 준비 중에 화재가 발생한다,채소만 사러 갔다
121,그는 다시 전화를 받았다,그의 전화기가 고장났다,전화 소리를 듣지 못했다,누군가 계속해서 계속해서 전화를 건다,전화를 끊었다
122,그는 눈사람을 만들었다,그는 사막에 있었다,따뜻한 지방에 살았다,날씨가 너무 따뜻해서 녹아 없어진다,따뜻한 날씨에 나갔다
123,그는 결국 쓰러졌다,그는 더 강한 의지를 가지고 있었다,심장 마비를 당했다,무리한 스트레스와 과로 때문이었다,더 많은 휴식을 취하지 않았다
124,그는 곧 집으로 돌아갔다,그는 자동차가 고장나서 집으로 돌아갈 수 없었다,길을 잃었다,교통체증이었다,비를 맞았다
125,그는 새 보트를 구입했다,그는 돈이 없었다,바다나 호수 근처에 살지 않았다,재정적인 어려움이 없다,돈이 없었다
126,그는 쇼핑하러 가고 싶다고 했다,그는 돈이 없었다,지갑을 잃어버렸다,그의 신용카드가 한도 초과로 막혀 있다,돈이 없었다
127,그는 소파에서 낮잠을 자고 있었다,그는 카페인 중독이었다,아이들이 집에 있었다,바깥이 너무 춥다,카페인 중독이었다
128,그는 혼자서 저녁을 먹었다,그는 친구들과 함께 식사를 했다,요리를 못한다,음식 배달 앱이 작동하지 않다,친구들과 함께 식사를 하러 나갔다
129,그는 잠이 들었다,그는 카페인을 섭취했다,밤새 술을 마셨다,밤새 술을 마셨기 때문에 숙취가 심하다,커피를 마셨다
130,그는 술을 너무 많이 마셨다,그는 음주운전을 피하기 위해 택시를 이용했다,음주운전을 하고 있었다,건강상의 문제가 발생한다,운전해야 했다
131,그는 매일 아침 눈을 떴다,그는 눈을 감지 않았다,죽었다,밤늦게까지 일을 하고 피곤한 상태에서 잠을 잔다,죽었다
132,그는 그녀의 셔츠 단추를 풀었다,그녀는 셔츠를 입지 않았다,그녀와 관계가 없었다,그녀가 그를 매력적으로 생각하지 않다,그녀를 좋아하지 않았다
133,그는 새 타이어가 필요했다,그는 자전거를 타고 있었다,그의 차가 전혀 없었다,돈이 부족하다,누군가에게 타이어를 퍼주었다
134,그는 자신의 알람을 설정했다,그는 잠을 자지 않았다,깊은 잠에 빠져 있었다,밤늦게까지 놀고 있어서 피곤하다,밤새 새로운 알람을 사기 위해 늦게까지 일하고 있었다
135,그는 선택의 폭을 좁혔다,그는 더 많은 옵션을 발견했다,시간이 부족했다,자금이 부족하다,무한한 가능성을 보았다
136,그는 직원을 해고했다,그는 자영업을 포기했다,회사의 경영진과 가족이었다,새로운 일자리를 찾기 힘든 경제적 상황이다,그 직원을 가족으로 생각했다
137,그는 발진이 생겼다,그는 피부에 문제가 없었다,알레르기 반응이 없었다,알레르기 반응을 일으키는 새로운 세제를 사용하다,새로운 화장품을 사용하지 않았다
138,그는 집에 가서 옷을 갈아입어야 했다,그의 옷장에 옷이 없었다,옷장 속에서 쥐를 만났다,비가 오고 있다,중요한 회의가 있었다
139,그는 정말 착해 보였다,그는 다른 사람들에게 실망을 주었다,사실 악덕인 사람이었다,그의 과거 범죄 기록이 있다,사실은 모든 사람에게 착한 척만 했다
140,그는 알림을 받았다,그는 근처에 있지 않았다,핸드폰을 잃어버렸다,핸드폰 배터리가 다 떨어지다,핸드폰을 잃어버렸다
141,그는 아버지와 함께 낚시하러 갔다,그는 아버지와 갈 수 있는 시간이 없었다,바다에 무서워했다,낚시대를 까먹었다,바다병으로 병원에 입원 중이었다
142,그는 아기를 안고 있었다,그는 신체적으로 불가능했다,아기를 놓고 자리에서 일어서지 않았다,아기가 울음을 그치지 않다,아기를 안고 있을 정도로 바빴다
143,그는 기분이 나빠지기 시작했다,그는 즉시 행동하여 기분을 좋게 만들었다,자신의 감정을 솔직하게 표현하지 않았다,친구들과 함께 시간을 보낸다,좋은 소식을 들었다
144,그는 새집을 지었다,그는 건설 허가를 받지 못했다,건설 중에 부상을 당했다,자금이 부족하다,돈이 없었다
145,그는 새 정장을 구입했다,그는 돈이 없었다,돈이 없었다,돈이 없다,돈이 없었다
146,그는 부딪혔다,그는 사랑스러운 토끼를 교통사고로 치료 중이었다,안전모를 착용하고 있었다,안전벨트를 착용하지 않았다,안전모를 착용하고 있었다
147,그는 퇴근길에 커피를 사서 마셨다,그는 돈이 없었다,카페에서 친구를 만났다,돈이 없다,지갑을 놓고 왔다
148,그는 생일 파티가 있었다,그는 외국에 있었다,코로나19에 감염되었다,코로나 바이러스 팬데믹 상황이다,코로나19에 감염되었다
149,그는 암매장 당했다,그는 미리 예방접종을 했다,조기에 검진을 받았다,조기 발견과 치료를 받다,흡연을 하지 않았다
150,그는 파트타임으로 일하고 있었다,그는 상사와 갈등을 겪고 있었다,추가 수입이 필요했다,정규직으로 전환된다,대학생이었다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,그는 자기를 지키지 않았다,후회의 감정을 느끼지 않았다,친구들이 그에게 관심을 가지고 도와준다,자신의 심리적인 상태를 이해하지 못했다
152,그는 이제 자야 했다,그는 카페인 중독이었다,내일 일찍 일어나야 했다,내일 아침 일찍 일어나야 하는 약속이 있다,아침 일찍 일어나야 했다
153,그는 깁스를 해야 했다,그는 부상을 입지 않았다,그의 골절이 심각하다,다리 골절이었다,사고를 당하지 않았다
154,그는 하루를 시작했다,그는 이미 죽어 있었다,알람을 설정하지 않았다,알람을 놓치다,알람을 듣지 못했다
155,그는 새 드레스를 입었다,그는 옷을 사기 위한 돈이 없었다,옷장에 돈이 없었다,체중이 늘어난다,옷장에 새 드레스가 없었다
156,그는 어느 날 배고픔을 느꼈다,그는 아침을 푸짐하게 먹었다,전날 너무 많이 먹었다,음식이 부족하다,하루 종일 먹지 않았다
157,그는 새 집으로 이사했다,그는 집주인에게 desist letter를 받았다,이사 준비를 하지 않았다,이사 준비와 정리한다,새 집을 구입하지 못했다
158,그는 깁스를 하고 있었다,그는 사고를 당했다,사고를 당하지 않았다,다리 골절이 있다,사고를 당하지 않았다
159,그는 그녀의 어깨를 두드렸다,그녀는 그를 싫어했다,그녀의 존재를 알지 못했다,그녀가 자는 중이다,그녀의 감정을 이해하지 못했다
160,그는 양쪽을 동시에 지지했다,그는 양쪽이 모두 잘못되었다,중립적인 입장을 취하지 않았다,각각의 입장이 모순된다,양쪽 다를 만족시키려고 했다
161,그는 전봇대에 부딪혔다,그는 집에서 안전하게 있었다,안전벨트를 착용했다,안전모를 쓰고 있지 않았기 때문이다,안전벨트를 착용하고 있었다
162,그는 그것을 학교에 입고 다녔다,그것은 그의 사이즈가 아니었다,집에서 나오기 전에 잊어버렸다,학교의 드레스 코드이다,그 옷이 너무 작았다
163,그도 케이크를 먹었다,그는 당뇨병이 있어서 케이크를 먹지 않았다,당뇨병이 있었다,당뇨병이 있다,당뇨병이 있었다
164,그는 밤에 잠을 잤다,그는 불면증으로 잠을 이루지 못했다,침대에서 떨어져서 다친다,약물을 복용하다,카페인 중독이었다
165,그는 팔을 들어 올렸다,그는 팔이 없었다,다친 상태였다,상처를 입다,다치었다
166,그는 실수로 노크를 했다,그는 문을 열지 않았다,혼자 집에 있었다,문이 잠겨 있다,문을 잠그고 있었다
167,그는 구취가 심했다,그는 항상 청결을 중요시했다,치아를 닦지 않았다,치약을 사용하는 것을 잊다,샤워를 하지 않았다
168,그는 새로운 일을 시작했다,그는 이미 모든 것을 이루었다,자신의 능력을 의심했다,불확실성에 대한 두려움이다,이전 직장에서 해고되었다
169,그는 내비게이션에 도움을 요청했다,그의 차에 내비게이션이 없었다,지도를 잃어버렸다,자신의 방향 감각이 없다,길을 잘 알고 있었다
170,그는 총을 들고 목표물을 공격했다,그는 사격을 할 수 있는 능력이 없었다,경찰에게 붙잡혔다,경찰에 붙잡히는 것을 피한다,정신이 없었다
171,그는 호텔을 찾았다,그는 여행을 취소했기 때문에 호텔을 찾지 않을 수도 있다,지도를 잃었다,예약을 하지 않다,지도를 잊었다
172,그는 성인이 되었다,그는 무리한 삶을 살지 않았다,아직 미성년자였다,책임과 압박감을 느낀다,만약 그가 어린 시절에 사망했다
173,그는 자전거를 타고 집으로 돌아갔다,그는 자전거를 가지고 있지 않았다,자전거 타기를 싫어했다,자전거가 고장나서 더 이상 움직이지 않다,자전거를 타고 가는 도중에 비가 오기 시작했다
174,그는 남편에게 문자를 보내었다,그는 휴대전화를 잃어버렸다,전화를 꺼놓고 있었다,휴대전화가 고장났기 때문이다,전화를 잃어버렸다
175,그는 전화번호를 교환했다,그는 전화기를 잃어버렸다,다른 사람의 번호를 잘못 입력했다,연락이 끊기는 것을 두려워한다,이미 결혼했다
176,그는 경적을 울렸다,그 차는 경적이 고장나 있었다,차에서 잠들어 있었다,주변에 사람들이 없다,차에 시동을 걸지 않았다
177,그는 꽤 멋져 보였다,그는 자신감이 없었다,자신에게 자신감이 없었다,자신감이 부족하다,머리에 이상한 모자를 썼다
