,input,A,B
101,그는 고양이를 좋아했다,애완동물을 좋아하다,애완동물을 좋아한다
102,그는 하루 종일 게임을 했다,게으르다,게으르다
103,그는 나중에 질문했다,소극적이다,호기심 많다
104,그는 지갑을 돌려받았다,선량하다,감사하다
105,그는 그것을 학교에 가져갔다,열정적이다,책임감 있다
106,그는 무릎을 다쳤다,아픔을 느낀다,아프다
107,그는 갑자기 기억이 났다,갑작스럽다,깨닫다
108,그는 아이와 함께 놀 수 있었다,어린이를 좋아한다,친근하다
109,그는 처음에는 어떻게 해야 할지 몰랐다,당황스럽다,주저한다
110,그는 심지어 케이크도 만들었다,열정적이다,다재다능하다
111,그는 손을 들었다,질문이 있다,관심 있다
112,그는 입을 적셨다,건강에 신경을 쓴다,신중하다
113,그는 새 고양이를 입양했다,관대하다,관대하다
114,그는 정리를 잘했다,체계적이다,체계적이다
115,그는 그 높이에서 더 크고 무거워 보였다,위협적,위협적이다
116,그는 눈물이 날 지경였다,슬프다,슬프다
117,그는 놀고 싶지 않아 했다,신중하다,지루하다
118,그는 평화롭게 잠을 잤다,안정적이다,안정되다
119,그는 종이에 물감을 묻혔다,창의적이다,어설프다
120,그는 칠면조를 넣었다,유머러스하다,요리에 열정적이다
121,그는 다시 전화를 받았다,사교적이다,인기 있다
122,그는 눈사람을 만들었다,창의적이다,창의적이다
123,그는 결국 쓰러졌다,쇼크에 걸렸다,약하다
124,그는 곧 집으로 돌아갔다,집을 그리워한다,보호받다
125,그는 새 보트를 구입했다,부유하다,부유하다
126,그는 쇼핑하러 가고 싶다고 했다,소비욕이 강하다,소비욕이 강하다
127,그는 소파에서 낮잠을 자고 있었다,피곤하다,피곤하다
128,그는 혼자서 저녁을 먹었다,외로워 보인다,외롭다
129,그는 잠이 들었다,피곤하다,피곤하다
130,그는 술을 너무 많이 마셨다,취한 모습이다,취하다
131,그는 매일 아침 눈을 떴다,생존하다,활기차다
132,그는 그녀의 셔츠 단추를 풀었다,로맨틱하다,로맨틱하다
133,그는 새 타이어가 필요했다,꾸준하다,꾸준하다
134,그는 자신의 알람을 설정했다,책임감이 있다,책임감 있다
135,그는 선택의 폭을 좁혔다,보수적이다,신중하다
136,그는 직원을 해고했다,엄격하다,냉담하다
137,그는 발진이 생겼다,건강이 나쁘다,걱정스럽다
138,그는 집에 가서 옷을 갈아입어야 했다,바빠 보인다,바쁘다
139,그는 정말 착해 보였다,친절하다,친절하다
140,그는 알림을 받았다,중요한 정보를 받았다,궁금하다
141,그는 아버지와 함께 낚시하러 갔다,가족을 중요하게 생각한다,가족을 중요시한다
142,그는 아기를 안고 있었다,부모다,책임감 있다
143,그는 기분이 나빠지기 시작했다,우울하다,우울하다
144,그는 새집을 지었다,집을 건설하다,자긍심이 높다
145,그는 새 정장을 구입했다,새로운 시작을 하려 하다,자신감 넘친다
146,그는 부딪혔다,다치다,상처받다
147,그는 퇴근길에 커피를 사서 마셨다,피곤하다,피곤하다
148,그는 생일 파티가 있었다,축하받았다,행복하다
149,그는 암매장 당했다,불운을 겪다,불운하다
150,그는 파트타임으로 일하고 있었다,부업을 하고 있다,부지런하다
151,그는 자기도 모르게 자신에게 해가 되는 일을 했다,자극적이다,자극적이다
152,그는 이제 자야 했다,피곤하다,피곤하다
153,그는 깁스를 해야 했다,다친 것 같다,다치다
154,그는 하루를 시작했다,활기차다,활기차다
155,그는 새 드레스를 입었다,세련되고 멋있어 보인다,자신있다
156,그는 어느 날 배고픔을 느꼈다,식사를 해야 한다,굶주리다
157,그는 새 집으로 이사했다,새로운 시작을 하다,흥분하다
158,그는 깁스를 하고 있었다,다친 것 같다,다치다
159,그는 그녀의 어깨를 두드렸다,위로하다,친근하다
160,그는 양쪽을 동시에 지지했다,중립적이다,타협적이다
161,그는 전봇대에 부딪혔다,불운을 겪었다,우둔하다
162,그는 그것을 학교에 입고 다녔다,규칙을 준수한다,멋지다
163,그도 케이크를 먹었다,달콤하다,달콤하다
164,그는 밤에 잠을 잤다,편안하다,피곤하다
165,그는 팔을 들어 올렸다,인사를 하다,활동적이다
166,그는 실수로 노크를 했다,어리둥절하다,당황하다
167,그는 구취가 심했다,개인 위생에 신경을 쓰지 않는다,방심하다
168,그는 새로운 일을 시작했다,새로운 도전을 감행하다,희망차다
169,그는 내비게이션에 도움을 요청했다,방향감각이 없다,방향감이 없다
170,그는 총을 들고 목표물을 공격했다,위협적이다,위협적이다
171,그는 호텔을 찾았다,여행자다,피곤하다
172,그는 성인이 되었다,책임감이 있다,책임있다
173,그는 자전거를 타고 집으로 돌아갔다,활동적이다,활기차다
174,그는 남편에게 문자를 보내었다,소통을 중요시한다,사랑에 빠지다
175,그는 전화번호를 교환했다,친근하다,호감이 있다
176,그는 경적을 울렸다,조심스럽다,거치다
177,그는 꽤 멋져 보였다,자신감이 있다,자신감 있다
178,그는 하루를 마무리했다,만족스럽다,피곤하다
179,그는 마침내 그녀를 찾았다,끈기 있다,끈질기다
180,그는 데이트를 원했다,사랑을 원한다,외롭다
181,그는 갈등에 휘말렸다,곤혹스럽다,괴롭다
182,그는 팝콘을 먹었다,영화를 즐긴다,영화를 보러 오다
183,그는 좋아하는 TV 프로그램을 시청했다,즐거워한다,즐겁다
184,그는 집에 안전하게 도착했다,안도하다,안심하다
185,그는 더 나은 직장을 찾았다,야심적이다,포부가 있다
186,그는 현금이 좀 필요했다,긴장되어 있다,어렵다
187,그는 응급실에 가야 했다,위급한 상황에 처했다,위급하다
188,그는 치어리더가 되고 싶어 했다,열정적이다,열정적이다
189,그는 상황파악을 하지 못한 채 놀고 있었다,부주의하다,부주의하다
190,그는 거부당했다,실망했다,실망하다
191,그는 얼굴을 맞았다,충격을 받았다,분노하다
192,그는 상사에게 사과했다,책임감이 있다,책임감 있다
193,그는 내일 큰 시험이 있었다,긴장되다,긴장하다
194,그는 선풍기를 구입했다,실용적이다,시원하다
195,그는 새 옷장을 구입했다,사치스럽다,자신있다
196,그는 친구들을 초대했다,사교적이다,사교적이다
197,그는 선물을 받았다,기쁘다,기쁘다
198,그는 장난감을 찾았다,호기심이 많다,기쁘다
199,그는 청소를 도와줬다,친절하다,친절하다
200,그는 내 부모님께 물어봤다,존중받고 싶다,현명하다
201,그는 데이트 상대를 찾았다,외로움을 느낀다,로맨틱하다
202,그는 집에 가야 했다,책임감이 있다,지루하다
203,그는 주스를 엎질렀다,어설프다,어설프다
204,그는 성을 변경했다,자아를 찾고 있다,변화를 추구한다
205,그는 그것을 부모님에게 보여주기도 했다,자랑스럽다,자랑스럽다
206,그는 환불을 요구했다,불만스럽다,불만스럽다
207,그는 동물원에 사탕을 가져다줬다,관대하다,관대하다
208,그는 그녀에게 원하는대로 할 수 있게 했다,유연하다,영리하다
209,그는 밤에 잠이 들었다,피곤하다,피곤하다
210,그도 그것을 원했다,탐욕스럽다,탐욕스럽다
211,그는 소총을 발사했다,위험하다,위협적이다
212,그는 체중이 줄었다,건강하다,건강하다
213,그는 목이 아파했다,아픔을 느낀다,불편하다
214,그는 쩝쩝거리는 소리를 내었다,귀엽다,귀찮다
215,그는 스스로를 기록했다,자기 중심적이다,자기 중심적이다
216,그는 자신에 대해 매우 화가 나 있었다,분노에 찬다,분노하다
217,그는 이제 시작해야 했다,결심하다,결심있다
218,그는 열쇠를 잊어버렸다,망각력이 좋지 않다,망각력이 나쁘다
219,그는 오늘이 첫날였다,설레다,신선하다
220,그는 차를 엎질렀다,충분히 조심하지 않았다,충격을 받다
221,그는 이유를 설명했다,설명적이다,이해심 있다
222,그는 휴가를 시작했다,피곤하다,행복하다
223,그는 여자친구와 결혼했다,행복해 보인다,행복하다
224,그는 새로운 사람들을 만났다,사교적이다,호기심 많다
225,그는 더 이상 짖지 않았다,고요하다,차분하다
226,그는 싸우고 싶지 않아 했다,평화주의자다,평화롭다
227,그는 포커 토너먼트에 참가했다,도박을 즐긴다,유능하다
228,그는 휴대폰을 돌려받았다,친절하다,안심하다
229,그는 다음 날 그만뒀다,갑작스럽다,실망하다
230,그는 도와달라고 울부짖었다,절박하다,절망적이다
231,그는 좋아하는 노래를 연주했다,음악적인 것을 좋아한다,재능 있다
232,그는 동영상을 시청했다,호기심이 많다,흥미진진하다
233,그는 하루 종일 플레이했다,게임 중독이다,게으르다
234,그는 공을 가지고 있었다,스포츠를 좋아한다,놀기 좋아한다
235,그는 가발을 뒤집었다,혼란스럽다,혼란스럽다
236,그는 집처럼 편안해 했다,안정적이다,안심하다
237,그는 무서운 소리를 들었다,놀란다,겁에 질리다
238,그는 거미를 죽였다,용감하다,용감하다
239,그는 그녀에게 음식을 줬다,관대하다,관대하다
240,그는 캠핑 여행 중였다,모험을 좋아한다,즐겁다
241,그는 둥지를 지었다,안정적이다,보호적이다
242,그는 멍청해 보였다,어리석다,어리석다
243,그는 머리 뒤에도 눈이 있었다,이상하다,의심스럽다
244,그는 기침을 시작했다,아프다,아프거나 불쾌하다
245,그는 새 트럭을 구입했다,부유하다,부유하다
246,그는 몸을 따뜻하게 했다,안락하다,건강하다
247,그는 하나를 훔쳤다,도덕적으로 부적절하다,비도덕적이다
248,그는 큰 시험이 다가오고 있었다,긴장되어 보인다,긴장되다
249,그는 어쨌든 떠났다,결단력이 있다,결단력 있다
250,그는 혀를 내밀어 메롱했다,조롱하다,무례하다
251,그는 마침내 그녀를 만났다,행복하다,행복하다
252,그는 티켓을 받았다,규칙을 어기다,행운을 누리다
253,그는 밤을 새워 공부했다,열정적이다,열심히 한다
254,그는 금식을 깨기 시작했다,배고프다,배고프다
255,그는 그녀를 유혹으로 이끌었다,교활하다,매력적이다
256,그는 외출금지를 당했다,규율을 어기다,억울하다
257,그는 집이 그립었다,향수에 젖다,외롭다
258,그는 직장에서 은퇴했다,나이가 들었다,늙다
259,그는 게시되었다,유명해졌다,유명하다
260,그는 첫 직장을 얻었다,희망찬 모습,흥분하다
261,그는 주차장을 찾았다,차량을 주로 이용한다,근심스럽다
262,그는 무도회 드레스와 함께 입었다,화려하다,아름답다
263,그는 바위에 걸려 넘어졌다,조심하지 않다,서툴러 보인다
264,그는 스스로를 존중했다,자신감이 있다,자신감 있다
265,그는 추수감사절 저녁 식사를 준비했다,관대하다,친절하다
266,그는 코를 후볐다,신경질적이다,화가 나다
267,그는 곧바로 잠자리에 들었다,피곤하다,피곤하다
268,그는 함께 앉아 있었다,사교적이다,침묵을 지킨다
269,그는 모두에게 감사했다,감사하다,친절하다
270,그는 팔을 뻗었다,도와 달라고 하고 있다,도와 달라고 한다
271,그는 꿈에 그리던 직장을 구하기 위해 면접을 봤다,열정적이다,열정적이다
272,그는 휴가가 필요했다,피곤하다,피곤하다
273,그는 매우 아팠다,고통스럽다,고통받다
274,그는 곰에게 상처를 입혔다,위협적이다,위험하다
275,그는 제 방으로 돌아왔다,안도하다,안도하다
276,그는 밴드에 가입했다,음악에 열정적이다,음악적이다
277,그는 이상하게 생겼다,이상하다,유쾌하다
278,그는 발가락을 삐끗했다,아픔을 느끼다,아프다
279,그는 학용품을 구입했다,교육에 관심이 많다,교육에 관심이 많다
280,그는 기록을 경신했다,빠르다,자랑스럽다
281,그는 사냥을 좋아했다,용감하다,용감하다
282,그는 쿠키를 더 먹고 싶어했다,달콤한 것을 좋아한다,간식을 좋아한다
283,그가 또 왔다,다시 나타났다,귀찮다
284,그는 골대를 움직였다,강력하다,강력하다
285,그는 그녀의 뒤에서 소리를 들었다,깜짝 놀라다,궁금하다
286,그는 바로 본론부터 말했다,직설적이다,직접적이다
287,그는 인터뷰 일정을 잡았다,중요하다,중요하다
288,그는 흙장난을 쳤다,유머 감각이 있다,흥분하다
289,그는 친구들과 파티에 갔다,사교적이다,활발하다
290,그는 완벽한 드레스를 찾았다,세련되다,만족하다
291,그는 방을 청소하고 싶어 했다,깔끔하다,깨끗하다
292,그는 그녀에게 기름을 부었다,로맨틱하다,로맨틱하다
293,그는 신에게 과일을 바쳤다,종교적이다,종교적이다
294,그는 휴대폰으로 통화했다,사교적이다,분노하다
295,그는 모자를 벗었다,예의 바르다,예의 바르다
296,그는 쓸데없이 위험한 짓을 했다,무모하다,무모하다
297,그는 고개를 살짝 흔들었다,이해하지 못했다,이해한다
298,그는 거스름돈을 받았다,꼼꼼하다,만족하다
299,그는 고소공포증이 있었다,두려움을 느낀다,민감하다
300,그는 여행을 취소했다,실망스럽다,실망하다
301,그는 대신 개를 키우게 되었다,책임감이 있다,애완 동물을 좋아한다
302,그는 새로운 친구를 찾았다,사교적이다,사교적이다
303,그는 그녀에게 소란을 피웠다,곤란하다,골치 아프다
304,그는 이력서를 업데이트했다,구직중이다,취직을 원한다
305,그는 몸이 좋지 않았다,아프다,아프다
306,그는 화재 경보를 들었다,경계심이 많다,놀라다
307,그는 잠을 잘 잤다,건강하다,피곤하지 않다
308,그는 요즘 우울한 기분이 들었다,우울하다,우울하다
309,그는 레이스를 시작했다,경쟁적이다,경쟁적이다
310,그는 정말 귀엽었다,매력적이다,사랑스럽다
311,그는 아이스크림을 먹고 싶어 했다,유쾌하다,달콤하다
312,그는 분노조절 문제가 있었다,화를 잘 낸다,화 잘 낸다
313,그는 대신 걸었다,책임감이 있다,책임감 있다
314,그도 일하지 않았다,게으르다,나태하다
315,그는 가스가 필요했다,요령이 없다,불안하다
316,그는 TV를 켜었다,게으르다,게으르다
317,그는 마실 것을 가져왔다,사교적이다,대담하다
318,그는 한 모금을 마셨다,목마르다,만족하다
319,그는 요리를 좋아했다,창의적이다,요리에 능숙하다
320,그는 새 은행 계좌를 개설했다,새로운 시작을 원한다,재빠르다
321,그는 노트북을 떨어뜨렸다,서투르다,어설프다
322,그는 철자 맞추기 대회에서 우승했다,영리하다,똑똑하다
323,그는 고양이를 키우고 있었다,애완동물을 좋아한다,애완 동물을 좋아한다
324,그는 더 잘 일했다,능력이 있다,열심히 일한다
325,그는 말투가 바뀌었다,의심스럽다,의심스럽다
326,그는 매우 심하게 아팠다,고통스럽다,고통스럽다
327,그는 TV 프로그램을 시청했다,피곤하다,게으르다
328,그는 드디어 앉았다,피곤하다,피곤하다
329,그는 새 차가 생겼다,부유하다,행복하다
330,그는 돈을 너무 많이 썼다,낭비가 심하다,낭비한다
331,그는 시간을 절약했다,효율적이다,효율적이다
332,그는 동생과 대화를 나눴다,친근하다,따뜻하다
333,그는 공을 찾았다,성실하다,기쁘다
334,그는 수업에 결석했다,귀찮다,부주의하다
335,그는 공을 던졌다,운동을 좋아한다,강력하다
336,그는 스카이다이빙을 하고 싶어했다,모험적이다,대담하다
337,그는 새로운 친구를 사귀었다,사교적이다,사교적이다
338,그는 지갑을 보관했다,신중하다,신중하다
339,그는 응답이 없었다,무관심하다,무관심하다
340,그는 좋아하는 영화를 시청했다,영화를 즐긴다,만족하다
341,그는 공중을 휘젓고 다녔다,자유로워 보인다,우아하다
342,그는 꿈에 그리던 자동차를 구입했다,만족스럽다,행복하다
343,그는 별똥별을 봤다,로맨틱하다,운이 좋다
344,그는 우리에서 탈출했다,속임수가 있다,자유롭다
345,그는 더 안전하다고 느꼈다,안도하다,안심하다
346,그는 첫 주택을 구입했다,성공적이다,성공하다
347,그는 숙제하는 것을 잊어버렸다,부주의하다,부주의하다
348,그는 입사 지원을 했다,열정적이다,취업을 열망한다
349,그는 너무 취해서 운전할 수 없었다,책임감이 없다,무책임하다
350,그는 게임에서 승리했다,경쟁적이다,자신감 넘친다
351,그는 졸업장을 받았다,성공적이다,기쁘다
352,그는 엄마와 함께 쇼핑몰에 갔다,가족을 소중히 여긴다,행복하다
353,그는 기념품을 살았다,기억에 남기 위해 노력한다,관심이 많다
354,그는 여덟 살이 되었다,어린이다,어리다
355,그는 호루라기를 불었다,유쾌하다,유쾌하다
356,그는 그의 지갑을 받았다,안전하다,안심하다
357,그는 손에 화상을 입었다,아픕니다,아프다
358,그는 다리를 보여줬다,자신감이 있다,용감하다
359,그는 이상한 소리가 들렸다,의심스럽다,놀라다
360,그는 패스트푸드를 먹지 않았다,건강을 중시한다,건강하다
361,그는 요즘 우울해했다,우울한 상태에 있다,우울하다
362,그는 대신 시리얼을 먹었다,대체적이다,간단하다
363,그는 셔츠에 물을 엎질렀다,서투르다,어설프다
364,그는 주문을 했다,결단력이 있다,배고프다
365,그는 드디어 집에 도착했다,피곤하다,피곤하다
366,그는 얼굴에 미소가 가득했다,행복해 보인다,행복하다
367,그는 내 부모님께 말씀드렸다,복종적이다,예의 바르다
368,그는 실수로 부딪혔다,어리석다,어설프다
369,그는 자기 자신을 연기했다,연기력이 뛰어나다,자기 중심적이다
370,그는 으르렁거리기 시작했다,화를 내고 있다,화를 낸다
371,그는 내기에서 졌다,실망스럽다,실망하다
372,그는 새 컴퓨터를 구입했다,현대적이다,현명하다
373,그는 누구에게나 물어봤다,호기심이 많다,무지하다
374,그는 떠나고 싶지 않았다,안정을 원한다,안도하다
375,그는 어젯밤 꿈을 꿨다,꿈을 꾸다,행복하다
376,그는 청력 검사를 받았다,건강에 신경을 쓴다,난청이다
377,그는 어제 제 손톱을 칠해줬다,세심하다,친절하다
378,그는 꽤 괜찮아 보였다,매력적이다,매력적이다
379,그는 담배를 끊었다,건강을 생각한다,결단력 있다
380,그는 파티에 초대받았다,사교적이다,기쁘다
381,그는 노래도 부르고 춤도 추웠다,즐겁다,활기차다
382,그도 멈췄다,주의 깊다,지루하다
383,그는 운전대를 잡았다,운전을 할 줄 안다,자신감 넘친다
384,그는 이웃에게 물었다,사교적이다,친근하다
385,그는 홀로 일어섰다,강인하다,강인하다
386,그는 공황 발작을 일으켰다,불안정한 상태에 있다,불안하다
387,그는 벌금을 내야 했다,법을 어기다,부주의하다
388,그는 어느 날 가게에 갔다,보통,호기심 많다
389,그는 물건이 너무 많았다,낭비하는 경향이 있다,소질이 나다
390,그는 어젯밤에 외출했다,활동적이다,활발하다
391,그는 어쨌든 그는 그것을 시도했다,용감하다,용감하다
392,그는 새끼 고양이를 찾았다,친근하다,친근하다
393,그는 그녀의 목을 감쌌다,폭력적이다,폭력적이다
394,그는 간식을 먹고 싶어 했다,배고프다,배고프다
395,그는 풀타임으로 일하고 있었다,부지런하다,힘든 일을 한다
396,그는 할아버지를 찾아갔다,가정적이다,존경받다
397,그는 아이스하키 선수였다,경쟁적이다,운동선수
398,그는 모퉁이를 돌았다,새로운 시작을 한다,궁금하다
399,그는 커피를 한 모금 마셨다,깨어나다,깨어있다
400,그는 자존감이 낮았다,자신감이 없다,자신을 몰아세우지 못한다
401,그는 인터넷을 검색하고 있었다,호기심 많다,호기심 많다
402,그는 노래를 부르기 시작했다,음악적이다,재능 있다
403,그는 하루 종일 검색을 했다,열정적이다,호기심 많다
404,그는 사진을 찍었다,기억을 남기다,창의적이다
405,그는 남편과 이혼했다,불행하다,용감하다
406,그는 결국 무너졌다,약해 보인다,연약하다
407,그는 먹고 마셨다,만족스럽다,만족하다
408,그는 수학 시험이 있었다,똑똑하다,똑똑하다
409,그는 오일 교환이 필요했다,차량을 가지고 있다,고장나다
410,그는 겨울에 밀짚모자를 구입했다,따뜻함을 추구한다,유행을 따른다
411,그는 버퍼에 부딪혔다,서투르다,단호하다
412,그는 치과에 가야 했다,치아가 아프다,아픈다
413,그는 첫 번째 게임에서 승리했다,자신감이 있다,자신감 넘친다
414,그는 입술을 깨물었다,긴장되어 있다,걱정스럽다
415,그는 머리를 휙 돌렸다,놀랐다,궁금하다
416,그는 이혼을 했다,불행하다,상처받다
417,그는 늦게 귀가했다,부주의하다,부주의하다
418,그는 첫 마라톤을 뛰었다,도전적이다,피곤하다
419,그는 거품 목욕을 했다,유쾌하다,깔끔하다
420,그는 집에 태워다 줄 사람이 필요했다,친절하다,착하다
421,그는 스케이트보드를 배웠다,새로운 것을 시도하는 것을 좋아한다,능숙하다
422,그는 뭔가 냄새가 났다,예민하다,염치없다
423,그는 데이트 상대에게 깊은 인상을 남겼다,매력적이다,매력적이다
424,그는 셔츠에 주스를 엎질렀다,어설프다,어설프다
425,그는 지갑을 찾을 수 없었다,당황스럽다,낙담하다
426,그는 먹거나 마셨다,배고프다,만족하다
427,그는 점점 더 좋아지고 있었다,발전하고 있다,희망차다
428,그는 클럽에 가입했다,사교적이다,사교적이다
429,그는 발목을 다쳤다,불행하다,아프다
430,그는 별로 도움이 되지 않았다,무력하다,무책임하다
431,그는 기회를 얻었다,운이 좋다,운이 좋다
432,그는 학교에서 괴롭힘을 당하고 있었다,불쌍하다,불행하다
433,그는 환경을 보호했다,환경을 중요시한다,책임감 있다
434,그는 우승자를 발표했다,중요하다,자랑스럽다
435,그는 밖에 풀을 봤다,자연을 즐기다,평온하다
436,그는 유권자 등록을 했다,책임감이 있다,책임감 있다
437,그는 출근에 한 시간 늦었다,부주의하다,부주의하다
438,그는 쇼핑을 시작했다,소비에 돈을 많이 쓴다,소비욕이 강하다
439,그는 서류 가방을 집에 맡겼다,신뢰할 만하다,신뢰할 만하다
440,그는 바람을 쐬었다,여유롭다,상쾌하다
441,그는 엎질러진 물을 재빨리 치웠다,책임감이 있다,친절하다
442,그는 누군가에게 전화를 겄다,사교적이다,바쁘다
443,그는 건강 문제가 있었다,취약하다,아프다
444,그는 친구를 찾았다,사교적이다,외롭다
445,그도 동참했다,사교적이다,흥분하다
446,그는 아픈 척을 했다,속이 안 좋다,가식적이다
447,그는 새 책을 발견했다,호기심이 많다,호기심 많다
448,그는 밤에 잠을 잘 못 자고 있었다,피곤하다,피곤하다
449,그는 학교에 가져갈 책을 구했다,교양있다,열심히 공부한다
